📊 全量策略掃描報告 - 日期: 20260307
==============================================================================================================
Stock           Price    Return%    Win%  Trades  T/Year   F_Sum5D Advice
6163.TWO        51.60      26.68    40.2     328    28.2      -126 💤 觀望 
6739.TWO      1050.00    1490.31    44.1     139    29.8      -131 ✅ 續抱 
3357.TWO       159.50     659.19    42.0     360    31.0      -131 💤 觀望 
3025.TW         57.60     800.95    43.7     308    26.4      -133 💤 觀望 
6668.TW         35.50     -52.18    42.4     240    30.2      -135 💤 觀望 
9958.TW        123.50    1814.10    44.7     338    29.0      -141 💤 觀望 
8277.TWO         9.00     272.98    41.6     288    24.8      -141 💤 觀望 
3558.TWO       131.50      24.79    43.7     316    27.2      -142 💤 觀望 
6579.TW        110.00      37.32    43.5     304    32.3      -149 💤 觀望 
6472.TW        485.00     676.67    44.8     334    32.5      -153 💤 觀望 
4770.TW        230.00      54.48    47.0     150    28.7      -153 💤 觀望 
4931.TWO       132.00    1504.84    42.9     218    18.7      -156 💤 觀望 
4526.TW         31.90      22.97    43.3     334    28.6      -159 💤 觀望 
4744.TWO        31.90     143.50    44.9     335    28.8      -160 ✅ 續抱 
6166.TW         63.00     -25.86    42.1     384    32.9      -161 ✅ 續抱 
3011.TW         12.95     850.72    46.0     256    22.1      -163 💤 觀望 
8044.TWO        26.30     -19.71    43.8     338    29.1      -164 💤 觀望 
4745.TWO        20.55      32.39    43.2     300    25.8      -167 💤 觀望 [⚡爆量]
8111.TWO        65.80     983.24    43.9     290    24.8      -170 💤 觀望 
3141.TWO        45.65     141.38    44.7     332    28.5      -173 💤 觀望 
3499.TWO        17.80     123.41    39.9     359    30.8      -178 ✅ 續抱 
3257.TW         58.00     364.06    45.4     316    27.1      -182 💤 觀望 
1477.TW        308.00     180.98    46.1     340    29.2      -184 💤 觀望 
6768.TW         93.00      35.93    44.4     124    26.4      -186 💤 觀望 
3059.TW         38.10     -11.12    45.5     356    30.5      -188 💤 觀望 
1736.TW        142.50     151.60    42.3     330    28.4      -190 ✅ 續抱 [⚡爆量]
6548.TWO        48.60    2797.37    46.7     250    24.5      -193 💤 觀望 
5285.TW         48.60     200.97    45.2     326    27.9      -195 💤 觀望 
6173.TWO        64.10     470.58    45.8     326    28.0      -195 💤 觀望 
6219.TWO        15.25      -5.33    39.3     378    32.5      -197 💤 觀望 
3712.TW         23.05     269.11    44.7     188    26.3      -197 💤 觀望 
4536.TW        164.00     -14.31    42.3     371    31.8      -197 ✅ 續抱 
2393.TW         59.60     223.76    49.7     297    25.5      -198 ✅ 續抱 
7740.TW        196.00       1.00    36.2      21    21.0      -199 ✅ 續抱 [⚡爆量]
6423.TWO        93.80      68.30    38.7     295    26.9      -200 ✅ 續抱 
7749.TW        402.50     -20.33    33.3      12    12.0      -201 💤 觀望 
6613.TWO       190.50     389.11    44.5     268    30.3      -203 💤 觀望 
2345.TW       1465.00    1047.76    48.8     353    30.2      -204 ✅ 續抱 
3147.TWO       187.50     382.05    38.0     295    25.3      -206 ✅ 續抱 
3443.TW       2385.00     554.73    46.1     360    30.8      -207 💤 觀望 
1735.TW         20.80     -79.13    32.0     501    43.1      -210 ✅ 續抱 
6462.TWO       105.50     332.98    45.2     308    27.3      -214 💤 觀望 
3167.TW        291.00    1593.17    46.8     287    24.7      -216 ✅ 續抱 
2351.TW         82.00     176.10    44.1     346    29.6      -223 💤 觀望 
2493.TW        105.00     771.78    49.6     268    23.0      -223 💤 觀望 
4551.TW        122.00      22.49    42.5     309    26.5      -227 ✅ 續抱 
3234.TWO        80.00     455.15    46.3     323    27.7      -230 ✅ 續抱 
3317.TWO        47.80     448.74    47.5     296    25.4      -231 💤 觀望 
4167.TWO        20.25      -4.92    41.0     340    29.3      -232 ✅ 續抱 [⚡爆量]
3002.TW         21.60      -4.97    40.1     336    28.9      -232 ✅ 續抱 
2607.TW         56.00     -17.51    39.8     396    34.0      -237 💤 觀望 
2480.TW        144.50     473.54    46.3     317    27.2      -239 ✅ 續抱 
2397.TW         57.40      80.52    43.0     388    33.2      -242 💤 觀望 
00633L.TW       45.66      -2.76    47.7     314    28.8      -243 💤 觀望 
5490.TWO        26.55     136.97    44.9     279    23.9      -244 ✅ 續抱 [⚡爆量]
6188.TWO        94.60     451.33    47.1     308    26.4      -249 💤 觀望 
3290.TWO        43.90     -18.55    41.8     342    29.5      -251 💤 觀望 
2241.TW         29.95     -16.74    43.6     260    27.0      -253 💤 觀望 
2258.TW         35.80     -30.90    39.4      58    26.4      -254 💤 觀望 
3094.TW         23.80     -27.84    42.5     376    32.2      -258 💤 觀望 
8289.TWO        35.90     115.42    41.4     369    31.7      -261 ✅ 續抱 
1522.TW         41.90      97.52    45.3     356    30.5      -263 💤 觀望 
3592.TW        226.00      17.60    47.7     114    28.6      -264 💤 觀望 
2542.TW         36.30     342.68    48.1     300    25.7      -267 💤 觀望 
6279.TWO       114.00     127.94    44.9     322    27.6      -278 ✅ 續抱 
2108.TW         25.75     244.38    46.4     317    27.3      -279 ✅ 續抱 
3042.TW         92.10     171.55    47.0     367    31.4      -280 ✅ 續抱 
2444.TW         13.75     168.52    41.5     301    25.9      -283 ✅ 續抱 
009805.TW       14.66      27.63    51.5      31    31.0      -285 ✅ 續抱 
6214.TW        112.00      42.80    44.2     362    31.0      -285 💤 觀望 
3583.TW        356.00     496.50    47.6     343    29.4      -289 ✅ 續抱 
3038.TW         22.70     341.42    44.0     322    27.6      -291 💤 觀望 
8081.TW        243.50     197.02    46.8     327    28.0      -301 ✅ 續抱 
6531.TW        434.50    3263.68    45.2     195    18.8      -302 ✅ 續抱 
3105.TWO       298.50    1026.93    48.1     317    27.2      -302 ✅ 續抱 
2453.TW         51.40     100.81    41.0     338    29.0      -306 💤 觀望 
8383.TWO        40.85     108.75    47.2     344    29.5      -308 💤 觀望 
009814.TWO      10.08      -3.58    31.6      10    10.0      -310 💤 觀望 
3491.TWO      1310.00    1842.69    48.7     303    26.0      -316 💤 觀望 [⚡爆量]
3010.TW        123.00     103.24    46.5     341    29.2      -316 ✅ 續抱 
6235.TW         50.50     332.13    43.2     300    25.7      -321 💤 觀望 
3265.TWO       138.00     797.82    46.8     302    25.9      -322 💤 觀望 
3162.TWO        57.60      87.87    42.0     350    30.1      -326 💤 觀望 
6664.TWO       271.00     315.49    47.6     220    27.3      -331 💤 觀望 
2820.TW         16.95      49.47    34.5     425    36.4      -334 ✅ 續抱 
6756.TW         75.30      -5.20    41.0     190    31.8      -345 💤 觀望 
6669.TW       4215.00    1087.32    47.7     237    29.6      -348 ✅ 續抱 
5381.TWO        28.20      84.91    39.0     404    34.7      -351 ✅ 續抱 [⚡爆量]
4971.TWO       428.50     540.62    45.6     311    26.6      -351 ✅ 續抱 
3588.TW         49.25     160.96    45.2     314    26.9      -351 💤 觀望 
6873.TW        100.50     146.04    44.3     108    26.9      -353 💤 觀望 
6799.TW         76.70      39.58    40.7     136    26.9      -354 💤 觀望 
00989A.TW       14.17      -3.65    46.7       4     4.0      -360 💤 觀望 
00688L.TW        7.41      -7.63    45.5     239    27.8      -373 ✅ 續抱 
6104.TWO        94.80     542.27    47.2     310    26.6      -377 💤 觀望 
3354.TWO        27.70      84.81    40.5     343    29.5      -378 ✅ 續抱 
2405.TW         15.35      43.25    41.5     316    27.1      -378 💤 觀望 
912000.TW        2.59     748.19    40.3     284    24.3      -380 💤 觀望 
8070.TW         43.05     688.82    45.5     298    25.7      -381 💤 觀望 
4722.TW        184.00     329.63    45.0     331    28.5      -393 ✅ 續抱 
3088.TWO        80.90      98.40    47.0     344    29.5      -410 💤 觀望 
6202.TW         59.10      61.09    45.2     351    30.1      -411 ✅ 續抱 
6841.TWO        61.20     -35.66    43.1     110    25.6      -413 💤 觀望 
8103.TW         91.50     201.02    47.1     298    25.5      -414 💤 觀望 
3717.TW         18.00     -13.36    20.0      17    17.0      -415 ✅ 續抱 [⚡爆量]
8436.TWO       125.50      44.33    44.0     358    30.8      -418 💤 觀望 
4912.TW         90.10     171.82    43.9     352    30.2      -420 💤 觀望 
4934.TW         19.15     -12.54    42.3     329    28.3      -420 ✅ 續抱 
2342.TW         30.20     112.42    44.0     358    30.7      -421 💤 觀望 
8261.TW        101.00     157.62    43.9     307    26.3      -424 ✅ 續抱 [⚡爆量]
2836.TW         12.50      10.24    40.5     383    32.9      -427 ✅ 續抱 
5498.TWO        61.20    1088.86    41.6     320    27.4      -433 ✅ 續抱 
6207.TWO        54.70     329.96    46.3     299    25.8      -434 ✅ 續抱 
4949.TW         49.50      14.12    39.6      49    27.6      -434 ✅ 續抱 
3545.TW         45.50     282.09    46.9     326    27.9      -438 💤 觀望 
6245.TWO        64.00      15.35    43.8     368    31.5      -447 💤 觀望 
3022.TW         58.90     123.21    46.8     334    28.6      -451 💤 觀望 
8271.TW        121.00     267.74    47.1     339    29.0      -456 ✅ 續抱 
3019.TW        133.50     353.69    48.2     334    28.6      -457 💤 觀望 
5222.TW        138.50     184.08    38.1     383    32.8      -459 💤 觀望 
6170.TWO        48.10     308.44    43.6     324    27.8      -460 💤 觀望 
2353.TW         26.90      73.72    45.4     359    30.8      -475 ✅ 續抱 
6133.TW         26.55      15.33    40.2     403    34.5      -481 ✅ 續抱 
3694.TW         58.20     217.60    44.7     314    26.9      -491 💤 觀望 
6138.TWO       223.00     431.16    48.1     316    27.1      -505 💤 觀望 
8114.TW        179.50     189.63    44.3     332    28.4      -516 ✅ 續抱 
3044.TW        378.00     340.15    45.8     326    27.9      -528 💤 觀望 
8183.TWO        37.05     275.85    44.7     349    30.0      -538 ✅ 續抱 
4906.TW         26.90     157.56    48.8     318    27.2      -544 💤 觀望 
6205.TW         53.80     279.40    42.2     313    26.9      -549 ✅ 續抱 
8050.TWO        41.85      26.75    45.7     358    30.7      -561 💤 觀望 
3406.TW        416.00    4003.60    47.1     292    25.0      -567 💤 觀望 
6788.TWO       332.00     261.31    48.3     147    28.3      -571 ✅ 續抱 [⚡爆量]
8016.TW        195.00      94.98    47.8     392    33.6      -572 ✅ 續抱 
2347.TW         70.50      44.77    46.3     351    30.2      -575 ✅ 續抱 
6206.TW         94.40      33.65    45.3     315    27.0      -581 ✅ 續抱 
4966.TWO       524.00     -46.31    44.3     384    32.9      -585 💤 觀望 
3661.TW       3310.00    2561.74    48.0     318    27.2      -586 ✅ 續抱 
8464.TW        376.00      17.29    45.2     350    30.0      -596 💤 觀望 
4961.TW        147.00     861.89    44.8     298    25.5      -601 ✅ 續抱 
6442.TW       1895.00    3587.64    44.8     331    28.6      -604 💤 觀望 
1582.TW         90.50     155.22    48.1     337    29.0      -612 ✅ 續抱 [⚡爆量]
2401.TW         21.65     107.42    44.2     342    29.3      -613 💤 觀望 
2332.TW         16.05       5.73    42.0     346    29.8      -613 ✅ 續抱 [⚡爆量]
6719.TW        173.50     -38.64    42.3     118    29.8      -624 💤 觀望 
6451.TW        190.00     277.72    45.9     303    28.3      -626 ✅ 續抱 
5225.TW         93.70     408.85    44.6     306    26.3      -629 💤 觀望 
7402.TWO       125.00     -18.82    37.8     334    31.0      -630 💤 觀望 
2211.TW        100.00     218.83    48.5     161    27.2      -634 💤 觀望 
6689.TW         70.80     102.87    40.8     201    27.3      -636 ✅ 續抱 
3686.TW         19.20     193.52    39.7     326    27.9      -638 💤 觀望 
5269.TW       1285.00    2279.63    47.5     330    28.3      -640 ✅ 續抱 [⚡爆量]
1442.TW         27.75     194.08    44.1     330    28.4      -645 💤 觀望 
1612.TW         34.80     318.12    44.1     354    30.3      -650 💤 觀望 
6127.TWO        36.95     170.26    42.9     357    30.6      -655 ✅ 續抱 
3413.TW        310.00     946.22    47.7     303    26.0      -655 ✅ 續抱 
2302.TW         18.40     116.08    40.0     354    30.3      -657 💤 觀望 
00663L.TW       62.50      86.50    54.9     223    23.9      -675 ✅ 續抱 
8438.TW         70.80      51.65    25.6     245    21.1      -690 ✅ 續抱 
6672.TW         99.50      88.52    47.0     256    32.7      -694 ✅ 續抱 
9914.TW         70.30     -20.30    44.8     366    31.5      -708 💤 觀望 
00939.TW        15.78       5.34    51.6      68    35.6      -719 💤 觀望 
5203.TW         63.10      84.80    46.9     304    26.1      -722 💤 觀望 
3504.TW         60.50     624.44    45.4     307    26.3      -743 ✅ 續抱 
4541.TWO        44.15      30.89    39.5     324    27.8      -750 💤 觀望 
5439.TWO       270.50    2297.99    48.5     304    26.0      -756 💤 觀望 
6121.TWO       320.50      13.80    45.3     360    30.8      -759 💤 觀望 
00632R.TW       14.12     161.02    41.3     276    25.1      -772 💤 觀望 
6143.TWO       103.50     437.79    46.4     285    24.6      -775 💤 觀望 
3581.TWO        68.40     171.81    40.7     338    29.0      -776 💤 觀望 
3227.TWO       197.00     204.25    45.1     350    30.0      -779 💤 觀望 
3211.TWO       322.00     387.81    46.0     305    26.1      -783 ✅ 續抱 [⚡爆量]
6550.TW         30.60     114.34    41.7     248    25.6      -783 💤 觀望 
00735.TW        67.25     451.20    54.4     183    24.4      -784 ✅ 續抱 
3032.TW         67.70     985.26    47.1     298    25.6      -802 💤 觀望 
2340.TW         25.95     206.74    45.7     308    26.4      -816 ✅ 續抱 
6196.TW        280.50    1561.82    47.5     299    25.6      -832 ✅ 續抱 
2359.TW        119.00     114.71    42.2     354    30.3      -838 💤 觀望 
3008.TW       2380.00      -6.36    44.7     386    33.1      -838 ✅ 續抱 
7712.TWO       105.00     123.04    48.6      45    20.6      -840 ✅ 續抱 
6284.TWO        79.60     260.46    44.9     320    27.4      -852 💤 觀望 
2031.TW         39.05     306.68    44.9     342    29.3      -858 💤 觀望 
5425.TWO        60.10     255.03    47.8     320    27.4      -861 💤 觀望 
9910.TW         90.60      -3.47    45.1     369    31.7      -861 💤 觀望 
6414.TW        273.00      75.44    46.4     356    30.5      -880 💤 觀望 
3217.TWO       157.00     239.11    42.6     365    31.3      -898 ✅ 續抱 
6412.TW         90.30     135.84    45.9     359    30.8      -990 ✅ 續抱 
5314.TWO        79.80     -81.95    39.0     466    40.1     -1015 💤 觀望 
3062.TW         25.25     -38.66    41.7     344    29.5     -1016 💤 觀望 
1229.TW         45.25     473.38    45.0     310    26.7     -1038 ✅ 續抱 [⚡爆量]
6753.TW        139.00     364.19    42.6     132    26.7     -1045 💤 觀望 
4903.TWO        41.00     672.03    41.4     273    23.4     -1052 💤 觀望 
3014.TW        120.50     189.31    46.3     340    29.1     -1089 ✅ 續抱 
6179.TWO        25.00     -28.02    39.0     348    29.9     -1117 💤 觀望 
00980A.TW       16.93      40.90    61.6      15    15.0     -1123 ✅ 續抱 
3689.TWO       106.00     428.21    46.1     294    25.2     -1151 💤 觀望 
00951.TW        14.20      22.20    51.3      42    26.8     -1156 💤 觀望 
00936.TW        17.39      30.80    50.3      60    26.6     -1164 💤 觀望 
2464.TW         67.80     154.35    45.5     302    25.9     -1164 💤 觀望 
2017.TW          9.99     103.95    41.2     343    29.5     -1185 ✅ 續抱 
6592.TW         61.80      39.95    43.8     202    28.4     -1189 ✅ 續抱 
009803.TW       15.66      66.64    55.7      17    17.0     -1189 ✅ 續抱 
00985A.TW       15.95      25.49    58.6      15    15.0     -1192 ✅ 續抱 
6125.TWO        58.80     478.47    44.9     338    29.0     -1195 💤 觀望 
6706.TW        120.00     293.67    45.4     197    28.1     -1197 💤 觀望 
3543.TW         48.45     331.08    41.6     369    31.7     -1216 ✅ 續抱 
8390.TWO        95.40     287.82    44.1     332    28.4     -1234 💤 觀望 
5864.TWO        25.25     137.45    40.3     411    35.3     -1241 ✅ 續抱 
3323.TWO        35.75     193.53    44.5     332    28.5     -1245 💤 觀望 
1519.TW        926.00    1909.65    44.8     340    29.1     -1247 💤 觀望 
1795.TW        268.00     338.23    45.7     312    26.7     -1263 💤 觀望 
9904.TW         30.10     -58.40    45.1     400    34.5     -1285 💤 觀望 
3707.TWO        56.80     821.75    44.8     270    23.1     -1286 ✅ 續抱 
00671R.TW        2.89     -55.89    42.9     223    25.5     -1294 ✅ 續抱 
3081.TWO      1500.00    2029.22    47.2     311    27.7     -1305 ✅ 續抱 [⚡爆量]
6182.TWO        33.75    1034.60    47.0     286    24.5     -1331 💤 觀望 
3034.TW        375.00     227.25    47.4     366    31.4     -1352 💤 觀望 
6446.TW        698.00    1132.25    45.8     306    26.4     -1380 💤 觀望 
6477.TW         37.85       4.15    40.6     359    32.8     -1390 ✅ 續抱 
6830.TW        397.50      93.78    44.6     141    31.8     -1406 ✅ 續抱 
6190.TWO        48.60     114.83    41.9     336    28.8     -1418 💤 觀望 
1307.TW         35.25      70.30    43.1     361    30.9     -1437 ✅ 續抱 [⚡爆量]
3703.TW         22.25     380.43    44.2     314    27.0     -1458 💤 觀望 
2903.TW         22.60      62.54    42.3     386    33.1     -1498 💤 觀望 
3450.TW        282.50     501.55    45.7     355    30.4     -1503 ✅ 續抱 
2413.TW         49.10     139.71    43.5     335    28.7     -1511 ✅ 續抱 
2374.TW         72.10     322.99    42.7     356    30.5     -1520 💤 觀望 
5243.TW         73.30      26.93    45.4     314    26.9     -1552 💤 觀望 
6962.TW         31.95     -38.81    34.9      38    31.2     -1561 💤 觀望 
2481.TW         91.50    1224.15    47.4     321    27.5     -1571 ✅ 續抱 
00642U.TW       21.00     120.89    51.0     279    27.5     -1577 ✅ 續抱 [⚡爆量]
3041.TW         23.45     -43.41    41.3     328    28.1     -1595 💤 觀望 
1503.TW        218.50     321.03    43.6     430    36.8     -1615 💤 觀望 
00924.TW        28.49      62.56    54.5      60    22.4     -1621 💤 觀望 
2451.TW        217.00     109.50    45.1     356    30.5     -1633 💤 觀望 
2387.TW         43.85     127.31    45.8     323    27.8     -1662 ✅ 續抱 
1727.TW         47.50     656.30    42.7     309    26.6     -1662 ✅ 續抱 
1710.TW         13.70     -26.05    44.3     328    28.2     -1670 ✅ 續抱 [⚡爆量]
6112.TW         45.65      45.48    44.4     333    28.6     -1692 ✅ 續抱 
00955.TWO       15.40      36.87    50.0      41    27.3     -1692 💤 觀望 
3035.TW        158.50     161.50    45.5     322    27.6     -1697 💤 觀望 
00900.TW        14.33      68.75    50.3     112    27.6     -1707 💤 觀望 
2376.TW        219.00     225.83    47.4     366    31.4     -1708 💤 觀望 
2328.TW         47.30     182.84    43.8     338    29.1     -1811 💤 觀望 
5905.TWO         8.52      26.32    40.1     340    29.2     -1822 💤 觀望 
00713.TW        52.60     178.92    56.3     213    26.1     -1827 ✅ 續抱 
2360.TW       1375.00     230.75    45.4     381    32.6     -1891 ✅ 續抱 
1309.TW         13.95     227.44    41.9     339    29.2     -1909 ✅ 續抱 [⚡爆量]
2472.TW        113.00     180.84    46.1     328    28.2     -1913 ✅ 續抱 
6806.TW         42.20      38.69    43.5     136    27.0     -1923 💤 觀望 
6919.TW        139.50    1391.14    54.2      52    17.2     -1961 💤 觀望 
1536.TW         55.70     -11.01    43.6     372    31.9     -1985 💤 觀望 
3289.TWO       131.50     439.64    46.1     311    26.6     -1994 💤 觀望 
2104.TW         12.85      77.53    42.4     318    27.2     -1995 ✅ 續抱 
1308.TW         15.00      19.53    43.1     332    28.6     -2006 ✅ 續抱 [⚡爆量]
3260.TWO       287.50    1134.22    48.8     324    27.8     -2074 💤 觀望 
5483.TWO       115.00     892.09    48.9     290    24.8     -2086 💤 觀望 
6244.TWO        33.00     -18.67    41.9     361    30.9     -2094 ✅ 續抱 
8021.TW        234.50    1026.04    47.5     295    25.4     -2113 ✅ 續抱 
4916.TW         61.30     273.56    45.8     324    27.8     -2114 💤 觀望 
3090.TW         92.60     746.06    46.3     292    25.1     -2116 💤 觀望 
6139.TW        526.00    1059.44    46.9     344    29.5     -2135 💤 觀望 
1305.TW         13.25     361.84    46.5     298    25.6     -2150 ✅ 續抱 [⚡爆量]
00891.TW        23.85     139.17    52.6     121    26.2     -2166 ✅ 續抱 
2498.TW         42.95      -5.93    45.2     338    29.0     -2206 💤 觀望 
6213.TW        127.50     394.98    46.5     375    32.1     -2229 ✅ 續抱 
2615.TW         78.60    2617.87    45.5     313    26.9     -2247 ✅ 續抱 
6153.TW         15.55      45.19    45.7     312    26.8     -2276 💤 觀望 
2034.TW         20.20      68.52    43.7     354    30.4     -2322 💤 觀望 
00987A.TW       11.29       0.00     0.0       0     0.0     -2380 💤 觀望 
2388.TW         46.00     311.33    42.2     346    29.6     -2397 💤 觀望 
1304.TW         13.10      41.23    41.8     349    30.0     -2510 ✅ 續抱 [⚡爆量]
2392.TW         37.75     142.17    45.9     316    27.1     -2513 💤 觀望 
2492.TW        134.00     648.74    45.1     334    28.7     -2534 💤 觀望 
00673R.TW       20.30      10.08    47.0     256    28.2     -2535 💤 觀望 
2889.TW         15.85     210.51    42.5     306    26.2     -2609 💤 觀望 
3702.TW         72.00      50.43    47.4     369    31.7     -2638 ✅ 續抱 
6285.TW        166.00      72.35    45.0     348    29.8     -2696 💤 觀望 
00662.TW       102.05     192.88    52.9     238    25.3     -2714 ✅ 續抱 
2489.TW         43.65     205.29    42.6     359    30.8     -2753 ✅ 續抱 
3324.TWO       989.00    5302.02    48.5     296    25.4     -2763 💤 觀望 
1718.TW          7.54       9.86    42.3     364    31.3     -2806 ✅ 續抱 [⚡爆量]
5469.TW         87.80    1048.07    49.3     298    25.6     -2809 💤 觀望 
2208.TW         22.05     -43.94    37.1     364    31.2     -2829 💤 觀望 
3149.TW         51.80     122.73    40.8     310    26.7     -2923 💤 觀望 
2449.TW        284.50     605.42    48.3     340    29.1     -2960 💤 觀望 
00946.TW        10.02      10.57    48.9      54    30.8     -2965 💤 觀望 
3078.TWO        60.40     421.04    47.6     338    29.0     -2970 💤 觀望 
2308.TW       1320.00     202.02    46.7     361    30.9     -2976 ✅ 續抱 
1717.TW         62.80      67.65    43.0     367    31.4     -3031 ✅ 續抱 
5388.TW         79.60     -26.16    44.8     354    30.3     -3044 💤 觀望 
2329.TW         51.60     382.33    43.3     322    27.6     -3103 💤 觀望 
1815.TWO       106.00     492.47    42.7     335    28.7     -3136 ✅ 續抱 
2887I.TW         9.28       0.98    33.3      16    16.0     -3179 💤 觀望 
8096.TWO        61.70     318.81    41.3     336    28.9     -3254 💤 觀望 
6290.TWO       239.50    1234.95    46.6     301    25.8     -3344 ✅ 續抱 
2316.TW         93.00     662.73    45.1     330    28.4     -3579 💤 觀望 
00984B.TWO      16.90       6.31    51.5      25    25.0     -3590 ✅ 續抱 
3645.TW         69.00     700.79    47.0     313    26.9     -3600 ✅ 續抱 
2357.TW        527.00       8.21    46.6     383    32.8     -3617 ✅ 續抱 
00738U.TW       68.60     130.21    49.5     198    26.4     -3661 💤 觀望 
9945.TW         28.50     101.28    46.3     332    28.5     -3668 💤 觀望 
6191.TW         98.00     338.30    46.3     340    29.2     -3773 💤 觀望 
2023.TW         14.90      25.84    42.5     374    32.1     -3789 ✅ 續抱 
2201.TW         29.35     -42.75    41.9     356    30.5     -3823 💤 觀望 
00902.TW        14.00      19.11    47.5      92    23.3     -3824 💤 觀望 
4919.TW         80.30      92.27    47.5     373    32.0     -3834 ✅ 續抱 
2379.TW        463.00     457.92    48.7     346    29.6     -3845 💤 觀望 
2634.TW         54.90      15.85    42.5     355    32.4     -3859 ✅ 續抱 
1101.TW         25.15     101.87    46.4     334    28.6     -4082 💤 觀望 
2421.TW        137.00     319.67    46.6     342    29.3     -4140 💤 觀望 
4123.TWO        48.95     200.05    46.2     317    27.3     -4160 ✅ 續抱 
8150.TW         61.90     161.66    47.7     325    27.8     -4208 ✅ 續抱 
3037.TW        432.00     812.34    47.2     343    29.4     -4216 ✅ 續抱 
00965.TW        26.40      48.81    56.5      31    24.6     -4281 ✅ 續抱 
1312.TW         14.05       0.31    44.8     334    28.6     -4466 ✅ 續抱 [⚡爆量]
2352.TW         23.75     376.77    48.0     320    27.4     -4490 💤 觀望 
2892.TW         29.40      93.66    44.6     350    30.0     -4743 ✅ 續抱 
4977.TW        167.00     254.18    46.9     321    27.5     -4962 ✅ 續抱 
2323.TW         11.05     259.92    43.8     355    30.4     -4964 ✅ 續抱 
1409.TW         15.55      18.94    42.1     370    31.7     -4981 ✅ 續抱 [⚡爆量]
00631L.TW      478.05     925.22    53.9     281    25.6     -5025 ✅ 續抱 
3706.TW         80.80    1240.45    47.7     269    23.0     -5060 ✅ 續抱 
2354.TW         55.20      73.18    45.8     348    29.8     -5255 💤 觀望 
1785.TWO        66.30     303.78    44.7     331    28.4     -5387 ✅ 續抱 [⚡爆量]
1504.TW         72.30      45.62    45.0     386    33.1     -5402 💤 觀望 
00947.TW        22.89      46.85    52.6      44    26.5     -5493 💤 觀望 
5371.TWO        82.30     225.42    45.7     358    30.7     -5664 💤 觀望 
9105.TW          5.74    1158.63    41.3     320    27.4     -5784 💤 觀望 
6016.TWO        16.70     847.11    47.3     271    23.3     -5816 ✅ 續抱 
2884.TW         34.00     173.10    45.9     350    30.0     -6033 💤 觀望 
1513.TW        160.00     410.26    43.1     376    32.2     -6249 💤 觀望 
8033.TW        150.50     109.80    40.2     351    30.1     -6257 ✅ 續抱 
2880.TW         35.20      79.23    44.8     375    32.1     -6483 ✅ 續抱 
1102.TW         34.45      49.33    46.7     356    30.5     -6519 💤 觀望 
6443.TW         48.10     499.20    41.8     291    26.3     -6619 ✅ 續抱 
4927.TW         46.10     397.21    46.1     287    24.6     -6637 ✅ 續抱 
2633.TW         26.50     -22.92    43.2     322    27.6     -6712 💤 觀望 
8358.TWO       258.00    2733.65    45.3     324    27.8     -6975 💤 觀望 
6176.TW        104.00      25.51    44.7     384    33.0     -7103 💤 觀望 
2646.TW         22.00     -10.56    33.3      42    31.6     -7393 💤 觀望 
3596.TW        203.00     413.30    47.0     307    26.4     -7588 ✅ 續抱 
6147.TWO        52.70     -30.34    47.3     368    31.5     -7783 💤 觀望 
2439.TW         82.70      -7.52    44.9     358    30.7     -7920 💤 觀望 
5871.TW        101.00     242.78    46.9     348    29.8     -8194 💤 觀望 
3005.TW        123.00     945.36    49.1     311    26.8     -8414 ✅ 續抱 
5309.TWO        60.00     290.24    43.2     330    28.3     -8422 💤 觀望 
00927.TW        24.40      86.46    56.0      54    20.9     -8615 💤 觀望 
00881.TW        36.39     226.17    55.5     129    25.5     -8897 ✅ 續抱 
1310.TW         10.65      49.09    43.4     337    29.0     -9099 ✅ 續抱 
2890.TW         31.65     108.60    45.8     363    31.1     -9106 ✅ 續抱 
6257.TW        131.00     184.17    48.2     355    30.4     -9243 ✅ 續抱 
1402.TW         29.25     -51.46    44.2     400    34.3     -9252 ✅ 續抱 
4938.TW         71.00     111.68    47.7     348    29.8     -9496 ✅ 續抱 
6116.TW          8.88     272.77    45.3     316    27.1     -9549 ✅ 續抱 
2454.TW       1765.00     314.39    45.6     366    31.4     -9978 💤 觀望 
00990A.TW       11.97       6.85    54.2       3     3.0    -10045 ✅ 續抱 
2327.TW        265.00    2385.91    48.3     316    27.1    -10072 💤 觀望 
2812.TW         20.55     198.45    40.4     332    28.4    -10589 ✅ 續抱 
2406.TW         34.10     197.21    43.5     311    26.6    -10653 ✅ 續抱 
2855.TW         30.05     462.59    45.6     309    26.5    -10934 ✅ 續抱 
6005.TW         30.00     507.48    47.2     307    26.3    -10999 ✅ 續抱 
2027.TW         37.70     304.40    44.3     354    30.4    -11161 ✅ 續抱 
2103.TW         21.00      81.11    46.0     335    28.8    -11172 ✅ 續抱 
8069.TWO       165.00     279.61    46.8     338    29.1    -12173 💤 觀望 
0052.TW         45.60     482.03    52.6     333    28.5    -12381 ✅ 續抱 
2845.TW         12.45      87.53    40.9     350    30.0    -12766 💤 觀望 
3231.TW        130.50     736.22    48.7     320    27.4    -12854 💤 觀望 
00830.TW        55.60     233.28    52.2     188    28.4    -13165 💤 觀望 
2301.TW        159.00      96.72    46.0     360    30.8    -13631 💤 觀望 
4915.TW         75.60     129.61    49.0     342    29.3    -14657 💤 觀望 
