股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
2313.TW,華通,無,244.5,35.44,🟢 黃金標的,50.00%,83.33%,12.16%,-2.36%,6,0.0,0.8333,0.1216
6683.TWO,雍智科技,無,2125.0,68.56,🟢 黃金標的,66.67%,83.33%,32.08%,-0.67%,6,0.0,0.8333,0.3208
1780.TWO,立弘,無,31.0,65.63,🟢 黃金標的,50.00%,83.33%,3.81%,-3.05%,6,0.0,0.8333,0.0381
3037.TW,欣興,無,883.0,80.4,🟢 黃金標的,66.67%,83.33%,13.36%,-3.39%,6,0.0,0.8333,0.1336
6715.TW,嘉基,無,400.5,43.14,🟢 黃金標的,58.33%,83.33%,15.93%,-3.49%,12,0.0,0.8333,0.1593
00917.TW,中信特選金融,無,21.6200008392,55.03,🟢 黃金標的,83.33%,83.33%,8.84%,-1.56%,6,0.0,0.8333,0.0884
8383.TWO,千附,無,62.9000015259,70.24,🟢 黃金標的,72.73%,81.82%,11.89%,-1.15%,11,0.0,0.8182,0.1189
5243.TW,乙盛-KY,無,105.5,37.7,🟢 黃金標的,80.00%,80.00%,19.43%,-5.66%,5,0.0,0.8,0.1943
7815.TWO,新特,無,466.5,58.56,🟢 黃金標的,60.00%,80.00%,12.19%,-6.49%,10,0.0,0.8,0.1219
7792.TWO,安葆,無,355.5,48.52,🟢 黃金標的,30.00%,80.00%,8.70%,-5.89%,10,0.0,0.8,0.087
6532.TWO,瑞耘,無,96.4000015259,62.57,🟢 黃金標的,60.00%,80.00%,5.05%,-3.02%,10,0.0,0.8,0.0505
6902.TW,GOGOLOOK,無,102.5,69.13,🟢 黃金標的,60.00%,80.00%,9.33%,-3.21%,5,0.0,0.8,0.0933
3691.TWO,碩禾,無,118.0,50.0,🟢 黃金標的,80.00%,80.00%,8.29%,-3.13%,5,0.0,0.8,0.0829
7883.TWO,饗賓,無,287.5,96.78,🟢 黃金標的,80.00%,80.00%,4.61%,-3.26%,5,0.0,0.8,0.0461
2249.TWO,湧盛,無,119.0,41.05,🟢 黃金標的,60.00%,80.00%,12.83%,-1.39%,5,0.0,0.8,0.1283
2345.TW,智邦,無,2280.0,71.92,🟢 黃金標的,60.00%,80.00%,3.90%,-3.96%,5,0.0,0.8,0.039
4148.TW,全宇生技-KY,無,36.7999992371,24.68,🟢 黃金標的,40.00%,80.00%,5.05%,-2.45%,5,0.0,0.8,0.0505
6598.TW,ABC-KY,無,21.4500007629,39.62,🟢 黃金標的,60.00%,80.00%,4.74%,-1.32%,5,0.0,0.8,0.0474
2431.TW,聯昌,無,10.8000001907,39.58,🟢 黃金標的,60.00%,80.00%,7.75%,-1.05%,5,0.0,0.8,0.0775
4973.TWO,廣穎,無,83.0999984741,56.18,🟢 黃金標的,70.00%,80.00%,21.05%,-1.43%,10,0.0,0.8,0.2105
1503.TW,士電,無,189.5,55.74,🟢 黃金標的,20.00%,80.00%,4.80%,-4.94%,5,0.0,0.8,0.048
