股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
2731.TW,+1.47%,+1.33%,+0.00%,+0.33%,+0.44%,+0.44%,+0.76%,-0.97%,+1.86%,+9.86%
2380.TW,+3.94%,+0.69%,+3.08%,-1.33%,+1.35%,+1.35%,-3.99%,+0.35%,+3.45%,-1.67%
6206.TW,+0.82%,+1.08%,+0.13%,+2.00%,+0.78%,+0.78%,-2.72%,+0.67%,+0.66%,+0.53%
2852.TW,+3.40%,+0.33%,+0.33%,-0.33%,-0.33%,-0.33%,-0.99%,-0.66%,+1.67%,-0.66%
3026.TW,-0.43%,+0.87%,+1.29%,+0.85%,+0.00%,+0.00%,-1.27%,+0.43%,+0.85%,-0.42%
3617.TW,-0.15%,+0.73%,+0.72%,-0.14%,-0.14%,-0.14%,-0.58%,+0.58%,+0.00%,-0.43%
4576.TW,+3.00%,+1.46%,+0.00%,+0.96%,+0.95%,+0.95%,-1.88%,+0.48%,+0.48%,+0.47%
2338.TW,+4.15%,+1.00%,+0.00%,+2.46%,-0.48%,-0.48%,-3.96%,+0.50%,+4.60%,-1.44%
2501.TW,+0.80%,+0.53%,+0.26%,+0.00%,-0.78%,-0.78%,-0.26%,+0.26%,+0.00%,+0.79%
2597.TW,+4.08%,+0.78%,+0.78%,+0.00%,+0.00%,+0.00%,-0.77%,-0.39%,+0.39%,+2.33%
5907.TW,+1.76%,+0.29%,+2.02%,-0.28%,-0.28%,-0.28%,-0.57%,+0.29%,+0.00%,+0.28%
6792.TW,+4.20%,-0.67%,+2.36%,-2.97%,-1.36%,-1.36%,-4.14%,-1.08%,+1.09%,+0.00%
9908.TW,+0.30%,+0.00%,+0.15%,-0.15%,-0.15%,-0.15%,+0.15%,-0.15%,+0.15%,+0.00%
2855.TW,+1.80%,+0.22%,+0.44%,+0.00%,-0.44%,-0.44%,-2.43%,-0.23%,+0.68%,+0.00%
3032.TW,+1.93%,+0.79%,+1.10%,+0.16%,-0.31%,-0.31%,-1.55%,+0.00%,+0.95%,+0.31%
1477.TW,-2.81%,+0.00%,+4.00%,-2.14%,+1.09%,+1.09%,-2.38%,-0.44%,+1.11%,+0.44%
6505.TW,+1.77%,+0.20%,+0.92%,-0.40%,+0.20%,+0.20%,+0.20%,-1.01%,+0.72%,+0.91%
2405.TW,+1.77%,+0.69%,+3.10%,-1.00%,-1.35%,-1.35%,-3.42%,+2.48%,+1.73%,-1.70%
00752.TW,+1.03%,-1.86%,+3.26%,+1.28%,-0.27%,-0.27%,-1.50%,-1.01%,+1.77%,+0.05%
00878.TW,+1.47%,+0.98%,+0.62%,+0.26%,-0.15%,-0.15%,-0.71%,-0.21%,+0.41%,+0.51%
6754.TW,+1.26%,+0.37%,-0.62%,+0.00%,-0.25%,-0.25%,+0.00%,+0.00%,+0.00%,+0.50%
6477.TW,-2.21%,+5.82%,+0.81%,-1.11%,+1.74%,+1.74%,-4.32%,-0.31%,+2.42%,-0.31%
6742.TW,+0.24%,+0.35%,+8.44%,+0.76%,+2.68%,+2.68%,-0.63%,-1.37%,+0.96%,-4.12%
1340.TW,+0.00%,-0.45%,+0.00%,+0.00%,+0.90%,+0.90%,-0.89%,+0.00%,-0.45%,+0.45%
6770.TW,-1.07%,+2.48%,+0.15%,-1.81%,-1.69%,-1.69%,-3.76%,-1.79%,-1.99%,+0.68%
00655L.TW,-0.76%,-2.86%,+4.63%,-1.51%,+1.67%,+1.67%,-2.42%,-0.51%,+1.74%,+0.55%
2630.TW,+3.23%,+2.27%,-0.28%,+0.28%,-0.28%,-0.28%,-2.51%,+5.14%,+0.54%,+7.03%
2939.TW,+7.14%,+0.00%,-0.53%,+2.82%,-1.03%,-1.03%,-1.21%,-2.11%,+0.72%,-2.49%
3135.TW,-3.27%,+10.27%,-3.94%,+2.51%,-1.22%,-1.22%,+6.42%,-2.86%,+1.31%,-1.29%
2356.TW,+0.79%,+0.39%,+1.37%,+0.19%,-0.39%,-0.39%,-1.55%,-0.79%,+1.98%,+0.58%
6139.TW,+3.93%,+3.45%,+1.11%,+1.10%,-2.02%,-2.02%,-1.59%,+0.32%,+2.09%,-0.16%
1906.TW,+8.53%,+0.00%,-1.23%,+0.00%,-0.75%,-0.75%,-0.75%,+0.00%,+0.51%,+0.50%
1519.TW,+1.33%,+3.29%,+0.64%,+0.13%,-0.76%,-0.76%,-1.91%,-1.30%,+2.37%,-1.16%
2239.TW,+0.87%,+0.00%,-0.12%,+0.99%,-0.73%,-0.73%,-0.74%,+0.50%,+0.12%,-0.74%
1235.TW,+0.11%,+0.11%,-0.46%,+0.92%,-0.11%,-0.11%,-0.11%,+0.23%,-0.23%,+0.23%
8466.TW,+0.39%,+0.20%,+0.00%,-0.39%,-0.79%,-0.79%,-0.89%,+0.10%,+0.80%,+1.19%
1504.TW,+1.37%,+0.51%,+2.85%,-0.98%,+0.00%,+0.00%,-1.15%,-0.67%,+1.34%,+0.33%
6192.TW,+1.50%,+0.13%,+0.67%,+0.13%,+0.00%,+0.00%,-1.74%,-0.27%,+1.91%,-0.53%
2436.TW,+1.15%,+0.34%,+5.44%,-0.54%,+0.54%,+0.54%,-3.01%,-1.00%,+2.24%,+1.75%
2027.TW,+7.71%,+1.16%,+0.94%,+1.13%,-0.10%,-0.10%,+0.00%,-0.31%,-0.51%,+0.21%
00650L.TW,+2.56%,-2.32%,+5.53%,-0.88%,+0.18%,+0.18%,-1.64%,-2.25%,+2.95%,-0.04%
2440.TW,+2.40%,+0.29%,+3.50%,-1.41%,-1.14%,-1.14%,-2.89%,+0.60%,+1.48%,-1.46%
9918.TW,-0.12%,+0.12%,+1.19%,+0.47%,-0.94%,-0.94%,+0.47%,-0.71%,+0.00%,+0.48%
3711.TW,+1.21%,+0.00%,+2.00%,+1.47%,-0.48%,-0.48%,-2.91%,+0.00%,+2.50%,+1.46%
8033.TW,+5.18%,+0.31%,+0.00%,-1.23%,+0.00%,+0.00%,-0.62%,-1.56%,+0.00%,-0.95%
4967.TW,+3.60%,+1.39%,+1.03%,+0.90%,-2.35%,-2.35%,-3.21%,-0.36%,+4.16%,+1.71%
00675L.TW,+2.99%,+1.09%,+1.88%,+1.76%,-0.61%,-0.61%,-2.96%,-0.54%,+3.15%,+0.35%
2467.TW,+2.33%,+3.00%,-0.70%,+0.51%,-0.50%,-0.50%,-1.72%,-0.31%,+1.24%,+0.81%
6782.TW,+0.00%,+3.08%,+0.50%,+2.97%,+0.00%,+0.00%,+3.37%,-6.98%,+2.50%,-2.44%
6215.TW,+2.54%,+1.91%,+1.87%,+0.92%,+1.82%,+1.82%,-4.11%,+0.75%,+2.41%,+0.18%
00711B.TW,-0.84%,-0.58%,-0.37%,+0.16%,-1.01%,-1.01%,-0.32%,-0.48%,-0.16%,+0.70%
3653.TW,+3.08%,-0.50%,+1.25%,+0.00%,-1.36%,-1.36%,-2.63%,+1.03%,+2.54%,-1.86%
6674.TW,+2.33%,+0.33%,+1.14%,-1.12%,-2.11%,-2.11%,-1.33%,+1.34%,+0.66%,+0.49%
8462.TW,+2.43%,+2.37%,+0.00%,+0.00%,+1.93%,+1.93%,+0.38%,-0.38%,+0.00%,+1.89%
00680L.TW,-3.02%,-1.82%,+0.00%,+0.09%,-2.49%,-2.49%,+0.56%,-0.18%,-2.63%,+1.23%
5538.TW,+4.97%,+0.65%,+1.78%,+0.16%,-3.18%,-3.18%,-0.99%,-4.15%,+1.56%,-3.41%
9931.TW,-0.76%,+0.13%,+1.52%,-0.13%,+0.00%,+0.00%,-1.13%,-0.63%,+0.00%,+0.00%
8101.TW,+2.41%,+0.67%,-1.67%,+0.00%,+1.02%,+1.02%,-1.68%,-1.02%,+0.69%,+0.00%
4557.TW,+0.94%,+0.40%,+0.40%,-0.40%,+0.27%,+0.27%,-0.13%,+0.00%,+0.93%,-0.13%
00696B.TWO,-1.01%,-0.85%,+0.07%,+0.02%,-1.10%,-1.10%,+0.17%,-0.02%,-1.29%,+0.68%
7595.TWO,-2.53%,+0.95%,+5.15%,-2.00%,+0.23%,+0.23%,-1.13%,+0.00%,+3.21%,-0.44%
3479.TWO,+3.10%,+0.53%,+0.53%,+0.35%,+0.35%,+0.35%,-0.87%,+0.88%,+0.87%,-0.17%
3171.TWO,+0.49%,-0.49%,+0.49%,-0.49%,+0.00%,+0.00%,+0.00%,+0.00%,+0.24%,+0.00%
4721.TWO,+1.13%,+4.83%,+2.84%,-2.07%,+1.41%,+1.41%,-1.39%,-0.70%,+0.71%,+0.00%
6638.TWO,+3.21%,-1.33%,-2.25%,-2.30%,+0.47%,+0.47%,+1.41%,+0.00%,+0.46%,-5.99%
2758.TWO,+0.40%,+0.40%,+0.39%,+0.00%,+0.39%,+0.39%,-2.34%,+2.40%,-0.78%,-0.79%
3086.TWO,-6.29%,+2.24%,+9.85%,+1.99%,-0.33%,-0.33%,-5.56%,-3.81%,+6.47%,-3.38%
6811.TWO,+1.42%,-0.47%,+0.00%,-0.94%,+0.47%,+0.47%,+0.00%,+0.00%,+0.24%,+0.00%
4544.TWO,+0.00%,+0.00%,+0.00%,+4.55%,-4.35%,-4.35%,+0.00%,+0.00%,+0.00%,+0.91%
4510.TWO,+4.05%,+0.87%,+0.00%,+0.00%,+1.29%,+1.29%,-0.85%,-0.43%,+0.00%,+0.86%
6194.TWO,+0.00%,-0.40%,+0.40%,-0.20%,-0.20%,-0.20%,-0.20%,-0.80%,+0.60%,+0.00%
6124.TWO,+0.00%,+0.80%,+1.00%,+0.00%,+1.98%,+1.98%,-2.13%,-0.40%,+0.60%,-0.40%
4556.TWO,-0.63%,+0.00%,-0.95%,+0.00%,+0.00%,+0.00%,-1.11%,-0.16%,+0.00%,-0.32%
6624.TWO,+2.37%,+0.64%,-0.38%,+2.95%,-4.98%,-4.98%,+6.16%,-2.35%,+1.14%,-1.12%
3081.TWO,+0.51%,+0.51%,-0.51%,+1.02%,-1.01%,-1.01%,-3.30%,+0.26%,+0.26%,-0.26%
6485.TWO,+6.27%,+0.00%,+2.21%,-1.08%,+1.46%,+1.46%,-3.60%,+2.61%,+9.82%,-1.99%
6294.TWO,+0.81%,+1.60%,+0.39%,+0.00%,+0.39%,+0.39%,-0.78%,-1.97%,+0.40%,+0.00%
5403.TWO,+0.88%,+0.15%,-0.15%,+0.00%,-0.44%,-0.44%,-0.73%,+0.15%,+0.44%,-0.29%
6775.TWO,-0.73%,-0.74%,-0.15%,-0.89%,+1.05%,+1.05%,-2.08%,+0.30%,-3.32%,+2.19%
5455.TWO,+0.00%,+0.35%,+4.90%,+6.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%
6113.TWO,+3.88%,+5.22%,+0.00%,-3.19%,-1.10%,-1.10%,-1.48%,+1.88%,+1.85%,+0.36%
3372.TWO,+3.53%,+2.92%,+0.95%,+0.00%,-3.51%,-3.51%,-3.40%,+0.00%,+1.76%,+0.00%
6158.TWO,+0.93%,+0.81%,+9.98%,+1.77%,-2.36%,-2.36%,-7.45%,+0.91%,+2.02%,+5.95%
8433.TWO,+0.00%,-0.22%,+1.66%,+1.63%,-1.07%,-1.07%,-0.22%,-4.23%,+0.57%,+0.00%
3499.TWO,+1.78%,+3.50%,+6.34%,-0.20%,-1.39%,-1.39%,-6.06%,-1.51%,+1.75%,-0.86%
6223.TWO,+2.35%,+1.83%,+1.80%,-0.88%,+1.79%,+1.79%,-3.07%,-0.90%,+1.37%,-1.80%
6261.TWO,+1.22%,+0.85%,+2.28%,-0.35%,-0.71%,-0.71%,-1.66%,+0.36%,+0.96%,-0.59%
3434.TWO,-0.58%,+1.47%,+0.29%,+0.58%,+0.00%,+0.00%,+0.57%,+2.00%,+3.64%,+2.97%
00749B.TWO,-0.97%,-0.80%,-0.34%,+0.49%,-0.47%,-0.47%,-0.34%,-1.23%,+0.11%,+0.74%
6677.TWO,-0.20%,+0.41%,-1.43%,+1.66%,+0.00%,+0.00%,-0.61%,-4.52%,+4.30%,+0.00%
3219.TWO,+5.45%,+0.43%,-3.86%,+3.13%,+4.76%,+4.76%,+5.37%,+1.96%,+5.00%,-6.96%
4951.TWO,+3.23%,+5.11%,+8.78%,+0.62%,-0.74%,-0.74%,+5.85%,+9.40%,-3.11%,-2.77%
4537.TWO,+6.18%,+2.05%,-3.02%,+3.11%,+0.67%,+0.67%,-0.33%,+0.17%,-0.17%,+0.50%
4167.TWO,+2.63%,+1.42%,+2.81%,-0.27%,-1.92%,-1.92%,-1.40%,-0.57%,+0.57%,-1.13%
2743.TWO,+3.48%,+2.52%,-0.20%,+0.62%,+2.65%,+2.65%,+0.40%,+2.97%,+3.85%,+10.00%
6617.TWO,+13.52%,-0.18%,+6.69%,-4.41%,+1.42%,+1.42%,-1.05%,-1.77%,+0.72%,+0.00%
8354.TWO,+0.68%,+0.00%,+0.00%,-1.35%,+1.03%,+1.03%,-1.69%,+0.34%,+0.34%,+0.34%
6818.TWO,+8.46%,+1.38%,+5.83%,-1.88%,+0.36%,+0.36%,-7.74%,+3.61%,-0.37%,+5.37%
4554.TWO,+2.10%,+0.63%,+0.31%,+0.16%,+2.97%,+2.97%,-1.52%,-0.93%,+0.93%,-0.15%
6173.TWO,+2.36%,+1.60%,+1.05%,+0.00%,-0.69%,-0.69%,-1.39%,-0.18%,+2.48%,-0.52%
3224.TWO,+2.68%,+0.37%,+3.72%,-2.51%,-0.18%,-0.18%,-2.03%,-0.56%,-0.95%,+0.00%
8930.TWO,+2.69%,-0.33%,+0.00%,+0.00%,-0.33%,-0.33%,-0.66%,+0.33%,+0.00%,-0.66%
4765.TWO,-0.98%,+0.00%,+1.24%,+3.18%,+1.42%,+1.42%,+0.00%,+0.00%,-0.47%,+0.70%
6842.TWO,+2.90%,+4.01%,+2.82%,-0.10%,-0.61%,-0.61%,-0.72%,+0.10%,+1.75%,-0.30%
4150.TWO,+4.00%,+10.58%,+1.74%,-4.27%,+2.23%,+2.23%,-2.18%,-0.45%,-0.90%,-0.90%
5355.TWO,+2.56%,+0.44%,-0.15%,-0.44%,-0.59%,-0.59%,+0.00%,+1.03%,-0.73%,+0.15%
006201.TWO,-0.23%,+0.23%,+1.58%,+0.87%,-0.23%,-0.23%,-3.31%,+0.85%,+1.40%,-0.32%
3184.TWO,+0.00%,+1.75%,-1.72%,+5.26%,+0.00%,+0.00%,-3.33%,-1.03%,+0.00%,-3.83%
6808.TWO,-1.68%,+2.00%,+0.14%,-0.56%,-2.25%,-2.25%,+2.16%,-0.14%,+5.21%,+2.54%
6735.TWO,+0.96%,-0.96%,+1.29%,+0.00%,-2.86%,-2.86%,+0.00%,+0.00%,-0.33%,-0.33%
3609.TWO,+1.45%,+0.90%,-0.36%,+1.60%,+0.00%,+0.00%,+0.00%,-0.18%,-0.18%,-0.18%
