📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
5543.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -8.43%
6668.TW    | 次數: 1    | 勝率: 100.00% | 累計:    8.44%
3691.TWO   | 次數: 2    | 勝率:  50.00% | 累計:   10.46%
9136.TW    | 次數: 2    | 勝率:  50.00% | 累計:    9.24%
2897.TW    | 次數: 3    | 勝率:  33.33% | 累計:    5.03%
9939.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -2.83%
3592.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -6.17%
4760.TWO   | 次數: 1    | 勝率: 100.00% | 累計:   12.29%
4806.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    4.67%
1718.TW    | 次數: 3    | 勝率:   0.00% | 累計:   -8.21%
6491.TW    | 次數: 1    | 勝率: 100.00% | 累計:    1.89%
00955.TWO  | 次數: 2    | 勝率:  50.00% | 累計:   -4.97%
2484.TW    | 次數: 5    | 勝率:  40.00% | 累計:   26.16%
6829.TWO   | 次數: 3    | 勝率:  66.67% | 累計:   34.43%
6996.TWO   | 次數: 3    | 勝率: 100.00% | 累計:    7.25%
3388.TWO   | 次數: 2    | 勝率:  50.00% | 累計:   40.87%
6166.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -6.90%
6259.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    9.43%
6103.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    8.46%
2102.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -1.50%
3023.TW    | 次數: 3    | 勝率:  33.33% | 累計:    2.18%
2106.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -1.70%
00738U.TW  | 次數: 1    | 勝率:   0.00% | 累計:  -23.83%
6672.TW    | 次數: 3    | 勝率:  33.33% | 累計:   -3.92%
3694.TW    | 次數: 1    | 勝率:   0.00% | 累計:  -13.84%
8048.TWO   | 次數: 2    | 勝率: 100.00% | 累計:    2.12%
2312.TW    | 次數: 2    | 勝率:  50.00% | 累計:    4.17%
