prev_year,symbol,om,prev_rev_yoy,status,rev_yoy,advice,pe,name,prev_eps,date,eps,expansion,price,prev_eps_yoy,eps_yoy,est_price,gm
2025,6756.TW,N/A,-8.83,🚀 利潤擴張,97.11,⚠️ 追價風險,32.442245231617164,威鋒電子,1.11,2026-03,0.64,81.14999999999999,98.3000030518,-50.67,178.26,45.449999999999996,N/A
2025,3546.TWO,20.17%,2.09,🏰 高護城河,62.07,✅ 穩健價值,14.134615384615387,宇峻,1.97,2026-03,2.34,74.29000000000002,73.5,-64.44,136.36,77.99999999999999,89.44%
2025,7823.TW,N/A,22.72,🚀 利潤擴張,26.64,⚪ 數據不足,0.0,奧義賽博-KY創,-1.49,2026-03,-0.15,73.29,80.6999969482,96.29,99.93,0.0,N/A
2025,6169.TWO,N/A,19.25,🌑 雙重衰退,-97.71,⚪ 數據不足,0.0,昱泉,-2.43,2026-03,-0.68,71.78,12.3000001907,-99.18,-25.93,-96.44999999999999,N/A
2025,8354.TWO,N/A,0.63,🚀 利潤擴張,578.38,⚪ 數據不足,0.0,冠好,0.14,2026-03,0.3,71.62,17.2999992371,-91.14,650.0,-17.549999999999997,N/A
2025,4905.TWO,0.20%,22.56,🚀 利潤擴張,315.9,⚪ 中性觀察,17.957895379326317,台聯電,2.76,2026-03,1.75,70.21000000000004,85.3000030518,-5.15,386.11,71.25,25.49%
2025,7828.TWO,N/A,76.4,🚀 利潤擴張,51.84,⚪ 數據不足,0.0,創新服務,6.33,2026-03,1.02,69.89999999999999,2035.0,44.08,121.74,0.0,N/A
2025,2889.TW,38.94%,4.6,🏰 高護城河,58.58,💎 強力關注,10.849673451960784,國票金,0.63,2026-03,0.25,68.69,16.6000003815,3.28,127.27,22.95,90.85%
2025,4137.TW,20.98%,-4.63,🏰 高護城河,40.15,💎 強力關注,4.4982496192590435,麗豐-KY,7.13,2026-03,1.41,67.19999999999999,77.0999984741,24.43,107.35,257.1,82.18%
2025,3632.TWO,3.73%,-28.72,🔄 轉虧為盈,110.52,⚪ 數據不足,0.0,研勤,-0.38,2026-03,0.06,64.48,7.1900000572,-31.03,175.0,-15.3,54.59%
2025,6986.TWO,N/A,2.38,🚀 利潤擴張,42.91,⚪ 數據不足,0.0,和迅,2.43,2026-03,0.6,63.99000000000001,41.2999992371,-24.06,106.9,0.0,N/A
2025,4562.TW,-45.46%,-7.78,🔄 轉虧為盈,111.03,⚪ 數據不足,0.0,穎漢,-1.28,2026-03,0.11,63.97,30.0499992371,-184.44,175.0,-38.1,31.44%
2025,3064.TWO,-55.72%,-29.69,🏰 高護城河,-1.0,⚪ 數據不足,0.0,泰偉,-3.51,2026-03,-0.27,63.5,17.1499996185,-7120.0,62.5,-122.4,93.22%
2025,6005.TW,N/A,12.14,🚀 利潤擴張,171.79,💎 強力關注,4.815634443348083,群益證,2.64,2026-03,1.34,63.21000000000001,32.6500015259,17.33,235.0,101.7,N/A
2025,1533.TW,N/A,19.69,🚀 利潤擴張,438.18,⚠️ 追價風險,46.194030989403,車王電,0.58,2026-03,0.84,61.81999999999999,30.9500007629,152.25,500.0,10.049999999999997,N/A
2025,1904.TW,7.12%,-4.85,🚀 利潤擴張,538.23,⚪ 中性觀察,16.3000005086,正隆,0.74,2026-03,0.56,61.76999999999998,24.4500007629,34.55,600.0,22.5,20.98%
2025,6208.TWO,N/A,-4.59,🚀 利潤擴張,150.03,💎 強力關注,10.026350260092228,日揚,2.52,2026-03,1.9,56.41999999999999,76.0999984741,-26.32,206.45,113.85,N/A
2025,4747.TWO,N/A,-6.81,🚀 利潤擴張,148.33,💎 強力關注,5.238589211618257,強生,1.19,2026-03,1.46,55.839999999999975,25.25,-36.9,204.17,72.30000000000001,N/A
2025,8040.TWO,N/A,2.65,🔄 轉虧為盈,189.01,⚪ 數據不足,0.0,九暘,-0.6,2026-03,0.13,55.43000000000001,79.0,49.15,244.44,-18.45,N/A
2025,4123.TWO,-106.23%,-6.28,🚀 利潤擴張,185.42,💎 強力關注,1.6684961371295282,晟德,12.33,2026-03,2.62,54.05000000000001,30.3999996185,905.92,239.47,273.29999999999995,41.95%
2025,6934.TW,N/A,-29.22,🌑 雙重衰退,-55.48,⚪ 數據不足,0.0,心誠鎂,-3.92,2026-03,-1.43,52.519999999999996,76.8000030518,-48.08,-2.96,0.0,N/A
2025,6574.TWO,N/A,6.51,🚀 利潤擴張,95.63,💎 強力關注,7.066508313539193,霈方,6.82,2026-03,3.29,51.74000000000001,119.0,66.34,147.37,252.6,N/A
2025,7711.TW,N/A,182.72,🚀 利潤擴張,91.93,⚪ 數據不足,0.0,永擎,13.04,2026-03,7.68,47.56,0.0,38.44,139.49,0.0,N/A
2025,3287.TWO,N/A,23.54,🚀 利潤擴張,359.48,⚪ 中性觀察,16.76886756466981,廣寰科,1.5,2026-03,1.01,46.579999999999984,35.5499992371,-36.17,406.06,31.8,N/A
2025,9949.TWO,N/A,-17.0,🚀 利潤擴張,66.65,💎 強力關注,2.4974411073183216,琉園,5.29,2026-03,0.03,45.849999999999994,24.3999996185,544.54,112.5,146.54999999999998,N/A
2025,6620.TWO,N/A,108.17,🚀 利潤擴張,15.93,💎 強力關注,10.791993037423847,漢達,4.85,2026-03,0.46,39.24,124.0,31.64,55.17,172.35,N/A
2025,2388.TW,-8.17%,-40.0,🚀 利潤擴張,264.14,⚪ 數據不足,0.0,威盛,0.12,2026-03,0.08,35.860000000000014,76.0999984741,-93.75,300.0,-30.6,20.64%
2025,3556.TWO,14.95%,1.24,🏰 高護城河,156.04,💎 強力關注,10.293040432765567,禾瑞亞,2.15,2026-03,1.19,34.20000000000002,56.2000007629,-5.7,190.24,81.9,50.66%
2025,7821.TW,N/A,19.28,🚀 利潤擴張,10.24,⚪ 數據不足,0.0,神數,2.99,2026-03,0.87,32.379999999999995,39.6500015259,91.67,42.62,0.0,N/A
2025,2072.TWO,30.89%,15.19,🚀 利潤擴張,6.33,⚪ 數據不足,0.0,未知,7.56,2025-12,11.94,28.590000000000003,0.0,-17.2,34.92,0.0,35.24%
2025,6794.TW,N/A,-5.58,🧐 疑業外收益,-3.86,⚪ 數據不足,0.0,向榮生技,-1.89,2026-03,-0.36,27.259999999999998,75.0,-13.21,23.4,-70.05,N/A
2025,1467.TW,1.90%,2.23,🔄 轉虧為盈,422.96,⚪ 數據不足,0.0,南緯,-0.45,2026-03,0.11,27.04000000000002,8.2100000381,-197.83,450.0,-28.950000000000003,23.39%
2025,7768.TW,N/A,3.08,🚀 利潤擴張,16.63,⚪ 數據不足,0.0,頌勝科技,3.24,2026-03,1.62,26.23,275.5,-27.83,42.86,0.0,N/A
2025,7768.TWO,N/A,3.08,🚀 利潤擴張,16.63,⚪ 數據不足,0.0,未知,3.24,2026-03,1.62,26.23,0.0,-27.83,42.86,0.0,N/A
2025,1623.TW,16.93%,20.5,🚀 利潤擴張,12.42,⚪ 數據不足,0.0,大東電,13.61,2026-03,4.33,25.689999999999998,0.0,11.37,38.11,0.0,21.29%
2025,2885.TW,33.03%,6.4,🏰 高護城河,62.36,💎 強力關注,10.028408874161933,元大金,2.74,2026-03,1.08,20.689999999999998,70.5999984741,-1.08,83.05,105.6,80.00%
2025,5604.TWO,N/A,0.36,🚀 利潤擴張,25.49,✅ 穩健價值,14.147981720672647,中連,0.85,2026-03,0.32,19.960000000000004,31.5499992371,-66.0,45.45,33.45,N/A
2025,6015.TWO,N/A,0.56,🚀 利潤擴張,451.29,💎 強力關注,10.884146574085365,宏遠證,0.76,2026-03,0.89,19.539999999999964,17.8500003815,-11.63,470.83,24.599999999999998,N/A
2025,5202.TWO,N/A,-8.35,🚀 利潤擴張,26.81,⚪ 數據不足,0.0,力新,-0.61,2026-03,-0.19,18.900000000000002,11.8000001907,-134.86,45.71,-30.900000000000002,N/A
2025,2880.TW,45.93%,4.06,🏰 高護城河,22.97,💎 強力關注,9.565678289385595,華南金,1.9,2026-03,0.55,18.060000000000002,45.1500015259,13.1,41.03,70.8,97.25%
2025,3581.TWO,8.13%,13.9,🚀 利潤擴張,216.8,⚠️ 追價風險,162.3076923076923,博磊,0.81,2026-03,0.31,17.97999999999999,105.5,35.0,234.78,9.75,31.93%
2025,2836.TW,32.37%,14.52,🏰 高護城河,16.1,💎 強力關注,7.291666666666666,高雄銀,0.68,2026-03,0.2,17.229999999999997,12.25,28.3,33.33,25.200000000000003,89.95%
2025,4991.TWO,N/A,25.43,🚀 利潤擴張,316.27,⚠️ 追價風險,616.25,環宇-KY,0.15,2026-03,1.67,15.160000000000025,493.0,107.11,331.43,11.999999999999998,N/A
2025,7819.TWO,N/A,10.14,🧐 疑業外收益,-1.82,⚪ 數據不足,0.0,精誠金融,2.91,2026-03,0.42,12.35,34.5,14.12,10.53,0.0,N/A
2025,2883.TW,39.14%,-12.26,🏰 高護城河,22.04,💎 強力關注,9.790026046482941,凱基金,1.74,2026-03,0.69,12.0,37.2999992371,-10.99,34.04,57.14999999999999,78.38%
