prev_rev_yoy,prev_eps_yoy,date,om,advice,prev_year,eps_yoy,name,gm,est_price,symbol,pe,status,eps,prev_eps,price,expansion,rev_yoy
18.23,25.64,2026-03,14.85%,💎 強力關注,2025,728.13,東浦,30.40%,94.05,3290.TWO,7.432216662535885,🚀 利潤擴張,2.65,2.02,46.5999984741,185.43999999999994,542.69
-15.68,-177.27,2026-03,N/A,⚪ 數據不足,2025,550.0,同協,N/A,-7.95,5460.TWO,0.0,🔄 轉虧為盈,0.09,-0.17,16.7000007629,164.05,385.95
32.98,1640.0,2026-03,N/A,⚪ 數據不足,2025,276.67,未知,N/A,0.0,4582.TWO,0.0,🚀 利潤擴張,0.53,1.54,0.0,160.65000000000003,116.02
32.98,1640.0,2026-03,N/A,⚪ 數據不足,2025,276.67,聚恆-創,N/A,0.0,4582.TW,0.0,🚀 利潤擴張,0.53,1.54,22.1499996185,160.65000000000003,116.02
-2.43,-219.05,2026-03,-2.91%,⚪ 數據不足,2025,700.0,鼎元,10.78%,-6.6,2426.TW,0.0,🔄 轉虧為盈,0.06,-0.25,90.8000030518,157.99,542.01
2.69,54.55,2026-03,8.42%,⚪ 數據不足,2025,264.29,圓剛,56.31%,-25.049999999999997,2417.TW,0.0,🔄 轉虧為盈,0.28,-0.19,37.9500007629,156.05,108.24
-4.25,-125.22,2026-03,N/A,⚠️ 追價風險,2025,366.67,成霖,N/A,1.050000000000001,9934.TW,139.28571428571416,🔄 轉虧為盈,0.28,-0.29,9.75,152.34,214.33
7.13,-77.02,2026-03,N/A,⚠️ 追價風險,2025,323.08,六角,N/A,32.250000000000014,2732.TWO,29.02325652367441,🚀 利潤擴張,1.1,1.09,62.4000015259,142.32,180.76
5.8,-38.68,2026-03,N/A,✅ 穩健價值,2025,442.11,醫揚,N/A,96.15,6569.TWO,14.024961236489858,🚀 利潤擴張,1.03,2.88,89.9000015259,134.17000000000002,307.94
17.09,921.74,2026-03,N/A,⚪ 中性觀察,2025,406.45,凌華,N/A,85.05,6166.TW,19.223985890652557,🚀 利潤擴張,1.57,2.35,109.0,133.17000000000002,273.28
82.29,884.75,2026-03,41.27%,⚠️ 追價風險,2025,645.65,聯亞,54.76%,183.0,3081.TWO,219.26229508196724,🏰 高護城河,3.44,4.66,2675.0,130.47000000000003,515.18
-14.96,-20.59,2026-03,N/A,💎 強力關注,2025,228.49,奇偶,N/A,172.05,3356.TW,6.084621066931125,🚀 利潤擴張,2.21,6.21,69.7906036377,115.32000000000001,113.17
-4.81,-84.51,2026-03,N/A,⚪ 數據不足,2025,383.33,美達科技,N/A,-7.200000000000001,6735.TWO,0.0,🚀 利潤擴張,0.29,0.33,59.5,114.74000000000001,268.59
-7.78,-365.71,2026-03,-12.62%,⚪ 數據不足,2025,87.5,益航,102.69%,-33.6,2601.TW,0.0,🏰 高護城河,-0.02,-1.63,6.2300000191,109.06,-21.56
-5.33,-45.51,2026-03,N/A,⚠️ 追價風險,2025,270.0,暉盛-創,N/A,50.699999999999996,7730.TW,50.0,🚀 利潤擴張,0.37,1.73,169.0,108.44,161.56
-16.81,152.83,2026-03,N/A,⚪ 數據不足,2025,163.46,麗嬰房,N/A,-40.05,2911.TW,0.0,🚀 利潤擴張,0.66,2.15,6.3200001717,96.19000000000001,67.27
-7.4,-46.91,2026-03,12.73%,⚠️ 追價風險,2025,150.0,網龍,87.57%,13.05,3083.TWO,25.0,🏰 高護城河,0.3,0.43,21.75,92.64,57.36
14.16,104.41,2026-03,N/A,✅ 穩健價值,2025,1080.0,青松健康,N/A,44.550000000000004,6931.TW,13.2996632996633,🚀 利潤擴張,0.49,1.39,39.5,89.48000000000002,990.52
-18.58,-169.49,2026-03,-21.33%,⚪ 數據不足,2025,575.0,宏佳騰,16.92%,-24.299999999999994,1599.TWO,0.0,🔄 轉虧為盈,0.28,-0.84,23.4500007629,88.79000000000002,486.21
0.19,17.57,2026-03,-58.34%,⚪ 數據不足,2025,166.67,中裕,28.91%,-18.3,4147.TWO,0.0,🔄 轉虧為盈,0.06,-0.61,59.5999984741,84.69999999999999,81.97
-14.02,-51.9,2026-03,13.17%,💎 強力關注,2025,186.6,昭輝,33.66%,97.8,1339.TW,6.549079871610429,🚀 利潤擴張,2.78,2.41,42.7000007629,83.63,102.97
15.32,78.06,2026-03,3.76%,✅ 穩健價值,2025,392.86,偉詮電,30.84%,81.9,2436.TW,12.142857701794872,🚀 利潤擴張,0.7,3.02,66.3000030518,83.04000000000002,309.82
-8.83,-50.67,2026-03,N/A,⚠️ 追價風險,2025,178.26,威鋒電子,N/A,45.449999999999996,6756.TW,30.95709671676568,🚀 利潤擴張,0.64,1.11,93.8000030518,81.14999999999999,97.11
2.09,-64.44,2026-03,20.17%,✅ 穩健價值,2025,136.36,宇峻,89.44%,77.99999999999999,3546.TWO,13.846153846153848,🏰 高護城河,2.34,1.97,72.0,74.29000000000002,62.07
