prev_eps_yoy,symbol,advice,prev_eps,prev_year,price,est_price,rev_yoy,gm,eps_yoy,date,pe,om,expansion,prev_rev_yoy,name,status,eps
-28.32,2408.TW,⚪ 數據不足,-1.45,2025,215.5,-28.5,95.09,49.05%,229.88,2025-12,0.0,39.15%,134.79,32.43,南亞科,🔄 轉虧為盈,2.13
167.46,3709.TWO,💎 強力關注,3.61,2025,82.5,205.50000000000003,44.32,8.09%,178.19,2025-12,6.021897810218977,5.14%,133.87,55.41,鑫聯大投控,🚀 利潤擴張,7.11
65.77,3466.TWO,⚪ 數據不足,-0.81,2025,38.8499984741,-57.45,-72.48,-8.98%,58.98,2025-12,0.0,-223.66%,131.46,-68.41,德晉,🧐 疑業外收益,-1.11
884.75,3081.TWO,⚠️ 追價風險,4.66,2025,2640.0,183.0,515.18,54.76%,645.65,2026-03,216.39344262295083,41.27%,130.47000000000003,82.29,聯亞,🏰 高護城河,3.44
16.25,4934.TW,⚪ 數據不足,-0.67,2025,15.8999996185,-35.85,-75.71,-156.07%,54.11,2025-12,0.0,-456.27%,129.82,-81.44,太極,🧐 疑業外收益,-0.95
139.38,2607.TW,💎 強力關注,2.72,2025,47.4500007629,130.35,-19.52,18.52%,108.46,2025-12,5.460299282266973,6.32%,127.97999999999999,-19.69,榮運,🧐 疑業外收益,3.56
103.38,5386.TWO,⚠️ 追價風險,3.03,2025,379.0,229.49999999999997,32.59,N/A,159.21,2025-12,24.77124183006536,N/A,126.62,12.38,青雲,🚀 利潤擴張,8.61
128.3,6021.TWO,💎 強力關注,2.46,2025,33.0499992371,66.44999999999999,35.14,N/A,161.27,2025-12,7.460496441783297,N/A,126.13000000000001,13.11,美好證,🚀 利潤擴張,3.76
147.47,3540.TWO,⚪ 數據不足,0.47,2025,0.0,0.0,29.09,27.46%,155.22,2025-12,0.0,-3.44%,126.13,30.74,曜越,🚀 利潤擴張,0.74
130.34,8473.TW,💎 強力關注,2.05,2025,35.9000015259,105.44999999999999,51.31,N/A,177.17,2025-12,5.1066858500569,N/A,125.85999999999999,62.88,山林水,🚀 利潤擴張,2.55
