expansion,eps_yoy,date,om,prev_eps,est_price,pe,symbol,prev_year,prev_rev_yoy,gm,name,eps,status,advice,prev_eps_yoy,price,rev_yoy
92.64,150.0,2026-03,12.73%,0.43,13.05,26.83908089827586,3083.TWO,2025,-7.4,87.57%,網龍,0.3,🏰 高護城河,⚠️ 追價風險,-46.91,23.3500003815,57.36
89.48000000000002,1080.0,2026-03,N/A,1.39,44.550000000000004,13.939394453164983,6931.TW,2025,14.16,N/A,青松健康,0.49,🚀 利潤擴張,✅ 穩健價值,104.41,41.4000015259,990.52
88.79000000000002,575.0,2026-03,-21.33%,-0.84,-24.299999999999994,0.0,1599.TWO,2025,-18.58,16.92%,宏佳騰,0.28,🔄 轉虧為盈,⚪ 數據不足,-169.49,23.1000003815,486.21
84.69999999999999,166.67,2026-03,-58.34%,-0.61,-18.3,0.0,4147.TWO,2025,0.19,28.91%,中裕,0.06,🔄 轉虧為盈,⚪ 數據不足,17.57,64.0999984741,81.97
83.63,186.6,2026-03,13.17%,2.41,97.8,6.641104177469326,1339.TW,2025,-14.02,33.66%,昭輝,2.78,🚀 利潤擴張,💎 強力關注,-51.9,43.2999992371,102.97
83.04000000000002,392.86,2026-03,3.76%,3.02,81.9,12.362637362637363,2436.TW,2025,15.32,30.84%,偉詮電,0.7,🚀 利潤擴張,✅ 穩健價值,78.06,67.5,309.82
81.14999999999999,178.26,2026-03,N/A,1.11,45.449999999999996,33.00330033003301,6756.TW,2025,-8.83,N/A,威鋒電子,0.64,🚀 利潤擴張,⚠️ 追價風險,-50.67,100.0,97.11
74.29000000000002,136.36,2026-03,20.17%,1.97,77.99999999999999,13.807692894576926,3546.TWO,2025,2.09,89.44%,宇峻,2.34,🏰 高護城河,✅ 穩健價值,-64.44,71.8000030518,62.07
73.29,99.93,2026-03,N/A,-1.49,0.0,0.0,7823.TW,2025,22.72,N/A,奧義賽博-KY創,-0.15,🚀 利潤擴張,⚪ 數據不足,96.29,83.4000015259,26.64
71.78,-25.93,2026-03,N/A,-2.43,-96.44999999999999,0.0,6169.TWO,2025,19.25,N/A,昱泉,-0.68,🌑 雙重衰退,⚪ 數據不足,-99.18,12.6499996185,-97.71
71.62,650.0,2026-03,N/A,0.14,-17.549999999999997,0.0,8354.TWO,2025,0.63,N/A,冠好,0.3,🚀 利潤擴張,⚪ 數據不足,-91.14,17.25,578.38
70.21000000000004,386.11,2026-03,0.20%,2.76,71.25,18.968420731389475,4905.TWO,2025,22.56,25.49%,台聯電,1.75,🚀 利潤擴張,⚪ 中性觀察,-5.15,90.0999984741,315.9
69.89999999999999,121.74,2026-03,N/A,6.33,0.0,0.0,7828.TWO,2025,76.4,N/A,創新服務,1.02,🚀 利潤擴張,⚪ 數據不足,44.08,1800.0,51.84
68.69,127.27,2026-03,38.94%,0.63,22.95,10.392156613398694,2889.TW,2025,4.6,90.85%,國票金,0.25,🏰 高護城河,💎 強力關注,3.28,15.8999996185,58.58
67.19999999999999,107.35,2026-03,20.98%,7.13,257.1,5.01166870046091,4137.TW,2025,-4.63,82.18%,麗豐-KY,1.41,🏰 高護城河,💎 強力關注,24.43,85.9000015259,40.15
64.48,175.0,2026-03,3.73%,-0.38,-15.3,0.0,3632.TWO,2025,-28.72,54.59%,研勤,0.06,🔄 轉虧為盈,⚪ 數據不足,-31.03,7.4899997711,110.52
63.99000000000001,106.9,2026-03,N/A,2.43,0.0,0.0,6986.TWO,2025,2.38,N/A,和迅,0.6,🚀 利潤擴張,⚪ 數據不足,-24.06,41.5999984741,42.91
63.97,175.0,2026-03,-45.46%,-1.28,-38.1,0.0,4562.TW,2025,-7.78,31.44%,穎漢,0.11,🔄 轉虧為盈,⚪ 數據不足,-184.44,31.6499996185,111.03
63.5,62.5,2026-03,-55.72%,-3.51,0.0,0.0,3064.TWO,2025,-29.69,93.22%,泰偉,-0.27,🏰 高護城河,⚪ 數據不足,-7120.0,0.0,-1.0
63.21000000000001,235.0,2026-03,N/A,2.64,101.7,4.638643180368732,6005.TW,2025,12.14,N/A,群益證,1.34,🚀 利潤擴張,💎 強力關注,17.33,31.4500007629,171.79
61.81999999999999,500.0,2026-03,N/A,0.58,10.049999999999997,48.059702631194035,1533.TW,2025,19.69,N/A,車王電,0.84,🚀 利潤擴張,⚠️ 追價風險,152.25,32.2000007629,438.18
61.76999999999998,600.0,2026-03,7.12%,0.74,22.5,16.766666412333333,1904.TW,2025,-4.85,20.98%,正隆,0.56,🚀 利潤擴張,⚪ 中性觀察,34.55,25.1499996185,538.23
56.41999999999999,206.45,2026-03,N/A,2.52,113.85,10.895915276442688,6208.TWO,2025,-4.59,N/A,日揚,1.9,🚀 利潤擴張,💎 強力關注,-26.32,82.6999969482,150.03
55.839999999999975,204.17,2026-03,N/A,1.19,0.0,0.0,4747.TWO,2025,-6.81,N/A,強生,1.46,🚀 利潤擴張,⚪ 數據不足,-36.9,0.0,148.33
55.43000000000001,244.44,2026-03,N/A,-0.6,-18.45,0.0,8040.TWO,2025,2.65,N/A,九暘,0.13,🔄 轉虧為盈,⚪ 數據不足,49.15,72.3000030518,189.01
54.05000000000001,239.47,2026-03,-106.23%,12.33,273.29999999999995,1.7398463645938531,4123.TWO,2025,-6.28,41.95%,晟德,2.62,🚀 利潤擴張,💎 強力關注,905.92,31.7000007629,185.42
52.519999999999996,-2.96,2026-03,N/A,-3.92,0.0,0.0,6934.TW,2025,-29.22,N/A,心誠鎂,-1.43,🌑 雙重衰退,⚪ 數據不足,-48.08,74.0999984741,-55.48
51.74000000000001,147.37,2026-03,N/A,6.82,252.6,7.155581947743468,6574.TWO,2025,6.51,N/A,霈方,3.29,🚀 利潤擴張,💎 強力關注,66.34,120.5,95.63
47.56,139.49,2026-03,N/A,13.04,0.0,0.0,7711.TW,2025,182.72,N/A,永擎,7.68,🚀 利潤擴張,⚪ 數據不足,38.44,0.0,91.93
46.579999999999984,406.06,2026-03,N/A,1.5,31.8,18.113208266933963,3287.TWO,2025,23.54,N/A,廣寰科,1.01,🚀 利潤擴張,⚪ 中性觀察,-36.17,38.4000015259,359.48
45.849999999999994,112.5,2026-03,N/A,5.29,146.54999999999998,2.5588536335721597,9949.TWO,2025,-17.0,N/A,琉園,0.03,🚀 利潤擴張,💎 強力關注,544.54,25.0,66.65
39.24,55.17,2026-03,N/A,4.85,172.35,7.354221061792863,6620.TWO,2025,108.17,N/A,漢達,0.46,🚀 利潤擴張,💎 強力關注,31.64,84.5,15.93
35.860000000000014,300.0,2026-03,-8.17%,0.12,-30.6,0.0,2388.TW,2025,-40.0,20.64%,威盛,0.08,🚀 利潤擴張,⚪ 數據不足,-93.75,73.3000030518,264.14
34.20000000000002,190.24,2026-03,14.95%,2.15,81.9,11.520146799615386,3556.TWO,2025,1.24,50.66%,禾瑞亞,1.19,🏰 高護城河,💎 強力關注,-5.7,62.9000015259,156.04
32.379999999999995,42.62,2026-03,N/A,2.99,0.0,0.0,7821.TW,2025,19.28,N/A,神數,0.87,🚀 利潤擴張,⚪ 數據不足,91.67,39.0499992371,10.24
28.590000000000003,34.92,2025-12,30.89%,7.56,0.0,0.0,2072.TWO,2025,15.19,35.24%,未知,11.94,🚀 利潤擴張,⚪ 數據不足,-17.2,0.0,6.33
27.259999999999998,23.4,2026-03,N/A,-1.89,-70.05,0.0,6794.TW,2025,-5.58,N/A,向榮生技,-0.36,🧐 疑業外收益,⚪ 數據不足,-13.21,78.1999969482,-3.86
27.04000000000002,450.0,2026-03,1.90%,-0.45,-28.950000000000003,0.0,1467.TW,2025,2.23,23.39%,南緯,0.11,🔄 轉虧為盈,⚪ 數據不足,-197.83,8.279999733,422.96
26.23,42.86,2026-03,N/A,3.24,0.0,0.0,7768.TW,2025,3.08,N/A,頌勝科技,1.62,🚀 利潤擴張,⚪ 數據不足,-27.83,290.5,16.63
26.23,42.86,2026-03,N/A,3.24,0.0,0.0,7768.TWO,2025,3.08,N/A,未知,1.62,🚀 利潤擴張,⚪ 數據不足,-27.83,0.0,16.63
25.689999999999998,38.11,2026-03,16.93%,13.61,0.0,0.0,1623.TW,2025,20.5,21.29%,大東電,4.33,🚀 利潤擴張,⚪ 數據不足,11.37,0.0,12.42
20.689999999999998,83.05,2026-03,33.03%,2.74,105.6,9.090909090909092,2885.TW,2025,6.4,80.00%,元大金,1.08,🏰 高護城河,💎 強力關注,-1.08,64.0,62.36
19.960000000000004,45.45,2026-03,N/A,0.85,33.45,13.789237668161435,5604.TWO,2025,0.36,N/A,中連,0.32,🚀 利潤擴張,✅ 穩健價值,-66.0,30.75,25.49
19.539999999999964,470.83,2026-03,N/A,0.76,24.599999999999998,9.99999976737805,6015.TWO,2025,0.56,N/A,宏遠證,0.89,🚀 利潤擴張,💎 強力關注,-11.63,16.3999996185,451.29
18.900000000000002,45.71,2026-03,N/A,-0.61,-30.900000000000002,0.0,5202.TWO,2025,-8.35,N/A,力新,-0.19,🚀 利潤擴張,⚪ 數據不足,-134.86,11.8999996185,26.81
