prev_rev_yoy,eps_yoy,rev_yoy,gm,prev_eps_yoy,pe,expansion,prev_eps,prev_year,status,price,name,advice,symbol,date,est_price,eps,om
3.55,213.33,26.54,19.34%,-80.0,0.0,186.79000000000002,0.08,2025,🚀 利潤擴張,22.1499996185,聯嘉投控,⚪ 數據不足,3717.TW,2026-03,0.0,0.47,7.12%
-10.9,266.67,80.73,N/A,-280.2,0.0,185.94,-1.82,2025,🔄 轉虧為盈,52.0,巨虹,⚪ 數據不足,8084.TWO,2026-03,-43.199999999999996,0.33,N/A
18.23,728.13,542.69,30.40%,25.64,8.46889927816587,185.43999999999994,2.02,2025,🚀 利潤擴張,53.0999984741,東浦,💎 強力關注,3290.TWO,2026-03,94.05,2.65,14.85%
-15.68,550.0,385.95,N/A,-177.27,0.0,164.05,-0.17,2025,🔄 轉虧為盈,15.6499996185,同協,⚪ 數據不足,5460.TWO,2026-03,-7.95,0.09,N/A
32.98,276.67,116.02,N/A,1640.0,0.0,160.65000000000003,1.54,2025,🚀 利潤擴張,0.0,未知,⚪ 數據不足,4582.TWO,2026-03,0.0,0.53,N/A
32.98,276.67,116.02,N/A,1640.0,0.0,160.65000000000003,1.54,2025,🚀 利潤擴張,24.5499992371,聚恆-創,⚪ 數據不足,4582.TW,2026-03,0.0,0.53,N/A
-2.43,700.0,542.01,10.78%,-219.05,0.0,157.99,-0.25,2025,🔄 轉虧為盈,73.1999969482,鼎元,⚪ 數據不足,2426.TW,2026-03,-6.6,0.06,-2.91%
2.69,264.29,108.24,56.31%,54.55,0.0,156.05,-0.19,2025,🔄 轉虧為盈,45.0499992371,圓剛,⚪ 數據不足,2417.TW,2026-03,-25.049999999999997,0.28,8.42%
-4.25,366.67,214.33,N/A,-125.22,161.428574152857,152.34,-0.29,2025,🔄 轉虧為盈,11.3000001907,成霖,⚠️ 追價風險,9934.TW,2026-03,1.050000000000001,0.28,N/A
7.13,323.08,180.76,N/A,-77.02,29.53488372093022,142.32,1.09,2025,🚀 利潤擴張,63.5,六角,⚠️ 追價風險,2732.TWO,2026-03,32.250000000000014,1.1,N/A
5.8,442.11,307.94,N/A,-38.68,14.430577223088923,134.17000000000002,2.88,2025,🚀 利潤擴張,92.5,醫揚,✅ 穩健價值,6569.TWO,2026-03,96.15,1.03,N/A
17.09,406.45,273.28,N/A,921.74,22.57495590828924,133.17000000000002,2.35,2025,🚀 利潤擴張,128.0,凌華,⚠️ 追價風險,6166.TW,2026-03,85.05,1.57,N/A
82.29,645.65,515.18,54.76%,884.75,228.68852459016395,130.47000000000003,4.66,2025,🏰 高護城河,2790.0,聯亞,⚠️ 追價風險,3081.TWO,2026-03,183.0,3.44,41.27%
-14.96,228.49,113.17,N/A,-20.59,5.675675542641674,115.32000000000001,6.21,2025,🚀 利潤擴張,65.0999984741,奇偶,💎 強力關注,3356.TW,2026-03,172.05,2.21,N/A
-4.81,383.33,268.59,N/A,-84.51,0.0,114.74000000000001,0.33,2025,🚀 利潤擴張,64.3000030518,美達科技,⚪ 數據不足,6735.TWO,2026-03,-7.200000000000001,0.29,N/A
-7.78,87.5,-21.56,102.69%,-365.71,0.0,109.06,-1.63,2025,🏰 高護城河,6.1999998093,益航,⚪ 數據不足,2601.TW,2026-03,-33.6,-0.02,-12.62%
-5.33,270.0,161.56,N/A,-45.51,51.18343195266272,108.44,1.73,2025,🚀 利潤擴張,173.0,暉盛-創,⚠️ 追價風險,7730.TW,2026-03,50.699999999999996,0.37,N/A
-16.81,163.46,67.27,N/A,152.83,0.0,96.19000000000001,2.15,2025,🚀 利潤擴張,6.7899999619,麗嬰房,⚪ 數據不足,2911.TW,2026-03,-40.05,0.66,N/A
-7.4,150.0,57.36,87.57%,-46.91,26.666667543563218,92.64,0.43,2025,🏰 高護城河,23.2000007629,網龍,⚠️ 追價風險,3083.TWO,2026-03,13.05,0.3,12.73%
14.16,1080.0,990.52,N/A,104.41,14.12457938144781,89.48000000000002,1.39,2025,🚀 利潤擴張,41.9500007629,青松健康,✅ 穩健價值,6931.TW,2026-03,44.550000000000004,0.49,N/A
-18.58,575.0,486.21,16.92%,-169.49,0.0,88.79000000000002,-0.84,2025,🔄 轉虧為盈,23.3500003815,宏佳騰,⚪ 數據不足,1599.TWO,2026-03,-24.299999999999994,0.28,-21.33%
0.19,166.67,81.97,28.91%,17.57,0.0,84.69999999999999,-0.61,2025,🔄 轉虧為盈,61.5999984741,中裕,⚪ 數據不足,4147.TWO,2026-03,-18.3,0.06,-58.34%
-14.02,186.6,102.97,33.66%,-51.9,6.9478526437269945,83.63,2.41,2025,🚀 利潤擴張,45.2999992371,昭輝,💎 強力關注,1339.TW,2026-03,97.8,2.78,13.17%
15.32,392.86,309.82,30.84%,78.06,12.161172440641025,83.04000000000002,3.02,2025,🚀 利潤擴張,66.4000015259,偉詮電,✅ 穩健價值,2436.TW,2026-03,81.9,0.7,3.76%
-8.83,178.26,97.11,N/A,-50.67,33.16831683168317,81.14999999999999,1.11,2025,🚀 利潤擴張,100.5,威鋒電子,⚠️ 追價風險,6756.TW,2026-03,45.449999999999996,0.64,N/A
2.09,136.36,62.07,89.44%,-64.44,13.86538432194231,74.29000000000002,1.97,2025,🏰 高護城河,72.0999984741,宇峻,✅ 穩健價值,3546.TWO,2026-03,77.99999999999999,2.34,20.17%
22.72,99.93,26.64,N/A,96.29,0.0,73.29,-1.49,2025,🚀 利潤擴張,84.4000015259,奧義賽博-KY創,⚪ 數據不足,7823.TW,2026-03,0.0,-0.15,N/A
19.25,-25.93,-97.71,N/A,-99.18,0.0,71.78,-2.43,2025,🌑 雙重衰退,12.8999996185,昱泉,⚪ 數據不足,6169.TWO,2026-03,-96.44999999999999,-0.68,N/A
0.63,650.0,578.38,N/A,-91.14,0.0,71.62,0.14,2025,🚀 利潤擴張,17.5499992371,冠好,⚪ 數據不足,8354.TWO,2026-03,-17.549999999999997,0.3,N/A
22.56,386.11,315.9,25.49%,-5.15,19.599999678757897,70.21000000000004,2.76,2025,🚀 利潤擴張,93.0999984741,台聯電,⚪ 中性觀察,4905.TWO,2026-03,71.25,1.75,0.20%
76.4,121.74,51.84,N/A,44.08,0.0,69.89999999999999,6.33,2025,🚀 利潤擴張,1725.0,創新服務,⚪ 數據不足,7828.TWO,2026-03,0.0,1.02,N/A
4.6,127.27,58.58,90.85%,3.28,10.228757920588235,68.69,0.63,2025,🏰 高護城河,15.6499996185,國票金,💎 強力關注,2889.TW,2026-03,22.95,0.25,38.94%
-4.63,107.35,40.15,82.18%,24.43,5.274212457753792,67.19999999999999,7.13,2025,🏰 高護城河,90.4000015259,麗豐-KY,💎 強力關注,4137.TW,2026-03,257.1,1.41,20.98%
-28.72,175.0,110.52,54.59%,-31.03,0.0,64.48,-0.38,2025,🔄 轉虧為盈,7.3000001907,研勤,⚪ 數據不足,3632.TWO,2026-03,-15.3,0.06,3.73%
2.38,106.9,42.91,N/A,-24.06,0.0,63.99000000000001,2.43,2025,🚀 利潤擴張,43.0,和迅,⚪ 數據不足,6986.TWO,2026-03,0.0,0.6,N/A
-7.78,175.0,111.03,31.44%,-184.44,0.0,63.97,-1.28,2025,🔄 轉虧為盈,32.8499984741,穎漢,⚪ 數據不足,4562.TW,2026-03,-38.1,0.11,-45.46%
-29.69,62.5,-1.0,93.22%,-7120.0,0.0,63.5,-3.51,2025,🏰 高護城河,19.6000003815,泰偉,⚪ 數據不足,3064.TWO,2026-03,-122.4,-0.27,-55.72%
12.14,235.0,171.79,N/A,17.33,4.505899592492625,63.21000000000001,2.64,2025,🚀 利潤擴張,30.5499992371,群益證,💎 強力關注,6005.TW,2026-03,101.7,1.34,N/A
19.69,500.0,438.18,N/A,152.25,47.01492537313434,61.81999999999999,0.58,2025,🚀 利潤擴張,31.5,車王電,⚠️ 追價風險,1533.TW,2026-03,10.049999999999997,0.84,N/A
-4.85,600.0,538.23,20.98%,34.55,16.533332824733332,61.76999999999998,0.74,2025,🚀 利潤擴張,24.7999992371,正隆,⚪ 中性觀察,1904.TW,2026-03,22.5,0.56,7.12%
-4.59,206.45,150.03,N/A,-26.32,10.790514035032938,56.41999999999999,2.52,2025,🚀 利潤擴張,81.9000015259,日揚,💎 強力關注,6208.TWO,2026-03,113.85,1.9,N/A
-6.81,204.17,148.33,N/A,-36.9,11.037344556618256,55.839999999999975,1.19,2025,🚀 利潤擴張,53.2000007629,強生,💎 強力關注,4747.TWO,2026-03,72.30000000000001,1.46,N/A
2.65,244.44,189.01,N/A,49.15,0.0,55.43000000000001,-0.6,2025,🔄 轉虧為盈,73.0,九暘,⚪ 數據不足,8040.TWO,2026-03,-18.45,0.13,N/A
-6.28,239.47,185.42,41.95%,905.92,1.7480790549670693,54.05000000000001,12.33,2025,🚀 利潤擴張,31.8500003815,晟德,💎 強力關注,4123.TWO,2026-03,273.29999999999995,2.62,-106.23%
-29.22,-2.96,-55.48,N/A,-48.08,0.0,52.519999999999996,-3.92,2025,🌑 雙重衰退,72.6999969482,心誠鎂,⚪ 數據不足,6934.TW,2026-03,0.0,-1.43,N/A
6.51,147.37,95.63,N/A,66.34,7.422802850356295,51.74000000000001,6.82,2025,🚀 利潤擴張,125.0,霈方,💎 強力關注,6574.TWO,2026-03,252.6,3.29,N/A
182.72,139.49,91.93,N/A,38.44,0.0,47.56,13.04,2025,🚀 利潤擴張,0.0,永擎,⚪ 數據不足,7711.TW,2026-03,0.0,7.68,N/A
23.54,406.06,359.48,N/A,-36.17,17.73584833683962,46.579999999999984,1.5,2025,🚀 利潤擴張,37.5999984741,廣寰科,⚪ 中性觀察,3287.TWO,2026-03,31.8,1.01,N/A
-17.0,112.5,66.65,N/A,544.54,2.4513818590481065,45.849999999999994,5.29,2025,🚀 利潤擴張,23.9500007629,琉園,💎 強力關注,9949.TWO,2026-03,146.54999999999998,0.03,N/A
108.17,55.17,15.93,N/A,31.64,6.718885722210618,39.24,4.85,2025,🚀 利潤擴張,77.1999969482,漢達,💎 強力關注,6620.TWO,2026-03,172.35,0.46,N/A
-40.0,300.0,264.14,20.64%,-93.75,0.0,35.860000000000014,0.12,2025,🚀 利潤擴張,79.3000030518,威盛,⚪ 數據不足,2388.TW,2026-03,-30.6,0.08,-8.17%
1.24,190.24,156.04,50.66%,-5.7,11.666666806391941,34.20000000000002,2.15,2025,🏰 高護城河,63.7000007629,禾瑞亞,💎 強力關注,3556.TWO,2026-03,81.9,1.19,14.95%
19.28,42.62,10.24,N/A,91.67,0.0,32.379999999999995,2.99,2025,🚀 利潤擴張,39.4500007629,神數,⚪ 數據不足,7821.TW,2026-03,0.0,0.87,N/A
15.19,34.92,6.33,35.24%,-17.2,0.0,28.590000000000003,7.56,2025,🚀 利潤擴張,0.0,未知,⚪ 數據不足,2072.TWO,2025-12,0.0,11.94,30.89%
-5.58,23.4,-3.86,N/A,-13.21,0.0,27.259999999999998,-1.89,2025,🧐 疑業外收益,68.8000030518,向榮生技,⚪ 數據不足,6794.TW,2026-03,-70.05,-0.36,N/A
2.23,450.0,422.96,23.39%,-197.83,0.0,27.04000000000002,-0.45,2025,🔄 轉虧為盈,8.470000267,南緯,⚪ 數據不足,1467.TW,2026-03,-28.950000000000003,0.11,1.90%
3.08,42.86,16.63,N/A,-27.83,0.0,26.23,3.24,2025,🚀 利潤擴張,272.5,頌勝科技,⚪ 數據不足,7768.TW,2026-03,0.0,1.62,N/A
3.08,42.86,16.63,N/A,-27.83,0.0,26.23,3.24,2025,🚀 利潤擴張,0.0,未知,⚪ 數據不足,7768.TWO,2026-03,0.0,1.62,N/A
20.5,38.11,12.42,21.29%,11.37,0.0,25.689999999999998,13.61,2025,🚀 利潤擴張,0.0,大東電,⚪ 數據不足,1623.TW,2026-03,0.0,4.33,16.93%
6.4,83.05,62.36,80.00%,-1.08,9.701704978948865,20.689999999999998,2.74,2025,🏰 高護城河,68.3000030518,元大金,💎 強力關注,2885.TW,2026-03,105.6,1.08,33.03%
0.36,45.45,25.49,N/A,-66.0,13.811658850717489,19.960000000000004,0.85,2025,🚀 利潤擴張,30.7999992371,中連,✅ 穩健價值,5604.TWO,2026-03,33.45,0.32,N/A
0.56,470.83,451.29,N/A,-11.63,9.725609639817073,19.539999999999964,0.76,2025,🚀 利潤擴張,15.9499998093,宏遠證,💎 強力關注,6015.TWO,2026-03,24.599999999999998,0.89,N/A
-8.35,45.71,26.81,N/A,-134.86,0.0,18.900000000000002,-0.61,2025,🚀 利潤擴張,11.9499998093,力新,⚪ 數據不足,5202.TWO,2026-03,-30.900000000000002,-0.19,N/A
4.06,41.03,22.97,97.25%,13.1,8.305084907394068,18.060000000000002,1.9,2025,🏰 高護城河,39.2000007629,華南金,💎 強力關注,2880.TW,2026-03,70.8,0.55,45.93%
13.9,234.78,216.8,31.93%,35.0,173.84615384615384,17.97999999999999,0.81,2025,🚀 利潤擴張,113.0,博磊,⚠️ 追價風險,3581.TWO,2026-03,9.75,0.31,8.13%
14.52,33.33,16.1,89.95%,28.3,7.202381179464284,17.229999999999997,0.68,2025,🏰 高護城河,12.1000003815,高雄銀,💎 強力關注,2836.TW,2026-03,25.200000000000003,0.2,32.37%
25.43,331.43,316.27,N/A,107.11,610.0,15.160000000000025,0.15,2025,🚀 利潤擴張,488.0,環宇-KY,⚠️ 追價風險,4991.TWO,2026-03,11.999999999999998,1.67,N/A
10.14,10.53,-1.82,N/A,14.12,0.0,12.35,2.91,2025,🧐 疑業外收益,35.8499984741,精誠金融,⚪ 數據不足,7819.TWO,2026-03,0.0,0.42,N/A
-12.26,34.04,22.04,78.38%,-10.99,8.241469716141733,12.0,1.74,2025,🏰 高護城河,31.3999996185,凱基金,💎 強力關注,2883.TW,2026-03,57.14999999999999,0.69,39.14%
-0.97,52.29,41.94,N/A,-14.12,0.0,10.350000000000001,-2.92,2025,🚀 利潤擴張,30.3500003815,華安,⚪ 數據不足,6657.TW,2026-03,-109.2,-0.53,N/A
6.74,29.13,19.99,100.00%,4.19,37.82842671731561,9.14,25.6,2025,🏰 高護城河,2390.0,力旺,⚠️ 追價風險,3529.TWO,2026-03,947.7,7.98,60.64%
-8.31,283.33,274.7,24.77%,-53.57,0.0,8.629999999999995,-0.43,2025,🔄 轉虧為盈,25.5499992371,宏亞,⚪ 數據不足,1236.TW,2026-03,-14.25,0.23,-4.59%
-15.19,153.49,145.6,27.77%,-827.91,0.0,7.890000000000015,-3.35,2025,🔄 轉虧為盈,20.0,岱宇,⚪ 數據不足,1598.TW,2026-03,-89.10000000000001,0.25,-13.99%
15.86,56.0,48.18,N/A,24.93,6.968026544972436,7.82,4.66,2025,🚀 利潤擴張,63.2000007629,全景軟體,✅ 穩健價值,8272.TWO,2026-03,136.05,0.39,N/A
