股票代碼         名稱              收盤價       最佳均線        實戰勝率%          區間報酬%     交易次數       外資5日買超 目前狀態                
1305.TW      華夏            14.05         16         40.0          12.71        1        -1082 📈 持有 → 繼續持有         
1307.TW      三芳             34.1         20        47.06           0.93        1         -924 📈 持有 → 繼續持有         
1308.TW      亞聚            14.75          3         50.0          -5.23       10        -2316 📉 建議賣出              
1309.TW      台達化            15.8         14        46.15          18.17        3        -3236 📈 持有 → 繼續持有         
1310.TW      台苯             11.4         14        56.52          27.52        1        -5574 📈 持有 → 繼續持有         
1312.TW      國喬            13.95          5        40.91          -3.12        6        -7663 📈 持有 → 繼續持有         
1313.TW      聯成            12.55          5         56.0          17.36        5        -6891 📈 持有 → 繼續持有         
1314.TW      中石化            8.51         16         30.0           2.37        1       -63409 📉 建議賣出              
1319.TW      東陽             85.1          5        36.36          -0.72        4        -7300 📉 建議賣出              
1323.TW      永裕            18.75         18          0.0          -1.87        1          -14 📈 持有 → 繼續持有         
1326.TW      台化             44.2         15        58.33           23.0        1       -21307 📉 建議賣出              
1337.TW      再生-KY          6.08          7        45.45          13.01        4         -699 📈 持有 → 繼續持有         
1338.TW      廣華-KY          15.4          7         50.0           2.24        1           96 📈 持有 → 繼續持有         
1340.TW      勝悅-KY          7.06          5        47.83           6.51        4          128 📉 建議賣出              
1341.TW      富林-KY          58.1          7        46.67          -1.47        5           -6 📉 建議賣出              
1402.TW      遠東新           27.05          3        47.62          -6.39        9       -33172 📉 建議賣出              
1409.TW      新纖             16.6          3        59.09           9.63        7         8493 📈 持有 → 繼續持有         
1413.TW      宏洲             9.67         16        38.46          -4.93        3          -45 📉 建議賣出              
1414.TW      東和             19.7         20        57.89          -2.48        2          -53 📉 建議賣出              
1418.TW      東華             19.0          8         20.0          -4.44        7          -14 📈 持有 → 繼續持有         
1419.TW      新紡             62.4          6        53.33          -0.02        3         -294 📉 建議賣出              
1432.TW      大魯閣            18.3          4        31.58          -0.81        7          280 📉 建議賣出              
1434.TW      福懋             16.6          6        47.83           5.79        3        -2314 📉 建議賣出              
1435.TW      中福            19.15         20        57.14          -2.32        1          -30 📉 建議賣出              
