eps,price,date,advice,est_price,prev_year,rev_yoy,prev_eps,om,status,symbol,prev_rev_yoy,pe,eps_yoy,prev_eps_yoy,name,expansion,gm
1.34,30.6000003815,2026-03,💎 強力關注,101.7,2025,171.79,2.64,N/A,🚀 利潤擴張,6005.TW,12.14,4.513274392551622,235.0,17.33,群益證,63.21000000000001,N/A
0.84,32.0999984741,2026-03,⚠️ 追價風險,10.049999999999997,2025,438.18,0.58,N/A,🚀 利潤擴張,1533.TW,19.69,47.91044548373135,500.0,152.25,車王電,61.81999999999999,N/A
0.56,25.1499996185,2026-03,⚪ 中性觀察,22.5,2025,538.23,0.74,7.12%,🚀 利潤擴張,1904.TW,-4.85,16.766666412333333,600.0,34.55,正隆,61.76999999999998,20.98%
1.9,81.5999984741,2026-03,💎 強力關注,113.85,2025,150.03,2.52,N/A,🚀 利潤擴張,6208.TWO,-4.59,10.750987941251648,206.45,-26.32,日揚,56.41999999999999,N/A
1.46,55.7999992371,2026-03,💎 強力關注,72.30000000000001,2025,148.33,1.19,N/A,🚀 利潤擴張,4747.TWO,-6.81,11.57676332719917,204.17,-36.9,強生,55.839999999999975,N/A
0.13,75.0999984741,2026-03,⚪ 數據不足,-18.45,2025,189.01,-0.6,N/A,🔄 轉虧為盈,8040.TWO,2.65,0.0,244.44,49.15,九暘,55.43000000000001,N/A
2.62,35.0999984741,2026-03,💎 強力關注,273.29999999999995,2025,185.42,12.33,-106.23%,🚀 利潤擴張,4123.TWO,-6.28,1.9264543619154775,239.47,905.92,晟德,54.05000000000001,41.95%
-1.43,72.0,2026-03,⚪ 數據不足,0.0,2025,-55.48,-3.92,N/A,🌑 雙重衰退,6934.TW,-29.22,0.0,-2.96,-48.08,心誠鎂,52.519999999999996,N/A
3.29,132.0,2026-03,💎 強力關注,252.6,2025,95.63,6.82,N/A,🚀 利潤擴張,6574.TWO,6.51,7.838479809976247,147.37,66.34,霈方,51.74000000000001,N/A
7.68,0.0,2026-03,⚪ 數據不足,0.0,2025,91.93,13.04,N/A,🚀 利潤擴張,7711.TW,182.72,0.0,139.49,38.44,永擎,47.56,N/A
1.01,35.4500007629,2026-03,⚪ 中性觀察,31.8,2025,359.48,1.5,N/A,🚀 利潤擴張,3287.TWO,23.54,16.721698473066034,406.06,-36.17,廣寰科,46.579999999999984,N/A
0.03,24.1499996185,2026-03,💎 強力關注,146.54999999999998,2025,66.65,5.29,N/A,🚀 利潤擴張,9949.TWO,-17.0,2.4718525709826,112.5,544.54,琉園,45.849999999999994,N/A
0.46,79.5,2026-03,💎 強力關注,172.35,2025,15.93,4.85,N/A,🚀 利潤擴張,6620.TWO,108.17,6.919060052219321,55.17,31.64,漢達,39.24,N/A
0.08,77.5,2026-03,⚪ 數據不足,-30.6,2025,264.14,0.12,-8.17%,🚀 利潤擴張,2388.TW,-40.0,0.0,300.0,-93.75,威盛,35.860000000000014,20.64%
1.19,65.0,2026-03,💎 強力關注,81.9,2025,156.04,2.15,14.95%,🏰 高護城河,3556.TWO,1.24,11.904761904761905,190.24,-5.7,禾瑞亞,34.20000000000002,50.66%
0.87,39.7000007629,2026-03,⚪ 數據不足,0.0,2025,10.24,2.99,N/A,🚀 利潤擴張,7821.TW,19.28,0.0,42.62,91.67,神數,32.379999999999995,N/A
11.94,0.0,2025-12,⚪ 數據不足,0.0,2025,6.33,7.56,30.89%,🚀 利潤擴張,2072.TWO,15.19,0.0,34.92,-17.2,未知,28.590000000000003,35.24%
-0.36,75.0,2026-03,⚪ 數據不足,-70.05,2025,-3.86,-1.89,N/A,🧐 疑業外收益,6794.TW,-5.58,0.0,23.4,-13.21,向榮生技,27.259999999999998,N/A
0.11,9.1499996185,2026-03,⚪ 數據不足,-28.950000000000003,2025,422.96,-0.45,1.90%,🔄 轉虧為盈,1467.TW,2.23,0.0,450.0,-197.83,南緯,27.04000000000002,23.39%
1.62,270.0,2026-03,⚪ 數據不足,0.0,2025,16.63,3.24,N/A,🚀 利潤擴張,7768.TW,3.08,0.0,42.86,-27.83,頌勝科技,26.23,N/A
1.62,0.0,2026-03,⚪ 數據不足,0.0,2025,16.63,3.24,N/A,🚀 利潤擴張,7768.TWO,3.08,0.0,42.86,-27.83,未知,26.23,N/A
4.33,0.0,2026-03,⚪ 數據不足,0.0,2025,12.42,13.61,16.93%,🚀 利潤擴張,1623.TW,20.5,0.0,38.11,11.37,大東電,25.689999999999998,21.29%
1.08,68.5999984741,2026-03,💎 強力關注,105.6,2025,62.36,2.74,33.03%,🏰 高護城河,2885.TW,6.4,9.744317965071023,83.05,-1.08,元大金,20.689999999999998,80.00%
0.32,30.5499992371,2026-03,✅ 穩健價值,33.45,2025,25.49,0.85,N/A,🚀 利潤擴張,5604.TWO,0.36,13.699551227399104,45.45,-66.0,中連,19.960000000000004,N/A
0.89,16.0499992371,2026-03,💎 強力關注,24.599999999999998,2025,451.29,0.76,N/A,🚀 利潤擴張,6015.TWO,0.56,9.786584900670732,470.83,-11.63,宏遠證,19.539999999999964,N/A
-0.19,12.3500003815,2026-03,⚪ 數據不足,-30.900000000000002,2025,26.81,-0.61,N/A,🚀 利潤擴張,5202.TWO,-8.35,0.0,45.71,-134.86,力新,18.900000000000002,N/A
0.55,43.2000007629,2026-03,💎 強力關注,70.8,2025,22.97,1.9,45.93%,🏰 高護城河,2880.TW,4.06,9.152542534512712,41.03,13.1,華南金,18.060000000000002,97.25%
0.31,119.0,2026-03,⚠️ 追價風險,9.75,2025,216.8,0.81,8.13%,🚀 利潤擴張,3581.TWO,13.9,183.07692307692307,234.78,35.0,博磊,17.97999999999999,31.93%
0.2,11.8999996185,2026-03,💎 強力關注,25.200000000000003,2025,16.1,0.68,32.37%,🏰 高護城河,2836.TW,14.52,7.08333310625,33.33,28.3,高雄銀,17.229999999999997,89.95%
1.67,484.5,2026-03,⚠️ 追價風險,11.999999999999998,2025,316.27,0.15,N/A,🚀 利潤擴張,4991.TWO,25.43,605.625,331.43,107.11,環宇-KY,15.160000000000025,N/A
0.42,34.5,2026-03,⚪ 數據不足,0.0,2025,-1.82,2.91,N/A,🧐 疑業外收益,7819.TWO,10.14,0.0,10.53,14.12,精誠金融,12.35,N/A
0.69,31.2000007629,2026-03,💎 強力關注,57.14999999999999,2025,22.04,1.74,39.14%,🏰 高護城河,2883.TW,-12.26,8.188976578188978,34.04,-10.99,凱基金,12.0,78.38%
-0.53,30.7999992371,2026-03,⚪ 數據不足,-109.2,2025,41.94,-2.92,N/A,🚀 利潤擴張,6657.TW,-0.97,0.0,52.29,-14.12,華安,10.350000000000001,N/A
7.98,2660.0,2026-03,⚠️ 追價風險,947.7,2025,19.99,25.6,60.64%,🏰 高護城河,3529.TWO,6.74,42.10193099081988,29.13,4.19,力旺,9.14,100.00%
0.23,24.8999996185,2026-03,⚪ 數據不足,-14.25,2025,274.7,-0.43,-4.59%,🔄 轉虧為盈,1236.TW,-8.31,0.0,283.33,-53.57,宏亞,8.629999999999995,24.77%
0.25,20.6000003815,2026-03,⚪ 數據不足,-89.10000000000001,2025,145.6,-3.35,-13.99%,🔄 轉虧為盈,1598.TW,-15.19,0.0,153.49,-827.91,岱宇,7.890000000000015,27.77%
0.39,65.0,2026-03,✅ 穩健價值,136.05,2025,48.18,4.66,N/A,🚀 利潤擴張,8272.TWO,15.86,7.166482910694597,56.0,24.93,全景軟體,7.82,N/A
0.11,24.1000003815,2026-03,⚠️ 追價風險,13.5,2025,30.02,0.38,20.24%,🏰 高護城河,2901.TW,-2.15,26.777778201666663,37.5,-7.32,欣欣,7.48,84.77%
-0.19,0.0,2026-03,⚪ 數據不足,0.0,2025,-11.29,-0.92,N/A,🌑 雙重衰退,4178.TWO,-3.6,0.0,-5.56,14.95,未知,5.7299999999999995,N/A
-0.19,17.75,2026-03,⚪ 數據不足,0.0,2025,-11.29,-0.92,N/A,🌑 雙重衰退,4178.TW,-3.6,0.0,-5.56,14.95,永笙-KY,5.7299999999999995,N/A
1.5,28.8500003815,2026-03,✅ 穩健價值,63.6,2025,109.17,0.99,N/A,🚀 利潤擴張,6195.TWO,-3.57,6.8042453729952825,114.29,-38.13,詩肯,5.1200000000000045,N/A
0.63,48.7000007629,2026-03,✅ 穩健價值,91.94999999999999,2025,12.57,2.36,33.61%,🏰 高護城河,2886.TW,-1.77,7.94453519786297,16.67,0.85,兆豐金,4.100000000000001,83.45%
0.07,36.7000007629,2026-03,⚠️ 追價風險,7.35,2025,12.87,0.25,-7.29%,🏰 高護城河,3094.TW,13.2,74.89796074061223,16.67,41.18,聯傑,3.8000000000000025,73.82%
