=== 殖利率掃描報告 (20260603) ===
基準條件: 10日新高 或 歷史分位 > 80%
[💎 歷史高位] 3290.TWO: 3.1% (歷史分位: 82.1%)
[💎 歷史高位] 4148.TW: 3.08% (歷史分位: 95.4%)
[💎 歷史高位] 1417.TW: 2.93% (歷史分位: 92.1%)
[💎 歷史高位] 4430.TWO: 2.9% (歷史分位: 87.8%)
[💎 歷史高位] 6233.TWO: 2.89% (歷史分位: 86.5%)
[💎 歷史高位] 8404.TW: 2.88% (歷史分位: 80.3%)
[💎 歷史高位] 2706.TW: 2.87% (歷史分位: 91.4%)
[💎 歷史高位] 5269.TW: 2.86% (歷史分位: 82.2%)
[💎 歷史高位] 7547.TWO: 2.85% (歷史分位: 92.3%)
[💎 歷史高位] 5314.TWO: 2.78% (歷史分位: 96.2%)
[💎 歷史高位] 6504.TW: 2.7% (歷史分位: 96.1%)
[💎 歷史高位] 2701.TW: 2.68% (歷史分位: 91.4%)
[💎 歷史高位] 6235.TW: 2.65% (歷史分位: 82.2%)
[💎 歷史高位] 6649.TWO: 2.56% (歷史分位: 94.2%)
[💎 歷史高位] 1453.TW: 2.53% (歷史分位: 86.2%)
[💎 歷史高位] 8110.TW: 2.5% (歷史分位: 90.1%)
[💎 歷史高位] 2642.TW: 2.44% (歷史分位: 96.1%)
[💎 歷史高位] 6578.TWO: 2.41% (歷史分位: 87.2%)
[💎 歷史高位] 1541.TW: 2.23% (歷史分位: 90.1%)
[💎 歷史高位] 2101.TW: 2.13% (歷史分位: 88.8%)
[💎 歷史高位] 2630.TW: 2.1% (歷史分位: 94.7%)
[💎 歷史高位] 9902.TW: 2.08% (歷史分位: 80.3%)
[💎 歷史高位] 1259.TWO: 2.08% (歷史分位: 90.4%)
[💎 歷史高位] 1599.TWO: 2.08% (歷史分位: 91.7%)
[💎 歷史高位] 6895.TWO: 2.06% (歷史分位: 99.4%)
[💎 歷史高位] 6955.TW: 2.05% (歷史分位: 98.0%)
[💎 歷史高位] 6179.TWO: 2.05% (歷史分位: 83.3%)
[💎 歷史高位] 4190.TW: 2.03% (歷史分位: 92.8%)
[💎 歷史高位] 1439.TW: 1.96% (歷史分位: 96.1%)
[💎 歷史高位] 5439.TWO: 1.92% (歷史分位: 82.1%)
[💎 歷史高位] 1796.TWO: 1.91% (歷史分位: 89.7%)
[💎 歷史高位] 1517.TW: 1.89% (歷史分位: 85.5%)
[💎 歷史高位] 7749.TW: 1.87% (歷史分位: 92.0%)
[💎 歷史高位] 6841.TWO: 1.77% (歷史分位: 96.8%)
[💎 歷史高位] 5529.TWO: 1.74% (歷史分位: 88.5%)
[💎 歷史高位] 3543.TW: 1.65% (歷史分位: 94.0%)
[💎 歷史高位] 1587.TW: 1.64% (歷史分位: 93.3%)
[💎 歷史高位] 2901.TW: 1.58% (歷史分位: 86.2%)
[💎 歷史高位] 3311.TW: 1.53% (歷史分位: 86.8%)
[💎 歷史高位] 2754.TWO: 1.46% (歷史分位: 96.8%)
[💎 歷史高位] 5521.TW: 1.42% (歷史分位: 92.1%)
[💎 歷史高位] 9919.TW: 1.4% (歷史分位: 86.2%)
[💎 歷史高位] 1466.TW: 1.36% (歷史分位: 92.1%)
[💎 歷史高位] 2926.TWO: 1.33% (歷史分位: 99.4%)
[💎 歷史高位] 4414.TW: 1.32% (歷史分位: 94.1%)
[💎 歷史高位] 1321.TW: 1.3% (歷史分位: 94.7%)
[💎 歷史高位] 4528.TWO: 1.27% (歷史分位: 88.5%)
[💎 歷史高位] 6931.TW: 1.18% (歷史分位: 94.7%)
[💎 歷史高位] 5601.TWO: 1.18% (歷史分位: 98.1%)
[💎 歷史高位] 1325.TW: 1.13% (歷史分位: 92.1%)
[💎 歷史高位] 5432.TWO: 1.13% (歷史分位: 92.3%)
[💎 歷史高位] 3054.TW: 1.05% (歷史分位: 82.2%)
[💎 歷史高位] 1438.TW: 1.02% (歷史分位: 99.3%)
[💎 歷史高位] 2498.TW: 1.0% (歷史分位: 96.1%)
[💎 歷史高位] 6739.TWO: 1.0% (歷史分位: 82.7%)
[💎 歷史高位] 1815.TWO: 0.94% (歷史分位: 93.6%)
[💎 歷史高位] 8411.TW: 0.83% (歷史分位: 91.4%)
[💎 歷史高位] 7722.TW: 0.72% (歷史分位: 91.3%)
[💎 歷史高位] 7822.TW: 0.65% (歷史分位: 89.5%)
[💎 歷史高位] 8932.TWO: 0.6% (歷史分位: 94.6%)
[💎 歷史高位] 5340.TWO: 0.59% (歷史分位: 91.7%)
[💎 歷史高位] 7717.TWO: 0.51% (歷史分位: 86.6%)
--------------------------------------------------
總計發現: 281 檔標的
