pe,est_price,symbol,date,advice,om,eps,prev_eps_yoy,status,prev_rev_yoy,prev_year,prev_eps,price,eps_yoy,rev_yoy,expansion,name,gm
27.111109980814817,20.249999999999996,1796.TWO,2025-12,⚠️ 追價風險,10.64%,0.7,150.0,🚀 利潤擴張,36.52,2025,0.31,36.5999984741,229.63,29.92,199.70999999999998,金穎生技,31.84%
21.31964719888563,51.15,6840.TWO,2025-12,⚪ 中性觀察,N/A,1.58,76.12,🚀 利潤擴張,5.51,2025,1.18,72.6999969482,205.88,8.46,197.42,東研信超,N/A
43.43750079479166,7.2,3191.TWO,2025-12,⚠️ 追價風險,-10.81%,0.51,219.57,🧐 疑業外收益,-1.51,2025,0.55,20.8500003815,189.47,-7.75,197.22,雲嘉南,29.43%
17.12871211589109,60.59999999999999,3048.TW,2025-12,⚪ 中性觀察,1.71%,2.01,153.27,🚀 利潤擴張,5.31,2025,1.14,69.1999969482,195.71,2.05,193.66,益登,3.50%
25.61403575697369,34.199999999999996,6202.TW,2025-12,⚠️ 追價風險,N/A,0.76,191.04,🚀 利潤擴張,31.27,2025,0.62,58.4000015259,213.64,22.23,191.41,盛群,N/A
0.0,-9.6,2413.TW,2025-12,⚪ 數據不足,3.38%,0.41,62.12,🔄 轉虧為盈,8.02,2025,-0.25,55.0999984741,193.18,3.52,189.66,環科,17.05%
1082.4999809249991,0.30000000000000027,1516.TW,2025-12,⚠️ 追價風險,-14.33%,0.04,-70.59,🧐 疑業外收益,-90.58,2025,0.1,21.6499996185,100.65,-87.0,187.65,川飛,5.36%
13.053333536773332,56.25,6112.TW,2025-12,✅ 穩健價值,N/A,1.82,-3.23,🚀 利潤擴張,20.56,2025,1.2,48.9500007629,203.33,18.84,184.49,邁達特,N/A
21.689188158243248,11.099999999999998,6246.TWO,2025-12,⚪ 中性觀察,N/A,1.14,97.79,🔄 轉虧為盈,11.15,2025,-0.04,16.0499992371,186.36,6.56,179.8,臺龍,N/A
7.653061224489797,102.89999999999999,4746.TW,2025-12,💎 強力關注,21.37%,3.67,39.43,🚀 利潤擴張,4.96,2025,2.44,52.5,180.15,2.54,177.61,台耀,41.59%
2.6238532460091744,163.5,3609.TWO,2025-12,💎 強力關注,-11.23%,6.42,314.37,🚀 利潤擴張,27.17,2025,7.31,28.6000003815,248.27,70.72,177.55,三一東林,8.05%
13.07970959210145,20.7,6573.TW,2025-12,✅ 穩健價值,N/A,1.23,228.8,🧐 疑業外收益,-11.95,2025,1.61,18.0499992371,163.4,-13.43,176.83,虹揚-KY,N/A
17.077464788732392,213.00000000000003,6719.TW,2025-12,⚪ 中性觀察,N/A,6.58,89.73,🚀 利潤擴張,22.77,2025,4.25,242.5,198.64,23.89,174.75,力智,N/A
37.29999923705001,29.999999999999996,6127.TWO,2025-12,⚠️ 追價風險,N/A,0.47,275.0,🧐 疑業外收益,-0.97,2025,0.91,74.5999984741,173.44,-1.13,174.57,九豪,N/A
23.939393939393938,24.750000000000004,4556.TWO,2025-12,⚠️ 追價風險,14.30%,0.92,172.22,🧐 疑業外收益,-8.55,2025,0.49,39.5,170.59,-3.75,174.34,旭然,42.07%
