status,prev_year,prev_rev_yoy,price,eps_yoy,gm,advice,rev_yoy,pe,eps,name,om,expansion,prev_eps,prev_eps_yoy,symbol,est_price,date
🚀 利潤擴張,2025,5.8,92.9000015259,442.11,N/A,✅ 穩健價值,307.94,14.492979957238688,1.03,醫揚,N/A,134.17000000000002,2.88,-38.68,6569.TWO,96.15,2026-03
🚀 利潤擴張,2025,17.09,123.5,406.45,N/A,⚪ 中性觀察,273.28,21.78130511463845,1.57,凌華,N/A,133.17000000000002,2.35,921.74,6166.TW,85.05,2026-03
🏰 高護城河,2025,82.29,2680.0,645.65,54.76%,⚠️ 追價風險,515.18,219.672131147541,3.44,聯亞,41.27%,130.47000000000003,4.66,884.75,3081.TWO,183.0,2026-03
🚀 利潤擴張,2025,-14.96,63.0,228.49,N/A,💎 強力關注,113.17,5.492589363557105,2.21,奇偶,N/A,115.32000000000001,6.21,-20.59,3356.TW,172.05,2026-03
🚀 利潤擴張,2025,-4.81,61.2000007629,383.33,N/A,⚪ 數據不足,268.59,0.0,0.29,美達科技,N/A,114.74000000000001,0.33,-84.51,6735.TWO,-7.200000000000001,2026-03
🏰 高護城河,2025,-7.78,6.9200000763,87.5,102.69%,⚪ 數據不足,-21.56,0.0,-0.02,益航,-12.62%,109.06,-1.63,-365.71,2601.TW,-33.6,2026-03
🚀 利潤擴張,2025,-5.33,163.5,270.0,N/A,⚠️ 追價風險,161.56,48.37278106508876,0.37,暉盛-創,N/A,108.44,1.73,-45.51,7730.TW,50.699999999999996,2026-03
🚀 利潤擴張,2025,-16.81,6.6599998474,163.46,N/A,⚪ 數據不足,67.27,0.0,0.66,麗嬰房,N/A,96.19000000000001,2.15,152.83,2911.TW,-40.05,2026-03
🏰 高護城河,2025,-7.4,23.3500003815,150.0,87.57%,⚠️ 追價風險,57.36,26.83908089827586,0.3,網龍,12.73%,92.64,0.43,-46.91,3083.TWO,13.05,2026-03
🚀 利潤擴張,2025,14.16,41.2999992371,1080.0,N/A,✅ 穩健價值,990.52,13.905723648855218,0.49,青松健康,N/A,89.48000000000002,1.39,104.41,6931.TW,44.550000000000004,2026-03
🔄 轉虧為盈,2025,-18.58,23.25,575.0,16.92%,⚪ 數據不足,486.21,0.0,0.28,宏佳騰,-21.33%,88.79000000000002,-0.84,-169.49,1599.TWO,-24.299999999999994,2026-03
🔄 轉虧為盈,2025,0.19,62.4000015259,166.67,28.91%,⚪ 數據不足,81.97,0.0,0.06,中裕,-58.34%,84.69999999999999,-0.61,17.57,4147.TWO,-18.3,2026-03
🚀 利潤擴張,2025,-14.02,45.4500007629,186.6,33.66%,💎 強力關注,102.97,6.970859012714724,2.78,昭輝,13.17%,83.63,2.41,-51.9,1339.TW,97.8,2026-03
🚀 利潤擴張,2025,15.32,65.0999984741,392.86,30.84%,💎 強力關注,309.82,11.92307664360806,0.7,偉詮電,3.76%,83.04000000000002,3.02,78.06,2436.TW,81.9,2026-03
🚀 利潤擴張,2025,-8.83,94.8000030518,178.26,N/A,⚠️ 追價風險,97.11,31.28712972006601,0.64,威鋒電子,N/A,81.14999999999999,1.11,-50.67,6756.TW,45.449999999999996,2026-03
🏰 高護城河,2025,2.09,71.8000030518,136.36,89.44%,✅ 穩健價值,62.07,13.807692894576926,2.34,宇峻,20.17%,74.29000000000002,1.97,-64.44,3546.TWO,77.99999999999999,2026-03
🚀 利潤擴張,2025,22.72,83.9000015259,99.93,N/A,⚪ 數據不足,26.64,0.0,-0.15,奧義賽博-KY創,N/A,73.29,-1.49,96.29,7823.TW,0.0,2026-03
🌑 雙重衰退,2025,19.25,12.6000003815,-25.93,N/A,⚪ 數據不足,-97.71,0.0,-0.68,昱泉,N/A,71.78,-2.43,-99.18,6169.TWO,-96.44999999999999,2026-03
🚀 利潤擴張,2025,0.63,17.25,650.0,N/A,⚪ 數據不足,578.38,0.0,0.3,冠好,N/A,71.62,0.14,-91.14,8354.TWO,-17.549999999999997,2026-03
🚀 利潤擴張,2025,22.56,90.1999969482,386.11,25.49%,⚪ 中性觀察,315.9,18.989473041726313,1.75,台聯電,0.20%,70.21000000000004,2.76,-5.15,4905.TWO,71.25,2026-03
🚀 利潤擴張,2025,76.4,1615.0,121.74,N/A,⚪ 數據不足,51.84,0.0,1.02,創新服務,N/A,69.89999999999999,6.33,44.08,7828.TWO,0.0,2026-03
🏰 高護城河,2025,4.6,15.5500001907,127.27,90.85%,💎 強力關注,58.58,10.16339881745098,0.25,國票金,38.94%,68.69,0.63,3.28,2889.TW,22.95,2026-03
🏰 高護城河,2025,-4.63,90.0,107.35,82.18%,💎 強力關注,40.15,5.250875145857643,1.41,麗豐-KY,20.98%,67.19999999999999,7.13,24.43,4137.TW,257.1,2026-03
🔄 轉虧為盈,2025,-28.72,7.1900000572,175.0,54.59%,⚪ 數據不足,110.52,0.0,0.06,研勤,3.73%,64.48,-0.38,-31.03,3632.TWO,-15.3,2026-03
🚀 利潤擴張,2025,2.38,42.9000015259,106.9,N/A,⚪ 數據不足,42.91,0.0,0.6,和迅,N/A,63.99000000000001,2.43,-24.06,6986.TWO,0.0,2026-03
🔄 轉虧為盈,2025,-7.78,31.6499996185,175.0,31.44%,⚪ 數據不足,111.03,0.0,0.11,穎漢,-45.46%,63.97,-1.28,-184.44,4562.TW,-38.1,2026-03
🏰 高護城河,2025,-29.69,19.6000003815,62.5,93.22%,⚪ 數據不足,-1.0,0.0,-0.27,泰偉,-55.72%,63.5,-3.51,-7120.0,3064.TWO,-122.4,2026-03
🚀 利潤擴張,2025,12.14,30.2000007629,235.0,N/A,💎 強力關注,171.79,4.454277398657817,1.34,群益證,N/A,63.21000000000001,2.64,17.33,6005.TW,101.7,2026-03
🚀 利潤擴張,2025,19.69,31.1000003815,500.0,N/A,⚠️ 追價風險,438.18,46.417911017164194,0.84,車王電,N/A,61.81999999999999,0.58,152.25,1533.TW,10.049999999999997,2026-03
🚀 利潤擴張,2025,-4.85,24.75,600.0,20.98%,⚪ 中性觀察,538.23,16.5,0.56,正隆,7.12%,61.76999999999998,0.74,34.55,1904.TW,22.5,2026-03
🚀 利潤擴張,2025,-4.59,81.5,206.45,N/A,💎 強力關注,150.03,10.737812911725955,1.9,日揚,N/A,56.41999999999999,2.52,-26.32,6208.TWO,113.85,2026-03
🚀 利潤擴張,2025,-6.81,56.5,204.17,N/A,💎 強力關注,148.33,11.721991701244812,1.46,強生,N/A,55.839999999999975,1.19,-36.9,4747.TWO,72.30000000000001,2026-03
🔄 轉虧為盈,2025,2.65,71.1999969482,244.44,N/A,⚪ 數據不足,189.01,0.0,0.13,九暘,N/A,55.43000000000001,-0.6,49.15,8040.TWO,-18.45,2026-03
🚀 利潤擴張,2025,-6.28,32.4000015259,239.47,41.95%,💎 強力關注,185.42,1.77826572590011,2.62,晟德,-106.23%,54.05000000000001,12.33,905.92,4123.TWO,273.29999999999995,2026-03
🌑 雙重衰退,2025,-29.22,73.0,-2.96,N/A,⚪ 數據不足,-55.48,0.0,-1.43,心誠鎂,N/A,52.519999999999996,-3.92,-48.08,6934.TW,0.0,2026-03
🚀 利潤擴張,2025,6.51,122.5,147.37,N/A,💎 強力關注,95.63,7.274346793349169,3.29,霈方,N/A,51.74000000000001,6.82,66.34,6574.TWO,252.6,2026-03
🚀 利潤擴張,2025,182.72,0.0,139.49,N/A,⚪ 數據不足,91.93,0.0,7.68,永擎,N/A,47.56,13.04,38.44,7711.TW,0.0,2026-03
🚀 利潤擴張,2025,23.54,38.0,406.06,N/A,⚪ 中性觀察,359.48,17.92452830188679,1.01,廣寰科,N/A,46.579999999999984,1.5,-36.17,3287.TWO,31.8,2026-03
🚀 利潤擴張,2025,-17.0,23.2999992371,112.5,N/A,💎 強力關注,66.65,2.3848515084032753,0.03,琉園,N/A,45.849999999999994,5.29,544.54,9949.TWO,146.54999999999998,2026-03
🚀 利潤擴張,2025,108.17,74.8000030518,55.17,N/A,💎 強力關注,15.93,6.5100089688250655,0.46,漢達,N/A,39.24,4.85,31.64,6620.TWO,172.35,2026-03
🚀 利潤擴張,2025,-40.0,72.0,300.0,20.64%,⚪ 數據不足,264.14,0.0,0.08,威盛,-8.17%,35.860000000000014,0.12,-93.75,2388.TW,-30.6,2026-03
🏰 高護城河,2025,1.24,61.7000007629,190.24,50.66%,💎 強力關注,156.04,11.300366440091574,1.19,禾瑞亞,14.95%,34.20000000000002,2.15,-5.7,3556.TWO,81.9,2026-03
🚀 利潤擴張,2025,19.28,38.75,42.62,N/A,⚪ 數據不足,10.24,0.0,0.87,神數,N/A,32.379999999999995,2.99,91.67,7821.TW,0.0,2026-03
🚀 利潤擴張,2025,15.19,0.0,34.92,35.24%,⚪ 數據不足,6.33,0.0,11.94,未知,30.89%,28.590000000000003,7.56,-17.2,2072.TWO,0.0,2025-12
🧐 疑業外收益,2025,-5.58,68.6999969482,23.4,N/A,⚪ 數據不足,-3.86,0.0,-0.36,向榮生技,N/A,27.259999999999998,-1.89,-13.21,6794.TW,-70.05,2026-03
🔄 轉虧為盈,2025,2.23,8.3100004196,450.0,23.39%,⚪ 數據不足,422.96,0.0,0.11,南緯,1.90%,27.04000000000002,-0.45,-197.83,1467.TW,-28.950000000000003,2026-03
🚀 利潤擴張,2025,3.08,289.5,42.86,N/A,⚪ 數據不足,16.63,0.0,1.62,頌勝科技,N/A,26.23,3.24,-27.83,7768.TW,0.0,2026-03
🚀 利潤擴張,2025,3.08,0.0,42.86,N/A,⚪ 數據不足,16.63,0.0,1.62,未知,N/A,26.23,3.24,-27.83,7768.TWO,0.0,2026-03
🚀 利潤擴張,2025,20.5,0.0,38.11,21.29%,⚪ 數據不足,12.42,0.0,4.33,大東電,16.93%,25.689999999999998,13.61,11.37,1623.TW,0.0,2026-03
🏰 高護城河,2025,6.4,62.5,83.05,80.00%,💎 強力關注,62.36,8.877840909090908,1.08,元大金,33.03%,20.689999999999998,2.74,-1.08,2885.TW,105.6,2026-03
🚀 利潤擴張,2025,0.36,30.6000003815,45.45,N/A,✅ 穩健價值,25.49,13.721973265246637,0.32,中連,N/A,19.960000000000004,0.85,-66.0,5604.TWO,33.45,2026-03
🚀 利潤擴張,2025,0.56,15.4499998093,470.83,N/A,💎 強力關注,451.29,9.420731591036585,0.89,宏遠證,N/A,19.539999999999964,0.76,-11.63,6015.TWO,24.599999999999998,2026-03
🚀 利潤擴張,2025,-8.35,11.8000001907,45.71,N/A,⚪ 數據不足,26.81,0.0,-0.19,力新,N/A,18.900000000000002,-0.61,-134.86,5202.TWO,-30.900000000000002,2026-03
🏰 高護城河,2025,4.06,39.0,41.03,97.25%,💎 強力關注,22.97,8.26271186440678,0.55,華南金,45.93%,18.060000000000002,1.9,13.1,2880.TW,70.8,2026-03
🚀 利潤擴張,2025,13.9,105.5,234.78,31.93%,⚠️ 追價風險,216.8,162.3076923076923,0.31,博磊,8.13%,17.97999999999999,0.81,35.0,3581.TWO,9.75,2026-03
🏰 高護城河,2025,14.52,11.8999996185,33.33,89.95%,💎 強力關注,16.1,7.08333310625,0.2,高雄銀,32.37%,17.229999999999997,0.68,28.3,2836.TW,25.200000000000003,2026-03
🚀 利潤擴張,2025,25.43,486.5,331.43,N/A,⚠️ 追價風險,316.27,608.125,1.67,環宇-KY,N/A,15.160000000000025,0.15,107.11,4991.TWO,11.999999999999998,2026-03
🧐 疑業外收益,2025,10.14,35.7999992371,10.53,N/A,⚪ 數據不足,-1.82,0.0,0.42,精誠金融,N/A,12.35,2.91,14.12,7819.TWO,0.0,2026-03
🏰 高護城河,2025,-12.26,30.3999996185,34.04,78.38%,💎 強力關注,22.04,7.979002524540683,0.69,凱基金,39.14%,12.0,1.74,-10.99,2883.TW,57.14999999999999,2026-03
🚀 利潤擴張,2025,-0.97,29.7000007629,52.29,N/A,⚪ 數據不足,41.94,0.0,-0.53,華安,N/A,10.350000000000001,-2.92,-14.12,6657.TW,-109.2,2026-03
