price,advice,symbol,gm,eps,prev_year,prev_rev_yoy,status,prev_eps_yoy,pe,est_price,eps_yoy,prev_eps,om,date,name,expansion,rev_yoy
27.4500007629,💎 強力關注,4744.TWO,42.43%,2.51,2025,14.04,🚀 利潤擴張,400.0,6.196388434063206,66.44999999999999,216.0,1.0,14.38%,2025-12,皇將,203.79,12.21
128.5,⚠️ 追價風險,6902.TW,N/A,1.58,2025,20.7,🚀 利潤擴張,119.47,61.48325358851675,31.349999999999998,222.58,0.23,N/A,2025-12,GOGOLOOK,201.66000000000003,20.92
171.5,💎 強力關注,2316.TW,5.71%,13.38,2025,8.72,🚀 利潤擴張,260.07,5.486244401791426,468.90000000000003,212.47,10.81,-7.46%,2025-12,楠梓電,200.22,12.25
33.9500007629,⚠️ 追價風險,1796.TWO,31.84%,0.7,2025,36.52,🚀 利潤擴張,150.0,25.14814871325926,20.249999999999996,229.63,0.31,10.64%,2025-12,金穎生技,199.70999999999998,29.92
66.8000030518,⚪ 中性觀察,6840.TWO,N/A,1.58,2025,5.51,🚀 利潤擴張,76.12,19.58944371020528,51.15,205.88,1.18,N/A,2025-12,東研信超,197.42,8.46
19.2999992371,⚠️ 追價風險,3191.TWO,29.43%,0.51,2025,-1.51,🧐 疑業外收益,219.57,40.20833174395833,7.2,189.47,0.55,-10.81%,2025-12,雲嘉南,197.22,-7.75
73.5,⚪ 中性觀察,3048.TW,3.50%,2.01,2025,5.31,🚀 利潤擴張,153.27,18.193069306930695,60.59999999999999,195.71,1.14,1.71%,2025-12,益登,193.66,2.05
65.1999969482,⚠️ 追價風險,6202.TW,N/A,0.76,2025,31.27,🚀 利潤擴張,191.04,28.596489889561404,34.199999999999996,213.64,0.62,N/A,2025-12,盛群,191.41,22.23
62.5,⚪ 數據不足,2413.TW,17.05%,0.41,2025,8.02,🔄 轉虧為盈,62.12,0.0,-9.6,193.18,-0.25,3.38%,2025-12,環科,189.66,3.52
21.1499996185,⚠️ 追價風險,1516.TW,5.36%,0.04,2025,-90.58,🧐 疑業外收益,-70.59,1057.4999809249991,0.30000000000000027,100.65,0.1,-14.33%,2025-12,川飛,187.65,-87.0
46.5499992371,✅ 穩健價值,6112.TW,N/A,1.82,2025,20.56,🚀 利潤擴張,-3.23,12.413333129893335,56.25,203.33,1.2,N/A,2025-12,邁達特,184.49,18.84
15.4499998093,⚪ 中性觀察,6246.TWO,N/A,1.14,2025,11.15,🔄 轉虧為盈,97.79,20.878378120675677,11.099999999999998,186.36,-0.04,N/A,2025-12,臺龍,179.8,6.56
51.7999992371,💎 強力關注,4746.TW,41.59%,3.67,2025,4.96,🚀 利潤擴張,39.43,7.551020296953354,102.89999999999999,180.15,2.44,21.37%,2025-12,台耀,177.61,2.54
27.0499992371,💎 強力關注,3609.TWO,8.05%,6.42,2025,27.17,🚀 利潤擴張,314.37,2.481651306155963,163.5,248.27,7.31,-11.23%,2025-12,三一東林,177.55,70.72
15.1000003815,💎 強力關注,6573.TW,N/A,1.23,2025,-11.95,🧐 疑業外收益,228.8,10.942029261956522,20.7,163.4,1.61,N/A,2025-12,虹揚-KY,176.83,-13.43
240.5,⚪ 中性觀察,6719.TW,N/A,6.58,2025,22.77,🚀 利潤擴張,89.73,16.936619718309856,213.00000000000003,198.64,4.25,N/A,2025-12,力智,174.75,23.89
79.0,⚠️ 追價風險,6127.TWO,N/A,0.47,2025,-0.97,🧐 疑業外收益,275.0,39.50000000000001,29.999999999999996,173.44,0.91,N/A,2025-12,九豪,174.57,-1.13
73.4000015259,⚠️ 追價風險,4556.TWO,42.07%,0.92,2025,-8.55,🧐 疑業外收益,172.22,44.484849409636354,24.750000000000004,170.59,0.49,14.30%,2025-12,旭然,174.34,-3.75
14.0,✅ 穩健價值,5703.TWO,N/A,0.53,2025,4.04,🚀 利潤擴張,175.0,15.555555555555555,13.5,178.95,0.09,N/A,2025-12,亞都,173.32999999999998,5.62
86.6999969482,⚠️ 追價風險,6209.TW,N/A,0.92,2025,39.08,🚀 利潤擴張,190.57,57.039471676447356,22.800000000000004,222.67,0.49,N/A,2025-12,今國光,172.01999999999998,50.65
60.7999992371,⚠️ 追價風險,6841.TWO,N/A,0.89,2025,2.1,🚀 利潤擴張,1700.0,27.511311871990948,33.150000000000006,183.87,0.81,N/A,2025-12,長佳智能,171.64000000000001,12.23
1745.0,⚠️ 追價風險,7610.TW,N/A,5.45,2025,-4.54,🚀 利潤擴張,3.33,244.39775910364148,107.1,194.08,1.75,N/A,2025-12,聯友金屬-創,166.18,27.9
28.0499992371,⚠️ 追價風險,1587.TW,18.05%,0.37,2025,19.92,🚀 利潤擴張,155.81,40.65217280739131,10.35,188.1,0.24,2.96%,2025-12,吉茂,164.99,23.11
248.5,⚠️ 追價風險,2486.TW,15.86%,0.22,2025,13.26,🚀 利潤擴張,300.0,801.6129032258065,4.65,175.0,0.16,1.35%,2025-12,一詮,164.91,10.09
0.0,⚪ 數據不足,6994.TW,N/A,6.34,2025,21.0,🚀 利潤擴張,47.95,0.0,0.0,328.87,1.13,N/A,2025-12,富威電力,164.37,164.5
94.0,💎 強力關注,6596.TWO,N/A,18.83,2025,97.52,🚀 利潤擴張,241.37,2.03199308257674,693.9,242.99,17.41,N/A,2025-12,寬宏藝術,164.31,78.68
58.4000015259,⚪ 數據不足,6265.TWO,N/A,0.68,2025,25.19,🔄 轉虧為盈,-271.43,0.0,-11.25,223.81,-0.24,N/A,2025-12,方土昶,160.96,62.85
332.0,💎 強力關注,5439.TWO,N/A,13.74,2025,130.37,🚀 利潤擴張,280.8,11.444329541537401,435.15,291.45,9.52,N/A,2025-12,高技,160.61999999999998,130.83
22.8500003815,⚪ 數據不足,3489.TWO,10.14%,-0.09,2025,-54.34,🧐 疑業外收益,23.53,0.0,-4.95,89.89,-0.13,3.61%,2025-12,森寶,159.73000000000002,-69.84
38.5499992371,💎 強力關注,4526.TW,7.66%,1.81,2025,-1.22,🧐 疑業外收益,271.05,5.414325735547753,106.8,150.56,2.61,-21.47%,2025-12,東台,157.18,-6.62
30.5,💎 強力關注,3630.TWO,4.18%,1.86,2025,18.28,🚀 利潤擴張,219.44,5.024711696869852,91.05,173.02,2.19,-22.27%,2025-12,新鉅科,153.81,19.21
50.5999984741,💎 強力關注,6684.TWO,N/A,1.57,2025,-15.66,🧐 疑業外收益,203.85,3.999999879375493,189.75000000000003,137.2,3.24,N/A,2025-12,安格,152.56,-15.36
25.0,⚪ 數據不足,6838.TW,N/A,-0.55,2025,-95.44,🧐 疑業外收益,77.78,0.0,-13.5,58.65,-0.24,N/A,2025-12,台新藥,152.03,-93.38
8.8500003815,⚪ 數據不足,4157.TWO,98.33%,0.06,2025,-79.84,🔄 轉虧為盈,-1000.0,0.0,-5.8500000000000005,220.0,-0.22,81.17%,2025-12,太景*-KY,147.76,72.24
17.7999992371,⚠️ 追價風險,3252.TWO,43.11%,0.13,2025,-4.86,🔄 轉虧為盈,54.55,111.24999523187499,2.4,141.94,-0.1,22.84%,2025-12,海灣,145.65,-3.71
84.5,⚪ 中性觀察,3162.TWO,11.59%,1.7,2025,89.71,🚀 利潤擴張,292.31,18.903803131991047,67.05000000000001,209.26,1.25,1.68%,2025-12,精確,143.77999999999997,65.48
79.5,💎 強力關注,3673.TW,5.83%,2.71,2025,-8.66,🧐 疑業外收益,55.15,11.134453781512606,107.1,133.62,2.56,-0.68%,2025-12,TPK-KY,142.39000000000001,-8.77
19.0,⚠️ 追價風險,6236.TWO,N/A,0.08,2025,-18.24,🧐 疑業外收益,111.11,70.37037037037037,4.050000000000001,119.51,0.05,N/A,2025-12,中湛,140.19,-20.68
39.2999992371,⚠️ 追價風險,6708.TWO,N/A,0.25,2025,48.16,🚀 利潤擴張,119.23,91.39534706302328,6.449999999999999,180.65,0.05,N/A,2025-12,天擎,138.32,42.33
33.9500007629,⚠️ 追價風險,5227.TWO,N/A,0.17,2025,-19.06,🧐 疑業外收益,199.67,53.888890099841234,9.450000000000005,104.91,2.99,N/A,2025-12,立凱-KY,137.15,-32.24
87.6999969482,⚠️ 追價風險,6485.TWO,N/A,0.71,2025,14.7,🔄 轉虧為盈,70.64,69.6031721811111,18.9,152.21,-0.32,N/A,2025-12,點序,135.37,16.84
395.5,⚪ 數據不足,2408.TW,49.05%,2.13,2025,32.43,🔄 轉虧為盈,-28.32,0.0,-28.5,229.88,-1.45,39.15%,2025-12,南亞科,134.79,95.09
76.1999969482,💎 強力關注,3709.TWO,8.09%,7.11,2025,55.41,🚀 利潤擴張,167.46,5.562043572861313,205.50000000000003,178.19,3.61,5.14%,2025-12,鑫聯大投控,133.87,44.32
30.7000007629,⚪ 數據不足,3466.TWO,-8.98%,-1.11,2025,-68.41,🧐 疑業外收益,65.77,0.0,-57.45,58.98,-0.81,-223.66%,2025-12,德晉,131.46,-72.48
2335.0,⚠️ 追價風險,3081.TWO,54.76%,3.44,2025,82.29,🏰 高護城河,884.75,191.39344262295083,183.0,645.65,4.66,41.27%,2026-03,聯亞,130.47000000000003,515.18
17.9500007629,⚪ 數據不足,4934.TW,-156.07%,-0.95,2025,-81.44,🧐 疑業外收益,16.25,0.0,-35.85,54.11,-0.67,-456.27%,2025-12,太極,129.82,-75.71
50.0999984741,💎 強力關注,2607.TW,18.52%,3.56,2025,-19.69,🧐 疑業外收益,139.38,5.765247235224396,130.35,108.46,2.72,6.32%,2025-12,榮運,127.97999999999999,-19.52
494.5,⚠️ 追價風險,5386.TWO,N/A,8.61,2025,12.38,🚀 利潤擴張,103.38,32.3202614379085,229.49999999999997,159.21,3.03,N/A,2025-12,青雲,126.62,32.59
41.0499992371,💎 強力關注,6021.TWO,N/A,3.76,2025,13.11,🚀 利潤擴張,128.3,9.266365516275396,66.44999999999999,161.27,2.46,N/A,2025-12,美好證,126.13000000000001,35.14
27.1499996185,✅ 穩健價值,3540.TWO,27.46%,0.74,2025,30.74,🚀 利潤擴張,147.47,14.836065365300547,27.450000000000003,155.22,0.47,-3.44%,2025-12,曜越,126.13,29.09
51.5,💎 強力關注,8473.TW,N/A,2.55,2025,62.88,🚀 利潤擴張,130.34,7.325746799431011,105.44999999999999,177.17,2.05,N/A,2025-12,山林水,125.85999999999999,51.31
511.0,⚠️ 追價風險,3105.TWO,31.80%,4.0,2025,-13.87,🧐 疑業外收益,-40.53,109.89247311827957,69.75,120.99,1.57,13.87%,2025-12,穩懋,125.67999999999999,-4.69
26.0,💎 強力關注,6276.TWO,N/A,0.92,2025,28.81,🚀 利潤擴張,128.33,8.934707903780069,43.650000000000006,142.59,0.66,N/A,2025-12,安鈦克,122.4,20.19
6.8600001335,⚠️ 追價風險,1512.TW,28.43%,0.19,2025,2.64,🚀 利潤擴張,111.76,27.440000534,3.75,127.94,0.04,-3.62%,2025-12,瑞利,119.85,8.09
30.7000007629,💎 強力關注,2596.TWO,32.97%,1.86,2025,217.33,🚀 利潤擴張,425.0,6.822222391755556,67.5,177.61,1.04,26.41%,2025-12,綠意,117.96000000000001,59.65
