代號,名稱,Date,現價,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,自營商,投信,外資,狀態
7728.TWO,光焱科技,20260529,770.0,-28,135,163,新進/轉買,6.94%,0,0,83,▲ 順勢追意
6510.TWO,精測,20260529,3140.0,54,213,159,3.9x,-7.78%,9,-214,126,★ 壓低偷買
912000.TW,晨訊科-DR,20260529,2.4,-39,116,155,新進/轉買,0.00%,0,0,194,▲ 順勢追意
6499.TWO,益安,20260529,85.0,470,625,154,1.3x,-9.28%,0,0,-132,★ 壓低偷買
6859.TWO,伯特光,20260529,127.0,-85,56,142,新進/轉買,5.39%,-1,0,74,▲ 順勢追意
8476.TW,台境*,20260529,15.35,10,143,133,13.8x,-3.15%,-1,0,47,▲ 順勢追意
7709.TWO,榮田,20260529,110.5,-29,102,131,新進/轉買,21.96%,19,0,15,▲ 順勢追意
6569.TWO,醫揚,20260529,100.5,-92,26,119,新進/轉買,7.95%,-5,0,12,▲ 順勢追意
8442.TW,威宏-KY,20260529,39.95,-106,10,117,新進/轉買,-1.36%,1,0,40,▲ 順勢追意
6283.TW,淳安,20260529,24.0,-6,110,117,新進/轉買,-2.44%,-7,0,88,★ 壓低偷買
6417.TWO,韋僑,20260529,142.5,-42,68,110,新進/轉買,7.55%,-13,0,11,★ 壓低偷買
