symbol,prev_eps,name,price,est_price,expansion,eps,eps_yoy,gm,rev_yoy,om,prev_eps_yoy,status,prev_rev_yoy,advice,pe,prev_year,date
4556.TWO,0.49,旭然,39.1500015259,24.750000000000004,174.34,0.92,170.59,42.07%,-3.75,14.30%,172.22,🧐 疑業外收益,-8.55,⚠️ 追價風險,23.727273652060607,2025,2025-12
5703.TWO,0.09,亞都,13.8500003815,13.5,173.32999999999998,0.53,178.95,N/A,5.62,N/A,175.0,🚀 利潤擴張,4.04,✅ 穩健價值,15.388889312777776,2025,2025-12
6209.TW,0.49,今國光,81.6999969482,22.800000000000004,172.01999999999998,0.92,222.67,N/A,50.65,N/A,190.57,🚀 利潤擴張,39.08,⚠️ 追價風險,53.74999799223683,2025,2025-12
6841.TWO,0.81,長佳智能,55.7000007629,33.150000000000006,171.64000000000001,0.89,183.87,N/A,12.23,N/A,1700.0,🚀 利潤擴張,2.1,⚠️ 追價風險,25.203620254705875,2025,2025-12
7610.TW,1.75,聯友金屬-創,0.0,0.0,166.18,5.45,194.08,N/A,27.9,N/A,3.33,🚀 利潤擴張,-4.54,⚪ 數據不足,0.0,2025,2025-12
1587.TW,0.24,吉茂,32.0,10.35,164.99,0.37,188.1,18.05%,23.11,2.96%,155.81,🚀 利潤擴張,19.92,⚠️ 追價風險,46.376811594202906,2025,2025-12
2486.TW,0.16,一詮,264.5,4.65,164.91,0.22,175.0,15.86%,10.09,1.35%,300.0,🚀 利潤擴張,13.26,⚠️ 追價風險,853.2258064516129,2025,2025-12
6994.TW,1.13,富威電力,0.0,0.0,164.37,6.34,328.87,N/A,164.5,N/A,47.95,🚀 利潤擴張,21.0,⚪ 數據不足,0.0,2025,2025-12
6596.TWO,17.41,寬宏藝術,96.0,693.9,164.31,18.83,242.99,N/A,78.68,N/A,241.37,🚀 利潤擴張,97.52,💎 強力關注,2.0752269779507135,2025,2025-12
6265.TWO,-0.24,方土昶,55.2000007629,-11.25,160.96,0.68,223.81,N/A,62.85,N/A,-271.43,🔄 轉虧為盈,25.19,⚪ 數據不足,0.0,2025,2025-12
5439.TWO,9.52,高技,383.0,435.15,160.61999999999998,13.74,291.45,N/A,130.83,N/A,280.8,🚀 利潤擴張,130.37,✅ 穩健價值,13.20234401930369,2025,2025-12
3489.TWO,-0.13,森寶,21.7999992371,-4.95,159.73000000000002,-0.09,89.89,10.14%,-69.84,3.61%,23.53,🧐 疑業外收益,-54.34,⚪ 數據不足,0.0,2025,2025-12
4526.TW,2.61,東台,38.9500007629,106.8,157.18,1.81,150.56,7.66%,-6.62,-21.47%,271.05,🧐 疑業外收益,-1.22,💎 強力關注,5.4705057251264035,2025,2025-12
3630.TWO,2.19,新鉅科,26.1499996185,91.05,153.81,1.86,173.02,4.18%,19.21,-22.27%,219.44,🚀 利潤擴張,18.28,💎 強力關注,4.308072424794069,2025,2025-12
6684.TWO,3.24,安格,44.2999992371,189.75000000000003,152.56,1.57,137.2,N/A,-15.36,N/A,203.85,🧐 疑業外收益,-15.66,💎 強力關注,3.5019762242766794,2025,2025-12
6838.TW,-0.24,台新藥,24.8999996185,-13.5,152.03,-0.55,58.65,N/A,-93.38,N/A,77.78,🧐 疑業外收益,-95.44,⚪ 數據不足,0.0,2025,2025-12
4157.TWO,-0.22,太景*-KY,9.0600004196,-5.8500000000000005,147.76,0.06,220.0,98.33%,72.24,81.17%,-1000.0,🔄 轉虧為盈,-79.84,⚪ 數據不足,0.0,2025,2025-12
3252.TWO,-0.1,海灣,17.8500003815,2.4,145.65,0.13,141.94,43.11%,-3.71,22.84%,54.55,🔄 轉虧為盈,-4.86,⚠️ 追價風險,111.562502384375,2025,2025-12
3162.TWO,1.25,精確,84.6999969482,67.05000000000001,143.77999999999997,1.7,209.26,11.59%,65.48,1.68%,292.31,🚀 利潤擴張,89.71,⚪ 中性觀察,18.948545178568228,2025,2025-12
3673.TW,2.56,TPK-KY,86.3000030518,107.1,142.39000000000001,2.71,133.62,5.83%,-8.77,-0.68%,55.15,🧐 疑業外收益,-8.66,✅ 穩健價值,12.086835161316527,2025,2025-12
6236.TWO,0.05,中湛,0.0,0.0,140.19,0.08,119.51,N/A,-20.68,N/A,111.11,🧐 疑業外收益,-18.24,⚪ 數據不足,0.0,2025,2025-12
6708.TWO,0.05,天擎,41.0,6.449999999999999,138.32,0.25,180.65,N/A,42.33,N/A,119.23,🚀 利潤擴張,48.16,⚠️ 追價風險,95.34883720930235,2025,2025-12
5227.TWO,2.99,立凱-KY,24.5499992371,9.450000000000005,137.15,0.17,104.91,N/A,-32.24,N/A,199.67,🧐 疑業外收益,-19.06,⚠️ 追價風險,38.96825275730156,2025,2025-12
6485.TWO,-0.32,點序,105.0,18.9,135.37,0.71,152.21,N/A,16.84,N/A,70.64,🔄 轉虧為盈,14.7,⚠️ 追價風險,83.33333333333333,2025,2025-12
2408.TW,-1.45,南亞科,347.0,-28.5,134.79,2.13,229.88,49.05%,95.09,39.15%,-28.32,🔄 轉虧為盈,32.43,⚪ 數據不足,0.0,2025,2025-12
3709.TWO,3.61,鑫聯大投控,88.8000030518,205.50000000000003,133.87,7.11,178.19,8.09%,44.32,5.14%,167.46,🚀 利潤擴張,55.41,💎 強力關注,6.481752047576642,2025,2025-12
3466.TWO,-0.81,德晉,32.9500007629,-57.45,131.46,-1.11,58.98,-8.98%,-72.48,-223.66%,65.77,🧐 疑業外收益,-68.41,⚪ 數據不足,0.0,2025,2025-12
3081.TWO,4.66,聯亞,2615.0,183.0,130.47000000000003,3.44,645.65,54.76%,515.18,41.27%,884.75,🏰 高護城河,82.29,⚠️ 追價風險,214.344262295082,2025,2026-03
4934.TW,-0.67,太極,17.25,-35.85,129.82,-0.95,54.11,-156.07%,-75.71,-456.27%,16.25,🧐 疑業外收益,-81.44,⚪ 數據不足,0.0,2025,2025-12
2607.TW,2.72,榮運,47.5999984741,130.35,127.97999999999999,3.56,108.46,18.52%,-19.52,6.32%,139.38,🧐 疑業外收益,-19.69,💎 強力關注,5.47756023867664,2025,2025-12
5386.TWO,3.03,青雲,593.0,229.49999999999997,126.62,8.61,159.21,N/A,32.59,N/A,103.38,🚀 利潤擴張,12.38,⚠️ 追價風險,38.75816993464053,2025,2025-12
6021.TWO,2.46,美好證,36.9000015259,66.44999999999999,126.13000000000001,3.76,161.27,N/A,35.14,N/A,128.3,🚀 利潤擴張,13.11,💎 強力關注,8.329571450541762,2025,2025-12
3540.TWO,0.47,曜越,0.0,0.0,126.13,0.74,155.22,27.46%,29.09,-3.44%,147.47,🚀 利潤擴張,30.74,⚪ 數據不足,0.0,2025,2025-12
8473.TW,2.05,山林水,50.4000015259,105.44999999999999,125.85999999999999,2.55,177.17,N/A,51.31,N/A,130.34,🚀 利潤擴張,62.88,💎 強力關注,7.169274754751068,2025,2025-12
3105.TWO,1.57,穩懋,527.0,69.75,125.67999999999999,4.0,120.99,31.80%,-4.69,13.87%,-40.53,🧐 疑業外收益,-13.87,⚠️ 追價風險,113.33333333333333,2025,2025-12
6276.TWO,0.66,安鈦克,27.5,43.650000000000006,122.4,0.92,142.59,N/A,20.19,N/A,128.33,🚀 利潤擴張,28.81,💎 強力關注,9.450171821305842,2025,2025-12
