gm,symbol,om,est_price,prev_eps,expansion,prev_eps_yoy,prev_rev_yoy,name,status,eps_yoy,pe,advice,date,eps,price,prev_year,rev_yoy
N/A,8109.TWO,N/A,221.4,4.41,-19.669999999999998,-14.37,9.06,博大,📉 獲利侵蝕,-4.63,8.638211382113822,⚪ 中性觀察,2025-12,6.18,127.5,2025,15.04
N/A,6411.TWO,N/A,111.75000000000001,2.46,-19.78,-25.46,-9.94,晶焱,🌑 雙重衰退,-30.29,12.697986372362415,⚪ 中性觀察,2025-12,3.18,94.5999984741,2025,-10.51
N/A,6899.TWO,N/A,129.75,2.65,-19.82,6.94,24.69,創為精密,⚠️ 獲利稀釋,7.23,7.040462604150289,⚪ 中性觀察,2025-12,3.59,60.9000015259,2025,27.05
N/A,9904.TW,N/A,151.5,3.03,-19.919999999999998,-35.26,-3.47,寶成,🌑 雙重衰退,-24.63,2.554455370009901,⚪ 中性觀察,2025-12,4.1,25.7999992371,2025,-4.71
N/A,6890.TW,N/A,494.40000000000003,9.16,-20.01,-12.51,8.16,來億-KY,📉 獲利侵蝕,-14.96,5.036407766990291,⚪ 中性觀察,2025-12,13.02,166.0,2025,5.05
30.19%,1476.TW,19.16%,732.9,14.33,-20.09,-20.3,5.39,儒鴻,📉 獲利侵蝕,-16.94,7.020057306590258,⚪ 中性觀察,2025-12,20.1,343.0,2025,3.15
31.33%,3645.TW,12.18%,48.900000000000006,0.94,-20.169999999999998,-42.24,8.42,達邁,📉 獲利侵蝕,-14.53,33.58895705521472,❌ 暫避觀望,2025-12,1.54,109.5,2025,5.64
23.92%,2615.TW,18.94%,381.90000000000003,7.64,-20.380000000000003,-38.09,-11.06,萬海,🌑 雙重衰退,-33.63,3.189316455153181,⚪ 中性觀察,2025-12,11.21,81.1999969482,2025,-13.25
N/A,6523.TWO,N/A,306.45000000000005,5.84,-20.479999999999997,-21.61,-0.64,達爾膚,🌑 雙重衰退,-26.4,4.884973228184043,⚪ 中性觀察,2025-12,7.78,99.8000030518,2025,-5.92
18.10%,3444.TWO,4.42%,86.85,1.64,-20.58,3.14,10.26,利機,📉 獲利侵蝕,-10.04,16.424870202780657,❌ 暫避觀望,2025-12,2.15,95.0999984741,2025,10.54
N/A,6957.TW,N/A,278.85,5.41,-20.61,-29.25,-6.88,裕慶-KY,🌑 雙重衰退,-25.35,8.60677783754707,⚪ 中性觀察,2025-12,10.18,160.0,2025,-4.74
N/A,6204.TWO,N/A,43.949999999999996,0.98,-20.63,-8.41,3.67,艾華,📉 獲利侵蝕,-20.27,28.90784878778157,❌ 暫避觀望,2025-12,1.18,84.6999969482,2025,0.36
1.54%,3508.TWO,-34.06%,-59.7,-1.14,-20.650000000000002,18.25,42.64,位速,⚠️ 獲利稀釋,6.88,0.0,⚪ 數據不足,2025-12,-1.51,19.75,2025,27.53
N/A,6239.TW,N/A,253.49999999999997,4.96,-20.66,-30.26,-4.79,力成,📉 獲利侵蝕,-18.46,15.236686390532546,❌ 暫避觀望,2025-12,7.48,257.5,2025,2.2
-18.95%,3018.TW,-73.69%,-81.14999999999999,-2.36,-20.75,-161.36,-36.93,隆銘綠能,🌑 雙重衰退,-66.41,0.0,⚪ 數據不足,2025-12,-2.16,9.3400001526,2025,-45.66
47.97%,3008.TW,36.75%,5591.4,109.06,-20.75,-15.56,6.5,大立光,📉 獲利侵蝕,-17.91,9.28211181457238,⚪ 中性觀察,2025-12,159.41,3460.0,2025,2.84
28.71%,4933.TWO,12.48%,199.5,3.81,-20.76,-26.64,11.19,友輝,📉 獲利侵蝕,-18.35,5.526315789473684,⚪ 中性觀察,2025-12,5.77,73.5,2025,2.41
N/A,5288.TW,N/A,449.85,8.74,-20.82,-18.99,-7.59,豐祥-KY,🌑 雙重衰退,-27.39,5.051683894631544,⚪ 中性觀察,2025-12,12.25,151.5,2025,-6.57
N/A,7714.TWO,N/A,214.04999999999998,4.34,-20.84,60.59,55.99,創泓科技,⚠️ 獲利稀釋,24.26,8.759635599159076,⚪ 中性觀察,2025-12,6.33,125.0,2025,45.1
N/A,5269.TW,N/A,2596.8,52.62,-20.85,40.25,60.07,祥碩,⚠️ 獲利稀釋,45.15,8.14463955637708,⚪ 中性觀察,2025-12,72.7,1410.0,2025,66.0
44.64%,4138.TWO,12.42%,150.3,2.89,-20.869999999999997,-27.93,-12.22,曜亞,🌑 雙重衰退,-32.69,5.199600646117764,⚪ 中性觀察,2025-12,3.81,52.0999984741,2025,-11.82
32.18%,3042.TW,14.07%,196.05,3.95,-20.91,-13.57,7.28,晶技,📉 獲利侵蝕,-15.57,12.24177505738332,⚪ 中性觀察,2025-12,5.28,160.0,2025,5.34
28.61%,3285.TWO,8.69%,12.15,0.32,-21.02,-56.16,-24.68,微端,🌑 雙重衰退,-40.68,35.24691263839506,❌ 暫避觀望,2025-12,0.7,28.5499992371,2025,-19.66
N/A,5483.TWO,N/A,215.10000000000002,4.07,-21.13,18.54,-1.72,中美晶,🌑 雙重衰退,-23.02,9.937238493723848,⚪ 中性觀察,2025-12,6.71,142.5,2025,-1.89
N/A,8213.TW,N/A,88.64999999999999,1.77,-21.18,-8.29,1.46,志超,📉 獲利侵蝕,-17.45,6.379018741607445,⚪ 中性觀察,2025-12,2.27,37.7000007629,2025,3.73
32.82%,3374.TWO,27.31%,162.6,3.09,-21.39,-30.87,-1.5,精材,📉 獲利侵蝕,-18.86,22.555350553505534,❌ 暫避觀望,2025-12,4.99,244.5,2025,2.53
16.76%,2385.TW,6.72%,366.00000000000006,8.01,-21.5,-12.04,-3.53,群光,🌑 雙重衰退,-27.23,5.327868852459016,⚪ 中性觀察,2025-12,9.05,130.0,2025,-5.73
N/A,5493.TWO,N/A,154.04999999999998,3.44,-21.51,3.3,22.78,三聯,📉 獲利侵蝕,-0.48,9.026289868373905,⚪ 中性觀察,2025-12,4.18,92.6999969482,2025,21.03
19.71%,2020.TW,12.02%,81.75,1.66,-21.560000000000002,-41.75,-8.33,美亞,🌑 雙重衰退,-31.07,3.935779956495413,⚪ 中性觀察,2025-12,2.13,21.4500007629,2025,-9.51
N/A,6208.TWO,N/A,94.64999999999999,1.78,-21.73,-28.8,-6.36,日揚,🌑 雙重衰退,-26.32,16.164817749603806,❌ 暫避觀望,2025-12,2.52,102.0,2025,-4.59
12.48%,2328.TW,4.05%,61.2,1.22,-21.77,-13.48,4.37,廣宇,🌑 雙重衰退,-22.0,12.769607469142157,⚪ 中性觀察,2025-12,1.56,52.0999984741,2025,-0.23
N/A,6546.TWO,N/A,91.95,1.72,-21.8,-32.02,-1.49,正基,🌑 雙重衰退,-23.53,12.332789310619903,⚪ 中性觀察,2025-12,2.73,75.5999984741,2025,-1.73
N/A,7709.TWO,N/A,70.05,0.91,-21.830000000000002,-75.62,-37.61,榮田,🌑 雙重衰退,-52.99,19.892933945588865,❌ 暫避觀望,2025-12,2.48,92.9000015259,2025,-31.16
12.86%,3322.TWO,-5.35%,-39.300000000000004,-0.75,-21.96,-2.74,10.72,建舜電,📉 獲利侵蝕,-15.66,0.0,⚪ 數據不足,2025-12,-0.96,12.8000001907,2025,6.3
27.05%,2049.TW,4.85%,156.45,3.01,-22.09,-35.13,-1.42,上銀,🌑 雙重衰退,-22.62,35.810162991371044,❌ 暫避觀望,2025-12,4.31,373.5,2025,-0.53
34.25%,3406.TW,20.51%,1092.9,22.41,-22.14,-27.07,0.68,玉晶光,📉 獲利侵蝕,-14.37,7.919297282459511,⚪ 中性觀察,2025-12,32.84,577.0,2025,7.77
N/A,6499.TWO,N/A,-281.84999999999997,-5.76,-22.160000000000004,10.97,41.35,益安,⚠️ 獲利稀釋,21.08,0.0,⚪ 數據不足,2025-12,-7.24,94.9000015259,2025,43.24
N/A,6908.TW,N/A,0.0,1.05,-22.48,41.89,28.6,宏�砦C戲-創,⚠️ 獲利稀釋,5.88,0.0,⚪ 數據不足,2025-12,1.44,0.0,2025,28.36
N/A,6488.TWO,N/A,533.6999999999999,10.68,-22.5,-45.48,-0.4,環球晶,🌑 雙重衰退,-25.74,19.702079820123664,❌ 暫避觀望,2025-12,15.29,701.0,2025,-3.24
N/A,6844.TWO,N/A,93.0,1.44,-22.5,-32.39,1.48,諾貝兒,📉 獲利侵蝕,-21.14,10.741935237758065,⚪ 中性觀察,2025-12,2.35,66.5999984741,2025,1.36
N/A,7712.TWO,N/A,184.20000000000002,3.57,-22.55,-47.73,-6.32,博盛半導體,🌑 雙重衰退,-28.68,13.477198697068403,⚪ 中性觀察,2025-12,5.42,165.5,2025,-6.13
N/A,6862.TW,N/A,310.5,6.02,-22.57,-29.18,7.33,三集瑞-KY,📉 獲利侵蝕,-19.59,8.816425120772948,⚪ 中性觀察,2025-12,8.29,182.5,2025,2.98
N/A,8240.TWO,N/A,82.35000000000001,1.54,-22.57,-45.77,-1.21,華宏,🌑 雙重衰退,-27.57,11.493624494371584,⚪ 中性觀察,2025-12,2.18,63.0999984741,2025,-5.0
N/A,6655.TW,N/A,133.5,2.48,-22.58,-33.88,1.29,科定,📉 獲利侵蝕,-18.72,14.831460674157302,⚪ 中性觀察,2025-12,3.92,132.0,2025,3.86
19.82%,2258.TW,-262.93%,-66.3,-1.29,-22.64,-74.32,-48.42,鴻華先進-創,🌑 雙重衰退,-73.98,0.0,⚪ 數據不足,2025-12,-2.15,28.0,2025,-51.34
N/A,6205.TW,N/A,76.35,1.51,-22.64,-32.58,-0.59,詮欣,🌑 雙重衰退,-25.66,15.166993506522592,❌ 暫避觀望,2025-12,2.0,77.1999969482,2025,-3.02
N/A,6922.TWO,N/A,274.95000000000005,5.79,-22.66,-0.69,24.0,宸曜,📉 獲利侵蝕,-8.99,9.929078014184396,⚪ 中性觀察,2025-12,6.9,182.0,2025,13.67
23.43%,1341.TW,12.74%,132.14999999999998,2.32,-22.7,-36.61,-5.97,富林-KY,🌑 雙重衰退,-30.65,7.150964812712828,⚪ 中性觀察,2025-12,3.71,63.0,2025,-7.95
37.27%,2455.TW,21.78%,101.85,1.92,-22.75,-34.36,-3.9,全新,📉 獲利侵蝕,-18.46,56.921944035346094,❌ 暫避觀望,2025-12,2.97,386.5,2025,4.29
N/A,5222.TW,N/A,99.45,1.89,-22.799999999999997,-50.93,-28.87,全訊,🌑 雙重衰退,-49.48,18.778280542986426,❌ 暫避觀望,2025-12,2.51,124.5,2025,-26.68
N/A,6776.TW,N/A,156.0,3.18,-22.869999999999997,2.91,17.25,展�眥篕�,📉 獲利侵蝕,-8.03,5.625,⚪ 中性觀察,2025-12,4.2,58.5,2025,14.84
N/A,6944.TW,N/A,1107.15,22.26,-22.950000000000003,39.26,60.19,兆聯實業,⚠️ 獲利稀釋,41.25,12.450887413629589,⚪ 中性觀察,2025-12,32.29,919.0,2025,64.2
-26.90%,4909.TWO,-63.96%,-71.25,-1.46,-23.010000000000005,-117.3,-89.05,新復興,🌑 雙重衰退,-112.33,0.0,⚪ 數據不足,2025-12,-1.25,51.5,2025,-89.32
5.82%,2324.TW,1.38%,53.25,1.06,-23.129999999999995,-42.93,-16.8,仁寶,🌑 雙重衰退,-39.91,8.549295882112677,⚪ 中性觀察,2025-12,1.38,30.3500003815,2025,-16.78
37.68%,1294.TWO,21.70%,172.35,3.37,-23.349999999999998,-27.88,-5.13,漢田生技,📉 獲利侵蝕,-19.33,6.762401823167972,⚪ 中性觀察,2025-12,4.6,77.6999969482,2025,4.02
N/A,6671.TW,N/A,78.6,1.65,-23.369999999999997,-24.66,-0.04,三能-KY,🌑 雙重衰退,-25.47,5.391221374045802,⚪ 中性觀察,2025-12,2.37,28.25,2025,-2.1
19.39%,2375.TW,7.43%,137.10000000000002,2.77,-23.369999999999997,-20.4,5.21,凱美,📉 獲利侵蝕,-18.02,13.402625820568927,⚪ 中性觀察,2025-12,3.73,122.5,2025,5.35
8.14%,2939.TW,-46.94%,-149.25000000000003,-3.2,-23.5,-25.49,17.04,永邑-KY,🌑 雙重衰退,-24.32,0.0,⚪ 數據不足,2025-12,-3.68,22.4500007629,2025,-0.82
N/A,7786.TW,N/A,0.0,9.06,-23.520000000000003,49.5,57.65,東方風能,⚠️ 獲利稀釋,29.9,0.0,⚪ 數據不足,2025-12,11.11,0.0,2025,53.42
25.97%,3265.TWO,19.26%,194.25,3.73,-23.59,-20.3,10.78,台星科,📉 獲利侵蝕,-12.04,13.706563706563708,⚪ 中性觀察,2025-12,5.48,177.5,2025,11.55
37.85%,4113.TWO,-47.25%,-7.800000000000001,-0.16,-23.590000000000003,-105.26,-87.01,聯上,🌑 雙重衰退,-112.91,0.0,⚪ 數據不足,2025-12,-0.43,15.5,2025,-89.32
34.04%,2348.TW,22.47%,241.05,3.61,-23.640000000000004,-70.84,-24.42,海悅,🌑 雙重衰退,-51.27,4.31860619327318,⚪ 中性觀察,2025-12,6.85,69.4000015259,2025,-27.63
40.97%,3093.TWO,11.18%,50.099999999999994,1.04,-23.669999999999998,100.0,87.79,港建*,⚠️ 獲利稀釋,15.09,14.505988252365269,⚪ 中性觀察,2025-12,1.22,48.4500007629,2025,38.76
31.96%,1307.TW,13.66%,103.49999999999999,2.01,-23.72,-27.17,0.47,三芳,📉 獲利侵蝕,-23.39,4.5869564664492755,⚪ 中性觀察,2025-12,2.85,31.6499996185,2025,0.33
30.11%,3071.TWO,7.94%,24.0,0.53,-23.81,10.42,-8.68,協禧,🌑 雙重衰退,-29.63,18.5625004768125,❌ 暫避觀望,2025-12,0.57,29.7000007629,2025,-5.82
N/A,8032.TWO,N/A,68.85,1.45,-23.91,-11.59,20.85,光菱,⚠️ 獲利稀釋,1.86,9.193899948344226,⚪ 中性觀察,2025-12,2.19,42.2000007629,2025,25.77
39.56%,4737.TW,-24.14%,-69.75,-1.31,-23.93,16.13,-1.39,華廣,🌑 雙重衰退,-28.85,0.0,⚪ 數據不足,2025-12,-2.68,57.5,2025,-4.92
N/A,6277.TW,N/A,115.80000000000001,2.29,-24.110000000000003,-15.81,-2.96,宏正,🌑 雙重衰退,-25.6,9.66321223757772,⚪ 中性觀察,2025-12,3.08,74.5999984741,2025,-1.49
N/A,6482.TWO,N/A,0.0,1.59,-24.21,-21.29,0.15,弘煜科,🌑 雙重衰退,-34.28,0.0,⚪ 數據不足,2025-12,2.32,0.0,2025,-10.07
N/A,6640.TWO,N/A,433.79999999999995,9.4,-24.229999999999997,0.87,26.61,均華,📉 獲利侵蝕,-14.04,47.54495159059475,❌ 暫避觀望,2025-12,12.75,1375.0,2025,10.19
20.96%,2101.TW,4.39%,1.0499999999999998,-0.37,-24.230000000000004,-111.11,-49.07,南港,🔄 轉虧為盈,-68.84,444.28571973571434,❌ 暫避觀望,2025-12,1.01,31.1000003815,2025,-44.61
30.24%,2393.TW,9.23%,169.64999999999998,3.34,-24.36,-29.98,-6.27,億光,🌑 雙重衰退,-30.72,5.70291777188329,⚪ 中性觀察,2025-12,4.6,64.5,2025,-6.36
N/A,6962.TW,N/A,141.45000000000002,2.6,-24.36,-35.9,-16.15,奕力-KY,🌑 雙重衰退,-39.39,4.19406142493107,⚪ 中性觀察,2025-12,2.87,39.5499992371,2025,-15.03
13.61%,1609.TW,8.70%,65.4,1.62,-24.54,-11.48,3.44,大亞,📉 獲利侵蝕,-21.15,8.038990650711009,⚪ 中性觀察,2025-12,1.65,35.0499992371,2025,3.39
N/A,6245.TWO,N/A,152.25,2.89,-24.549999999999997,-32.55,-3.19,立端,🌑 雙重衰退,-28.08,8.384236302866995,⚪ 中性觀察,2025-12,4.38,85.0999984741,2025,-3.53
14.91%,2432.TW,7.25%,53.7,0.96,-24.57,-15.52,23.4,倚天酷��-創,⚠️ 獲利稀釋,1.06,7.332402234636872,⚪ 中性觀察,2025-12,1.88,26.25,2025,25.63
N/A,6913.TWO,N/A,160.79999999999998,3.41,-24.58,32.81,29.26,鴻呈,📉 獲利侵蝕,-2.92,12.779850746268657,⚪ 中性觀察,2025-12,4.34,137.0,2025,21.66
N/A,6227.TWO,N/A,233.55,4.69,-24.800000000000004,12.47,49.53,茂綸,⚠️ 獲利稀釋,17.08,7.482337829158638,⚪ 中性觀察,2025-12,7.54,116.5,2025,41.88
6.33%,2382.TW,3.76%,714.6,13.7,-24.99,20.44,49.49,廣達,⚠️ 獲利稀釋,25.55,6.465155331654072,⚪ 中性觀察,2025-12,19.45,308.0,2025,50.54
N/A,6151.TWO,N/A,49.05,1.06,-25.04,-10.17,2.96,晉倫,📉 獲利侵蝕,-21.62,14.235473772813458,⚪ 中性觀察,2025-12,1.16,46.5499992371,2025,3.42
38.83%,1597.TW,9.16%,26.1,0.5,-25.05,-36.36,2.59,直得,📉 獲利侵蝕,-15.24,95.6896551724138,❌ 暫避觀望,2025-12,0.91,166.5,2025,9.81
23.29%,1504.TW,6.47%,92.55000000000001,1.98,-25.14,-17.76,4.91,東元,📉 獲利侵蝕,-18.15,11.523500563063209,⚪ 中性觀察,2025-12,2.42,71.0999984741,2025,6.99
N/A,6143.TWO,N/A,194.55,3.72,-25.31,-24.7,15.7,振曜,📉 獲利侵蝕,-10.28,7.40940620463377,⚪ 中性觀察,2025-12,6.46,96.0999984741,2025,15.03
12.33%,2535.TW,8.34%,217.79999999999998,4.37,-25.45,25.0,47.68,達欣工,⚠️ 獲利稀釋,24.8,5.227272832362258,⚪ 中性觀察,2025-12,6.5,75.9000015259,2025,50.25
16.71%,2250.TW,2.64%,158.39999999999998,3.19,-25.5,-40.86,-5.59,IKKA-KY,🌑 雙重衰退,-33.62,5.899621139876895,⚪ 中性觀察,2025-12,3.99,62.2999992371,2025,-8.12
17.58%,1723.TW,7.03%,110.1,2.14,-25.520000000000003,-48.53,-22.96,中碳,🌑 雙重衰退,-48.92,11.089918464019073,⚪ 中性觀察,2025-12,2.65,81.4000015259,2025,-23.4
N/A,8996.TW,N/A,284.1,5.62,-25.940000000000005,1.46,42.57,高力,⚠️ 獲利稀釋,38.43,56.23020063357972,❌ 暫避觀望,2025-12,9.07,1065.0,2025,64.37
29.04%,3592.TW,5.17%,719.0999999999999,14.09,-25.96,-36.42,-8.48,瑞鼎,🌑 雙重衰退,-34.08,5.548602419691281,⚪ 中性觀察,2025-12,18.24,266.0,2025,-8.12
28.63%,4770.TW,14.44%,398.25000000000006,8.4,-26.12,-48.81,-24.07,上品,🌑 雙重衰退,-52.93,8.662900188323915,⚪ 中性觀察,2025-12,10.2,230.0,2025,-26.81
54.86%,4549.TWO,13.53%,124.95,2.43,-26.18,-27.89,-0.17,桓達,🏰 高護城河,-29.66,12.244897959183673,⚪ 中性觀察,2025-12,3.32,102.0,2025,-3.48
24.73%,3024.TW,-2.71%,16.5,0.33,-26.189999999999998,65.0,25.83,憶聲,🌑 雙重衰退,-57.58,15.590908744090909,❌ 暫避觀望,2025-12,0.28,17.1499996185,2025,-31.39
N/A,8183.TWO,N/A,51.75,0.96,-26.259999999999998,-46.02,6.74,精星,🌑 雙重衰退,-26.77,8.927536010753622,⚪ 中性觀察,2025-12,2.39,30.7999992371,2025,-0.51
23.19%,1227.TW,4.10%,47.7,0.94,-26.36,-32.61,-2.17,佳格,🌑 雙重衰退,-30.16,8.993710811792452,⚪ 中性觀察,2025-12,1.33,28.6000003815,2025,-3.8
17.44%,3015.TW,-0.45%,60.6,1.58,-26.47,-21.39,17.03,全漢,📉 獲利侵蝕,-13.89,12.623762376237623,⚪ 中性觀察,2025-12,1.86,51.0,2025,12.58
N/A,5292.TW,N/A,361.5,6.88,-26.58,2.53,37.75,華懋,⚠️ 獲利稀釋,0.71,9.149377593360995,⚪ 中性觀察,2025-12,9.93,220.5,2025,27.29
29.12%,3693.TWO,0.48%,689.6999999999999,13.32,-26.729999999999997,-36.05,-5.96,營邦,🌑 雙重衰退,-38.69,11.65724227925185,⚪ 中性觀察,2025-12,15.5,536.0,2025,-11.96
63.82%,3580.TWO,13.96%,70.8,1.46,-26.800000000000004,-66.67,-37.28,友威科,🏰 高護城河,-61.35,21.186440677966104,❌ 暫避觀望,2025-12,1.94,100.0,2025,-34.55
N/A,6651.TWO,N/A,227.1,4.35,-26.86,-27.55,9.61,全宇昕,📉 獲利侵蝕,-22.95,8.256274768824307,⚪ 中性觀察,2025-12,6.32,125.0,2025,3.91
16.95%,2427.TW,3.22%,60.300000000000004,1.11,-26.96,8.91,18.73,三商電,⚠️ 獲利稀釋,6.99,5.074626770771144,⚪ 中性觀察,2025-12,1.53,20.3999996185,2025,33.95
19.04%,3443.TW,10.13%,1016.8499999999999,19.48,-27.08,0.26,14.3,創意,⚠️ 獲利稀釋,9.24,74.71603481339432,❌ 暫避觀望,2025-12,28.13,5065.0,2025,36.32
N/A,6279.TWO,N/A,360.5999999999999,6.27,-27.14,-32.23,13.16,胡連,📉 獲利侵蝕,-15.51,4.970881863560733,⚪ 中性觀察,2025-12,10.74,119.5,2025,11.63
42.20%,1519.TW,19.22%,463.50000000000006,8.68,-27.19,-8.44,25.2,華城,📉 獲利侵蝕,-6.3,25.88996763754045,❌ 暫避觀望,2025-12,13.99,800.0,2025,20.89
10.51%,3691.TWO,-1.93%,-356.70000000000005,-8.15,-27.29,-436.18,-33.93,碩禾,🌑 雙重衰退,-35.83,0.0,⚪ 數據不足,2025-12,-7.62,142.5,2025,-8.54
N/A,9921.TW,N/A,97.64999999999999,2.31,-27.39,-58.3,-16.86,巨大,🌑 雙重衰退,-42.86,10.875576505652843,⚪ 中性觀察,2025-12,1.84,70.8000030518,2025,-15.47
51.54%,3533.TW,29.92%,2474.55,47.64,-27.490000000000002,-16.1,12.55,嘉澤,🏰 高護城河,-15.21,15.305813178153604,❌ 暫避觀望,2025-12,70.17,2525.0,2025,12.28
N/A,6768.TW,N/A,288.90000000000003,5.32,-27.52,-8.3,16.51,志強-KY,📉 獲利侵蝕,-17.06,4.423675854008307,⚪ 中性觀察,2025-12,6.77,85.1999969482,2025,10.46
25.49%,4905.TWO,0.20%,50.4,1.78,-27.71,-10.55,23.69,台聯電,📉 獲利侵蝕,-5.15,23.214285714285715,❌ 暫避觀望,2025-12,2.76,78.0,2025,22.56
N/A,5291.TWO,N/A,8.700000000000001,0.24,-27.759999999999998,-24.24,9.23,邑昇,📉 獲利侵蝕,-17.95,135.86207422724138,❌ 暫避觀望,2025-12,0.31,78.8000030518,2025,9.81
N/A,8085.TWO,N/A,-35.699999999999996,-0.39,-27.87,40.0,7.62,福華,📉 獲利侵蝕,-17.44,0.0,⚪ 數據不足,2025-12,-1.01,11.5500001907,2025,10.43
18.27%,2492.TW,6.37%,144.9,2.95,-27.87,-30.82,4.98,華新科,📉 獲利侵蝕,-22.96,27.53623188405797,❌ 暫避觀望,2025-12,4.74,266.0,2025,4.91
N/A,6668.TW,N/A,-61.49999999999999,-1.11,-27.950000000000003,11.02,17.0,中揚光,📉 獲利侵蝕,-3.35,0.0,⚪ 數據不足,2025-12,-1.93,39.4500007629,2025,24.6
N/A,5203.TW,N/A,126.15,2.58,-27.96,-10.73,16.83,訊連,📉 獲利侵蝕,-9.05,7.681331566480381,⚪ 中性觀察,2025-12,3.63,64.5999984741,2025,18.91
31.61%,4164.TW,15.00%,29.550000000000004,0.64,-28.09,-18.92,23.64,承業醫,📉 獲利侵蝕,-5.94,14.51776669111675,⚪ 中性觀察,2025-12,1.0,28.6000003815,2025,22.15
N/A,6887.TW,N/A,165.45000000000002,2.54,-28.18,0.0,-2.88,寶綠特-KY,🌑 雙重衰退,-40.21,3.1414325952765183,⚪ 中性觀察,2025-12,4.58,34.6500015259,2025,-12.03
N/A,9906.TW,N/A,-65.1,-1.99,-28.209999999999994,-155.28,-85.68,欣巴巴,🔄 轉虧為盈,-98.58,0.0,⚪ 數據不足,2025-12,0.09,35.0,2025,-70.37
52.84%,1436.TW,-23.97%,219.74999999999997,6.01,-28.340000000000003,-67.23,-39.72,華友聯,🏰 高護城河,-72.4,3.1058020477815704,⚪ 中性觀察,2025-12,5.39,45.5,2025,-44.06
30.63%,2233.TW,10.84%,255.6,5.02,-28.379999999999995,-41.63,-9.39,宇隆,🌑 雙重衰退,-38.87,20.246478873239436,❌ 暫避觀望,2025-12,6.7,345.0,2025,-10.49
32.99%,2476.TW,19.39%,0.0,2.72,-28.64,-30.26,10.54,鉅祥,📉 獲利侵蝕,-15.98,0.0,⚪ 數據不足,2025-12,4.36,0.0,2025,12.66
23.25%,4551.TW,11.86%,195.6,3.64,-28.85,-23.04,1.19,智伸科,📉 獲利侵蝕,-27.14,12.154907975460123,⚪ 中性觀察,2025-12,6.04,158.5,2025,1.71
15.31%,2905.TW,0.88%,19.499999999999996,0.53,-28.85,-66.44,-7.06,三商,🌑 雙重衰退,-49.63,10.269231062692308,⚪ 中性觀察,2025-12,0.71,13.3500003815,2025,-20.78
N/A,7782.TWO,N/A,0.0,1.48,-29.259999999999998,-8.07,2.13,光速火箭,🌑 雙重衰退,-30.88,0.0,⚪ 數據不足,2025-12,2.13,26.75,2025,-1.62
30.16%,4161.TWO,10.81%,40.05,0.78,-29.520000000000003,-39.02,-5.67,聿新科,🌑 雙重衰退,-32.77,8.820224433370786,⚪ 中性觀察,2025-12,1.23,23.5499992371,2025,-3.25
25.58%,4721.TWO,18.00%,111.14999999999999,2.1,-29.700000000000003,-20.75,25.22,美琪瑪,📉 獲利侵蝕,-10.42,11.646424163535764,⚪ 中性觀察,2025-12,3.01,86.3000030518,2025,19.28
37.08%,2748.TW,16.89%,76.20000000000002,1.11,-29.91,-42.78,-0.81,雲品,🌑 雙重衰退,-30.67,7.736220322263779,⚪ 中性觀察,2025-12,2.17,39.2999992371,2025,-0.76
N/A,8255.TWO,N/A,239.70000000000002,4.64,-30.02,-28.62,10.7,朋程,📉 獲利侵蝕,-23.11,9.668335419274092,⚪ 中性觀察,2025-12,6.32,154.5,2025,6.91
N/A,5471.TW,N/A,25.65,0.5,-30.200000000000003,-41.86,-1.99,松翰,🌑 雙重衰退,-32.71,30.701754385964914,❌ 暫避觀望,2025-12,0.72,52.5,2025,-2.51
N/A,6412.TW,N/A,186.15,4.03,-30.32,-34.89,-2.55,群電,🌑 雙重衰退,-37.65,7.824335090580178,⚪ 中性觀察,2025-12,5.2,97.0999984741,2025,-7.33
N/A,8011.TW,N/A,52.8,1.0,-30.38,26.58,-22.22,台通,🌑 雙重衰退,-46.94,5.127840692357955,⚪ 中性觀察,2025-12,1.3,18.0499992371,2025,-16.56
8.57%,4401.TWO,1.90%,23.7,0.48,-30.45,-33.33,0.86,東隆興,🌑 雙重衰退,-31.13,8.829113803354431,⚪ 中性觀察,2025-12,0.73,13.9499998093,2025,-0.68
N/A,6136.TW,N/A,29.7,0.95,-30.939999999999998,15.85,26.89,富爾特,📉 獲利侵蝕,-1.11,12.853535738838383,⚪ 中性觀察,2025-12,0.89,25.4500007629,2025,29.83
29.23%,2493.TW,18.00%,165.75,3.16,-30.96,-32.04,1.62,揚博,📉 獲利侵蝕,-27.93,12.262443438914026,⚪ 中性觀察,2025-12,4.36,135.5,2025,3.03
N/A,6642.TWO,N/A,94.64999999999999,1.78,-30.98,-34.8,6.19,富致,📉 獲利侵蝕,-27.37,13.819333906212362,⚪ 中性觀察,2025-12,2.6,87.1999969482,2025,3.61
28.22%,2548.TW,24.04%,184.20000000000002,1.82,-31.0,-63.6,-32.14,華固,⚠️ 獲利稀釋,121.88,10.05700325732899,⚪ 中性觀察,2025-12,10.15,123.5,2025,152.88
N/A,9918.TW,N/A,64.05,1.3,-31.14,-28.09,5.03,欣天然,📉 獲利侵蝕,-28.18,10.140515043817333,⚪ 中性觀察,2025-12,1.61,43.2999992371,2025,2.96
42.21%,2881.TW,22.46%,316.35,6.23,-31.299999999999997,-26.79,-2.69,富邦金,📉 獲利侵蝕,-21.56,4.556661852731152,⚪ 中性觀察,2025-12,8.37,96.0999984741,2025,9.74
