gm,symbol,om,est_price,prev_eps,expansion,prev_eps_yoy,prev_rev_yoy,name,status,eps_yoy,pe,advice,date,eps,price,prev_year,rev_yoy
17.05%,2413.TW,3.38%,-9.6,-0.25,189.66,62.12,8.02,環科,🔄 轉虧為盈,193.18,0.0,⚪ 數據不足,2025-12,0.41,51.0999984741,2025,3.52
5.36%,1516.TW,-14.33%,0.30000000000000027,0.1,187.65,-70.59,-90.58,川飛,🧐 疑業外收益,100.65,1049.999999999999,⚠️ 追價風險,2025-12,0.04,21.0,2025,-87.0
N/A,6112.TW,N/A,56.25,1.2,184.49,-3.23,20.56,邁達特,🚀 利潤擴張,203.33,11.306667073573333,💎 強力關注,2025-12,1.82,42.4000015259,2025,18.84
N/A,6246.TWO,N/A,11.099999999999998,-0.04,179.8,97.79,11.15,臺龍,🔄 轉虧為盈,186.36,20.878378120675677,⚪ 中性觀察,2025-12,1.14,15.4499998093,2025,6.56
41.59%,4746.TW,21.37%,0.0,2.44,177.61,39.43,4.96,台耀,🚀 利潤擴張,180.15,0.0,⚪ 數據不足,2025-12,3.67,0.0,2025,2.54
8.05%,3609.TWO,-11.23%,163.5,7.31,177.55,314.37,27.17,三一東林,🚀 利潤擴張,248.27,2.568807339449541,💎 強力關注,2025-12,6.42,28.0,2025,70.72
N/A,6573.TW,N/A,20.7,1.61,176.83,228.8,-11.95,虹揚-KY,🧐 疑業外收益,163.4,9.528985230797103,💎 強力關注,2025-12,1.23,13.1499996185,2025,-13.43
N/A,6719.TW,N/A,213.00000000000003,4.25,174.75,89.73,22.77,力智,🚀 利潤擴張,198.64,16.443661971830984,⚪ 中性觀察,2025-12,6.58,233.5,2025,23.89
N/A,6127.TWO,N/A,29.999999999999996,0.91,174.57,275.0,-0.97,九豪,🧐 疑業外收益,173.44,26.500000000000004,⚠️ 追價風險,2025-12,0.47,53.0,2025,-1.13
42.07%,4556.TWO,14.30%,24.750000000000004,0.49,174.34,172.22,-8.55,旭然,🧐 疑業外收益,170.59,24.060606522969692,⚠️ 追價風險,2025-12,0.92,39.7000007629,2025,-3.75
N/A,5703.TWO,N/A,13.5,0.09,173.32999999999998,175.0,4.04,亞都,🚀 利潤擴張,178.95,15.166666242777778,✅ 穩健價值,2025-12,0.53,13.6499996185,2025,5.62
N/A,6209.TW,N/A,22.800000000000004,0.49,172.01999999999998,190.57,39.08,今國光,🚀 利潤擴張,222.67,57.039471676447356,⚠️ 追價風險,2025-12,0.92,86.6999969482,2025,50.65
N/A,6841.TWO,N/A,33.150000000000006,0.81,171.64000000000001,1700.0,2.1,長佳智能,🚀 利潤擴張,183.87,27.2398193497285,⚠️ 追價風險,2025-12,0.89,60.2000007629,2025,12.23
N/A,7610.TW,N/A,0.0,1.75,166.18,3.33,-4.54,聯友金屬-創,🚀 利潤擴張,194.08,0.0,⚪ 數據不足,2025-12,5.45,0.0,2025,27.9
18.05%,1587.TW,2.96%,10.35,0.24,164.99,155.81,19.92,吉茂,🚀 利潤擴張,188.1,41.01449164797102,⚠️ 追價風險,2025-12,0.37,28.2999992371,2025,23.11
15.86%,2486.TW,1.35%,4.65,0.16,164.91,300.0,13.26,一詮,🚀 利潤擴張,175.0,898.3870967741935,⚠️ 追價風險,2025-12,0.22,278.5,2025,10.09
N/A,6994.TW,N/A,0.0,1.13,164.37,47.95,21.0,富威電力,🚀 利潤擴張,328.87,0.0,⚪ 數據不足,2025-12,6.34,0.0,2025,164.5
N/A,6596.TWO,N/A,693.9,17.41,164.31,241.37,97.52,寬宏藝術,🚀 利潤擴張,242.99,2.116299211541288,💎 強力關注,2025-12,18.83,97.9000015259,2025,78.68
N/A,6265.TWO,N/A,-11.25,-0.24,160.96,-271.43,25.19,方土昶,🔄 轉虧為盈,223.81,0.0,⚪ 數據不足,2025-12,0.68,43.75,2025,62.85
N/A,5439.TWO,N/A,435.15,9.52,160.61999999999998,280.8,130.37,高技,🚀 利潤擴張,291.45,12.97828335056877,✅ 穩健價值,2025-12,13.74,376.5,2025,130.83
10.14%,3489.TWO,3.61%,-4.95,-0.13,159.73000000000002,23.53,-54.34,森寶,🧐 疑業外收益,89.89,0.0,⚪ 數據不足,2025-12,-0.09,22.0,2025,-69.84
7.66%,4526.TW,-21.47%,106.8,2.61,157.18,271.05,-1.22,東台,🧐 疑業外收益,150.56,5.344101016446629,💎 強力關注,2025-12,1.81,38.0499992371,2025,-6.62
4.18%,3630.TWO,-22.27%,91.05,2.19,153.81,219.44,18.28,新鉅科,🚀 利潤擴張,173.02,4.497528704629325,💎 強力關注,2025-12,1.86,27.2999992371,2025,19.21
