eps,symbol,prev_year,name,expansion,status,eps_yoy,rev_yoy,prev_eps_yoy,prev_rev_yoy,price,est_price,date,om,advice,gm,pe,prev_eps
2.01,3048.TW,2025,益登,193.66,🚀 利潤擴張,195.71,2.05,153.27,5.31,73.3000030518,60.59999999999999,2025-12,1.71%,⚪ 中性觀察,3.50%,18.143565111831688,1.14
0.76,6202.TW,2025,盛群,191.41,🚀 利潤擴張,213.64,22.23,191.04,31.27,50.5,34.199999999999996,2025-12,N/A,⚠️ 追價風險,N/A,22.149122807017545,0.62
0.41,2413.TW,2025,環科,189.66,🔄 轉虧為盈,193.18,3.52,62.12,8.02,59.5999984741,-9.6,2025-12,3.38%,⚪ 數據不足,17.05%,0.0,-0.25
0.04,1516.TW,2025,川飛,187.65,🧐 疑業外收益,100.65,-87.0,-70.59,-90.58,21.9500007629,0.30000000000000027,2025-12,-14.33%,⚠️ 追價風險,5.36%,1097.500038144999,0.1
1.82,6112.TW,2025,邁達特,184.49,🚀 利潤擴張,203.33,18.84,-3.23,20.56,47.5999984741,56.25,2025-12,N/A,✅ 穩健價值,N/A,12.693332926426667,1.2
1.14,6246.TWO,2025,臺龍,179.8,🔄 轉虧為盈,186.36,6.56,97.79,11.15,15.25,11.099999999999998,2025-12,N/A,⚪ 中性觀察,N/A,20.608108108108112,-0.04
3.67,4746.TW,2025,台耀,177.61,🚀 利潤擴張,180.15,2.54,39.43,4.96,51.7999992371,102.89999999999999,2025-12,21.37%,💎 強力關注,41.59%,7.551020296953354,2.44
6.42,3609.TWO,2025,三一東林,177.55,🚀 利潤擴張,248.27,70.72,314.37,27.17,27.7000007629,163.5,2025-12,-11.23%,💎 強力關注,8.05%,2.5412844736605504,7.31
1.23,6573.TW,2025,虹揚-KY,176.83,🧐 疑業外收益,163.4,-13.43,228.8,-11.95,15.0500001907,20.7,2025-12,N/A,💎 強力關注,N/A,10.905797239637682,1.61
6.58,6719.TW,2025,力智,174.75,🚀 利潤擴張,198.64,23.89,89.73,22.77,213.0,213.00000000000003,2025-12,N/A,✅ 穩健價值,N/A,14.999999999999998,4.25
0.47,6127.TWO,2025,九豪,174.57,🧐 疑業外收益,173.44,-1.13,275.0,-0.97,77.0,29.999999999999996,2025-12,N/A,⚠️ 追價風險,N/A,38.50000000000001,0.91
0.92,4556.TWO,2025,旭然,174.34,🧐 疑業外收益,170.59,-3.75,172.22,-8.55,55.2999992371,24.750000000000004,2025-12,14.30%,⚠️ 追價風險,42.07%,33.51515105278788,0.49
