Stock,Name,Date,Close,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
6517.TWO,保勝光學,20260527,59.1,-3388,437,3825,-0.1x,-2.31%,★ 壓低偷買
3596.TW,智易,20260527,188.5,89,3905,3815,43.4x,3.86%,▲ 順勢追意
2241.TW,艾姆勒,20260527,36.35,-1997,1811,3808,-0.9x,8.35%,▲ 順勢追意
6435.TWO,大中,20260527,290.0,-1424,2381,3806,-1.7x,25.81%,▲ 順勢追意
6206.TW,飛捷,20260527,138.5,-56,3748,3804,-66.3x,5.73%,▲ 順勢追意
8104.TW,錸寶,20260527,37.25,-360,3442,3803,-9.5x,10.86%,▲ 順勢追意
8182.TWO,加高,20260527,44.1,871,4599,3727,5.3x,20.33%,▲ 順勢追意
4763.TW,材料*-KY,20260527,41.4,-1350,2331,3682,-1.7x,0.61%,▲ 順勢追意
8046.TW,南電,20260527,905.0,-5782,-2135,3647,0.4x,9.17%,無
5269.TW,祥碩,20260527,1495.0,-2344,1295,3639,-0.6x,7.94%,▲ 順勢追意
2385.TW,群光,20260527,135.5,-1976,1654,3631,-0.8x,5.45%,▲ 順勢追意
3209.TW,全科,20260527,81.4,-821,2807,3628,-3.4x,4.36%,▲ 順勢追意
00720B.TWO,元大投資級公司債,20260527,32.89,829,4434,3604,5.3x,1.83%,▲ 順勢追意
2308.TW,台達電,20260527,2520.0,-334,3224,3558,-9.6x,31.59%,▲ 順勢追意
6188.TWO,廣明,20260527,83.9,1692,5250,3557,3.1x,3.97%,▲ 順勢追意
1519.TW,華城,20260527,878.0,-3486,55,3542,-0.0x,14.03%,▲ 順勢追意
5498.TWO,凱崴,20260527,68.8,-398,3129,3528,-7.8x,12.23%,▲ 順勢追意
6161.TWO,捷波,20260527,60.1,-2688,584,3273,-0.2x,17.84%,▲ 順勢追意
2845.TW,遠東銀,20260527,11.9,-3380,-107,3272,0.0x,-0.42%,無
6499.TWO,益安,20260527,87.6,-2915,342,3258,-0.1x,-7.30%,★ 壓低偷買
6426.TW,統新,20260527,280.5,-1219,2010,3229,-1.6x,17.36%,▲ 順勢追意
3372.TWO,典範,20260527,22.05,310,3485,3175,11.2x,15.75%,▲ 順勢追意
3354.TWO,律勝,20260527,32.5,-2904,247,3152,-0.1x,2.36%,▲ 順勢追意
7795.TW,長廣,20260527,407.0,-599,2533,3133,-4.2x,17.97%,▲ 順勢追意
7777.TWO,能率亞洲,20260527,35.15,-4366,-1233,3133,0.3x,7.33%,無
00998A.TWO,主動復華金融股息,20260527,16.16,-974,2152,3127,-2.2x,3.52%,▲ 順勢追意
00694B.TWO,富邦美債1-3年,20260527,41.37,-2403,658,3061,-0.3x,-0.65%,★ 壓低偷買
00985D.TWO,主動貝萊德優投等,20260527,10.1,26,3087,3060,114.3x,1.30%,▲ 順勢追意
4755.TW,三福化,20260527,162.5,-53,2988,3041,-56.2x,20.37%,▲ 順勢追意
3546.TWO,宇峻,20260527,81.3,-2786,236,3023,-0.1x,0.00%,★ 壓低偷買
00942B.TWO,台新美A公司債20+,20260527,14.27,-2259,760,3019,-0.3x,1.93%,▲ 順勢追意
8234.TWO,新漢,20260527,71.3,-2273,742,3016,-0.3x,8.85%,▲ 順勢追意
00733.TW,富邦臺灣中小,20260527,77.35,-243,2758,3001,-11.3x,15.45%,▲ 順勢追意
2801.TW,彰銀,20260527,20.15,-11369,-8371,2997,0.7x,-0.98%,無
3551.TWO,世禾,20260527,207.5,-474,2478,2952,-5.2x,7.51%,▲ 順勢追意
6118.TWO,建達,20260527,17.95,-2611,315,2927,-0.1x,2.87%,▲ 順勢追意
3060.TW,銘異,20260527,29.8,-1478,1348,2827,-0.9x,12.03%,▲ 順勢追意
3402.TWO,漢科,20260527,154.0,33,2859,2825,84.9x,17.11%,▲ 順勢追意
6245.TWO,立端,20260527,90.6,929,3701,2771,4.0x,9.69%,▲ 順勢追意
5386.TWO,青雲,20260527,587.0,24,2782,2758,114.5x,36.67%,▲ 順勢追意
6546.TWO,正基,20260527,80.7,869,3605,2736,4.1x,12.87%,▲ 順勢追意
6716.TWO,應廣,20260527,107.0,-503,2220,2723,-4.4x,9.07%,▲ 順勢追意
00885.TW,富邦越南,20260527,18.86,-2669,48,2718,-0.0x,-1.26%,★ 壓低偷買
00753L.TW,中信中國50正2,20260527,9.8,-17077,-14413,2664,0.8x,-3.64%,無
1810.TW,和成,20260527,19.9,1373,3995,2622,2.9x,8.15%,▲ 順勢追意
6196.TW,帆宣,20260527,500.0,-1678,890,2568,-0.5x,23.76%,▲ 順勢追意
00931B.TWO,統一美債20年,20260527,13.31,1070,3617,2546,3.4x,1.84%,▲ 順勢追意
3290.TWO,東浦,20260527,47.65,-2115,416,2532,-0.2x,2.36%,▲ 順勢追意
2645.TW,長榮航太,20260527,161.5,-418,2072,2491,-5.0x,5.90%,▲ 順勢追意
3675.TWO,德微,20260527,365.0,7375,9858,2483,1.3x,17.17%,▲ 順勢追意
8111.TWO,立��,20260527,67.6,162,2629,2467,16.2x,10.82%,▲ 順勢追意
1215.TW,卜蜂,20260527,129.5,-1761,701,2463,-0.4x,-8.80%,★ 壓低偷買
6937.TW,天虹,20260527,319.0,-134,2312,2447,-17.2x,14.13%,▲ 順勢追意
5381.TWO,光譜,20260527,26.2,-2433,-68,2365,0.0x,5.86%,無
1608.TW,華榮,20260527,33.65,-711,1629,2340,-2.3x,6.83%,▲ 順勢追意
4770.TW,上品,20260527,263.5,-69,2260,2329,-32.7x,16.59%,▲ 順勢追意
2417.TW,圓剛,20260527,50.2,-1500,816,2317,-0.5x,5.80%,▲ 順勢追意
6588.TWO,東典光電,20260527,128.0,-2540,-225,2315,0.1x,4.07%,無
6143.TWO,振曜,20260527,100.0,-1395,919,2315,-0.7x,5.04%,▲ 順勢追意
00896.TW,中信綠能及電動車,20260527,28.56,-1996,259,2255,-0.1x,13.15%,▲ 順勢追意
6409.TW,旭隼,20260527,707.0,-2253,-10,2242,0.0x,5.84%,無
2009.TW,第一銅,20260527,39.7,-971,1264,2236,-1.3x,4.47%,▲ 順勢追意
8081.TW,致新,20260527,288.0,-2287,-52,2235,0.0x,5.88%,無
3479.TWO,安勤,20260527,137.0,-1086,1146,2232,-1.1x,23.98%,▲ 順勢追意
6432.TWO,今展科,20260527,65.2,6209,8412,2203,1.4x,23.72%,▲ 順勢追意
00958B.TWO,永豐ESG銀行債15+,20260527,9.22,-485,1708,2193,-3.5x,1.21%,▲ 順勢追意
3483.TWO,力致,20260527,96.3,406,2503,2096,6.2x,11.20%,▲ 順勢追意
2032.TW,新鋼,20260527,18.0,133,2225,2091,16.6x,9.76%,▲ 順勢追意
3051.TW,力特,20260527,27.25,-136,1946,2082,-14.3x,9.66%,▲ 順勢追意
1514.TW,亞力,20260527,125.0,-3004,-929,2074,0.3x,10.62%,無
6679.TWO,鈺太,20260527,330.0,-1006,1065,2072,-1.1x,5.10%,▲ 順勢追意
2467.TW,志聖,20260527,657.0,-597,1468,2065,-2.5x,18.59%,▲ 順勢追意
00650L.TW,復華香港正2,20260527,16.74,-5490,-3450,2039,0.6x,-2.50%,無
3390.TWO,旭軟,20260527,29.8,-11,2023,2035,-173.8x,10.37%,▲ 順勢追意
6509.TWO,聚和,20260527,51.2,12394,14403,2009,1.2x,7.45%,▲ 順勢追意
2397.TW,友通,20260527,62.9,-1492,512,2004,-0.3x,4.49%,▲ 順勢追意
5284.TW,jpp-KY,20260527,442.0,-1325,661,1987,-0.5x,21.76%,▲ 順勢追意
8996.TW,高力,20260527,1215.0,-935,1050,1986,-1.1x,22.23%,▲ 順勢追意
6552.TW,易華電,20260527,36.55,-6,1971,1977,-326.4x,30.54%,▲ 順勢追意
4768.TWO,晶呈科技,20260527,504.0,812,2789,1976,3.4x,24.29%,▲ 順勢追意
3213.TWO,茂訊,20260527,120.5,-67,1885,1952,-28.0x,4.78%,▲ 順勢追意
00893.TW,國泰智能電動車,20260527,47.5,-802,1117,1919,-1.4x,9.32%,▲ 順勢追意
00905.TW,FT臺灣SMART,20260527,27.13,-753,1158,1912,-1.5x,14.86%,▲ 順勢追意
1710.TW,東聯,20260527,12.95,-991,919,1910,-0.9x,0.00%,★ 壓低偷買
1722.TW,台肥,20260527,45.65,-1670,240,1910,-0.1x,-0.22%,★ 壓低偷買
3379.TWO,彬台,20260527,40.7,-1787,119,1906,-0.1x,0.37%,★ 壓低偷買
3437.TW,榮創,20260527,23.8,864,2758,1894,3.2x,-0.63%,★ 壓低偷買
00968B.TWO,元大優息投等債,20260527,9.24,-697,1185,1882,-1.7x,1.54%,▲ 順勢追意
6152.TW,百一,20260527,14.95,-364,1491,1855,-4.1x,0.00%,★ 壓低偷買
6226.TW,光鼎,20260527,13.4,243,2085,1841,8.6x,8.94%,▲ 順勢追意
3467.TWO,台灣精材,20260527,77.5,68,1907,1838,27.8x,27.26%,▲ 順勢追意
3528.TW,安馳,20260527,103.5,754,2577,1822,3.4x,24.85%,▲ 順勢追意
00949.TW,復華日本龍頭,20260527,20.34,-934,856,1790,-0.9x,1.95%,▲ 順勢追意
6438.TW,迅得,20260527,171.5,-724,1048,1772,-1.4x,6.85%,▲ 順勢追意
3011.TW,今皓,20260527,13.15,-410,1330,1740,-3.2x,0.77%,▲ 順勢追意
8240.TWO,華宏,20260527,68.2,-2387,-647,1739,0.3x,11.07%,無
6113.TWO,亞矽,20260527,26.9,-274,1454,1729,-5.3x,8.91%,▲ 順勢追意
2731.TW,雄獅,20260527,166.0,-906,818,1725,-0.9x,3.75%,▲ 順勢追意
3230.TWO,錦明,20260527,30.45,-1090,603,1694,-0.6x,-5.58%,★ 壓低偷買
3024.TW,憶聲,20260527,15.85,-1939,-266,1673,0.1x,-10.96%,無
2634.TW,漢翔,20260527,45.5,-1375,290,1666,-0.2x,-0.22%,★ 壓低偷買
3010.TW,華立,20260527,139.0,-39,1625,1664,-41.6x,7.75%,▲ 順勢追意
4766.TW,南寶,20260527,367.0,-1037,599,1636,-0.6x,3.09%,▲ 順勢追意
6584.TWO,南俊國際,20260527,688.0,-1664,-36,1628,0.0x,9.55%,無
4949.TW,有成精密,20260527,102.0,2239,3859,1619,1.7x,16.84%,▲ 順勢追意
6693.TWO,廣閎科,20260527,151.0,-17,1587,1604,-92.5x,10.22%,▲ 順勢追意
3591.TW,艾笛森,20260527,25.5,3026,4610,1583,1.5x,-1.54%,★ 壓低偷買
1795.TW,美時,20260527,191.5,-1808,-231,1577,0.1x,-0.52%,無
009803.TW,玉山市值動能50,20260527,21.92,1568,3145,1576,2.0x,14.17%,▲ 順勢追意
6862.TW,三集瑞-KY,20260527,186.0,302,1872,1569,6.2x,12.05%,▲ 順勢追意
00903.TW,富邦元宇宙,20260527,22.29,-153,1407,1560,-9.2x,5.59%,▲ 順勢追意
2637.TW,慧洋-KY,20260527,75.9,-266,1293,1559,-4.9x,5.71%,▲ 順勢追意
3438.TWO,類比科,20260527,74.0,-913,630,1543,-0.7x,9.96%,▲ 順勢追意
6491.TW,晶碩,20260527,325.0,-195,1342,1538,-6.9x,7.26%,▲ 順勢追意
8438.TW,昶昕,20260527,88.5,-1880,-361,1518,0.2x,-0.23%,無
6214.TW,精誠,20260527,129.0,154,1670,1515,10.8x,4.03%,▲ 順勢追意
9933.TW,中鼎,20260527,39.35,3823,5333,1510,1.4x,1.55%,▲ 順勢追意
00932.TW,兆豐永續高息等權,20260527,16.69,-1936,-443,1493,0.2x,2.71%,無
00924.TW,復華S&P500成長,20260527,32.34,-536,953,1489,-1.8x,1.60%,▲ 順勢追意
2104.TW,國際中橡,20260527,9.86,-1625,-163,1462,0.1x,-0.60%,無
2547.TW,日勝生,20260527,9.9,-1733,-296,1436,0.2x,-1.00%,無
6658.TW,聯策,20260527,230.5,-3575,-2147,1428,0.6x,35.59%,無
4741.TWO,泓瀚,20260527,62.6,899,2325,1425,2.6x,17.01%,▲ 順勢追意
1773.TW,勝一,20260527,195.0,-235,1187,1423,-5.0x,19.27%,▲ 順勢追意
2230.TWO,泰茂,20260527,28.45,-1463,-39,1423,0.0x,-0.87%,無
6781.TW,AES-KY,20260527,1205.0,-534,858,1392,-1.6x,10.55%,▲ 順勢追意
1560.TW,中砂,20260527,727.0,-1001,386,1388,-0.4x,19.38%,▲ 順勢追意
00752.TW,中信中國50,20260527,22.84,-213,1149,1363,-5.4x,-3.59%,★ 壓低偷買
9907.TW,統一實,20260527,15.85,-2551,-1223,1327,0.5x,-0.31%,無
009813.TW,貝萊德標普卓越50,20260527,11.3,-706,611,1318,-0.9x,0.18%,★ 壓低偷買
4961.TW,天鈺,20260527,171.5,530,1849,1318,3.5x,0.29%,★ 壓低偷買
1301.TW,台塑,20260527,45.45,-2991,-1681,1310,0.6x,0.11%,無
2347.TW,聯強,20260527,85.9,-716,579,1295,-0.8x,2.63%,▲ 順勢追意
6533.TW,晶心科,20260527,228.0,72,1352,1279,18.7x,5.31%,▲ 順勢追意
3594.TWO,磐儀,20260527,53.5,-683,549,1233,-0.8x,10.42%,▲ 順勢追意
4772.TWO,台特化,20260527,302.5,-394,831,1225,-2.1x,4.49%,▲ 順勢追意
6913.TWO,鴻呈,20260527,144.0,273,1484,1211,5.4x,11.20%,▲ 順勢追意
6134.TWO,萬旭,20260527,33.3,-394,814,1209,-2.1x,10.45%,▲ 順勢追意
1762.TW,中化生,20260527,39.7,-754,446,1201,-0.6x,2.45%,▲ 順勢追意
6111.TWO,光聚晶電,20260527,45.4,-1263,-70,1192,0.1x,-2.37%,無
3071.TWO,協禧,20260527,33.1,94,1270,1176,13.5x,13.75%,▲ 順勢追意
1436.TW,華友聯,20260527,44.05,-50,1121,1172,-22.1x,-3.72%,★ 壓低偷買
3229.TW,晟鈦,20260527,45.9,-337,820,1157,-2.4x,21.43%,▲ 順勢追意
00898.TW,國泰基因免疫革命,20260527,8.11,-91,1066,1157,-11.6x,3.97%,▲ 順勢追意
00986D.TWO,主動復華金融債息,20260527,14.71,109,1261,1152,11.5x,0.41%,★ 壓低偷買
2066.TWO,世德,20260527,55.7,-1100,45,1146,-0.0x,1.64%,▲ 順勢追意
3322.TWO,建舜電,20260527,13.2,-1035,96,1131,-0.1x,7.32%,▲ 順勢追意
2601.TW,益航,20260527,5.0,-420,708,1129,-1.7x,1.01%,▲ 順勢追意
6530.TWO,創威,20260527,113.0,-1045,65,1110,-0.1x,11.88%,▲ 順勢追意
8114.TW,振樺電,20260527,267.0,-1407,-303,1103,0.2x,12.66%,無
00989B.TWO,台新美國非投等債,20260527,9.98,-285,817,1102,-2.9x,0.10%,★ 壓低偷買
8440.TWO,綠電,20260527,24.2,-798,301,1099,-0.4x,8.04%,▲ 順勢追意
5488.TWO,松普,20260527,11.85,-597,498,1096,-0.8x,1.28%,▲ 順勢追意
1312.TW,國喬,20260527,9.98,-270,799,1069,-3.0x,-4.04%,★ 壓低偷買
4968.TW,立積,20260527,117.0,-118,918,1037,-7.7x,3.54%,▲ 順勢追意
6869.TW,雲豹能源,20260527,84.1,-561,475,1036,-0.8x,6.73%,▲ 順勢追意
8255.TWO,朋程,20260527,185.5,-1155,-126,1029,0.1x,18.91%,無
8213.TW,志超,20260527,40.65,111,1121,1009,10.0x,10.76%,▲ 順勢追意
1313.TW,聯成,20260527,10.3,-658,346,1005,-0.5x,-1.90%,★ 壓低偷買
00912.TW,中信臺灣智慧50,20260527,32.23,55,1058,1003,19.2x,10.34%,▲ 順勢追意
5234.TW,達興材料,20260527,426.0,-234,757,991,-3.2x,5.97%,▲ 順勢追意
2887I.TW,台新新光辛特,20260527,9.39,100,1081,981,10.8x,0.11%,★ 壓低偷買
2887I.TW,台新新光辛特,20260527,9.39,100,1081,981,10.8x,0.11%,★ 壓低偷買
6596.TWO,寬宏藝術,20260527,96.6,-973,1,975,-0.0x,-1.13%,★ 壓低偷買
1476.TW,儒鴻,20260527,331.0,449,1412,963,3.1x,0.15%,★ 壓低偷買
1603.TW,華電,20260527,31.15,-901,25,926,-0.0x,5.95%,▲ 順勢追意
3013.TW,晟銘電,20260527,119.5,52,968,916,18.6x,21.32%,▲ 順勢追意
4923.TWO,力士,20260527,49.65,259,1170,911,4.5x,32.22%,▲ 順勢追意
2034.TW,允強,20260527,20.05,-439,450,890,-1.0x,1.26%,▲ 順勢追意
00757.TW,統一FANG+,20260527,131.6,-282,582,865,-2.1x,4.16%,▲ 順勢追意
6753.TW,龍德造船,20260527,124.0,-1795,-943,851,0.5x,-0.40%,無
3022.TW,威強電,20260527,73.9,147,986,838,6.7x,8.52%,▲ 順勢追意
7749.TW,意騰-KY,20260527,499.5,-220,616,836,-2.8x,5.05%,▲ 順勢追意
6642.TWO,富致,20260527,83.6,443,1274,831,2.9x,-0.12%,★ 壓低偷買
6854.TW,錼創科技-KY創,20260527,155.5,-40,790,831,-19.4x,6.87%,▲ 順勢追意
8932.TWO,智通*,20260527,100.0,-364,466,830,-1.3x,1.11%,▲ 順勢追意
1229.TW,聯華,20260527,39.95,-841,-12,829,0.0x,4.31%,無
1504.TW,東元,20260527,70.8,-5148,-4320,828,0.8x,2.61%,無
6691.TW,洋基工程,20260527,674.0,-91,726,818,-7.9x,9.95%,▲ 順勢追意
6414.TW,樺漢,20260527,360.0,-1562,-746,816,0.5x,8.60%,無
6877.TWO,鏵友益,20260527,172.5,-1154,-346,808,0.3x,17.75%,無
2022.TW,聚亨,20260527,7.63,-1085,-278,806,0.3x,1.46%,無
3023.TW,信邦,20260527,312.0,172,956,783,5.5x,2.80%,▲ 順勢追意
2201.TW,裕隆,20260527,26.45,-1238,-459,778,0.4x,0.38%,無
6944.TW,兆聯實業,20260527,936.0,-233,544,777,-2.3x,5.64%,▲ 順勢追意
00722B.TWO,群益投資級電信債,20260527,35.83,-37,737,775,-19.5x,1.93%,▲ 順勢追意
2420.TW,新巨,20260527,62.5,303,1075,771,3.5x,6.11%,▲ 順勢追意
3049.TW,精金,20260527,12.2,695,1464,768,2.1x,2.52%,▲ 順勢追意
6164.TW,華興,20260527,12.1,-145,621,767,-4.3x,3.42%,▲ 順勢追意
2419.TW,仲琦,20260527,30.5,63,828,764,13.0x,2.01%,▲ 順勢追意
1305.TW,華夏,20260527,12.1,97,857,759,8.8x,-2.81%,★ 壓低偷買
1776.TW,展宇,20260527,18.15,-716,37,753,-0.1x,1.40%,▲ 順勢追意
3287.TWO,廣寰科,20260527,36.3,-20,730,751,-35.0x,16.35%,▲ 順勢追意
5228.TWO,鈺鎧,20260527,57.5,-781,-34,746,0.0x,14.77%,無
8044.TWO,網家,20260527,28.3,-1305,-566,739,0.4x,-2.41%,無
1449.TW,佳和,20260527,12.1,-398,331,730,-0.8x,-1.22%,★ 壓低偷買
4416.TWO,三圓,20260527,10.75,-18,699,718,-37.1x,-4.87%,★ 壓低偷買
00865B.TW,國泰US短期公債,20260527,47.78,-81,628,709,-7.7x,-0.73%,★ 壓低偷買
00882.TW,中信中國高股息,20260527,15.6,-698,0,698,0.0x,-1.70%,無
5278.TWO,尚凡*,20260527,22.45,-768,-75,693,0.1x,-5.87%,無
1316.TW,上曜,20260527,10.15,-573,118,691,-0.2x,-4.25%,★ 壓低偷買
3152.TWO,璟德,20260527,198.5,3660,4340,680,1.2x,21.04%,▲ 順勢追意
00952.TW,凱基台灣AI50,20260527,18.54,636,1315,678,2.1x,12.02%,▲ 順勢追意
00877.TWO,復華中國5G,20260527,42.52,-1338,-659,678,0.5x,7.18%,無
00724B.TWO,群益投資級金融債,20260527,33.54,-397,270,668,-0.7x,1.30%,▲ 順勢追意
3413.TW,京鼎,20260527,314.5,10872,11534,661,1.1x,0.16%,★ 壓低偷買
4155.TW,訊映,20260527,14.8,-584,74,659,-0.1x,0.00%,★ 壓低偷買
6589.TW,台康生技,20260527,40.85,-1758,-1101,657,0.6x,-6.31%,無
2387.TW,精元,20260527,40.35,44,700,655,15.6x,4.81%,▲ 順勢追意
4991.TWO,環宇-KY,20260527,783.0,926,1576,649,1.7x,11.86%,▲ 順勢追意
2457.TW,飛宏,20260527,25.2,-316,332,649,-1.0x,3.70%,▲ 順勢追意
5534.TW,長虹,20260527,75.1,-637,6,643,-0.0x,-0.66%,★ 壓低偷買
3088.TWO,艾訊,20260527,144.5,-811,-172,638,0.2x,7.04%,無
3515.TW,華擎,20260527,240.0,-179,456,636,-2.5x,9.59%,▲ 順勢追意
00651R.TW,復華香港反1,20260527,5.28,0,627,627,新進貨,0.57%,▲ 順勢追意
2425.TW,承啟,20260527,36.5,-291,332,623,-1.1x,11.79%,▲ 順勢追意
2010.TW,春源,20260527,22.95,-854,-233,621,0.3x,3.38%,無
8076.TWO,伍豐,20260527,23.5,-554,47,601,-0.1x,-0.63%,★ 壓低偷買
2429.TW,銘旺科,20260527,48.25,-312,285,598,-0.9x,-1.13%,★ 壓低偷買
6498.TWO,久禾光,20260527,103.5,-374,219,593,-0.6x,-1.43%,★ 壓低偷買
4168.TWO,醣聯,20260527,28.25,-352,235,588,-0.7x,12.55%,▲ 順勢追意
006208.TW,富邦台50,20260527,237.6,64,647,583,10.1x,10.98%,▲ 順勢追意
6531.TW,愛普*,20260527,1080.0,-16482,-15902,579,1.0x,11.00%,無
4569.TW,六方科-KY,20260527,180.5,-546,29,575,-0.1x,4.94%,▲ 順勢追意
2204.TW,中華,20260527,52.6,-1141,-569,571,0.5x,0.77%,無
2929.TW,淘帝-KY,20260527,6.65,-106,450,556,-4.2x,28.63%,▲ 順勢追意
3169.TWO,亞信,20260527,119.0,-34,507,542,-14.8x,4.85%,▲ 順勢追意
5515.TW,建國,20260527,40.6,-341,197,538,-0.6x,2.40%,▲ 順勢追意
2006.TW,東和鋼鐵,20260527,66.9,47,585,537,12.2x,2.45%,▲ 順勢追意
2023.TW,燁輝,20260527,13.65,-1128,-596,531,0.5x,0.00%,無
1447.TW,力鵬,20260527,5.5,-259,271,530,-1.0x,-6.62%,★ 壓低偷買
1709.TW,和益,20260527,19.2,24,553,528,22.4x,5.79%,▲ 順勢追意
6283.TW,淳安,20260527,23.35,-407,107,514,-0.3x,-3.51%,★ 壓低偷買
3234.TWO,光環,20260527,103.5,428,940,512,2.2x,6.70%,▲ 順勢追意
4563.TWO,百德,20260527,48.6,-377,133,511,-0.4x,2.21%,▲ 順勢追意
2641.TWO,正德,20260527,17.7,426,936,510,2.2x,0.85%,▲ 順勢追意
3588.TW,通嘉,20260527,64.5,175,680,504,3.9x,7.14%,▲ 順勢追意
00640L.TW,富邦日本正2,20260527,100.6,-121,376,497,-3.1x,7.59%,▲ 順勢追意
6121.TWO,新普,20260527,396.5,-204,291,495,-1.4x,5.45%,▲ 順勢追意
7711.TW,永擎,20260527,384.0,-728,-238,489,0.3x,9.71%,無
6861.TW,睿生光電,20260527,462.0,-37,451,488,-12.0x,13.51%,▲ 順勢追意
8938.TWO,明安,20260527,52.7,-509,-22,486,0.0x,-2.59%,無
6259.TWO,百徽,20260527,27.05,24,510,486,20.6x,16.59%,▲ 順勢追意
4534.TWO,慶騰,20260527,25.75,27,510,482,18.5x,18.39%,▲ 順勢追意
2243.TW,宏旭-KY,20260527,23.75,-35,442,477,-12.6x,13.64%,▲ 順勢追意
6782.TW,視陽,20260527,192.5,-539,-64,475,0.1x,1.05%,無
6492.TWO,生華科,20260527,44.3,-433,41,475,-0.1x,-3.28%,★ 壓低偷買
8383.TWO,千附,20260527,60.2,-154,309,463,-2.0x,9.65%,▲ 順勢追意
4127.TWO,天良,20260527,66.7,-51,405,456,-7.8x,28.27%,▲ 順勢追意
2424.TW,隴華,20260527,13.55,-577,-124,452,0.2x,-24.72%,無
2038.TW,海光,20260527,13.75,111,558,447,5.0x,3.00%,▲ 順勢追意
2030.TW,彰源,20260527,18.0,871,1315,443,1.5x,4.35%,▲ 順勢追意
4536.TW,拓凱,20260527,157.5,-496,-53,442,0.1x,-0.32%,無
6741.TWO,91APP*-KY,20260527,64.0,-972,-535,436,0.6x,3.56%,無
2236.TW,百達-KY,20260527,141.5,-95,339,435,-3.5x,8.43%,▲ 順勢追意
3630.TWO,新鉅科,20260527,26.15,-60,371,432,-6.1x,-2.24%,★ 壓低偷買
7721.TW,微程式,20260527,75.1,29,460,431,15.6x,5.18%,▲ 順勢追意
2390.TW,云辰,20260527,10.7,458,888,429,1.9x,7.21%,▲ 順勢追意
3207.TWO,耀勝,20260527,64.7,48,477,429,9.8x,11.36%,▲ 順勢追意
2208.TW,台船,20260527,18.1,-1956,-1530,425,0.8x,-0.82%,無
1570.TWO,力肯,20260527,52.2,-159,258,417,-1.6x,37.55%,▲ 順勢追意
2460.TW,建通,20260527,31.95,-358,56,415,-0.2x,3.06%,▲ 順勢追意
6919.TW,康霈*,20260527,98.5,148,557,409,3.8x,-2.48%,★ 壓低偷買
3609.TWO,三一東林,20260527,27.1,-691,-283,408,0.4x,-6.71%,無
6757.TW,台灣虎航,20260527,54.5,-91,312,404,-3.4x,4.01%,▲ 順勢追意
6108.TW,競國,20260527,19.65,452,852,399,1.9x,3.42%,▲ 順勢追意
3552.TWO,同致,20260527,51.8,-343,41,385,-0.1x,0.39%,★ 壓低偷買
