Stock,Name,Date,Close,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
3716.TW,中化控股,20260527,34.25,20,62,41,3.0x,0.00%,★ 壓低偷買
3710.TWO,連展投控,20260527,6.25,-29,12,41,-0.4x,1.30%,▲ 順勢追意
6021.TWO,美好證,20260527,34.9,-13,27,40,-2.1x,12.22%,▲ 順勢追意
6142.TW,友勁,20260527,8.0,-39,0,39,0.0x,2.17%,無
2705.TW,六福,20260527,15.0,-69,-29,39,0.4x,-2.28%,無
6863.TW,永道-KY,20260527,113.0,-28,11,39,-0.4x,3.20%,▲ 順勢追意
1323.TW,永裕,20260527,20.2,-21,17,39,-0.8x,1.51%,▲ 順勢追意
1467.TW,南緯,20260527,6.94,-18,19,38,-1.0x,-0.14%,★ 壓低偷買
6148.TWO,驊宏資,20260527,28.5,-23,13,37,-0.6x,1.24%,▲ 順勢追意
2069.TW,運錩,20260527,19.2,52,89,37,1.7x,-0.78%,★ 壓低偷買
1304.TW,台聚,20260527,11.9,786,823,36,1.0x,-2.06%,★ 壓低偷買
1799.TWO,易威,20260527,33.8,-7,28,36,-3.6x,-1.89%,★ 壓低偷買
1457.TW,宜進,20260527,13.95,-12,24,36,-2.1x,-1.41%,★ 壓低偷買
6294.TWO,智基,20260527,27.95,-29,6,35,-0.2x,3.14%,▲ 順勢追意
8349.TWO,恒耀,20260527,40.8,0,34,35,新進貨,-1.69%,★ 壓低偷買
5292.TW,華懋,20260527,225.5,-47,-12,35,0.3x,1.58%,無
2206.TW,三陽工業,20260527,59.8,-122,-86,35,0.7x,2.57%,無
1524.TW,耿鼎,20260527,29.0,211,245,34,1.2x,-1.36%,★ 壓低偷買
8024.TWO,佑華,20260527,12.7,-33,1,34,-0.0x,4.53%,▲ 順勢追意
6160.TWO,欣技,20260527,16.15,-28,4,33,-0.2x,0.62%,▲ 順勢追意
2115.TW,六暉-KY,20260527,20.75,-24,7,32,-0.3x,1.72%,▲ 順勢追意
3684.TWO,榮昌,20260527,59.0,30,62,32,2.1x,-2.64%,★ 壓低偷買
4167.TWO,松瑞藥,20260527,18.95,21,54,32,2.5x,0.26%,★ 壓低偷買
4807.TW,日成-KY,20260527,25.05,32,64,32,2.0x,10.35%,▲ 順勢追意
6241.TWO,鑫永洋,20260527,10.1,-9,22,31,-2.5x,-5.61%,★ 壓低偷買
4560.TW,強信-KY,20260527,32.65,-68,-36,31,0.5x,0.15%,無
6221.TWO,晉泰,20260527,22.9,-25,4,30,-0.2x,-0.43%,★ 壓低偷買
6791.TWO,虎門科技,20260527,113.0,-3,26,30,新進貨,0.00%,★ 壓低偷買
7722.TW,LINEPAY,20260527,260.5,-23,7,30,-0.3x,2.76%,▲ 順勢追意
00634R.TW,富邦上証反1,20260527,3.05,-29,0,29,-0.0x,-1.93%,無
6722.TW,輝創,20260527,38.5,-22,6,29,-0.3x,3.49%,▲ 順勢追意
1569.TWO,濱川,20260527,52.1,-43,-13,29,0.3x,3.78%,無
00768B.TWO,復華20年美債,20260527,49.4,42,71,28,1.7x,2.02%,▲ 順勢追意
3029.TW,零壹,20260527,95.3,-202,-175,27,0.9x,0.85%,無
4139.TWO,馬光-KY,20260527,23.05,-27,0,27,-0.0x,-1.71%,無
2726.TWO,雅茗-KY,20260527,9.88,-13,13,27,-1.0x,5.56%,▲ 順勢追意
4745.TWO,合富-KY,20260527,16.1,-23,2,26,-0.1x,-3.30%,★ 壓低偷買
2466.TW,冠西電,20260527,47.7,-19,6,26,-0.3x,1.92%,▲ 順勢追意
7556.TWO,意德士,20260527,290.0,36,62,26,1.7x,16.47%,▲ 順勢追意
6195.TWO,詩肯,20260527,26.1,-19,6,25,-0.3x,-0.19%,★ 壓低偷買
2477.TW,美隆電,20260527,20.55,-17,7,25,-0.4x,0.24%,★ 壓低偷買
6230.TW,尼得科超眾,20260527,137.0,-26,-1,25,0.0x,7.87%,無
3717.TW,聯嘉投控,20260527,21.77,1338,1363,25,1.0x,-5.55%,★ 壓低偷買
00653L.TW,富邦印度正2,20260527,46.08,-15,9,25,-0.6x,3.02%,▲ 順勢追意
6578.TWO,達邦蛋白,20260527,16.65,-36,-11,25,0.3x,-2.35%,無
6957.TW,裕慶-KY,20260527,169.0,-22,1,24,-0.1x,5.62%,▲ 順勢追意
3224.TWO,三顧,20260527,39.65,0,23,24,新進貨,-3.76%,★ 壓低偷買
1225.TW,福懋油,20260527,29.25,-21,3,24,-0.1x,1.56%,▲ 順勢追意
7799.TW,禾榮科,20260527,322.0,-44,-19,24,0.4x,4.89%,無
6114.TWO,久威,20260527,29.8,-20,3,24,-0.2x,0.00%,★ 壓低偷買
4106.TW,雃博,20260527,23.3,-12,12,24,-1.0x,1.08%,▲ 順勢追意
1256.TW,鮮活果汁-KY,20260527,192.0,2,25,23,新進貨,4.92%,▲ 順勢追意
00683L.TW,期元大美元指正2,20260527,21.17,-26,-2,23,0.1x,-0.75%,無
7728.TWO,光焱科技,20260527,737.0,-29,-6,22,0.2x,6.04%,無
3564.TWO,其陽,20260527,46.0,-1,21,22,新進貨,14.43%,▲ 順勢追意
2106.TW,建大,20260527,16.65,-113,-90,22,0.8x,-0.30%,無
4554.TWO,橙的,20260527,30.85,-31,-9,22,0.3x,-0.32%,無
6949.TW,沛爾生醫-創,20260527,714.0,-9,12,22,-1.3x,3.93%,▲ 順勢追意
4583.TW,台灣精銳,20260527,713.0,-15,5,21,-0.3x,3.78%,▲ 順勢追意
8183.TWO,精星,20260527,32.55,-11,10,21,-0.9x,7.78%,▲ 順勢追意
3492.TWO,長盛,20260527,22.8,-2,19,21,新進貨,3.40%,▲ 順勢追意
6140.TWO,訊達,20260527,19.55,-2,19,21,新進貨,1.03%,▲ 順勢追意
8936.TWO,國統,20260527,50.0,-782,-762,20,1.0x,1.21%,無
8047.TWO,星雲,20260527,43.3,-18,0,19,-0.1x,3.84%,▲ 順勢追意
3168.TW,眾福科,20260527,49.2,-2,17,19,新進貨,9.33%,▲ 順勢追意
8488.TW,吉源-KY,20260527,9.76,-20,0,19,0.0x,-0.41%,無
3321.TW,同泰,20260527,19.05,-128,-108,19,0.8x,24.51%,無
4999.TW,鑫禾,20260527,19.55,-14,3,18,-0.2x,-0.51%,★ 壓低偷買
4148.TW,全宇生技-KY,20260527,31.8,-15,3,18,-0.2x,-6.47%,★ 壓低偷買
3171.TWO,炎洲流通,20260527,70.2,-3,14,18,新進貨,5.09%,▲ 順勢追意
6645.TW,金萬林-創,20260527,11.9,-15,1,17,-0.1x,-0.42%,★ 壓低偷買
2736.TWO,富野,20260527,12.25,-1,15,17,新進貨,3.38%,▲ 順勢追意
2059.TW,川湖,20260527,4920.0,6,24,17,3.7x,9.33%,▲ 順勢追意
