prev_eps_yoy,om,pe,prev_rev_yoy,eps_yoy,gm,name,est_price,prev_year,price,date,rev_yoy,status,eps,prev_eps,expansion,symbol,advice
-20.59,N/A,4.751525719267654,-14.96,228.49,N/A,奇偶,172.05,2025,54.5,2026-03,113.17,🚀 利潤擴張,2.21,6.21,115.32000000000001,3356.TW,💎 強力關注
-84.51,N/A,0.0,-4.81,383.33,N/A,美達科技,-7.200000000000001,2025,59.2999992371,2026-03,268.59,🚀 利潤擴張,0.29,0.33,114.74000000000001,6735.TWO,⚪ 數據不足
-365.71,-12.62%,0.0,-7.78,87.5,102.69%,益航,-33.6,2025,6.1999998093,2026-03,-21.56,🏰 高護城河,-0.02,-1.63,109.06,2601.TW,⚪ 數據不足
-45.51,N/A,42.89940828402367,-5.33,270.0,N/A,暉盛-創,50.699999999999996,2025,145.0,2026-03,161.56,🚀 利潤擴張,0.37,1.73,108.44,7730.TW,⚠️ 追價風險
152.83,N/A,0.0,-16.81,163.46,N/A,麗嬰房,-40.05,2025,6.7399997711,2026-03,67.27,🚀 利潤擴張,0.66,2.15,96.19000000000001,2911.TW,⚪ 數據不足
-46.91,12.73%,28.21838992770115,-7.4,150.0,87.57%,網龍,13.05,2025,24.5499992371,2026-03,57.36,🏰 高護城河,0.3,0.43,92.64,3083.TWO,⚠️ 追價風險
104.41,N/A,12.67676819053872,14.16,1080.0,N/A,青松健康,44.550000000000004,2025,37.6500015259,2026-03,990.52,🚀 利潤擴張,0.49,1.39,89.48000000000002,6931.TW,✅ 穩健價值
-169.49,-21.33%,0.0,-18.58,575.0,16.92%,宏佳騰,-24.299999999999994,2025,24.3999996185,2026-03,486.21,🔄 轉虧為盈,0.28,-0.84,88.79000000000002,1599.TWO,⚪ 數據不足
17.57,-58.34%,0.0,0.19,166.67,28.91%,中裕,-18.3,2025,56.5,2026-03,81.97,🔄 轉虧為盈,0.06,-0.61,84.69999999999999,4147.TWO,⚪ 數據不足
-51.9,13.17%,6.671779141104295,-14.02,186.6,33.66%,昭輝,97.8,2025,43.5,2026-03,102.97,🚀 利潤擴張,2.78,2.41,83.63,1339.TW,💎 強力關注
78.06,3.76%,9.487179347454212,15.32,392.86,30.84%,偉詮電,81.9,2025,51.7999992371,2026-03,309.82,🚀 利潤擴張,0.7,3.02,83.04000000000002,2436.TW,💎 強力關注
-50.67,N/A,28.481849192013204,-8.83,178.26,N/A,威鋒電子,45.449999999999996,2025,86.3000030518,2026-03,97.11,🚀 利潤擴張,0.64,1.11,81.14999999999999,6756.TW,⚠️ 追價風險
-64.44,20.17%,13.88461479773077,2.09,136.36,89.44%,宇峻,77.99999999999999,2025,72.1999969482,2026-03,62.07,🏰 高護城河,2.34,1.97,74.29000000000002,3546.TWO,✅ 穩健價值
96.29,N/A,0.0,22.72,99.93,N/A,奧義賽博-KY創,0.0,2025,76.8000030518,2026-03,26.64,🚀 利潤擴張,-0.15,-1.49,73.29,7823.TW,⚪ 數據不足
-99.18,N/A,0.0,19.25,-25.93,N/A,昱泉,-96.44999999999999,2025,13.1999998093,2026-03,-97.71,🌑 雙重衰退,-0.68,-2.43,71.78,6169.TWO,⚪ 數據不足
-91.14,N/A,0.0,0.63,650.0,N/A,冠好,-17.549999999999997,2025,15.1000003815,2026-03,578.38,🚀 利潤擴張,0.3,0.14,71.62,8354.TWO,⚪ 數據不足
-5.15,0.20%,13.726315146989473,22.56,386.11,25.49%,台聯電,71.25,2025,65.1999969482,2026-03,315.9,🚀 利潤擴張,1.75,2.76,70.21000000000004,4905.TWO,✅ 穩健價值
44.08,N/A,0.0,76.4,121.74,N/A,創新服務,0.0,2025,1290.0,2026-03,51.84,🚀 利潤擴張,1.02,6.33,69.89999999999999,7828.TWO,⚪ 數據不足
