price,prev_eps,prev_rev_yoy,rev_yoy,om,prev_year,symbol,gm,eps_yoy,name,est_price,expansion,eps,status,prev_eps_yoy,date,advice,pe
38.5999984741,-0.81,-68.41,-72.48,-223.66%,2025,3466.TWO,-8.98%,58.98,德晉,-57.45,131.46,-1.11,🧐 疑業外收益,65.77,2025-12,⚪ 數據不足,0.0
2505.0,4.66,82.29,515.18,41.27%,2025,3081.TWO,54.76%,645.65,聯亞,183.0,130.47000000000003,3.44,🏰 高護城河,884.75,2026-03,⚠️ 追價風險,205.32786885245903
15.5500001907,-0.67,-81.44,-75.71,-456.27%,2025,4934.TW,-156.07%,54.11,太極,-35.85,129.82,-0.95,🧐 疑業外收益,16.25,2025-12,⚪ 數據不足,0.0
48.2000007629,2.72,-19.69,-19.52,6.32%,2025,2607.TW,18.52%,108.46,榮運,130.35,127.97999999999999,3.56,🧐 疑業外收益,139.38,2025-12,💎 強力關注,5.5466053812313
382.5,3.03,12.38,32.59,N/A,2025,5386.TWO,N/A,159.21,青雲,229.49999999999997,126.62,8.61,🚀 利潤擴張,103.38,2025-12,⚠️ 追價風險,25.0
33.0499992371,2.46,13.11,35.14,N/A,2025,6021.TWO,N/A,161.27,美好證,66.44999999999999,126.13000000000001,3.76,🚀 利潤擴張,128.3,2025-12,💎 強力關注,7.460496441783297
0.0,0.47,30.74,29.09,-3.44%,2025,3540.TWO,27.46%,155.22,曜越,0.0,126.13,0.74,🚀 利潤擴張,147.47,2025-12,⚪ 數據不足,0.0
36.5499992371,2.05,62.88,51.31,N/A,2025,8473.TW,N/A,177.17,山林水,105.44999999999999,125.85999999999999,2.55,🚀 利潤擴張,130.34,2025-12,💎 強力關注,5.199146406415363
499.5,1.57,-13.87,-4.69,13.87%,2025,3105.TWO,31.80%,120.99,穩懋,69.75,125.67999999999999,4.0,🧐 疑業外收益,-40.53,2025-12,⚠️ 追價風險,107.41935483870967
31.6000003815,0.66,28.81,20.19,N/A,2025,6276.TWO,N/A,142.59,安鈦克,43.650000000000006,122.4,0.92,🚀 利潤擴張,128.33,2025-12,💎 強力關注,10.859106660309278
7.3499999046,0.04,2.64,8.09,-3.62%,2025,1512.TW,28.43%,127.94,瑞利,3.75,119.85,0.19,🚀 利潤擴張,111.76,2025-12,⚠️ 追價風險,29.3999996184
28.9500007629,1.04,217.33,59.65,26.41%,2025,2596.TWO,32.97%,177.61,綠意,67.5,117.96000000000001,1.86,🚀 利潤擴張,425.0,2025-12,💎 強力關注,6.433333502866667
28.3500003815,0.2,34.06,22.38,N/A,2025,8080.TWO,N/A,139.29,泰霖,10.350000000000001,116.91,0.12,🚀 利潤擴張,190.91,2025-12,⚠️ 追價風險,41.086957074637674
39.8499984741,-0.02,8.77,7.47,2.93%,2025,4555.TW,31.93%,122.09,氣立,0.6000000000000001,114.62,0.19,🔄 轉虧為盈,97.22,2025-12,⚠️ 追價風險,996.2499618524997
22.7000007629,-0.12,-92.7,-90.1,N/A,2025,6198.TWO,N/A,23.33,瑞築,-7.5,113.42999999999999,-0.23,🧐 疑業外收益,55.56,2025-12,⚪ 數據不足,0.0
9.7700004578,0.23,-60.26,-61.59,-88.29%,2025,4702.TWO,35.38%,51.72,中美實,5.250000000000002,113.31,0.88,🧐 疑業外收益,-14.81,2025-12,⚠️ 追價風險,27.914287022285702
484.0,10.08,22.8,32.13,35.36%,2025,3260.TWO,48.37%,144.7,威剛,592.05,112.57,23.18,🚀 利潤擴張,19.56,2025-12,✅ 穩健價值,12.26247783126425
11.3999996185,-0.41,-15.81,-22.64,14.50%,2025,2025.TW,-19.82%,87.32,千興,-17.700000000000003,109.96,-0.18,🧐 疑業外收益,28.07,2025-12,⚪ 數據不足,0.0
22.7999992371,0.02,-7.04,-6.4,N/A,2025,8455.TWO,N/A,102.7,大拓-KY,-4.95,109.10000000000001,0.02,🧐 疑業外收益,104.35,2025-12,⚪ 數據不足,0.0
29.5499992371,-0.37,17.8,26.06,N/A,2025,9955.TW,N/A,134.62,佳龍,-5.399999999999999,108.56,0.54,🔄 轉虧為盈,50.67,2025-12,⚪ 數據不足,0.0
303.0,3.47,-15.55,2.46,N/A,2025,4967.TW,N/A,110.31,十銓,279.75000000000006,107.85000000000001,13.06,🚀 利潤擴張,-46.86,2025-12,⚪ 中性觀察,16.246648793565683
13.6499996185,-0.62,-51.54,-52.73,N/A,2025,8477.TWO,N/A,53.77,創業家,-38.4,106.5,-0.92,🧐 疑業外收益,80.0,2025-12,⚪ 數據不足,0.0
23.8999996185,1.91,7.39,1.8,17.13%,2025,2501.TW,26.51%,108.09,國建,94.35,106.29,2.83,🚀 利潤擴張,127.38,2025-12,💎 強力關注,3.7996819743243244
45.5,-0.75,5.09,63.6,N/A,2025,6465.TWO,N/A,168.25,威潤,-14.549999999999999,104.65,0.86,🔄 轉虧為盈,29.25,2025-12,⚪ 數據不足,0.0
140.0,1.5,34.74,39.88,16.62%,2025,3135.TW,19.12%,143.64,凌航,131.09999999999997,103.75999999999999,6.33,🚀 利潤擴張,-29.03,2025-12,⚪ 中性觀察,16.01830663615561
55.4000015259,1.55,77.79,61.2,N/A,2025,6150.TWO,N/A,164.15,撼訊,79.8,102.95,2.63,🚀 利潤擴張,156.36,2025-12,💎 強力關注,10.413534121409777
69.5,0.09,32.51,5.42,2.26%,2025,2465.TW,10.44%,107.41,麗臺,19.2,101.99,0.43,🚀 利潤擴張,102.43,2025-12,⚠️ 追價風險,54.296875
36.9000015259,0.34,2.58,1.84,-1.48%,2025,2926.TWO,40.82%,100.0,誠品生活,19.05,98.16,0.54,🚀 利潤擴張,241.67,2025-12,⚠️ 追價風險,29.055119311732284
24.2999992371,1.32,28.08,21.45,7.07%,2025,1541.TW,19.55%,118.87,錩泰,65.7,97.42,2.32,🚀 利潤擴張,41.94,2025-12,💎 強力關注,5.54794503130137
5.0500001907,0.47,9.38,13.61,0.24%,2025,2380.TW,24.41%,110.31,虹光,29.099999999999998,96.7,0.72,🚀 利潤擴張,133.57,2025-12,💎 強力關注,2.6030928818041237
755.0,0.09,54.63,50.49,N/A,2025,4971.TWO,N/A,146.97,IET-KY,-7.0500000000000025,96.47999999999999,1.65,🚀 利潤擴張,103.17,2025-12,⚪ 數據不足,0.0
11.5,0.34,7.31,8.41,N/A,2025,5516.TWO,N/A,104.43,雙喜,-7.35,96.02000000000001,0.16,🚀 利潤擴張,116.43,2025-12,⚪ 數據不足,0.0
745.0,0.37,49.52,38.72,-9.15%,2025,3363.TWO,12.43%,134.04,上詮,10.65,95.32,0.16,🚀 利潤擴張,317.65,2025-12,⚠️ 追價風險,1049.2957746478871
1515.0,10.13,94.38,96.69,N/A,2025,6739.TWO,N/A,191.99,竹陞科技,520.3499999999999,95.30000000000001,16.13,🚀 利潤擴張,167.2,2025-12,⚠️ 追價風險,43.672528106082446
54.5999984741,0.13,15.42,23.69,N/A,2025,6125.TWO,N/A,118.18,廣運,4.65,94.49000000000001,0.1,🚀 利潤擴張,123.21,2025-12,⚠️ 追價風險,176.12902733580646
65.5999984741,4.47,5.19,6.13,12.64%,2025,3687.TWO,39.69%,100.43,歐買尬,159.3,94.30000000000001,4.67,🚀 利潤擴張,151.12,2025-12,💎 強力關注,6.177024338427495
