prev_year,symbol,expansion,name,status,prev_eps_yoy,price,pe,rev_yoy,prev_eps,gm,date,eps,prev_rev_yoy,est_price,om,eps_yoy,advice
2025,9949.TWO,45.849999999999994,琉園,🚀 利潤擴張,544.54,24.2000007629,2.476970395383828,66.65,5.29,N/A,2026-03,0.03,-17.0,146.54999999999998,N/A,112.5,💎 強力關注
2025,6620.TWO,39.24,漢達,🚀 利潤擴張,31.64,76.9000015259,6.692776460043516,15.93,4.85,N/A,2026-03,0.46,108.17,172.35,N/A,55.17,💎 強力關注
2025,2388.TW,35.860000000000014,威盛,🚀 利潤擴張,-93.75,72.5,0.0,264.14,0.12,20.64%,2026-03,0.08,-40.0,-30.6,-8.17%,300.0,⚪ 數據不足
2025,3556.TWO,34.20000000000002,禾瑞亞,🏰 高護城河,-5.7,62.7000007629,11.483516623241758,156.04,2.15,50.66%,2026-03,1.19,1.24,81.9,14.95%,190.24,💎 強力關注
2025,7821.TW,32.379999999999995,神數,🚀 利潤擴張,91.67,38.8499984741,0.0,10.24,2.99,N/A,2026-03,0.87,19.28,0.0,N/A,42.62,⚪ 數據不足
2025,2072.TWO,28.590000000000003,未知,🚀 利潤擴張,-17.2,0.0,0.0,6.33,7.56,35.24%,2025-12,11.94,15.19,0.0,30.89%,34.92,⚪ 數據不足
2025,6794.TW,27.259999999999998,向榮生技,🧐 疑業外收益,-13.21,78.0999984741,0.0,-3.86,-1.89,N/A,2026-03,-0.36,-5.58,-70.05,N/A,23.4,⚪ 數據不足
2025,1467.TW,27.04000000000002,南緯,🔄 轉虧為盈,-197.83,8.3599996567,0.0,422.96,-0.45,23.39%,2026-03,0.11,2.23,-28.950000000000003,1.90%,450.0,⚪ 數據不足
2025,7768.TW,26.23,頌勝科技,🚀 利潤擴張,-27.83,290.0,0.0,16.63,3.24,N/A,2026-03,1.62,3.08,0.0,N/A,42.86,⚪ 數據不足
2025,7768.TWO,26.23,未知,🚀 利潤擴張,-27.83,0.0,0.0,16.63,3.24,N/A,2026-03,1.62,3.08,0.0,N/A,42.86,⚪ 數據不足
2025,1623.TW,25.689999999999998,大東電,🚀 利潤擴張,11.37,0.0,0.0,12.42,13.61,21.29%,2026-03,4.33,20.5,0.0,16.93%,38.11,⚪ 數據不足
2025,2885.TW,20.689999999999998,元大金,🏰 高護城河,-1.08,63.2000007629,8.977272835639203,62.36,2.74,80.00%,2026-03,1.08,6.4,105.6,33.03%,83.05,💎 強力關注
2025,5604.TWO,19.960000000000004,中連,🚀 利潤擴張,-66.0,30.75,13.789237668161435,25.49,0.85,N/A,2026-03,0.32,0.36,33.45,N/A,45.45,✅ 穩健價值
2025,6015.TWO,19.539999999999964,宏遠證,🚀 利潤擴張,-11.63,16.0499992371,9.786584900670732,451.29,0.76,N/A,2026-03,0.89,0.56,24.599999999999998,N/A,470.83,💎 強力關注
2025,5202.TWO,18.900000000000002,力新,🚀 利潤擴張,-134.86,12.0,0.0,26.81,-0.61,N/A,2026-03,-0.19,-8.35,-30.900000000000002,N/A,45.71,⚪ 數據不足
2025,2880.TW,18.060000000000002,華南金,🏰 高護城河,13.1,39.3499984741,8.336864083495763,22.97,1.9,97.25%,2026-03,0.55,4.06,70.8,45.93%,41.03,💎 強力關注
2025,3581.TWO,17.97999999999999,博磊,🚀 利潤擴張,35.0,113.0,173.84615384615384,216.8,0.81,31.93%,2026-03,0.31,13.9,9.75,8.13%,234.78,⚠️ 追價風險
2025,2836.TW,17.229999999999997,高雄銀,🏰 高護城河,28.3,12.0,7.142857142857142,16.1,0.68,89.95%,2026-03,0.2,14.52,25.200000000000003,32.37%,33.33,💎 強力關注
2025,4991.TWO,15.160000000000025,環宇-KY,🚀 利潤擴張,107.11,538.0,672.5,316.27,0.15,N/A,2026-03,1.67,25.43,11.999999999999998,N/A,331.43,⚠️ 追價風險
2025,7819.TWO,12.35,精誠金融,🧐 疑業外收益,14.12,34.7999992371,0.0,-1.82,2.91,N/A,2026-03,0.42,10.14,0.0,N/A,10.53,⚪ 數據不足
2025,2883.TW,12.0,凱基金,🏰 高護城河,-10.99,32.1500015259,8.438320610472442,22.04,1.74,78.38%,2026-03,0.69,-12.26,57.14999999999999,39.14%,34.04,💎 強力關注
2025,6657.TW,10.350000000000001,華安,🚀 利潤擴張,-14.12,30.3999996185,0.0,41.94,-2.92,N/A,2026-03,-0.53,-0.97,-109.2,N/A,52.29,⚪ 數據不足
2025,3529.TWO,9.14,力旺,🏰 高護城河,4.19,2650.0,41.94365305476417,19.99,25.6,100.00%,2026-03,7.98,6.74,947.7,60.64%,29.13,⚠️ 追價風險
2025,1236.TW,8.629999999999995,宏亞,🔄 轉虧為盈,-53.57,25.7000007629,0.0,274.7,-0.43,24.77%,2026-03,0.23,-8.31,-14.25,-4.59%,283.33,⚪ 數據不足
