date,eps_yoy,gm,rev_yoy,advice,expansion,eps,prev_eps,prev_eps_yoy,prev_rev_yoy,om,name,prev_year,pe,symbol,status,price,est_price
2025-12,175.0,15.86%,10.09,⚠️ 追價風險,164.91,0.22,0.16,300.0,13.26,1.35%,一詮,2025,908.0645161290323,2486.TW,🚀 利潤擴張,281.5,4.65
2025-12,328.87,N/A,164.5,⚪ 數據不足,164.37,6.34,1.13,47.95,21.0,N/A,富威電力,2025,0.0,6994.TW,🚀 利潤擴張,0.0,0.0
2025-12,242.99,N/A,78.68,💎 強力關注,164.31,18.83,17.41,241.37,97.52,N/A,寬宏藝術,2025,2.12926934716818,6596.TWO,🚀 利潤擴張,98.5,693.9
2025-12,223.81,N/A,62.85,⚪ 數據不足,160.96,0.68,-0.24,-271.43,25.19,N/A,方土昶,2025,0.0,6265.TWO,🔄 轉虧為盈,44.1500015259,-11.25
2025-12,291.45,N/A,130.83,✅ 穩健價值,160.61999999999998,13.74,9.52,280.8,130.37,N/A,高技,2025,13.374698379869011,5439.TWO,🚀 利潤擴張,388.0,435.15
2025-12,89.89,10.14%,-69.84,⚪ 數據不足,159.73000000000002,-0.09,-0.13,23.53,-54.34,3.61%,森寶,2025,0.0,3489.TWO,🧐 疑業外收益,22.1499996185,-4.95
2025-12,150.56,7.66%,-6.62,💎 強力關注,157.18,1.81,2.61,271.05,-1.22,-21.47%,東台,2025,4.845505617977528,4526.TW,🧐 疑業外收益,34.5,106.8
2025-12,173.02,4.18%,19.21,💎 強力關注,153.81,1.86,2.19,219.44,18.28,-22.27%,新鉅科,2025,4.448105436573312,3630.TWO,🚀 利潤擴張,27.0,91.05
2025-12,137.2,N/A,-15.36,💎 強力關注,152.56,1.57,3.24,203.85,-15.66,N/A,安格,2025,3.8339920948616593,6684.TWO,🧐 疑業外收益,48.5,189.75000000000003
2025-12,58.65,N/A,-93.38,⚪ 數據不足,152.03,-0.55,-0.24,77.78,-95.44,N/A,台新藥,2025,0.0,6838.TW,🧐 疑業外收益,26.8999996185,-13.5
2025-12,220.0,98.33%,72.24,⚪ 數據不足,147.76,0.06,-0.22,-1000.0,-79.84,81.17%,太景*-KY,2025,0.0,4157.TWO,🔄 轉虧為盈,9.4499998093,-5.8500000000000005
2025-12,141.94,43.11%,-3.71,⚠️ 追價風險,145.65,0.13,-0.1,54.55,-4.86,22.84%,海灣,2025,118.75,3252.TWO,🔄 轉虧為盈,19.0,2.4
2025-12,209.26,11.59%,65.48,⚪ 中性觀察,143.77999999999997,1.7,1.25,292.31,89.71,1.68%,精確,2025,20.380312857740492,3162.TWO,🚀 利潤擴張,91.0999984741,67.05000000000001
2025-12,133.62,5.83%,-8.77,💎 強力關注,142.39000000000001,2.71,2.56,55.15,-8.66,-0.68%,TPK-KY,2025,8.263305322128852,3673.TW,🧐 疑業外收益,59.0,107.1
