prev_eps_yoy,expansion,date,name,om,prev_year,gm,est_price,prev_rev_yoy,symbol,price,advice,prev_eps,pe,eps,eps_yoy,status,rev_yoy
-169.49,88.79000000000002,2026-03,宏佳騰,-21.33%,2025,16.92%,-24.299999999999994,-18.58,1599.TWO,23.8999996185,⚪ 數據不足,-0.84,0.0,0.28,575.0,🔄 轉虧為盈,486.21
17.57,84.69999999999999,2026-03,中裕,-58.34%,2025,28.91%,-18.3,0.19,4147.TWO,56.2000007629,⚪ 數據不足,-0.61,0.0,0.06,166.67,🔄 轉虧為盈,81.97
-51.9,83.63,2026-03,昭輝,13.17%,2025,33.66%,97.8,-14.02,1339.TW,43.5999984741,💎 強力關注,2.41,6.687116330383436,2.78,186.6,🚀 利潤擴張,102.97
78.06,83.04000000000002,2026-03,偉詮電,3.76%,2025,30.84%,81.9,15.32,2436.TW,50.5,💎 強力關注,3.02,9.24908424908425,0.7,392.86,🚀 利潤擴張,309.82
-50.67,81.14999999999999,2026-03,威鋒電子,N/A,2025,N/A,45.449999999999996,-8.83,6756.TW,84.5,⚠️ 追價風險,1.11,27.88778877887789,0.64,178.26,🚀 利潤擴張,97.11
-64.44,74.29000000000002,2026-03,宇峻,20.17%,2025,89.44%,77.99999999999999,2.09,3546.TWO,72.9000015259,✅ 穩健價值,1.97,14.019231062673079,2.34,136.36,🏰 高護城河,62.07
96.29,73.29,2026-03,奧義賽博-KY創,N/A,2025,N/A,0.0,22.72,7823.TW,76.6999969482,⚪ 數據不足,-1.49,0.0,-0.15,99.93,🚀 利潤擴張,26.64
-99.18,71.78,2026-03,昱泉,N/A,2025,N/A,-96.44999999999999,19.25,6169.TWO,13.4499998093,⚪ 數據不足,-2.43,0.0,-0.68,-25.93,🌑 雙重衰退,-97.71
-91.14,71.62,2026-03,冠好,N/A,2025,N/A,-17.549999999999997,0.63,8354.TWO,14.9499998093,⚪ 數據不足,0.14,0.0,0.3,650.0,🚀 利潤擴張,578.38
-5.15,70.21000000000004,2026-03,台聯電,0.20%,2025,25.49%,71.25,22.56,4905.TWO,65.0,✅ 穩健價值,2.76,13.68421052631579,1.75,386.11,🚀 利潤擴張,315.9
44.08,69.89999999999999,2026-03,創新服務,N/A,2025,N/A,0.0,76.4,7828.TWO,1220.0,⚪ 數據不足,6.33,0.0,1.02,121.74,🚀 利潤擴張,51.84
3.28,68.69,2026-03,國票金,38.94%,2025,90.85%,22.95,4.6,2889.TW,15.6499996185,💎 強力關注,0.63,10.228757920588235,0.25,127.27,🏰 高護城河,58.58
24.43,67.19999999999999,2026-03,麗豐-KY,20.98%,2025,82.18%,257.1,-4.63,4137.TW,93.9000015259,💎 強力關注,7.13,5.478413157870478,1.41,107.35,🏰 高護城河,40.15
-31.03,64.48,2026-03,研勤,3.73%,2025,54.59%,-15.3,-28.72,3632.TWO,7.6799998283,⚪ 數據不足,-0.38,0.0,0.06,175.0,🔄 轉虧為盈,110.52
-24.06,63.99000000000001,2026-03,和迅,N/A,2025,N/A,0.0,2.38,6986.TWO,43.9500007629,⚪ 數據不足,2.43,0.0,0.6,106.9,🚀 利潤擴張,42.91
-184.44,63.97,2026-03,穎漢,-45.46%,2025,31.44%,-38.1,-7.78,4562.TW,27.7999992371,⚪ 數據不足,-1.28,0.0,0.11,175.0,🔄 轉虧為盈,111.03
-7120.0,63.5,2026-03,泰偉,-55.72%,2025,93.22%,-122.4,-29.69,3064.TWO,18.0,⚪ 數據不足,-3.51,0.0,-0.27,62.5,🏰 高護城河,-1.0
17.33,63.21000000000001,2026-03,群益證,N/A,2025,N/A,101.7,12.14,6005.TW,32.75,💎 強力關注,2.64,4.830383480825959,1.34,235.0,🚀 利潤擴張,171.79
