expansion,eps_yoy,est_price,date,prev_rev_yoy,prev_eps,prev_eps_yoy,symbol,rev_yoy,price,advice,eps,pe,name,om,gm,prev_year,status
276.36999999999995,546.67,-2.2499999999999996,2026-03,-14.91,-0.43,-150.59,6615.TWO,270.3,36.25,⚪ 數據不足,0.67,0.0,慧智,N/A,N/A,2025,🔄 轉虧為盈
268.97,640.0,-9.150000000000002,2026-03,0.1,0.18,550.0,6282.TW,371.03,54.0999984741,⚪ 數據不足,0.27,0.0,康舒,N/A,N/A,2025,🚀 利潤擴張
258.58,445.45,-20.1,2026-03,5.03,-0.76,55.83,8489.TWO,186.87,21.75,⚪ 數據不足,0.38,0.0,三貝德,N/A,N/A,2025,🔄 轉虧為盈
228.27999999999997,701.79,120.3,2026-03,0.89,1.77,8050.0,4916.TW,473.51,95.6999969482,💎 強力關注,4.49,11.932667948653366,事欣科,8.07%,18.73%,2025,🚀 利潤擴張
226.35000000000002,518.75,44.1,2026-03,-3.15,0.88,-66.67,4432.TWO,292.4,15.3999996185,💎 強力關注,2.97,5.238095108333334,銘旺實,N/A,N/A,2025,🚀 利潤擴張
217.69,350.0,14.700000000000001,2026-03,-61.59,0.88,51.72,4702.TWO,132.31,10.0,💎 強力關注,0.45,10.204081632653061,中美實,-88.29%,35.38%,2025,🚀 利潤擴張
215.22999999999996,512.9,493.65000000000003,2026-03,5.83,13.25,33.97,8478.TW,297.67,146.5,💎 強力關注,3.8,4.451534487997568,東哥遊艇,N/A,N/A,2025,🚀 利潤擴張
211.49,925.0,76.65,2026-03,3.39,1.65,-21.15,1609.TW,713.51,35.2999992371,💎 強力關注,0.66,6.90802333407045,大亞,8.70%,13.61%,2025,🚀 利潤擴張
186.79000000000002,213.33,0.0,2026-03,3.55,0.08,-80.0,3717.TW,26.54,23.6000003815,⚪ 數據不足,0.47,0.0,聯嘉投控,7.12%,19.34%,2025,🚀 利潤擴張
185.94,266.67,-43.199999999999996,2026-03,-10.9,-1.82,-280.2,8084.TWO,80.73,48.2999992371,⚪ 數據不足,0.33,0.0,巨虹,N/A,N/A,2025,🔄 轉虧為盈
185.43999999999994,728.13,94.05,2026-03,18.23,2.02,25.64,3290.TWO,542.69,66.5999984741,💎 強力關注,2.65,10.62200932601276,東浦,14.85%,30.40%,2025,🚀 利潤擴張
164.05,550.0,-7.95,2026-03,-15.68,-0.17,-177.27,5460.TWO,385.95,15.25,⚪ 數據不足,0.09,0.0,同協,N/A,N/A,2025,🔄 轉虧為盈
160.65000000000003,276.67,0.0,2026-03,32.98,1.54,1640.0,4582.TWO,116.02,0.0,⚪ 數據不足,0.53,0.0,未知,N/A,N/A,2025,🚀 利潤擴張
160.65000000000003,276.67,0.0,2026-03,32.98,1.54,1640.0,4582.TW,116.02,24.3999996185,⚪ 數據不足,0.53,0.0,聚恆-創,N/A,N/A,2025,🚀 利潤擴張
157.99,700.0,-6.6,2026-03,-2.43,-0.25,-219.05,2426.TW,542.01,77.5999984741,⚪ 數據不足,0.06,0.0,鼎元,-2.91%,10.78%,2025,🔄 轉虧為盈
156.05,264.29,-25.049999999999997,2026-03,2.69,-0.19,54.55,2417.TW,108.24,42.6500015259,⚪ 數據不足,0.28,0.0,圓剛,8.42%,56.31%,2025,🔄 轉虧為盈
152.34,366.67,1.050000000000001,2026-03,-4.25,-0.29,-125.22,9934.TW,214.33,9.8599996567,⚠️ 追價風險,0.28,140.85713795285702,成霖,N/A,N/A,2025,🔄 轉虧為盈
142.32,323.08,32.250000000000014,2026-03,7.13,1.09,-77.02,2732.TWO,180.76,65.5,⚠️ 追價風險,1.1,30.465116279069758,六角,N/A,N/A,2025,🚀 利潤擴張
134.17000000000002,442.11,96.15,2026-03,5.8,2.88,-38.68,6569.TWO,307.94,107.5,⚪ 中性觀察,1.03,16.770670826833072,醫揚,N/A,N/A,2025,🚀 利潤擴張
133.17000000000002,406.45,85.05,2026-03,17.09,2.35,921.74,6166.TW,273.28,142.0,⚠️ 追價風險,1.57,25.044091710758376,凌華,N/A,N/A,2025,🚀 利潤擴張
130.47000000000003,645.65,183.0,2026-03,82.29,4.66,884.75,3081.TWO,515.18,2035.0,⚠️ 追價風險,3.44,166.8032786885246,聯亞,41.27%,54.76%,2025,🏰 高護城河
115.32000000000001,228.49,172.05,2026-03,-14.96,6.21,-20.59,3356.TW,113.17,57.2999992371,💎 強力關注,2.21,4.995640735579773,奇偶,N/A,N/A,2025,🚀 利潤擴張
114.74000000000001,383.33,-7.200000000000001,2026-03,-4.81,0.33,-84.51,6735.TWO,268.59,87.5999984741,⚪ 數據不足,0.29,0.0,美達科技,N/A,N/A,2025,🚀 利潤擴張
109.06,87.5,-33.6,2026-03,-7.78,-1.63,-365.71,2601.TW,-21.56,5.3499999046,⚪ 數據不足,-0.02,0.0,益航,-12.62%,102.69%,2025,🏰 高護城河
108.44,270.0,50.699999999999996,2026-03,-5.33,1.73,-45.51,7730.TW,161.56,173.5,⚠️ 追價風險,0.37,51.33136094674556,暉盛-創,N/A,N/A,2025,🚀 利潤擴張
96.19000000000001,163.46,-40.05,2026-03,-16.81,2.15,152.83,2911.TW,67.27,7.0199999809,⚪ 數據不足,0.66,0.0,麗嬰房,N/A,N/A,2025,🚀 利潤擴張
92.64,150.0,13.05,2026-03,-7.4,0.43,-46.91,3083.TWO,57.36,27.75,⚠️ 追價風險,0.3,31.896551724137932,網龍,12.73%,87.57%,2025,🏰 高護城河
