advice,status,prev_eps_yoy,rev_yoy,prev_eps,expansion,prev_year,est_price,eps_yoy,gm,date,pe,name,price,symbol,eps,prev_rev_yoy,om
⚪ 數據不足,🔄 轉虧為盈,17.57,81.97,-0.61,84.69999999999999,2025,-18.3,166.67,28.91%,2026-03,0.0,中裕,57.5999984741,4147.TWO,0.06,0.19,-58.34%
💎 強力關注,🚀 利潤擴張,-51.9,102.97,2.41,83.63,2025,97.8,186.6,33.66%,2026-03,6.809816184953989,昭輝,44.4000015259,1339.TW,2.78,-14.02,13.17%
💎 強力關注,🚀 利潤擴張,78.06,309.82,3.02,83.04000000000002,2025,81.9,392.86,30.84%,2026-03,10.805860805860807,偉詮電,59.0,2436.TW,0.7,15.32,3.76%
⚠️ 追價風險,🚀 利潤擴張,-50.67,97.11,1.11,81.14999999999999,2025,45.449999999999996,178.26,N/A,2026-03,31.683168316831686,威鋒電子,96.0,6756.TW,0.64,-8.83,N/A
✅ 穩健價值,🏰 高護城河,-64.44,62.07,1.97,74.29000000000002,2025,77.99999999999999,136.36,89.44%,2026-03,14.326923076923078,宇峻,74.5,3546.TWO,2.34,2.09,20.17%
⚪ 數據不足,🚀 利潤擴張,96.29,26.64,-1.49,73.29,2025,0.0,99.93,N/A,2026-03,0.0,奧義賽博-KY創,81.0,7823.TW,-0.15,22.72,N/A
⚪ 數據不足,🌑 雙重衰退,-99.18,-97.71,-2.43,71.78,2025,-96.44999999999999,-25.93,N/A,2026-03,0.0,昱泉,13.5500001907,6169.TWO,-0.68,19.25,N/A
⚪ 數據不足,🚀 利潤擴張,-91.14,578.38,0.14,71.62,2025,-17.549999999999997,650.0,N/A,2026-03,0.0,冠好,15.8000001907,8354.TWO,0.3,0.63,N/A
✅ 穩健價值,🚀 利潤擴張,-5.15,315.9,2.76,70.21000000000004,2025,71.25,386.11,25.49%,2026-03,13.747369063536842,台聯電,65.3000030518,4905.TWO,1.75,22.56,0.20%
⚪ 數據不足,🚀 利潤擴張,44.08,51.84,6.33,69.89999999999999,2025,0.0,121.74,N/A,2026-03,0.0,創新服務,1610.0,7828.TWO,1.02,76.4,N/A
💎 強力關注,🏰 高護城河,3.28,58.58,0.63,68.69,2025,22.95,127.27,90.85%,2026-03,10.065359227777778,國票金,15.3999996185,2889.TW,0.25,4.6,38.94%
💎 強力關注,🏰 高護城河,24.43,40.15,7.13,67.19999999999999,2025,257.1,107.35,82.18%,2026-03,5.513418903150525,麗豐-KY,94.5,4137.TW,1.41,-4.63,20.98%
⚪ 數據不足,🔄 轉虧為盈,-31.03,110.52,-0.38,64.48,2025,-15.3,175.0,54.59%,2026-03,0.0,研勤,8.4899997711,3632.TWO,0.06,-28.72,3.73%
⚪ 數據不足,🚀 利潤擴張,-24.06,42.91,2.43,63.99000000000001,2025,0.0,106.9,N/A,2026-03,0.0,和迅,43.7000007629,6986.TWO,0.6,2.38,N/A
⚪ 數據不足,🔄 轉虧為盈,-184.44,111.03,-1.28,63.97,2025,-38.1,175.0,31.44%,2026-03,0.0,穎漢,30.1000003815,4562.TW,0.11,-7.78,-45.46%
⚪ 數據不足,🏰 高護城河,-7120.0,-1.0,-3.51,63.5,2025,-122.4,62.5,93.22%,2026-03,0.0,泰偉,19.6000003815,3064.TWO,-0.27,-29.69,-55.72%
💎 強力關注,🚀 利潤擴張,17.33,171.79,2.64,63.21000000000001,2025,101.7,235.0,N/A,2026-03,5.140117769041297,群益證,34.8499984741,6005.TW,1.34,12.14,N/A
⚠️ 追價風險,🚀 利潤擴張,152.25,438.18,0.58,61.81999999999999,2025,10.049999999999997,500.0,N/A,2026-03,47.83581975686569,車王電,32.0499992371,1533.TW,0.84,19.69,N/A
✅ 穩健價值,🚀 利潤擴張,34.55,538.23,0.74,61.76999999999998,2025,22.5,600.0,20.98%,2026-03,14.233333587666666,正隆,21.3500003815,1904.TW,0.56,-4.85,7.12%
💎 強力關注,🚀 利潤擴張,-26.32,150.03,2.52,56.41999999999999,2025,113.85,206.45,N/A,2026-03,11.119894799196311,日揚,84.4000015259,6208.TWO,1.9,-4.59,N/A
💎 強力關注,🚀 利潤擴張,-36.9,148.33,1.19,55.839999999999975,2025,72.30000000000001,204.17,N/A,2026-03,10.311203477780081,強生,49.7000007629,4747.TWO,1.46,-6.81,N/A
⚪ 數據不足,🔄 轉虧為盈,49.15,189.01,-0.6,55.43000000000001,2025,-18.45,244.44,N/A,2026-03,0.0,九暘,70.0,8040.TWO,0.13,2.65,N/A
💎 強力關注,🚀 利潤擴張,905.92,185.42,12.33,54.05000000000001,2025,273.29999999999995,239.47,41.95%,2026-03,2.137760744396268,晟德,38.9500007629,4123.TWO,2.62,-6.28,-106.23%
⚪ 數據不足,🌑 雙重衰退,-48.08,-55.48,-3.92,52.519999999999996,2025,0.0,-2.96,N/A,2026-03,0.0,心誠鎂,73.9000015259,6934.TW,-1.43,-29.22,N/A
💎 強力關注,🚀 利潤擴張,66.34,95.63,6.82,51.74000000000001,2025,252.6,147.37,N/A,2026-03,7.51187648456057,霈方,126.5,6574.TWO,3.29,6.51,N/A
⚪ 數據不足,🚀 利潤擴張,38.44,91.93,13.04,47.56,2025,0.0,139.49,N/A,2026-03,0.0,永擎,0.0,7711.TW,7.68,182.72,N/A
✅ 穩健價值,🚀 利潤擴張,-36.17,359.48,1.5,46.579999999999984,2025,31.8,406.06,N/A,2026-03,14.10377340495283,廣寰科,29.8999996185,3287.TWO,1.01,23.54,N/A
💎 強力關注,🚀 利潤擴張,544.54,66.65,5.29,45.849999999999994,2025,146.54999999999998,112.5,N/A,2026-03,2.3592629720675538,琉園,23.0499992371,9949.TWO,0.03,-17.0,N/A
💎 強力關注,🚀 利潤擴張,31.64,15.93,4.85,39.24,2025,172.35,55.17,N/A,2026-03,7.6414275937162754,漢達,87.8000030518,6620.TWO,0.46,108.17,N/A
⚪ 數據不足,🚀 利潤擴張,-93.75,264.14,0.12,35.860000000000014,2025,-30.6,300.0,20.64%,2026-03,0.0,威盛,80.3000030518,2388.TW,0.08,-40.0,-8.17%
💎 強力關注,🏰 高護城河,-5.7,156.04,2.15,34.20000000000002,2025,81.9,190.24,50.66%,2026-03,11.300366440091574,禾瑞亞,61.7000007629,3556.TWO,1.19,1.24,14.95%
⚪ 數據不足,🚀 利潤擴張,91.67,10.24,2.99,32.379999999999995,2025,0.0,42.62,N/A,2026-03,0.0,神數,39.75,7821.TW,0.87,19.28,N/A
⚪ 數據不足,🚀 利潤擴張,-17.2,6.33,7.56,28.590000000000003,2025,0.0,34.92,35.24%,2025-12,0.0,未知,0.0,2072.TWO,11.94,15.19,30.89%
⚪ 數據不足,🧐 疑業外收益,-13.21,-3.86,-1.89,27.259999999999998,2025,-70.05,23.4,N/A,2026-03,0.0,向榮生技,75.8000030518,6794.TW,-0.36,-5.58,N/A
⚪ 數據不足,🔄 轉虧為盈,-197.83,422.96,-0.45,27.04000000000002,2025,-28.950000000000003,450.0,23.39%,2026-03,0.0,南緯,9.0699996948,1467.TW,0.11,2.23,1.90%
⚪ 數據不足,🚀 利潤擴張,-27.83,16.63,3.24,26.23,2025,0.0,42.86,N/A,2026-03,0.0,頌勝科技,252.0,7768.TW,1.62,3.08,N/A
⚪ 數據不足,🚀 利潤擴張,-27.83,16.63,3.24,26.23,2025,0.0,42.86,N/A,2026-03,0.0,未知,0.0,7768.TWO,1.62,3.08,N/A
