gm,advice,pe,eps_yoy,eps,prev_eps,est_price,prev_rev_yoy,om,prev_eps_yoy,symbol,name,rev_yoy,status,price,date,prev_year,expansion
30.11%,⚪ 中性觀察,16.213872391387284,650.0,0.15,0.57,25.95,-5.82,7.94%,-29.63,3071.TWO,協禧,343.32,🚀 利潤擴張,28.0499992371,2026-03,2025,306.68
N/A,✅ 穩健價值,14.66170791017022,1143.3,68.8,41.98,2097.2999999999997,23.29,N/A,3.78,8299.TWO,群聯,849.86,🚀 利潤擴張,2050.0,2026-03,2025,293.43999999999994
N/A,⚪ 數據不足,0.0,546.67,0.67,-0.43,-2.2499999999999996,-14.91,N/A,-150.59,6615.TWO,慧智,270.3,🔄 轉虧為盈,34.8499984741,2026-03,2025,276.36999999999995
N/A,⚪ 數據不足,0.0,640.0,0.27,0.18,-9.150000000000002,0.1,N/A,550.0,6282.TW,康舒,371.03,🚀 利潤擴張,54.7999992371,2026-03,2025,268.97
N/A,⚪ 數據不足,0.0,445.45,0.38,-0.76,-20.1,5.03,N/A,55.83,8489.TWO,三貝德,186.87,🔄 轉虧為盈,22.75,2026-03,2025,258.58
18.73%,✅ 穩健價值,13.715710723192021,701.79,4.49,1.77,120.3,0.89,8.07%,8050.0,4916.TW,事欣科,473.51,🚀 利潤擴張,110.0,2026-03,2025,228.27999999999997
N/A,💎 強力關注,5.5782311627551024,518.75,2.97,0.88,44.1,-3.15,N/A,-66.67,4432.TWO,銘旺實,292.4,🚀 利潤擴張,16.3999996185,2026-03,2025,226.35000000000002
35.38%,💎 強力關注,9.85714270142857,350.0,0.45,0.88,14.700000000000001,-61.59,-88.29%,51.72,4702.TWO,中美實,132.31,🚀 利潤擴張,9.6599998474,2026-03,2025,217.69
N/A,💎 強力關注,4.6946216955332725,512.9,3.8,13.25,493.65000000000003,5.83,N/A,33.97,8478.TW,東哥遊艇,297.67,🚀 利潤擴張,154.5,2026-03,2025,215.22999999999996
13.61%,💎 強力關注,7.563601081389432,925.0,0.66,1.65,76.65,3.39,8.70%,-21.15,1609.TW,大亞,713.51,🚀 利潤擴張,38.6500015259,2026-03,2025,211.49
19.34%,⚪ 數據不足,0.0,213.33,0.47,0.08,0.0,3.55,7.12%,-80.0,3717.TW,聯嘉投控,26.54,🚀 利潤擴張,24.5,2026-03,2025,186.79000000000002
N/A,⚪ 數據不足,0.0,266.67,0.33,-1.82,-43.199999999999996,-10.9,N/A,-280.2,8084.TWO,巨虹,80.73,🔄 轉虧為盈,43.9500007629,2026-03,2025,185.94
30.40%,💎 強力關注,10.669856702695375,728.13,2.65,2.02,94.05,18.23,14.85%,25.64,3290.TWO,東浦,542.69,🚀 利潤擴張,66.9000015259,2026-03,2025,185.43999999999994
N/A,⚪ 數據不足,0.0,550.0,0.09,-0.17,-7.95,-15.68,N/A,-177.27,5460.TWO,同協,385.95,🔄 轉虧為盈,15.6499996185,2026-03,2025,164.05
N/A,⚪ 數據不足,0.0,276.67,0.53,1.54,0.0,32.98,N/A,1640.0,4582.TWO,未知,116.02,🚀 利潤擴張,0.0,2026-03,2025,160.65000000000003
N/A,⚪ 數據不足,0.0,276.67,0.53,1.54,0.0,32.98,N/A,1640.0,4582.TW,聚恆-創,116.02,🚀 利潤擴張,26.8999996185,2026-03,2025,160.65000000000003
10.78%,⚪ 數據不足,0.0,700.0,0.06,-0.25,-6.6,-2.43,-2.91%,-219.05,2426.TW,鼎元,542.01,🔄 轉虧為盈,62.7000007629,2026-03,2025,157.99
56.31%,⚪ 數據不足,0.0,264.29,0.28,-0.19,-25.049999999999997,2.69,8.42%,54.55,2417.TW,圓剛,108.24,🔄 轉虧為盈,43.2000007629,2026-03,2025,156.05
N/A,⚠️ 追價風險,152.857140132857,366.67,0.28,-0.29,1.050000000000001,-4.25,N/A,-125.22,9934.TW,成霖,214.33,🔄 轉虧為盈,10.6999998093,2026-03,2025,152.34
N/A,⚠️ 追價風險,29.906978163627898,323.08,1.1,1.09,32.250000000000014,7.13,N/A,-77.02,2732.TWO,六角,180.76,🚀 利潤擴張,64.3000030518,2026-03,2025,142.32
N/A,✅ 穩健價值,15.600624024960998,442.11,1.03,2.88,96.15,5.8,N/A,-38.68,6569.TWO,醫揚,307.94,🚀 利潤擴張,100.0,2026-03,2025,134.17000000000002
N/A,⚠️ 追價風險,23.368606701940035,406.45,1.57,2.35,85.05,17.09,N/A,921.74,6166.TW,凌華,273.28,🚀 利潤擴張,132.5,2026-03,2025,133.17000000000002
54.76%,⚠️ 追價風險,157.78688524590166,645.65,3.44,4.66,183.0,82.29,41.27%,884.75,3081.TWO,聯亞,515.18,🏰 高護城河,1925.0,2026-03,2025,130.47000000000003
N/A,💎 強力關注,5.239755751883173,228.49,2.21,6.21,172.05,-14.96,N/A,-20.59,3356.TW,奇偶,113.17,🚀 利潤擴張,60.0999984741,2026-03,2025,115.32000000000001
N/A,⚪ 數據不足,0.0,383.33,0.29,0.33,-7.200000000000001,-4.81,N/A,-84.51,6735.TWO,美達科技,268.59,🚀 利潤擴張,75.0,2026-03,2025,114.74000000000001
102.69%,⚪ 數據不足,0.0,87.5,-0.02,-1.63,-33.6,-7.78,-12.62%,-365.71,2601.TW,益航,-21.56,🏰 高護城河,7.1999998093,2026-03,2025,109.06
N/A,⚠️ 追價風險,52.366863905325445,270.0,0.37,1.73,50.699999999999996,-5.33,N/A,-45.51,7730.TW,暉盛-創,161.56,🚀 利潤擴張,177.0,2026-03,2025,108.44
N/A,⚪ 數據不足,0.0,163.46,0.66,2.15,-40.05,-16.81,N/A,152.83,2911.TW,麗嬰房,67.27,🚀 利潤擴張,7.4099998474,2026-03,2025,96.19000000000001
87.57%,⚠️ 追價風險,29.827587083793105,150.0,0.3,0.43,13.05,-7.4,12.73%,-46.91,3083.TWO,網龍,57.36,🏰 高護城河,25.9500007629,2026-03,2025,92.64
N/A,✅ 穩健價值,13.215488215488215,1080.0,0.49,1.39,44.550000000000004,14.16,N/A,104.41,6931.TW,青松健康,990.52,🚀 利潤擴張,39.25,2026-03,2025,89.48000000000002
16.92%,⚪ 數據不足,0.0,575.0,0.28,-0.84,-24.299999999999994,-18.58,-21.33%,-169.49,1599.TWO,宏佳騰,486.21,🔄 轉虧為盈,23.0,2026-03,2025,88.79000000000002
28.91%,⚪ 數據不足,0.0,166.67,0.06,-0.61,-18.3,0.19,-58.34%,17.57,4147.TWO,中裕,81.97,🔄 轉虧為盈,64.1999969482,2026-03,2025,84.69999999999999
33.66%,💎 強力關注,6.779141221303681,186.6,2.78,2.41,97.8,-14.02,13.17%,-51.9,1339.TW,昭輝,102.97,🚀 利潤擴張,44.2000007629,2026-03,2025,83.63
30.84%,💎 強力關注,11.336996616465202,392.86,0.7,3.02,81.9,15.32,3.76%,78.06,2436.TW,偉詮電,309.82,🚀 利潤擴張,61.9000015259,2026-03,2025,83.04000000000002
N/A,⚠️ 追價風險,32.04620411686469,178.26,0.64,1.11,45.449999999999996,-8.83,N/A,-50.67,6756.TW,威鋒電子,97.11,🚀 利潤擴張,97.0999984741,2026-03,2025,81.14999999999999
89.44%,✅ 穩健價值,13.653846153846155,136.36,2.34,1.97,77.99999999999999,2.09,20.17%,-64.44,3546.TWO,宇峻,62.07,🏰 高護城河,71.0,2026-03,2025,74.29000000000002
N/A,⚪ 數據不足,0.0,99.93,-0.15,-1.49,0.0,22.72,N/A,96.29,7823.TW,奧義賽博-KY創,26.64,🚀 利潤擴張,83.8000030518,2026-03,2025,73.29
N/A,⚪ 數據不足,0.0,-25.93,-0.68,-2.43,-96.44999999999999,19.25,N/A,-99.18,6169.TWO,昱泉,-97.71,🌑 雙重衰退,14.4499998093,2026-03,2025,71.78
N/A,⚪ 數據不足,0.0,650.0,0.3,0.14,-17.549999999999997,0.63,N/A,-91.14,8354.TWO,冠好,578.38,🚀 利潤擴張,16.6000003815,2026-03,2025,71.62
25.49%,✅ 穩健價值,13.957895379326317,386.11,1.75,2.76,71.25,22.56,0.20%,-5.15,4905.TWO,台聯電,315.9,🚀 利潤擴張,66.3000030518,2026-03,2025,70.21000000000004
N/A,⚪ 數據不足,0.0,121.74,1.02,6.33,0.0,76.4,N/A,44.08,7828.TWO,創新服務,51.84,🚀 利潤擴張,2025.0,2026-03,2025,69.89999999999999
90.85%,💎 強力關注,10.26143778385621,127.27,0.25,0.63,22.95,4.6,38.94%,3.28,2889.TW,國票金,58.58,🏰 高護城河,15.6999998093,2026-03,2025,68.69
82.18%,💎 強力關注,5.519253119842474,107.35,1.41,7.13,257.1,-4.63,20.98%,24.43,4137.TW,麗豐-KY,40.15,🏰 高護城河,94.5999984741,2026-03,2025,67.19999999999999
54.59%,⚪ 數據不足,0.0,175.0,0.06,-0.38,-15.3,-28.72,3.73%,-31.03,3632.TWO,研勤,110.52,🔄 轉虧為盈,8.0600004196,2026-03,2025,64.48
N/A,⚪ 數據不足,0.0,106.9,0.6,2.43,0.0,2.38,N/A,-24.06,6986.TWO,和迅,42.91,🚀 利潤擴張,45.5999984741,2026-03,2025,63.99000000000001
31.44%,⚪ 數據不足,0.0,175.0,0.11,-1.28,-38.1,-7.78,-45.46%,-184.44,4562.TW,穎漢,111.03,🔄 轉虧為盈,33.1500015259,2026-03,2025,63.97
93.22%,⚪ 數據不足,0.0,62.5,-0.27,-3.51,0.0,-29.69,-55.72%,-7120.0,3064.TWO,泰偉,-1.0,🏰 高護城河,0.0,2026-03,2025,63.5
N/A,💎 強力關注,5.029498300014748,235.0,1.34,2.64,101.7,12.14,N/A,17.33,6005.TW,群益證,171.79,🚀 利潤擴張,34.0999984741,2026-03,2025,63.21000000000001
N/A,⚠️ 追價風險,51.49253731343285,500.0,0.84,0.58,10.049999999999997,19.69,N/A,152.25,1533.TW,車王電,438.18,🚀 利潤擴張,34.5,2026-03,2025,61.81999999999999
20.98%,✅ 穩健價值,14.866666158066666,600.0,0.56,0.74,22.5,-4.85,7.12%,34.55,1904.TW,正隆,538.23,🚀 利潤擴張,22.2999992371,2026-03,2025,61.76999999999998
N/A,💎 強力關注,11.119894799196311,206.45,1.9,2.52,113.85,-4.59,N/A,-26.32,6208.TWO,日揚,150.03,🚀 利潤擴張,84.4000015259,2026-03,2025,56.41999999999999
N/A,💎 強力關注,10.363070697697093,204.17,1.46,1.19,72.30000000000001,-6.81,N/A,-36.9,4747.TWO,強生,148.33,🚀 利潤擴張,49.9500007629,2026-03,2025,55.839999999999975
N/A,⚪ 數據不足,0.0,244.44,0.13,-0.6,-18.45,2.65,N/A,49.15,8040.TWO,九暘,189.01,🔄 轉虧為盈,85.9000015259,2026-03,2025,55.43000000000001
41.95%,💎 強力關注,2.052689436108672,239.47,2.62,12.33,273.29999999999995,-6.28,-106.23%,905.92,4123.TWO,晟德,185.42,🚀 利潤擴張,37.4000015259,2026-03,2025,54.05000000000001
N/A,⚪ 數據不足,0.0,-2.96,-1.43,-3.92,0.0,-29.22,N/A,-48.08,6934.TW,心誠鎂,-55.48,🌑 雙重衰退,78.0,2026-03,2025,52.519999999999996
N/A,💎 強力關注,7.8087885985748215,147.37,3.29,6.82,252.6,6.51,N/A,66.34,6574.TWO,霈方,95.63,🚀 利潤擴張,131.5,2026-03,2025,51.74000000000001
N/A,⚪ 數據不足,0.0,139.49,7.68,13.04,0.0,182.72,N/A,38.44,7711.TW,永擎,91.93,🚀 利潤擴張,0.0,2026-03,2025,47.56
N/A,✅ 穩健價值,13.985848876650943,406.06,1.01,1.5,31.8,23.54,N/A,-36.17,3287.TWO,廣寰科,359.48,🚀 利潤擴張,29.6499996185,2026-03,2025,46.579999999999984
N/A,💎 強力關注,2.6407368717604913,112.5,0.03,5.29,146.54999999999998,-17.0,N/A,544.54,9949.TWO,琉園,66.65,🚀 利潤擴張,25.7999992371,2026-03,2025,45.849999999999994
N/A,💎 強力關注,7.441253263707572,55.17,0.46,4.85,172.35,108.17,N/A,31.64,6620.TWO,漢達,15.93,🚀 利潤擴張,85.5,2026-03,2025,39.24
20.64%,⚪ 數據不足,0.0,300.0,0.08,0.12,-30.6,-40.0,-8.17%,-93.75,2388.TW,威盛,264.14,🚀 利潤擴張,72.1999969482,2026-03,2025,35.860000000000014
50.66%,✅ 穩健價值,12.545787545787546,190.24,1.19,2.15,81.9,1.24,14.95%,-5.7,3556.TWO,禾瑞亞,156.04,🏰 高護城河,68.5,2026-03,2025,34.20000000000002
N/A,⚪ 數據不足,0.0,42.62,0.87,2.99,0.0,19.28,N/A,91.67,7821.TW,神數,10.24,🚀 利潤擴張,40.4500007629,2026-03,2025,32.379999999999995
35.24%,⚪ 數據不足,0.0,34.92,11.94,7.56,0.0,15.19,30.89%,-17.2,2072.TWO,未知,6.33,🚀 利潤擴張,0.0,2025-12,2025,28.590000000000003
N/A,⚪ 數據不足,0.0,23.4,-0.36,-1.89,-70.05,-5.58,N/A,-13.21,6794.TW,向榮生技,-3.86,🧐 疑業外收益,78.4000015259,2026-03,2025,27.259999999999998
23.39%,⚪ 數據不足,0.0,450.0,0.11,-0.45,-28.950000000000003,2.23,1.90%,-197.83,1467.TW,南緯,422.96,🔄 轉虧為盈,8.4899997711,2026-03,2025,27.04000000000002
N/A,⚪ 數據不足,0.0,42.86,1.62,3.24,0.0,3.08,N/A,-27.83,7768.TW,頌勝科技,16.63,🚀 利潤擴張,329.0,2026-03,2025,26.23
N/A,⚪ 數據不足,0.0,42.86,1.62,3.24,0.0,3.08,N/A,-27.83,7768.TWO,未知,16.63,🚀 利潤擴張,0.0,2026-03,2025,26.23
21.29%,⚪ 數據不足,0.0,38.11,4.33,13.61,0.0,20.5,16.93%,11.37,1623.TW,大東電,12.42,🚀 利潤擴張,0.0,2026-03,2025,25.689999999999998
80.00%,💎 強力關注,9.474431384687499,83.05,1.08,2.74,105.6,6.4,33.03%,-1.08,2885.TW,元大金,62.36,🏰 高護城河,66.6999969482,2026-03,2025,20.689999999999998
N/A,✅ 穩健價值,13.721973265246637,45.45,0.32,0.85,33.45,0.36,N/A,-66.0,5604.TWO,中連,25.49,🚀 利潤擴張,30.6000003815,2026-03,2025,19.960000000000004
N/A,💎 強力關注,10.243901973841464,470.83,0.89,0.76,24.599999999999998,0.56,N/A,-11.63,6015.TWO,宏遠證,451.29,🚀 利潤擴張,16.7999992371,2026-03,2025,19.539999999999964
