代號,名稱,現價,當日外資(張),當日投信(張),當日自營(張),Date,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
2101.TW,南港,30.7,0,0,0,20260522,161,722,561,4.5x,-1.44%,★ 壓低偷買
00724B.TWO,群益投資級金融債,33.38,0,0,0,20260522,-400,158,559,-0.4x,-0.15%,★ 壓低偷買
3206.TWO,志豐,38.25,0,0,0,20260522,-551,7,558,-0.0x,0.39%,★ 壓低偷買
6651.TWO,全宇昕,137.5,0,0,0,20260522,123,678,554,5.5x,16.03%,▲ 順勢追意
00917.TW,中信特選金融,21.72,0,0,0,20260522,-215,333,548,-1.6x,1.35%,▲ 順勢追意
6547.TWO,高端疫苗,47.95,0,0,0,20260522,-132,408,540,-3.1x,0.10%,★ 壓低偷買
2211.TW,長榮鋼,92.0,0,0,0,20260522,-491,31,523,-0.1x,-2.02%,★ 壓低偷買
3058.TW,立德,8.42,0,0,0,20260522,-214,298,512,-1.4x,4.60%,▲ 順勢追意
7721.TW,微程式,80.0,0,0,0,20260522,-398,108,507,-0.3x,9.59%,▲ 順勢追意
3416.TW,融程電,183.0,0,0,0,20260522,135,637,502,4.7x,12.27%,▲ 順勢追意
3066.TWO,李洲,20.8,0,0,0,20260522,46,520,474,11.3x,7.22%,▲ 順勢追意
4755.TW,三福化,146.5,0,0,0,20260522,-203,269,472,-1.3x,7.72%,▲ 順勢追意
3515.TW,華擎,232.0,0,0,0,20260522,-238,225,464,-0.9x,3.11%,▲ 順勢追意
6492.TWO,生華科,46.35,0,0,0,20260522,-449,7,456,-0.0x,-3.13%,★ 壓低偷買
6525.TW,捷敏-KY,116.0,0,0,0,20260522,47,503,455,10.6x,10.48%,▲ 順勢追意
6799.TW,來頡,100.5,0,0,0,20260522,241,690,449,2.9x,8.88%,▲ 順勢追意
6854.TW,錼創科技-KY創,169.5,0,0,0,20260522,14,464,449,31.8x,14.14%,▲ 順勢追意
6438.TW,迅得,169.0,0,0,0,20260522,153,596,442,3.9x,3.36%,▲ 順勢追意
4123.TWO,晟德,38.7,0,0,0,20260522,-159,281,441,-1.8x,1.04%,▲ 順勢追意
00989B.TWO,台新美國非投等債,9.98,0,0,0,20260522,-248,187,435,-0.8x,0.10%,★ 壓低偷買
5274.TWO,信驊,17780.0,0,0,0,20260522,36,470,434,12.8x,3.40%,▲ 順勢追意
1524.TW,耿鼎,29.55,0,0,0,20260522,112,546,434,4.9x,3.50%,▲ 順勢追意
2617.TW,台航,29.0,0,0,0,20260522,-379,48,428,-0.1x,1.22%,▲ 順勢追意
6167.TWO,久正,11.8,0,0,0,20260522,-326,89,415,-0.3x,3.96%,▲ 順勢追意
6835.TW,圓裕,39.3,0,0,0,20260522,-153,260,413,-1.7x,4.11%,▲ 順勢追意
6203.TWO,海韻電,72.3,0,0,0,20260522,-369,42,412,-0.1x,6.17%,▲ 順勢追意
3588.TW,通嘉,63.1,0,0,0,20260522,318,724,406,2.3x,5.17%,▲ 順勢追意
8436.TWO,大江,120.5,0,0,0,20260522,-149,247,396,-1.7x,2.12%,▲ 順勢追意
5432.TWO,新門,144.0,0,0,0,20260522,-377,15,393,-0.0x,1.41%,▲ 順勢追意
00877.TWO,復華中國5G,39.97,0,0,0,20260522,-292,98,391,-0.3x,1.83%,▲ 順勢追意
2347.TW,聯強,84.1,0,0,0,20260522,-147,242,390,-1.6x,2.06%,▲ 順勢追意
2395.TW,研華,469.0,0,0,0,20260522,254,639,385,2.5x,2.07%,▲ 順勢追意
6776.TW,展�眥篕�,59.1,0,0,0,20260522,-85,300,385,-3.5x,4.23%,▲ 順勢追意
00908.TW,富邦入息REITs+,14.38,0,0,0,20260522,5,389,383,68.0x,1.55%,▲ 順勢追意
4534.TWO,慶騰,24.25,0,0,0,20260522,-210,168,379,-0.8x,6.36%,▲ 順勢追意
2889.TW,國票金,14.65,0,0,0,20260522,-308,64,373,-0.2x,0.69%,▲ 順勢追意
3552.TWO,同致,53.3,0,0,0,20260522,-338,34,372,-0.1x,0.57%,▲ 順勢追意
7768.TWO,,378.0,0,0,0,20260522,-311,59,371,-0.2x,5.00%,▲ 順勢追意
7768.TWO,,378.0,0,0,0,20260522,-311,59,371,-0.2x,5.00%,▲ 順勢追意
6134.TWO,萬旭,31.85,0,0,0,20260522,-136,229,365,-1.7x,4.94%,▲ 順勢追意
8499.TW,鼎炫-KY,316.5,0,0,0,20260522,-238,122,361,-0.5x,14.67%,▲ 順勢追意
3527.TWO,聚積,61.3,0,0,0,20260522,-223,134,358,-0.6x,2.17%,▲ 順勢追意
3346.TW,麗清,16.35,0,0,0,20260522,-243,114,357,-0.5x,4.81%,▲ 順勢追意
8076.TWO,伍豐,24.05,0,0,0,20260522,-52,305,357,-5.8x,0.63%,▲ 順勢追意
7712.TWO,博盛半導體,167.5,0,0,0,20260522,191,538,346,2.8x,10.56%,▲ 順勢追意
3057.TW,喬鼎,19.75,0,0,0,20260522,-333,4,338,-0.0x,7.34%,▲ 順勢追意
6435.TWO,大中,231.0,0,0,0,20260522,-94,242,336,-2.6x,1.32%,▲ 順勢追意
6756.TW,威鋒電子,105.0,0,0,0,20260522,60,387,326,6.4x,6.28%,▲ 順勢追意
6552.TW,易華電,31.55,0,0,0,20260522,19,344,324,17.4x,11.09%,▲ 順勢追意
6873.TW,泓德能源,87.4,0,0,0,20260522,-236,88,324,-0.4x,5.56%,▲ 順勢追意
6668.TW,中揚光,39.65,0,0,0,20260522,68,384,316,5.6x,6.30%,▲ 順勢追意
2453.TW,凌群,57.2,0,0,0,20260522,76,393,316,5.1x,5.54%,▲ 順勢追意
2427.TW,三商電,20.7,0,0,0,20260522,-104,208,312,-2.0x,1.22%,▲ 順勢追意
6591.TW,動力-KY,53.5,0,0,0,20260522,-304,7,311,-0.0x,4.29%,▲ 順勢追意
6233.TWO,旺玖,26.55,0,0,0,20260522,-120,190,310,-1.6x,4.94%,▲ 順勢追意
2206.TW,三陽工業,60.1,0,0,0,20260522,-216,93,310,-0.4x,2.39%,▲ 順勢追意
3021.TW,鴻名,18.8,0,0,0,20260522,-39,270,309,-6.8x,10.59%,▲ 順勢追意
4564.TW,元翎,15.8,0,0,0,20260522,-125,183,308,-1.5x,-3.66%,★ 壓低偷買
6235.TW,華孚,41.9,0,0,0,20260522,-96,209,305,-2.2x,4.36%,▲ 順勢追意
1584.TWO,精剛,19.65,0,0,0,20260522,-145,153,298,-1.1x,-0.51%,★ 壓低偷買
3306.TWO,鼎天,46.85,0,0,0,20260522,-264,28,293,-0.1x,4.81%,▲ 順勢追意
3071.TWO,協禧,30.6,0,0,0,20260522,-19,273,293,-14.3x,5.34%,▲ 順勢追意
6907.TWO,雅特力-KY,121.5,0,0,0,20260522,-169,121,291,-0.7x,2.97%,▲ 順勢追意
00693U.TW,期街口S&P黃豆,22.11,0,0,0,20260522,-103,186,289,-1.8x,-0.32%,★ 壓低偷買
6875.TWO,國邑*,38.0,0,0,0,20260522,-283,0,283,-0.0x,1.33%,▲ 順勢追意
3147.TWO,大綜,186.0,0,0,0,20260522,76,356,279,4.6x,8.14%,▲ 順勢追意
6292.TWO,迅德,54.2,0,0,0,20260522,-238,33,272,-0.1x,3.04%,▲ 順勢追意
1529.TW,樂事綠能,21.0,0,0,0,20260522,-101,168,270,-1.7x,5.00%,▲ 順勢追意
3617.TW,碩天,200.5,0,0,0,20260522,-207,57,264,-0.3x,5.53%,▲ 順勢追意
2601.TW,益航,5.03,0,0,0,20260522,-255,3,259,-0.0x,5.89%,▲ 順勢追意
3686.TW,達能,18.25,0,0,0,20260522,-1,253,254,新進貨,3.40%,▲ 順勢追意
7703.TWO,銳澤,209.0,0,0,0,20260522,36,288,252,8.0x,-1.42%,★ 壓低偷買
6494.TWO,九齊,58.0,0,0,0,20260522,235,486,250,2.1x,11.32%,▲ 順勢追意
3038.TW,全台,23.15,0,0,0,20260522,-88,161,249,-1.8x,2.89%,▲ 順勢追意
8068.TWO,全達,20.7,0,0,0,20260522,-221,26,248,-0.1x,-1.43%,★ 壓低偷買
6570.TWO,維田,53.19,0,0,0,20260522,-12,234,246,-18.5x,24.57%,▲ 順勢追意
5263.TWO,智崴,113.5,0,0,0,20260522,32,264,232,8.2x,11.27%,▲ 順勢追意
6112.TW,邁達特,43.05,0,0,0,20260522,-193,36,230,-0.2x,2.74%,▲ 順勢追意
00982D.TW,主動富邦動態入息,9.87,0,0,0,20260522,22,249,226,11.1x,-0.20%,★ 壓低偷買
7828.TWO,創新服務,1165.0,0,0,0,20260522,-118,106,225,-0.9x,-2.51%,★ 壓低偷買
3625.TWO,西勝,14.8,0,0,0,20260522,-168,54,222,-0.3x,6.47%,▲ 順勢追意
3530.TW,晶相光,69.0,0,0,0,20260522,-110,110,220,-1.0x,3.60%,▲ 順勢追意
1587.TW,吉茂,28.55,0,0,0,20260522,-134,85,219,-0.6x,0.18%,★ 壓低偷買
2911.TW,麗嬰房,8.69,0,0,0,20260522,1,216,215,新進貨,57.14%,▲ 順勢追意
3557.TW,嘉威,25.9,0,0,0,20260522,-191,20,212,-0.1x,-4.07%,★ 壓低偷買
1455.TW,集盛,8.17,0,0,0,20260522,-194,14,208,-0.1x,2.90%,▲ 順勢追意
4109.TWO,加捷生醫,11.5,0,0,0,20260522,-166,40,207,-0.2x,4.07%,▲ 順勢追意
3207.TWO,耀勝,56.6,0,0,0,20260522,23,229,205,9.8x,-10.02%,★ 壓低偷買
2429.TW,銘旺科,48.45,0,0,0,20260522,-193,9,203,-0.0x,-8.41%,★ 壓低偷買
7730.TW,暉盛-創,230.0,0,0,0,20260522,-5,193,198,-34.2x,27.07%,▲ 順勢追意
5288.TW,豐祥-KY,150.5,0,0,0,20260522,-195,1,196,-0.0x,0.67%,▲ 順勢追意
8045.TW,達運光電,71.8,0,0,0,20260522,-114,81,196,-0.7x,4.51%,▲ 順勢追意
2528.TW,皇普,22.15,0,0,0,20260522,-183,9,193,-0.1x,-1.12%,★ 壓低偷買
4991.TWO,環宇-KY,814.0,0,0,0,20260522,2441,2635,193,1.1x,26.79%,▲ 順勢追意
1611.TW,中電,11.5,0,0,0,20260522,-123,68,192,-0.6x,4.55%,▲ 順勢追意
5227.TWO,立凱-KY,26.4,0,0,0,20260522,-69,121,190,-1.7x,13.55%,▲ 順勢追意
00670L.TW,富邦NASDAQ正2,209.0,0,0,0,20260522,-135,51,186,-0.4x,1.16%,▲ 順勢追意
2231.TW,為升,106.5,0,0,0,20260522,-101,84,185,-0.8x,0.00%,★ 壓低偷買
3027.TW,盛達,18.15,0,0,0,20260522,-45,139,184,-3.1x,3.71%,▲ 順勢追意
6486.TWO,互動,82.1,0,0,0,20260522,-117,66,183,-0.6x,0.12%,★ 壓低偷買
6441.TWO,廣錠,24.4,0,0,0,20260522,-50,131,182,-2.6x,-1.61%,★ 壓低偷買
6136.TW,富爾特,25.75,0,0,0,20260522,-138,44,182,-0.3x,3.62%,▲ 順勢追意
1210.TW,大成,52.4,0,0,0,20260522,-153,27,181,-0.2x,-0.95%,★ 壓低偷買
