eps_yoy,advice,gm,om,rev_yoy,prev_rev_yoy,prev_year,name,price,pe,prev_eps_yoy,est_price,expansion,status,prev_eps,eps,symbol,date
133.62,💎 強力關注,5.83%,-0.68%,-8.77,-8.66,2025,TPK-KY,77.0,10.784313725490197,55.15,107.1,142.39000000000001,🧐 疑業外收益,2.56,2.71,3673.TW,2025-12
119.51,⚠️ 追價風險,N/A,N/A,-20.68,-18.24,2025,中湛,20.0,74.07407407407408,111.11,4.050000000000001,140.19,🧐 疑業外收益,0.05,0.08,6236.TWO,2025-12
180.65,⚠️ 追價風險,N/A,N/A,42.33,48.16,2025,天擎,40.0,93.0232558139535,119.23,6.449999999999999,138.32,🚀 利潤擴張,0.05,0.25,6708.TWO,2025-12
104.91,⚠️ 追價風險,N/A,N/A,-32.24,-19.06,2025,立凱-KY,26.3999996185,41.90476129920633,199.67,9.450000000000005,137.15,🧐 疑業外收益,2.99,0.17,5227.TWO,2025-12
152.21,⚠️ 追價風險,N/A,N/A,16.84,14.7,2025,點序,106.0,84.12698412698413,70.64,18.9,135.37,🔄 轉虧為盈,-0.32,0.71,6485.TWO,2025-12
229.88,⚪ 數據不足,49.05%,39.15%,95.09,32.43,2025,南亞科,310.5,0.0,-28.32,-28.5,134.79,🔄 轉虧為盈,-1.45,2.13,2408.TW,2025-12
178.19,💎 強力關注,8.09%,5.14%,44.32,55.41,2025,鑫聯大投控,88.1999969482,6.437955981620437,167.46,205.50000000000003,133.87,🚀 利潤擴張,3.61,7.11,3709.TWO,2025-12
58.98,⚪ 數據不足,-8.98%,-223.66%,-72.48,-68.41,2025,德晉,33.7999992371,0.0,65.77,-57.45,131.46,🧐 疑業外收益,-0.81,-1.11,3466.TWO,2025-12
645.65,⚠️ 追價風險,54.76%,41.27%,515.18,82.29,2025,聯亞,2710.0,222.13114754098362,884.75,183.0,130.47000000000003,🏰 高護城河,4.66,3.44,3081.TWO,2026-03
54.11,⚪ 數據不足,-156.07%,-456.27%,-75.71,-81.44,2025,太極,17.3999996185,0.0,16.25,-35.85,129.82,🧐 疑業外收益,-0.67,-0.95,4934.TW,2025-12
108.46,💎 強力關注,18.52%,6.32%,-19.52,-19.69,2025,榮運,47.9000015259,5.512083029447641,139.38,130.35,127.97999999999999,🧐 疑業外收益,2.72,3.56,2607.TW,2025-12
159.21,⚠️ 追價風險,N/A,N/A,32.59,12.38,2025,青雲,497.0,32.48366013071896,103.38,229.49999999999997,126.62,🚀 利潤擴張,3.03,8.61,5386.TWO,2025-12
161.27,💎 強力關注,N/A,N/A,35.14,13.11,2025,美好證,32.25,7.279909706546276,128.3,66.44999999999999,126.13000000000001,🚀 利潤擴張,2.46,3.76,6021.TWO,2025-12
155.22,⚪ 數據不足,27.46%,-3.44%,29.09,30.74,2025,曜越,0.0,0.0,147.47,0.0,126.13,🚀 利潤擴張,0.47,0.74,3540.TWO,2025-12
177.17,💎 強力關注,N/A,N/A,51.31,62.88,2025,山林水,39.7999992371,5.661450816088195,130.34,105.44999999999999,125.85999999999999,🚀 利潤擴張,2.05,2.55,8473.TW,2025-12
120.99,⚠️ 追價風險,31.80%,13.87%,-4.69,-13.87,2025,穩懋,531.0,114.19354838709677,-40.53,69.75,125.67999999999999,🧐 疑業外收益,1.57,4.0,3105.TWO,2025-12
142.59,💎 強力關注,N/A,N/A,20.19,28.81,2025,安鈦克,29.2999992371,10.06872826017182,128.33,43.650000000000006,122.4,🚀 利潤擴張,0.66,0.92,6276.TWO,2025-12
127.94,⚠️ 追價風險,28.43%,-3.62%,8.09,2.64,2025,瑞利,6.9899997711,27.9599990844,111.76,3.75,119.85,🚀 利潤擴張,0.04,0.19,1512.TW,2025-12
177.61,💎 強力關注,32.97%,26.41%,59.65,217.33,2025,綠意,28.6000003815,6.355555640333333,425.0,67.5,117.96000000000001,🚀 利潤擴張,1.04,1.86,2596.TWO,2025-12
139.29,⚠️ 追價風險,N/A,N/A,22.38,34.06,2025,泰霖,27.75,40.21739130434782,190.91,10.350000000000001,116.91,🚀 利潤擴張,0.2,0.12,8080.TWO,2025-12
122.09,⚠️ 追價風險,31.93%,2.93%,7.47,8.77,2025,氣立,49.7000007629,1242.5000190724998,97.22,0.6000000000000001,114.62,🔄 轉虧為盈,-0.02,0.19,4555.TW,2025-12
23.33,⚪ 數據不足,N/A,N/A,-90.1,-92.7,2025,瑞築,21.8500003815,0.0,55.56,-7.5,113.42999999999999,🧐 疑業外收益,-0.12,-0.23,6198.TWO,2025-12
51.72,⚠️ 追價風險,35.38%,-88.29%,-61.59,-60.26,2025,中美實,9.7299995422,27.79999869199999,-14.81,5.250000000000002,113.31,🧐 疑業外收益,0.23,0.88,4702.TWO,2025-12
144.7,💎 強力關注,48.37%,35.36%,32.13,22.8,2025,威剛,417.5,10.57765391436534,19.56,592.05,112.57,🚀 利潤擴張,10.08,23.18,3260.TWO,2025-12
87.32,⚪ 數據不足,-19.82%,14.50%,-22.64,-15.81,2025,千興,12.3999996185,0.0,28.07,-17.700000000000003,109.96,🧐 疑業外收益,-0.41,-0.18,2025.TW,2025-12
102.7,⚪ 數據不足,N/A,N/A,-6.4,-7.04,2025,大拓-KY,40.0999984741,0.0,104.35,-4.95,109.10000000000001,🧐 疑業外收益,0.02,0.02,8455.TWO,2025-12
134.62,⚪ 數據不足,N/A,N/A,26.06,17.8,2025,佳龍,28.1499996185,0.0,50.67,-5.399999999999999,108.56,🔄 轉虧為盈,-0.37,0.54,9955.TW,2025-12
110.31,✅ 穩健價值,N/A,N/A,2.46,-15.55,2025,十銓,270.5,14.504021447721177,-46.86,279.75000000000006,107.85000000000001,🚀 利潤擴張,3.47,13.06,4967.TW,2025-12
53.77,⚪ 數據不足,N/A,N/A,-52.73,-51.54,2025,創業家,15.6499996185,0.0,80.0,-38.4,106.5,🧐 疑業外收益,-0.62,-0.92,8477.TWO,2025-12
108.09,💎 強力關注,26.51%,17.13%,1.8,7.39,2025,國建,22.0499992371,3.5055642666295705,127.38,94.35,106.29,🚀 利潤擴張,1.91,2.83,2501.TW,2025-12
168.25,⚪ 數據不足,N/A,N/A,63.6,5.09,2025,威潤,52.7999992371,0.0,29.25,-14.549999999999999,104.65,🔄 轉虧為盈,-0.75,0.86,6465.TWO,2025-12
143.64,⚠️ 追價風險,19.12%,16.62%,39.88,34.74,2025,凌航,211.5,24.199084668192224,-29.03,131.09999999999997,103.75999999999999,🚀 利潤擴張,1.5,6.33,3135.TW,2025-12
164.15,✅ 穩健價值,N/A,N/A,61.2,77.79,2025,撼訊,70.0999984741,13.176691442500003,156.36,79.8,102.95,🚀 利潤擴張,1.55,2.63,6150.TWO,2025-12
107.41,⚠️ 追價風險,10.44%,2.26%,5.42,32.51,2025,麗臺,85.9000015259,67.10937619210937,102.43,19.2,101.99,🚀 利潤擴張,0.09,0.43,2465.TW,2025-12
100.0,⚠️ 追價風險,40.82%,-1.48%,1.84,2.58,2025,誠品生活,36.7999992371,28.976377352047248,241.67,19.05,98.16,🚀 利潤擴張,0.34,0.54,2926.TWO,2025-12
118.87,💎 強力關注,19.55%,7.07%,21.45,28.08,2025,錩泰,20.7000007629,4.726027571438356,41.94,65.7,97.42,🚀 利潤擴張,1.32,2.32,1541.TW,2025-12
110.31,💎 強力關注,24.41%,0.24%,13.61,9.38,2025,虹光,5.8200001717,3.0000000885051548,133.57,29.099999999999998,96.7,🚀 利潤擴張,0.47,0.72,2380.TW,2025-12
146.97,⚪ 數據不足,N/A,N/A,50.49,54.63,2025,IET-KY,733.0,0.0,103.17,-7.0500000000000025,96.47999999999999,🚀 利潤擴張,0.09,1.65,4971.TWO,2025-12
104.43,⚪ 數據不足,N/A,N/A,8.41,7.31,2025,雙喜,10.6999998093,0.0,116.43,-7.35,96.02000000000001,🚀 利潤擴張,0.34,0.16,5516.TWO,2025-12
134.04,⚠️ 追價風險,12.43%,-9.15%,38.72,49.52,2025,上詮,852.0,1199.9999999999998,317.65,10.65,95.32,🚀 利潤擴張,0.37,0.16,3363.TWO,2025-12
191.99,⚠️ 追價風險,N/A,N/A,96.69,94.38,2025,竹陞科技,1280.0,36.898241568175266,167.2,520.3499999999999,95.30000000000001,🚀 利潤擴張,10.13,16.13,6739.TWO,2025-12
118.18,⚠️ 追價風險,N/A,N/A,23.69,15.42,2025,廣運,59.5,191.93548387096774,123.21,4.65,94.49000000000001,🚀 利潤擴張,0.13,0.1,6125.TWO,2025-12
100.43,💎 強力關注,39.69%,12.64%,6.13,5.19,2025,歐買尬,69.6999969482,6.563088224877588,151.12,159.3,94.30000000000001,🚀 利潤擴張,4.47,4.67,3687.TWO,2025-12
