expansion,name,eps,gm,status,prev_year,symbol,om,prev_rev_yoy,est_price,eps_yoy,rev_yoy,date,pe,prev_eps_yoy,price,prev_eps,advice
164.91,一詮,0.22,15.86%,🚀 利潤擴張,2025,2486.TW,1.35%,13.26,4.65,175.0,10.09,2025-12,724.1935483870968,300.0,224.5,0.16,⚠️ 追價風險
164.37,富威電力,6.34,N/A,🚀 利潤擴張,2025,6994.TW,N/A,21.0,0.0,328.87,164.5,2025-12,0.0,47.95,0.0,1.13,⚪ 數據不足
164.31,寬宏藝術,18.83,N/A,🚀 利潤擴張,2025,6596.TWO,N/A,97.52,693.9,242.99,78.68,2025-12,2.204928664072633,241.37,102.0,17.41,💎 強力關注
160.96,方土昶,0.68,N/A,🔄 轉虧為盈,2025,6265.TWO,N/A,25.19,-11.25,223.81,62.85,2025-12,0.0,-271.43,39.4000015259,-0.24,⚪ 數據不足
160.61999999999998,高技,13.74,N/A,🚀 利潤擴張,2025,5439.TWO,N/A,130.37,435.15,291.45,130.83,2025-12,12.909341606342641,280.8,374.5,9.52,✅ 穩健價值
159.73000000000002,森寶,-0.09,10.14%,🧐 疑業外收益,2025,3489.TWO,3.61%,-54.34,-4.95,89.89,-69.84,2025-12,0.0,23.53,22.0,-0.13,⚪ 數據不足
157.18,東台,1.81,7.66%,🧐 疑業外收益,2025,4526.TW,-21.47%,-1.22,106.8,150.56,-6.62,2025-12,4.536516746783708,271.05,32.2999992371,2.61,💎 強力關注
153.81,新鉅科,1.86,4.18%,🚀 利潤擴張,2025,3630.TWO,-22.27%,18.28,91.05,173.02,19.21,2025-12,4.59637555494234,219.44,27.8999996185,2.19,💎 強力關注
152.56,安格,1.57,N/A,🧐 疑業外收益,2025,6684.TWO,N/A,-15.66,189.75000000000003,137.2,-15.36,2025-12,3.6758893280632403,203.85,46.5,3.24,💎 強力關注
152.03,台新藥,-0.55,N/A,🧐 疑業外收益,2025,6838.TW,N/A,-95.44,-13.5,58.65,-93.38,2025-12,0.0,77.78,26.8500003815,-0.24,⚪ 數據不足
147.76,太景*-KY,0.06,98.33%,🔄 轉虧為盈,2025,4157.TWO,81.17%,-79.84,-5.8500000000000005,220.0,72.24,2025-12,0.0,-1000.0,10.1000003815,-0.22,⚪ 數據不足
145.65,海灣,0.13,43.11%,🔄 轉虧為盈,2025,3252.TWO,22.84%,-4.86,2.4,141.94,-3.71,2025-12,120.62499523187499,54.55,19.2999992371,-0.1,⚠️ 追價風險
143.77999999999997,精確,1.7,11.59%,🚀 利潤擴張,2025,3162.TWO,1.68%,89.71,67.05000000000001,209.26,65.48,2025-12,18.255033215682325,292.31,81.5999984741,1.25,⚪ 中性觀察
142.39000000000001,TPK-KY,2.71,5.83%,🧐 疑業外收益,2025,3673.TW,-0.68%,-8.66,107.1,133.62,-8.77,2025-12,8.305322022002802,55.15,59.2999992371,2.56,💎 強力關注
140.19,中湛,0.08,N/A,🧐 疑業外收益,2025,6236.TWO,N/A,-18.24,4.050000000000001,119.51,-20.68,2025-12,70.55555272999999,111.11,19.0499992371,0.05,⚠️ 追價風險
138.32,天擎,0.25,N/A,🚀 利潤擴張,2025,6708.TWO,N/A,48.16,6.449999999999999,180.65,42.33,2025-12,95.34883720930235,119.23,41.0,0.05,⚠️ 追價風險
137.15,立凱-KY,0.17,N/A,🧐 疑業外收益,2025,5227.TWO,N/A,-19.06,9.450000000000005,104.91,-32.24,2025-12,32.460318671269825,199.67,20.4500007629,2.99,⚠️ 追價風險
135.37,點序,0.71,N/A,🔄 轉虧為盈,2025,6485.TWO,N/A,14.7,18.9,152.21,16.84,2025-12,62.53968496174603,70.64,78.8000030518,-0.32,⚠️ 追價風險
134.79,南亞科,2.13,49.05%,🔄 轉虧為盈,2025,2408.TW,39.15%,32.43,-28.5,229.88,95.09,2025-12,0.0,-28.32,226.5,-1.45,⚪ 數據不足
133.87,鑫聯大投控,7.11,8.09%,🚀 利潤擴張,2025,3709.TWO,5.14%,55.41,205.50000000000003,178.19,44.32,2025-12,5.963503426875912,167.46,81.6999969482,3.61,💎 強力關注
131.46,德晉,-1.11,-8.98%,🧐 疑業外收益,2025,3466.TWO,-223.66%,-68.41,-57.45,58.98,-72.48,2025-12,0.0,65.77,39.3499984741,-0.81,⚪ 數據不足
130.47000000000003,聯亞,3.44,54.76%,🏰 高護城河,2025,3081.TWO,41.27%,82.29,183.0,645.65,515.18,2026-03,208.19672131147541,884.75,2540.0,4.66,⚠️ 追價風險
129.82,太極,-0.95,-156.07%,🧐 疑業外收益,2025,4934.TW,-456.27%,-81.44,-35.85,54.11,-75.71,2025-12,0.0,16.25,15.8000001907,-0.67,⚪ 數據不足
127.97999999999999,榮運,3.56,18.52%,🧐 疑業外收益,2025,2607.TW,6.32%,-19.69,130.35,108.46,-19.52,2025-12,5.512083029447641,139.38,47.9000015259,2.72,💎 強力關注
126.62,青雲,8.61,N/A,🚀 利潤擴張,2025,5386.TWO,N/A,12.38,229.49999999999997,159.21,32.59,2025-12,23.758169934640524,103.38,363.5,3.03,⚠️ 追價風險
126.13000000000001,美好證,3.76,N/A,🚀 利潤擴張,2025,6021.TWO,N/A,13.11,66.44999999999999,161.27,35.14,2025-12,7.336343115124154,128.3,32.5,2.46,💎 強力關注
126.13,曜越,0.74,27.46%,🚀 利潤擴張,2025,3540.TWO,-3.44%,30.74,0.0,155.22,29.09,2025-12,0.0,147.47,0.0,0.47,⚪ 數據不足
