     Stock       Name  Score    Close                          BuyReason
   4956.TW         光鋐    3.0    25.70               【營收爆發(44.4%) | 董監加碼】
   3665.TW      貿聯-KY    3.0  1505.00               【營收爆發(34.2%) | 董監加碼】
  4946.TWO         辣椒    3.0   157.00                     ADX轉強 | 【董監加碼】
   2395.TW         研華    3.0   336.50                     ADX轉強 | 【董監加碼】
  5426.TWO         振發    3.0    20.65                     ADX轉強 | 【董監加碼】
   6902.TW   GOGOLOOK    3.0    75.00              【營收爆發(37.39%) | 董監加碼】
  6187.TWO         萬潤    3.0   565.00                     ADX轉強 | 【董監加碼】
   1203.TW         味王    3.0    41.35                     ADX轉強 | 【董監加碼】
   8033.TW         雷虎    3.0   158.00              【營收爆發(83.79%) | 董監加碼】
  4538.TWO        大詠城    3.0    19.10             【營收爆發(122.75%) | 董監加碼】
   6994.TW       富威電力    3.0    89.60             【營收爆發(114.38%) | 董監加碼】
   2323.TW         中環    2.5    11.20                   【EPS連2成長 | 董監加碼】
  4966.TWO      譜瑞-KY    2.5   535.00                   【EPS連2成長 | 董監加碼】
  6925.TWO         意藍    2.5    75.10                   【EPS連2成長 | 董監加碼】
  6620.TWO         漢達    2.0    78.70                     【營收爆發(32.15%)】
 00990A.TW          ?    2.0    12.55                              ADX轉強
   2421.TW         建準    2.0   154.50                     【營收爆發(36.48%)】
   2482.TW         連宇    2.0    17.75                     【營收爆發(30.32%)】
  6233.TWO         旺玖    2.0    26.85                              ADX轉強
   2006.TW       東和鋼鐵    2.0    77.50                              ADX轉強
   2236.TW      百達-KY    2.0   113.50                              ADX轉強
  5439.TWO         高技    2.0   286.50                    【營收爆發(129.51%)】
  6664.TWO         群翊    2.0   293.50                              ADX轉強
   3533.TW         嘉澤    2.0  1700.00                     【營收爆發(31.46%)】
   2882.TW        國泰金    2.0    77.90                              ADX轉強
   2377.TW         微星    2.0    98.60                     【營收爆發(33.73%)】
   6456.TW     GIS-KY    2.0    52.50                              ADX轉強
  7712.TWO      博盛半導體    2.0   104.50                              ADX轉強
   2486.TW         一詮    2.0   136.50                     【營收爆發(34.93%)】
  4541.TWO         晟田    2.0    45.60                     【營收爆發(83.73%)】
   4938.TW         和碩    2.0    71.90                              ADX轉強
  6237.TWO         驊訊    2.0    39.95                     【營收爆發(35.01%)】
   6152.TW         百一    2.0    20.05                     【營收爆發(39.11%)】
  6265.TWO        方土昶    2.0    38.50                    【營收爆發(435.72%)】
   3338.TW         泰碩    2.0    58.00                              ADX轉強
  8043.TWO        蜜望實    2.0    75.10                     【營收爆發(36.01%)】
  8086.TWO        宏捷科    2.0   126.00                     【營收爆發(90.17%)】
   0056.TW      元大高股息    2.0    39.90                              ADX轉強
  4979.TWO        華星光    2.0   462.50                              ADX轉強
  00923.TW 群益台ESG低碳50    2.0    30.35                              ADX轉強
 00680L.TW          ?    2.0     7.68                              ADX轉強
   6782.TW         視陽    2.0   192.50                     【營收爆發(49.76%)】
   9906.TW        欣巴巴    2.0    43.10                    【營收爆發(647.69%)】
 009805.TW   新光美國電力基建    2.0    14.90                              ADX轉強
   3017.TW         奇鋐    2.0  1765.00                    【營收爆發(150.01%)】
  1785.TWO        光洋科    2.0    62.60                     【營收爆發(67.72%)】
   4967.TW         十銓    2.0   204.50                    【營收爆發(112.73%)】
  3441.TWO        聯一光    2.0    35.90                     【營收爆發(36.12%)】
   3711.TW      日月光投控    2.0   370.50                              ADX轉強
   4755.TW        三福化    2.0   147.00                              ADX轉強
   5469.TW        瀚宇博    2.0    94.10                     【營收爆發(59.14%)】
   3305.TW         昇貿    2.0   117.50                     【營收爆發(45.39%)】
   6214.TW         精誠    2.0   113.50                     【營收爆發(39.19%)】
   2495.TW         普安    2.0    31.55                     【營收爆發(37.67%)】
   1235.TW         興泰    2.0    47.80                    【營收爆發(177.24%)】
   2887.TW      台新新光金    2.0    24.85                    【營收爆發(117.67%)】
   1590.TW     亞德客-KY    2.0  1245.00                     【營收爆發(66.81%)】
   6139.TW         亞翔    2.0   557.00                     【營收爆發(87.64%)】
  4127.TWO         天良    2.0    36.80                     【營收爆發(37.07%)】
  00919.TW   群益台灣精選高息    2.0    24.34                              ADX轉強
  3073.TWO       天方能源    2.0    30.80                   【營收爆發(1048.46%)】
   3135.TW         凌航    2.0   126.00                    【營收爆發(343.86%)】
  6761.TWO         穩得    2.0   164.00                              ADX轉強
  00878.TW    國泰永續高股息    2.0    23.38                              ADX轉強
  8358.TWO         金居    2.0   286.50                     【營收爆發(45.92%)】
   1477.TW         聚陽    2.0   320.50                              ADX轉強
   3032.TW         偉訓    2.0    70.50                     【營收爆發(41.57%)】
   2368.TW        金像電    2.0   787.00                     【營收爆發(68.54%)】
  6629.TWO      泰金-KY    2.0   106.00                     【營收爆發(62.74%)】
   3003.TW        健和興    2.0    51.40                     【營收爆發(59.35%)】
  4702.TWO        中美實    2.0    10.00                     【營收爆發(32.08%)】
   5388.TW         中磊    2.0    83.20                     【營收爆發(32.94%)】
   1528.TW         恩德    2.0    23.40                     【營收爆發(44.26%)】
  3230.TWO         錦明    2.0    45.45                              ADX轉強
  3684.TWO         榮昌    2.0    70.10                     【營收爆發(30.66%)】
  7781.TWO       昕力資*    2.0    18.05                     【營收爆發(31.61%)】
   2357.TW         華碩    2.0   530.00                     【營收爆發(79.97%)】
   1529.TW       樂事綠能    2.0    26.10                    【營收爆發(277.22%)】
   2385.TW         群光    2.0   126.00                              ADX轉強
   2330.TW        台積電    2.0  1975.00                     【營收爆發(36.81%)】
   7749.TW      意騰-KY    2.0   445.00                              ADX轉強
  00936.TW   台新永續高息中小    2.0    17.84                              ADX轉強
   2439.TW         美律    2.0    91.20                     【營收爆發(31.27%)】
  2237.TWO       華德動能    2.0    31.20                    【營收爆發(137.22%)】
00937B.TWO          ?    2.0    15.14                              ADX轉強
  00922.TW   國泰台灣領袖50    2.0    31.59                              ADX轉強
   4915.TW         致伸    2.0    77.00                     【營收爆發(42.91%)】
  3687.TWO        歐買尬    2.0    72.90                      【營收爆發(33.0%)】
   5871.TW      中租-KY    2.0   102.50                              ADX轉強
   2376.TW         技嘉    2.0   236.50                     【營收爆發(57.02%)】
   3010.TW         華立    2.0   124.00                              ADX轉強
  8299.TWO         群聯    2.0  1920.00                    【營收爆發(189.25%)】
   1609.TW         大亞    2.0    41.10                     【營收爆發(41.09%)】
   5269.TW         祥碩    2.0  1285.00                     【營收爆發(58.31%)】
  3555.TWO        博士旺    2.0   127.50                   【營收爆發(3727.37%)】
   9907.TW        統一實    2.0    19.10                              ADX轉強
  3207.TWO         耀勝    2.0    83.20                     【營收爆發(45.99%)】
  4577.TWO       達航科技    2.0    95.00                              ADX轉強
   3504.TW        揚明光    2.0    63.80                              ADX轉強
   3062.TW         建漢    2.0    26.80                     【營收爆發(67.97%)】
  3363.TWO         上詮    2.0   628.00                              ADX轉強
  00939.TW   統一台灣高息動能    2.0    16.36                              ADX轉強
  4171.TWO         瑞基    2.0    19.95                     【營收爆發(84.93%)】
   6239.TW         力成    2.0   253.00                     【營收爆發(43.04%)】
   2615.TW         萬海    2.0    79.90                              ADX轉強
00780B.TWO          ?    2.0    38.07                              ADX轉強
   6753.TW       龍德造船    2.0   148.00                              ADX轉強
   8021.TW         尖點    2.0   253.00                     【營收爆發(59.17%)】
   2472.TW        立隆電    2.0   119.00                              ADX轉強
   2441.TW         超豐    2.0    93.90                     【營收爆發(31.65%)】
   6426.TW         統新    2.0   179.00                    【營收爆發(100.66%)】
   6271.TW        同欣電    2.0   170.50                              ADX轉強
00772B.TWO          ?    2.0    34.55                              ADX轉強
   2258.TW     鴻華先進-創    2.0    38.80                              ADX轉強
  8183.TWO         精星    2.0    38.45                              ADX轉強
00948B.TWO          ?    2.0     9.66                              ADX轉強
  00902.TW    中信電池及儲能    2.0    14.89                              ADX轉強
   2449.TW       京元電子    2.0   316.00                     【營收爆發(41.28%)】
   3167.TW         大量    2.0   309.00                    【營收爆發(119.57%)】
   8210.TW         勤誠    2.0   934.00                    【營收爆發(137.01%)】
  3491.TWO        昇達科    2.0  1725.00                    【營收爆發(112.56%)】
  3162.TWO         精確    2.0    59.50                     【營收爆發(30.95%)】
   1587.TW         吉茂    2.0    43.45                     【營收爆發(49.74%)】
   2889.TW        國票金    2.0    16.70                    【營收爆發(102.15%)】
   2438.TW         翔耀    2.0    22.20                    【營收爆發(281.18%)】
   4943.TW      康控-KY    2.0    12.70                      【營收爆發(38.5%)】
   2354.TW         鴻準    2.0    58.90                     【營收爆發(57.49%)】
  3680.TWO         家登    2.0   414.50                     【營收爆發(62.74%)】
00761B.TWO          ?    2.0    35.31                              ADX轉強
   8081.TW         致新    2.0   242.50                              ADX轉強
  00900.TW  富邦特選高股息30    2.0    14.83                              ADX轉強
   2010.TW         春源    2.0    22.85                     【營收爆發(30.29%)】
  6739.TWO       竹陞科技    2.0  1025.00                      【營收爆發(98.9%)】
 00955.TWO     中信日本商社    2.0    16.40                              ADX轉強
