om,name,prev_rev_yoy,price,eps_yoy,rev_yoy,date,gm,prev_eps_yoy,status,prev_year,advice,pe,prev_eps,est_price,symbol,expansion,eps
10.64%,金穎生技,36.52,37.0,229.63,29.92,2025-12,31.84%,150.0,🚀 利潤擴張,2025,⚠️ 追價風險,27.407407407407412,0.31,20.249999999999996,1796.TWO,199.70999999999998,0.7
N/A,東研信超,5.51,64.0,205.88,8.46,2025-12,N/A,76.12,🚀 利潤擴張,2025,⚪ 中性觀察,18.7683284457478,1.18,51.15,6840.TWO,197.42,1.58
-10.81%,雲嘉南,-1.51,14.3000001907,189.47,-7.75,2025-12,29.43%,219.57,🧐 疑業外收益,2025,⚠️ 追價風險,29.791667063958332,0.55,7.2,3191.TWO,197.22,0.51
1.71%,益登,5.31,46.9000015259,195.71,2.05,2025-12,3.50%,153.27,🚀 利潤擴張,2025,💎 強力關注,11.608911268787132,1.14,60.59999999999999,3048.TW,193.66,2.01
N/A,盛群,31.27,58.2000007629,213.64,22.23,2025-12,N/A,191.04,🚀 利潤擴張,2025,⚠️ 追價風險,25.52631612407895,0.62,34.199999999999996,6202.TW,191.41,0.76
3.38%,環科,8.02,45.0,193.18,3.52,2025-12,17.05%,62.12,🔄 轉虧為盈,2025,⚪ 數據不足,0.0,-0.25,-9.6,2413.TW,189.66,0.41
-14.33%,川飛,-90.58,21.6000003815,100.65,-87.0,2025-12,5.36%,-70.59,🧐 疑業外收益,2025,⚠️ 追價風險,1080.000019074999,0.1,0.30000000000000027,1516.TW,187.65,0.04
N/A,邁達特,20.56,43.2999992371,203.33,18.84,2025-12,N/A,-3.23,🚀 利潤擴張,2025,💎 強力關注,11.546666463226668,1.2,56.25,6112.TW,184.49,1.82
N/A,臺龍,11.15,16.2000007629,186.36,6.56,2025-12,N/A,97.79,🔄 轉虧為盈,2025,⚪ 中性觀察,21.89189292283784,-0.04,11.099999999999998,6246.TWO,179.8,1.14
21.37%,台耀,4.96,0.0,180.15,2.54,2025-12,41.59%,39.43,🚀 利潤擴張,2025,⚪ 數據不足,0.0,2.44,0.0,4746.TW,177.61,3.67
-11.23%,三一東林,27.17,23.0499992371,248.27,70.72,2025-12,8.05%,314.37,🚀 利潤擴張,2025,💎 強力關注,2.114678829091743,7.31,163.5,3609.TWO,177.55,6.42
N/A,虹揚-KY,-11.95,13.5,163.4,-13.43,2025-12,N/A,228.8,🧐 疑業外收益,2025,💎 強力關注,9.782608695652174,1.61,20.7,6573.TW,176.83,1.23
N/A,力智,22.77,195.0,198.64,23.89,2025-12,N/A,89.73,🚀 利潤擴張,2025,✅ 穩健價值,13.732394366197182,4.25,213.00000000000003,6719.TW,174.75,6.58
N/A,九豪,-0.97,48.4500007629,173.44,-1.13,2025-12,N/A,275.0,🧐 疑業外收益,2025,⚠️ 追價風險,24.225000381450002,0.91,29.999999999999996,6127.TWO,174.57,0.47
14.30%,旭然,-8.55,44.25,170.59,-3.75,2025-12,42.07%,172.22,🧐 疑業外收益,2025,⚠️ 追價風險,26.818181818181817,0.49,24.750000000000004,4556.TWO,174.34,0.92
N/A,亞都,4.04,13.8999996185,178.95,5.62,2025-12,N/A,175.0,🚀 利潤擴張,2025,✅ 穩健價值,15.444444020555556,0.09,13.5,5703.TWO,173.32999999999998,0.53
N/A,今國光,39.08,66.0,222.67,50.65,2025-12,N/A,190.57,🚀 利潤擴張,2025,⚠️ 追價風險,43.42105263157894,0.49,22.800000000000004,6209.TW,172.01999999999998,0.92
N/A,長佳智能,2.1,59.5999984741,183.87,12.23,2025-12,N/A,1700.0,🚀 利潤擴張,2025,⚠️ 追價風險,26.96832510140271,0.81,33.150000000000006,6841.TWO,171.64000000000001,0.89
N/A,聯友金屬-創,-4.54,0.0,194.08,27.9,2025-12,N/A,3.33,🚀 利潤擴張,2025,⚪ 數據不足,0.0,1.75,0.0,7610.TW,166.18,5.45
2.96%,吉茂,19.92,29.5,188.1,23.11,2025-12,18.05%,155.81,🚀 利潤擴張,2025,⚠️ 追價風險,42.7536231884058,0.24,10.35,1587.TW,164.99,0.37
1.35%,一詮,13.26,270.5,175.0,10.09,2025-12,15.86%,300.0,🚀 利潤擴張,2025,⚠️ 追價風險,872.5806451612904,0.16,4.65,2486.TW,164.91,0.22
N/A,富威電力,21.0,0.0,328.87,164.5,2025-12,N/A,47.95,🚀 利潤擴張,2025,⚪ 數據不足,0.0,1.13,0.0,6994.TW,164.37,6.34
N/A,寬宏藝術,97.52,103.0,242.99,78.68,2025-12,N/A,241.37,🚀 利潤擴張,2025,💎 強力關注,2.2265456117596196,17.41,693.9,6596.TWO,164.31,18.83
N/A,方土昶,25.19,44.8499984741,223.81,62.85,2025-12,N/A,-271.43,🔄 轉虧為盈,2025,⚪ 數據不足,0.0,-0.24,-11.25,6265.TWO,160.96,0.68
N/A,高技,130.37,381.0,291.45,130.83,2025-12,N/A,280.8,🚀 利潤擴張,2025,✅ 穩健價值,13.133402275077561,9.52,435.15,5439.TWO,160.61999999999998,13.74
