status,symbol,om,advice,prev_year,date,prev_eps,rev_yoy,prev_rev_yoy,eps_yoy,pe,est_price,prev_eps_yoy,eps,gm,name,price,expansion
🚀 利潤擴張,3630.TWO,-22.27%,💎 強力關注,2025,2025-12,2.19,19.21,18.28,173.02,4.406919275123559,91.05,219.44,1.86,4.18%,新鉅科,26.75,153.81
🧐 疑業外收益,6684.TWO,N/A,💎 強力關注,2025,2025-12,3.24,-15.36,-15.66,137.2,3.5928854358023705,189.75000000000003,203.85,1.57,N/A,安格,45.4500007629,152.56
🧐 疑業外收益,6838.TW,N/A,⚪ 數據不足,2025,2025-12,-0.24,-93.38,-95.44,58.65,0.0,-13.5,77.78,-0.55,N/A,台新藥,25.8999996185,152.03
🔄 轉虧為盈,4157.TWO,81.17%,⚪ 數據不足,2025,2025-12,-0.22,72.24,-79.84,220.0,0.0,-5.8500000000000005,-1000.0,0.06,98.33%,太景*-KY,9.0200004578,147.76
🔄 轉虧為盈,3252.TWO,22.84%,⚠️ 追價風險,2025,2025-12,-0.1,-3.71,-4.86,141.94,111.24999523187499,2.4,54.55,0.13,43.11%,海灣,17.7999992371,145.65
🚀 利潤擴張,3162.TWO,1.68%,⚪ 中性觀察,2025,2025-12,1.25,65.48,89.71,209.26,19.03803097854586,67.05000000000001,292.31,1.7,11.59%,精確,85.0999984741,143.77999999999997
🧐 疑業外收益,3673.TW,-0.68%,💎 強力關注,2025,2025-12,2.56,-8.77,-8.66,133.62,10.042016379299719,107.1,55.15,2.71,5.83%,TPK-KY,71.6999969482,142.39000000000001
🧐 疑業外收益,6236.TWO,N/A,⚠️ 追價風險,2025,2025-12,0.05,-20.68,-18.24,119.51,70.55555272999999,4.050000000000001,111.11,0.08,N/A,中湛,19.0499992371,140.19
🚀 利潤擴張,6708.TWO,N/A,⚠️ 追價風險,2025,2025-12,0.05,42.33,48.16,180.65,94.18604651162792,6.449999999999999,119.23,0.25,N/A,天擎,40.5,138.32
🧐 疑業外收益,5227.TWO,N/A,⚠️ 追價風險,2025,2025-12,2.99,-32.24,-19.06,104.91,40.63492124047617,9.450000000000005,199.67,0.17,N/A,立凱-KY,25.6000003815,137.15
🔄 轉虧為盈,6485.TWO,N/A,⚠️ 追價風險,2025,2025-12,-0.32,16.84,14.7,152.21,88.88888888888889,18.9,70.64,0.71,N/A,點序,112.0,135.37
🔄 轉虧為盈,2408.TW,39.15%,⚪ 數據不足,2025,2025-12,-1.45,95.09,32.43,229.88,0.0,-28.5,-28.32,2.13,49.05%,南亞科,275.0,134.79
🚀 利潤擴張,3709.TWO,5.14%,💎 強力關注,2025,2025-12,3.61,44.32,55.41,178.19,6.087591352255473,205.50000000000003,167.46,7.11,8.09%,鑫聯大投控,83.4000015259,133.87
🧐 疑業外收益,3466.TWO,-223.66%,⚪ 數據不足,2025,2025-12,-0.81,-72.48,-68.41,58.98,0.0,-57.45,65.77,-1.11,-8.98%,德晉,34.5999984741,131.46
🏰 高護城河,3081.TWO,41.27%,⚠️ 追價風險,2025,2026-03,4.66,515.18,82.29,645.65,211.47540983606558,183.0,884.75,3.44,54.76%,聯亞,2580.0,130.47000000000003
🧐 疑業外收益,4934.TW,-456.27%,⚪ 數據不足,2025,2025-12,-0.67,-75.71,-81.44,54.11,0.0,-35.85,16.25,-0.95,-156.07%,太極,16.3999996185,129.82
🧐 疑業外收益,2607.TW,6.32%,💎 強力關注,2025,2025-12,2.72,-19.52,-19.69,108.46,5.448791539021864,130.35,139.38,3.56,18.52%,榮運,47.3499984741,127.97999999999999
🚀 利潤擴張,5386.TWO,N/A,⚠️ 追價風險,2025,2025-12,3.03,32.59,12.38,159.21,28.071895424836605,229.49999999999997,103.38,8.61,N/A,青雲,429.5,126.62
🚀 利潤擴張,6021.TWO,N/A,💎 強力關注,2025,2025-12,2.46,35.14,13.11,161.27,7.020316113205418,66.44999999999999,128.3,3.76,N/A,美好證,31.1000003815,126.13000000000001
🚀 利潤擴張,3540.TWO,-3.44%,⚪ 數據不足,2025,2025-12,0.47,29.09,30.74,155.22,0.0,0.0,147.47,0.74,27.46%,曜越,0.0,126.13
🚀 利潤擴張,8473.TW,N/A,💎 強力關注,2025,2025-12,2.05,51.31,62.88,177.17,5.6543385490753915,105.44999999999999,130.34,2.55,N/A,山林水,39.75,125.85999999999999
🧐 疑業外收益,3105.TWO,13.87%,⚠️ 追價風險,2025,2025-12,1.57,-4.69,-13.87,120.99,96.02150537634408,69.75,-40.53,4.0,31.80%,穩懋,446.5,125.67999999999999
