advice,est_price,rev_yoy,eps,om,prev_eps,prev_year,date,prev_eps_yoy,prev_rev_yoy,status,gm,symbol,price,eps_yoy,expansion,pe,name
✅ 穩健價值,81.9,309.82,0.7,3.76%,3.02,2025,2026-03,78.06,15.32,🚀 利潤擴張,30.84%,2436.TW,75.9000015259,392.86,83.04000000000002,13.901099180567766,偉詮電
⚠️ 追價風險,45.449999999999996,97.11,0.64,N/A,1.11,2025,2026-03,-50.67,-8.83,🚀 利潤擴張,N/A,6756.TW,101.0,178.26,81.14999999999999,33.333333333333336,威鋒電子
✅ 穩健價值,77.99999999999999,62.07,2.34,20.17%,1.97,2025,2026-03,-64.44,2.09,🏰 高護城河,89.44%,3546.TWO,82.8000030518,136.36,74.29000000000002,15.92307750996154,宇峻
⚪ 數據不足,0.0,26.64,-0.15,N/A,-1.49,2025,2026-03,96.29,22.72,🚀 利潤擴張,N/A,7823.TW,80.9000015259,99.93,73.29,0.0,奧義賽博-KY創
⚪ 數據不足,-96.44999999999999,-97.71,-0.68,N/A,-2.43,2025,2026-03,-99.18,19.25,🌑 雙重衰退,N/A,6169.TWO,14.6000003815,-25.93,71.78,0.0,昱泉
⚪ 數據不足,-17.549999999999997,578.38,0.3,N/A,0.14,2025,2026-03,-91.14,0.63,🚀 利潤擴張,N/A,8354.TWO,16.5,650.0,71.62,0.0,冠好
✅ 穩健價值,71.25,315.9,1.75,0.20%,2.76,2025,2026-03,-5.15,22.56,🚀 利潤擴張,25.49%,4905.TWO,68.1999969482,386.11,70.21000000000004,14.357894094357894,台聯電
⚪ 數據不足,0.0,51.84,1.02,N/A,6.33,2025,2026-03,44.08,76.4,🚀 利潤擴張,N/A,7828.TWO,2200.0,121.74,69.89999999999999,0.0,創新服務
💎 強力關注,22.95,58.58,0.25,38.94%,0.63,2025,2026-03,3.28,4.6,🏰 高護城河,90.85%,2889.TW,15.0,127.27,68.69,9.803921568627452,國票金
💎 強力關注,257.1,40.15,1.41,20.98%,7.13,2025,2026-03,24.43,-4.63,🏰 高護城河,82.18%,4137.TW,96.6999969482,107.35,67.19999999999999,5.641773450886814,麗豐-KY
⚪ 數據不足,-15.3,110.52,0.06,3.73%,-0.38,2025,2026-03,-31.03,-28.72,🔄 轉虧為盈,54.59%,3632.TWO,7.8400001526,175.0,64.48,0.0,研勤
