symbol,expansion,advice,price,status,rev_yoy,eps,prev_eps_yoy,date,gm,prev_year,prev_eps,est_price,eps_yoy,name,pe,prev_rev_yoy,om
2836.TW,17.229999999999997,💎 強力關注,12.3500003815,🏰 高護城河,16.1,0.2,28.3,2026-03,89.95%,2025,0.68,25.200000000000003,33.33,高雄銀,7.351190703273808,14.52,32.37%
4991.TWO,15.160000000000025,⚠️ 追價風險,499.0,🚀 利潤擴張,316.27,1.67,107.11,2026-03,N/A,2025,0.15,11.999999999999998,331.43,環宇-KY,623.75,25.43,N/A
7819.TWO,12.35,⚪ 數據不足,34.25,🧐 疑業外收益,-1.82,0.42,14.12,2026-03,N/A,2025,2.91,0.0,10.53,精誠金融,0.0,10.14,N/A
2883.TW,12.0,💎 強力關注,36.75,🏰 高護城河,22.04,0.69,-10.99,2026-03,78.38%,2025,1.74,57.14999999999999,34.04,凱基金,9.645669291338583,-12.26,39.14%
6657.TW,10.350000000000001,⚪ 數據不足,36.5999984741,🚀 利潤擴張,41.94,-0.53,-14.12,2026-03,N/A,2025,-2.92,-109.2,52.29,華安,0.0,-0.97,N/A
3529.TWO,9.14,⚠️ 追價風險,2780.0,🏰 高護城河,19.99,7.98,4.19,2026-03,100.00%,2025,25.6,947.7,29.13,力旺,44.00126622348844,6.74,60.64%
1236.TW,8.629999999999995,⚪ 數據不足,26.25,🔄 轉虧為盈,274.7,0.23,-53.57,2026-03,24.77%,2025,-0.43,-14.25,283.33,宏亞,0.0,-8.31,-4.59%
1598.TW,7.890000000000015,⚪ 數據不足,21.1000003815,🔄 轉虧為盈,145.6,0.25,-827.91,2026-03,27.77%,2025,-3.35,-89.10000000000001,153.49,岱宇,0.0,-15.19,-13.99%
8272.TWO,7.82,✅ 穩健價值,63.0,🚀 利潤擴張,48.18,0.39,24.93,2026-03,N/A,2025,4.66,136.05,56.0,全景軟體,6.945975744211687,15.86,N/A
2901.TW,7.48,⚠️ 追價風險,23.7000007629,🏰 高護城河,30.02,0.11,-7.32,2026-03,84.77%,2025,0.38,13.5,37.5,欣欣,26.333334180999998,-2.15,20.24%
4178.TWO,5.7299999999999995,⚪ 數據不足,0.0,🌑 雙重衰退,-11.29,-0.19,14.95,2026-03,N/A,2025,-0.92,0.0,-5.56,未知,0.0,-3.6,N/A
4178.TW,5.7299999999999995,⚪ 數據不足,16.8500003815,🌑 雙重衰退,-11.29,-0.19,14.95,2026-03,N/A,2025,-0.92,0.0,-5.56,永笙-KY,0.0,-3.6,N/A
6195.TWO,5.1200000000000045,✅ 穩健價值,28.0,🚀 利潤擴張,109.17,1.5,-38.13,2026-03,N/A,2025,0.99,63.6,114.29,詩肯,6.60377358490566,-3.57,N/A
2886.TW,4.100000000000001,✅ 穩健價值,50.2999992371,🏰 高護城河,12.57,0.63,0.85,2026-03,83.45%,2025,2.36,91.94999999999999,16.67,兆豐金,8.205546368205548,-1.77,33.61%
3094.TW,3.8000000000000025,⚠️ 追價風險,40.7999992371,🏰 高護城河,12.87,0.07,41.18,2026-03,73.82%,2025,0.25,7.35,16.67,聯傑,83.2653045655102,13.2,-7.29%
4939.TWO,3.490000000000009,⚪ 數據不足,90.6999969482,🔄 轉虧為盈,296.51,0.24,-326.32,2026-03,N/A,2025,-0.43,-22.2,300.0,亞電,0.0,-8.05,N/A
7839.TWO,3.3499999999999996,⚪ 數據不足,43.0,🚀 利潤擴張,2.45,0.73,18.52,2026-03,N/A,2025,2.56,0.0,5.8,達人網,0.0,8.14,N/A
7777.TWO,3.0700000000000003,⚠️ 追價風險,38.2000007629,🚀 利潤擴張,32.83,-0.25,-16.92,2026-03,N/A,2025,0.58,12.149999999999999,35.9,能率亞洲,47.160494769012345,15.88,N/A
2941.TWO,2.25,✅ 穩健價值,30.9500007629,🏰 高護城河,68.9,0.89,-27.47,2026-03,64.17%,2025,2.35,100.35000000000001,71.15,米斯特,4.626308036307922,12.71,2.03%
