gm,est_price,symbol,prev_year,eps_yoy,prev_eps_yoy,rev_yoy,prev_eps,advice,name,status,pe,prev_rev_yoy,eps,date,expansion,om,price
33.66%,97.8,1339.TW,2025,186.6,-51.9,102.97,2.41,💎 強力關注,昭輝,🚀 利潤擴張,6.595092024539878,-14.02,2.78,2026-03,83.63,13.17%,43.0
30.84%,81.9,2436.TW,2025,392.86,78.06,309.82,3.02,✅ 穩健價值,偉詮電,🚀 利潤擴張,13.095238095238095,15.32,0.7,2026-03,83.04000000000002,3.76%,71.5
N/A,45.449999999999996,6756.TW,2025,178.26,-50.67,97.11,1.11,⚠️ 追價風險,威鋒電子,🚀 利潤擴張,31.023102310231025,-8.83,0.64,2026-03,81.14999999999999,N/A,94.0
89.44%,77.99999999999999,3546.TWO,2025,136.36,-64.44,62.07,1.97,✅ 穩健價值,宇峻,🏰 高護城河,15.846154139596155,2.09,2.34,2026-03,74.29000000000002,20.17%,82.4000015259
N/A,0.0,7823.TW,2025,99.93,96.29,26.64,-1.49,⚪ 數據不足,奧義賽博-KY創,🚀 利潤擴張,0.0,22.72,-0.15,2026-03,73.29,N/A,78.6999969482
N/A,-96.44999999999999,6169.TWO,2025,-25.93,-99.18,-97.71,-2.43,⚪ 數據不足,昱泉,🌑 雙重衰退,0.0,19.25,-0.68,2026-03,71.78,N/A,14.8000001907
N/A,-17.549999999999997,8354.TWO,2025,650.0,-91.14,578.38,0.14,⚪ 數據不足,冠好,🚀 利潤擴張,0.0,0.63,0.3,2026-03,71.62,N/A,16.2000007629
25.49%,71.25,4905.TWO,2025,386.11,-5.15,315.9,2.76,✅ 穩健價值,台聯電,🚀 利潤擴張,14.31578947368421,22.56,1.75,2026-03,70.21000000000004,0.20%,68.0
N/A,0.0,7828.TWO,2025,121.74,44.08,51.84,6.33,⚪ 數據不足,創新服務,🚀 利潤擴張,0.0,76.4,1.02,2026-03,69.89999999999999,N/A,1865.0
90.85%,22.95,2889.TW,2025,127.27,3.28,58.58,0.63,💎 強力關注,國票金,🏰 高護城河,9.673202739019608,4.6,0.25,2026-03,68.69,38.94%,14.8000001907
82.18%,257.1,4137.TW,2025,107.35,24.43,40.15,7.13,💎 強力關注,麗豐-KY,🏰 高護城河,6.446907817969661,-4.63,1.41,2026-03,67.19999999999999,20.98%,110.5
54.59%,-15.3,3632.TWO,2025,175.0,-31.03,110.52,-0.38,⚪ 數據不足,研勤,🔄 轉虧為盈,0.0,-28.72,0.06,2026-03,64.48,3.73%,7.9299998283
N/A,0.0,6986.TWO,2025,106.9,-24.06,42.91,2.43,⚪ 數據不足,和迅,🚀 利潤擴張,0.0,2.38,0.6,2026-03,63.99000000000001,N/A,46.0999984741
31.44%,-38.1,4562.TW,2025,175.0,-184.44,111.03,-1.28,⚪ 數據不足,穎漢,🔄 轉虧為盈,0.0,-7.78,0.11,2026-03,63.97,-45.46%,32.7999992371
93.22%,-122.4,3064.TWO,2025,62.5,-7120.0,-1.0,-3.51,⚪ 數據不足,泰偉,🏰 高護城河,0.0,-29.69,-0.27,2026-03,63.5,-55.72%,20.0
N/A,101.7,6005.TW,2025,235.0,17.33,171.79,2.64,💎 強力關注,群益證,🚀 利潤擴張,5.538347970073747,12.14,1.34,2026-03,63.21000000000001,N/A,37.5499992371
N/A,10.049999999999997,1533.TW,2025,500.0,152.25,438.18,0.58,⚠️ 追價風險,車王電,🚀 利潤擴張,52.835823172985094,19.69,0.84,2026-03,61.81999999999999,N/A,35.4000015259
20.98%,22.5,1904.TW,2025,600.0,34.55,538.23,0.74,✅ 穩健價值,正隆,🚀 利潤擴張,14.233333587666666,-4.85,0.56,2026-03,61.76999999999998,7.12%,21.3500003815
N/A,113.85,6208.TWO,2025,206.45,-26.32,150.03,2.52,✅ 穩健價值,日揚,🚀 利潤擴張,12.648221343873518,-4.59,1.9,2026-03,56.41999999999999,N/A,96.0
N/A,72.30000000000001,4747.TWO,2025,204.17,-36.9,148.33,1.19,💎 強力關注,強生,🚀 利潤擴張,10.197095752261411,-6.81,1.46,2026-03,55.839999999999975,N/A,49.1500015259
N/A,-18.45,8040.TWO,2025,244.44,49.15,189.01,-0.6,⚪ 數據不足,九暘,🔄 轉虧為盈,0.0,2.65,0.13,2026-03,55.43000000000001,N/A,102.0
41.95%,273.29999999999995,4123.TWO,2025,239.47,905.92,185.42,12.33,💎 強力關注,晟德,🚀 利潤擴張,2.0883643928155875,-6.28,2.62,2026-03,54.05000000000001,-106.23%,38.0499992371
N/A,0.0,6934.TW,2025,-2.96,-48.08,-55.48,-3.92,⚪ 數據不足,心誠鎂,🌑 雙重衰退,0.0,-29.22,-1.43,2026-03,52.519999999999996,N/A,66.5
N/A,252.6,6574.TWO,2025,147.37,66.34,95.63,6.82,💎 強力關注,霈方,🚀 利潤擴張,6.532066508313539,6.51,3.29,2026-03,51.74000000000001,N/A,110.0
N/A,0.0,7711.TW,2025,139.49,38.44,91.93,13.04,⚪ 數據不足,永擎,🚀 利潤擴張,0.0,182.72,7.68,2026-03,47.56,N/A,0.0
N/A,31.8,3287.TWO,2025,406.06,-36.17,359.48,1.5,✅ 穩健價值,廣寰科,🚀 利潤擴張,14.976415094339622,23.54,1.01,2026-03,46.579999999999984,N/A,31.75
N/A,146.54999999999998,9949.TWO,2025,112.5,544.54,66.65,5.29,💎 強力關注,琉園,🚀 利潤擴張,2.6253837889969294,-17.0,0.03,2026-03,45.849999999999994,N/A,25.6499996185
N/A,172.35,6620.TWO,2025,55.17,31.64,15.93,4.85,💎 強力關注,漢達,🚀 利潤擴張,8.189730067371627,108.17,0.46,2026-03,39.24,N/A,94.0999984741
20.64%,-30.6,2388.TW,2025,300.0,-93.75,264.14,0.12,⚪ 數據不足,威盛,🚀 利潤擴張,0.0,-40.0,0.08,2026-03,35.860000000000014,-8.17%,70.6999969482
50.66%,81.9,3556.TWO,2025,190.24,-5.7,156.04,2.15,✅ 穩健價值,禾瑞亞,🏰 高護城河,12.01465173518315,1.24,1.19,2026-03,34.20000000000002,14.95%,65.5999984741
N/A,0.0,7821.TW,2025,42.62,91.67,10.24,2.99,⚪ 數據不足,神數,🚀 利潤擴張,0.0,19.28,0.87,2026-03,32.379999999999995,N/A,41.4500007629
35.24%,0.0,2072.TWO,2025,34.92,-17.2,6.33,7.56,⚪ 數據不足,未知,🚀 利潤擴張,0.0,15.19,11.94,2025-12,28.590000000000003,30.89%,0.0
N/A,-70.05,6794.TW,2025,23.4,-13.21,-3.86,-1.89,⚪ 數據不足,向榮生技,🧐 疑業外收益,0.0,-5.58,-0.36,2026-03,27.259999999999998,N/A,79.0
23.39%,-28.950000000000003,1467.TW,2025,450.0,-197.83,422.96,-0.45,⚪ 數據不足,南緯,🔄 轉虧為盈,0.0,2.23,0.11,2026-03,27.04000000000002,1.90%,7.1700000763
N/A,0.0,7768.TW,2025,42.86,-27.83,16.63,3.24,⚪ 數據不足,頌勝科技,🚀 利潤擴張,0.0,3.08,1.62,2026-03,26.23,N/A,333.5
N/A,0.0,7768.TWO,2025,42.86,-27.83,16.63,3.24,⚪ 數據不足,未知,🚀 利潤擴張,0.0,3.08,1.62,2026-03,26.23,N/A,0.0
21.29%,0.0,1623.TW,2025,38.11,11.37,12.42,13.61,⚪ 數據不足,大東電,🚀 利潤擴張,0.0,20.5,4.33,2026-03,25.689999999999998,16.93%,0.0
80.00%,105.6,2885.TW,2025,83.05,-1.08,62.36,2.74,💎 強力關注,元大金,🏰 高護城河,9.332385930142046,6.4,1.08,2026-03,20.689999999999998,33.03%,65.6999969482
N/A,33.45,5604.TWO,2025,45.45,-66.0,25.49,0.85,✅ 穩健價值,中連,🚀 利潤擴張,13.834080888565023,0.36,0.32,2026-03,19.960000000000004,N/A,30.8500003815
N/A,24.599999999999998,6015.TWO,2025,470.83,-11.63,451.29,0.76,💎 強力關注,宏遠證,🚀 利潤擴張,10.548780022621951,0.56,0.89,2026-03,19.539999999999964,N/A,17.2999992371
N/A,-30.900000000000002,5202.TWO,2025,45.71,-134.86,26.81,-0.61,⚪ 數據不足,力新,🚀 利潤擴張,0.0,-8.35,-0.19,2026-03,18.900000000000002,N/A,14.3999996185
97.25%,70.8,2880.TW,2025,41.03,13.1,22.97,1.9,💎 強力關注,華南金,🏰 高護城河,7.902542211250001,4.06,0.55,2026-03,18.060000000000002,45.93%,37.2999992371
31.93%,9.75,3581.TWO,2025,234.78,35.0,216.8,0.81,⚠️ 追價風險,博磊,🚀 利潤擴張,210.0,13.9,0.31,2026-03,17.97999999999999,8.13%,136.5
89.95%,25.200000000000003,2836.TW,2025,33.33,28.3,16.1,0.68,💎 強力關注,高雄銀,🏰 高護城河,7.291666666666666,14.52,0.2,2026-03,17.229999999999997,32.37%,12.25
N/A,11.999999999999998,4991.TWO,2025,331.43,107.11,316.27,0.15,⚠️ 追價風險,環宇-KY,🚀 利潤擴張,603.125,25.43,1.67,2026-03,15.160000000000025,N/A,482.5
N/A,0.0,7819.TWO,2025,10.53,14.12,-1.82,2.91,⚪ 數據不足,精誠金融,🧐 疑業外收益,0.0,10.14,0.42,2026-03,12.35,N/A,39.5
78.38%,57.14999999999999,2883.TW,2025,34.04,-10.99,22.04,1.74,💎 強力關注,凱基金,🏰 高護城河,7.782152130839896,-12.26,0.69,2026-03,12.0,39.14%,29.6499996185
N/A,-109.2,6657.TW,2025,52.29,-14.12,41.94,-2.92,⚪ 數據不足,華安,🚀 利潤擴張,0.0,-0.97,-0.53,2026-03,10.350000000000001,N/A,36.0999984741
100.00%,947.7,3529.TWO,2025,29.13,4.19,19.99,25.6,⚠️ 追價風險,力旺,🏰 高護城河,45.90060145615701,6.74,7.98,2026-03,9.14,60.64%,2900.0
24.77%,-14.25,1236.TW,2025,283.33,-53.57,274.7,-0.43,⚪ 數據不足,宏亞,🔄 轉虧為盈,0.0,-8.31,0.23,2026-03,8.629999999999995,-4.59%,25.7999992371
27.77%,-89.10000000000001,1598.TW,2025,153.49,-827.91,145.6,-3.35,⚪ 數據不足,岱宇,🔄 轉虧為盈,0.0,-15.19,0.25,2026-03,7.890000000000015,-13.99%,19.3500003815
N/A,136.05,8272.TWO,2025,56.0,24.93,48.18,4.66,✅ 穩健價值,全景軟體,🚀 利潤擴張,7.497243660418963,15.86,0.39,2026-03,7.82,N/A,68.0
84.77%,13.5,2901.TW,2025,37.5,-7.32,30.02,0.38,⚠️ 追價風險,欣欣,🏰 高護城河,26.50000042388889,-2.15,0.11,2026-03,7.48,20.24%,23.8500003815
N/A,0.0,4178.TWO,2025,-5.56,14.95,-11.29,-0.92,⚪ 數據不足,未知,🌑 雙重衰退,0.0,-3.6,-0.19,2026-03,5.7299999999999995,N/A,0.0
