expansion,prev_eps,est_price,gm,symbol,advice,rev_yoy,date,name,price,prev_rev_yoy,prev_year,eps,status,prev_eps_yoy,pe,om,eps_yoy
137.15,2.99,9.450000000000005,N/A,5227.TWO,⚠️ 追價風險,-32.24,2025-12,立凱-KY,28.1000003815,-19.06,2025,0.17,🧐 疑業外收益,199.67,44.603175208730136,N/A,104.91
135.37,-0.32,18.9,N/A,6485.TWO,⚠️ 追價風險,16.84,2025-12,點序,85.0,14.7,2025,0.71,🔄 轉虧為盈,70.64,67.46031746031746,N/A,152.21
134.79,-1.45,-28.5,49.05%,2408.TW,⚪ 數據不足,95.09,2025-12,南亞科,340.0,32.43,2025,2.13,🔄 轉虧為盈,-28.32,0.0,39.15%,229.88
133.87,3.61,205.50000000000003,8.09%,3709.TWO,💎 強力關注,44.32,2025-12,鑫聯大投控,72.6999969482,55.41,2025,7.11,🚀 利潤擴張,167.46,5.306569120306569,5.14%,178.19
131.46,-0.81,-57.45,-8.98%,3466.TWO,⚪ 數據不足,-72.48,2025-12,德晉,31.3500003815,-68.41,2025,-1.11,🧐 疑業外收益,65.77,0.0,-223.66%,58.98
130.47000000000003,4.66,183.0,54.76%,3081.TWO,⚠️ 追價風險,515.18,2026-03,聯亞,2165.0,82.29,2025,3.44,🏰 高護城河,884.75,177.45901639344262,41.27%,645.65
129.82,-0.67,-35.85,-156.07%,4934.TW,⚪ 數據不足,-75.71,2025-12,太極,16.7999992371,-81.44,2025,-0.95,🧐 疑業外收益,16.25,0.0,-456.27%,54.11
127.97999999999999,2.72,130.35,18.52%,2607.TW,💎 強力關注,-19.52,2025-12,榮運,49.7000007629,-19.69,2025,3.56,🧐 疑業外收益,139.38,5.719217579159954,6.32%,108.46
126.62,3.03,229.49999999999997,N/A,5386.TWO,⚠️ 追價風險,32.59,2025-12,青雲,483.0,12.38,2025,8.61,🚀 利潤擴張,103.38,31.568627450980394,N/A,159.21
126.13000000000001,2.46,66.44999999999999,N/A,6021.TWO,💎 強力關注,35.14,2025-12,美好證,38.75,13.11,2025,3.76,🚀 利潤擴張,128.3,8.747178329571106,N/A,161.27
126.13,0.47,27.450000000000003,27.46%,3540.TWO,✅ 穩健價值,29.09,2025-12,曜越,25.3999996185,30.74,2025,0.74,🚀 利潤擴張,147.47,13.879781212295082,-3.44%,155.22
125.85999999999999,2.05,105.44999999999999,N/A,8473.TW,💎 強力關注,51.31,2025-12,山林水,52.0,62.88,2025,2.55,🚀 利潤擴張,130.34,7.396870554765292,N/A,177.17
125.67999999999999,1.57,69.75,31.80%,3105.TWO,⚠️ 追價風險,-4.69,2025-12,穩懋,481.5,-13.87,2025,4.0,🧐 疑業外收益,-40.53,103.54838709677419,13.87%,120.99
122.4,0.66,43.650000000000006,N/A,6276.TWO,💎 強力關注,20.19,2025-12,安鈦克,25.2999992371,28.81,2025,0.92,🚀 利潤擴張,128.33,8.694157813436426,N/A,142.59
119.85,0.04,3.75,28.43%,1512.TW,⚠️ 追價風險,8.09,2025-12,瑞利,6.8600001335,2.64,2025,0.19,🚀 利潤擴張,111.76,27.440000534,-3.62%,127.94
117.96000000000001,1.04,67.5,32.97%,2596.TWO,💎 強力關注,59.65,2025-12,綠意,30.5499992371,217.33,2025,1.86,🚀 利潤擴張,425.0,6.788888719355556,26.41%,177.61
116.91,0.2,10.350000000000001,N/A,8080.TWO,⚠️ 追價風險,22.38,2025-12,泰霖,28.3999996185,34.06,2025,0.12,🚀 利潤擴張,190.91,41.15941973695652,N/A,139.29
114.62,-0.02,0.6000000000000001,31.93%,4555.TW,⚠️ 追價風險,7.47,2025-12,氣立,45.5499992371,8.77,2025,0.19,🔄 轉虧為盈,97.22,1138.7499809274998,2.93%,122.09
113.42999999999999,-0.12,-7.5,N/A,6198.TWO,⚪ 數據不足,-90.1,2025-12,瑞築,20.6000003815,-92.7,2025,-0.23,🧐 疑業外收益,55.56,0.0,N/A,23.33
113.31,0.23,5.250000000000002,35.38%,4702.TWO,⚠️ 追價風險,-61.59,2025-12,中美實,10.0,-60.26,2025,0.88,🧐 疑業外收益,-14.81,28.57142857142856,-88.29%,51.72
112.57,10.08,592.05,48.37%,3260.TWO,💎 強力關注,32.13,2025-12,威剛,394.5,22.8,2025,23.18,🚀 利潤擴張,19.56,9.994932860400304,35.36%,144.7
109.96,-0.41,-17.700000000000003,-19.82%,2025.TW,⚪ 數據不足,-22.64,2025-12,千興,13.8999996185,-15.81,2025,-0.18,🧐 疑業外收益,28.07,0.0,14.50%,87.32
109.10000000000001,0.02,-4.95,N/A,8455.TWO,⚪ 數據不足,-6.4,2025-12,大拓-KY,29.6000003815,-7.04,2025,0.02,🧐 疑業外收益,104.35,0.0,N/A,102.7
108.56,-0.37,-5.399999999999999,N/A,9955.TW,⚪ 數據不足,26.06,2025-12,佳龍,26.25,17.8,2025,0.54,🔄 轉虧為盈,50.67,0.0,N/A,134.62
107.85000000000001,3.47,279.75000000000006,N/A,4967.TW,✅ 穩健價值,2.46,2025-12,十銓,277.5,-15.55,2025,13.06,🚀 利潤擴張,-46.86,14.87935656836461,N/A,110.31
106.5,-0.62,-38.4,N/A,8477.TWO,⚪ 數據不足,-52.73,2025-12,創業家,16.7999992371,-51.54,2025,-0.92,🧐 疑業外收益,80.0,0.0,N/A,53.77
106.29,1.91,94.35,26.51%,2501.TW,💎 強力關注,1.8,2025-12,國建,25.75,7.39,2025,2.83,🚀 利潤擴張,127.38,4.093799682034976,17.13%,108.09
104.65,-0.75,-14.549999999999999,N/A,6465.TWO,⚪ 數據不足,63.6,2025-12,威潤,55.4000015259,5.09,2025,0.86,🔄 轉虧為盈,29.25,0.0,N/A,168.25
103.75999999999999,1.5,131.09999999999997,19.12%,3135.TW,⚠️ 追價風險,39.88,2025-12,凌航,193.0,34.74,2025,6.33,🚀 利潤擴張,-29.03,22.082379862700233,16.62%,143.64
