=== 凱利策略分析 (資料日期: 20260306) ===
代號         |    最佳策略    |      勝率 |     期望報酬 | 今日狀態
00713.TW   | long_trend |   54.5% |    0.30% | 觀望
4764.TW    | reversion  |   88.2% |   10.03% | 💰 乖離修正賣出
2887I.TW   | reversion  |    0.0% |    0.00% | 觀望
6472.TW    |   brain    |   49.6% |    3.37% | ☠ 立即止損
6863.TW    | momentum_burst |   52.6% |    2.67% | 觀望
2365.TW    |   brain    |   43.2% |    1.08% | ☠ 立即止損
2425.TW    | long_trend |   47.2% |    4.65% | 🚪 趨勢結束
3594.TWO   | reversion  |   76.4% |    4.01% | 💰 乖離修正賣出
6128.TW    | long_trend |   50.7% |    1.36% | 🚪 趨勢結束
3008.TW    |   brain    |   50.5% |    0.37% | 觀望
2313.TW    | long_trend |   59.1% |    2.80% | 觀望
5321.TWO   |   brain    |   48.1% |    6.20% | 觀望
3379.TWO   | long_trend |   45.9% |    3.06% | 🚪 趨勢結束
2723.TW    | reversion  |   57.4% |    3.40% | 觀望
3625.TWO   |   brain    |   43.2% |    0.82% | ☠ 立即止損
3141.TWO   | long_trend |   57.3% |    4.09% | 🚪 趨勢結束
7740.TW    | reversion  |   66.7% |    7.43% | 💰 乖離修正賣出
6708.TWO   | strong_support |   35.8% |    1.58% | 🛡️ 支撐進場
1589.TW    | long_trend |   41.5% |   -0.78% | 🚪 趨勢結束
6291.TWO   | momentum_burst |   55.6% |    7.20% | 觀望
9945.TW    |   brain    |   47.9% |    0.85% | ☠ 立即止損
6140.TWO   | strong_support |   48.3% |    1.61% | 觀望
4949.TW    |   brain    |   38.2% |    2.42% | 觀望
00988A.TW  |   brain    |   33.3% |    3.15% | 觀望
6282.TW    | reversion  |   51.5% |    0.62% | 觀望
1312.TW    | reversion  |   65.5% |    4.70% | 觀望
3049.TW    | reversion  |   65.1% |    3.88% | 💰 乖離修正賣出
1537.TW    | reversion  |   42.9% |    0.98% | 觀望
2515.TW    |   brain    |   50.5% |    0.90% | 觀望
1723.TW    | reversion  |   77.8% |   -0.12% | 觀望
6179.TWO   | reversion  |   66.7% |    3.46% | 觀望
5493.TWO   | reversion  |   62.5% |    5.29% | 觀望
00951.TW   | long_trend |   68.6% |    2.38% | 觀望
6531.TW    |   brain    |   57.7% |    4.93% | 觀望
2457.TW    |   brain    |   45.5% |    1.03% | ☠ 立即止損
6203.TWO   | strong_support |   45.4% |    0.40% | 觀望
8926.TW    | reversion  |   50.0% |    1.22% | 💰 乖離修正賣出
3028.TW    | strong_support |   55.7% |    0.52% | 觀望
3430.TWO   |   brain    |   51.1% |    1.51% | 觀望
3265.TWO   | long_trend |   57.1% |    2.04% | 觀望
3481.TW    | momentum_burst |   59.8% |    4.10% | 觀望
6841.TWO   | strong_support |   35.0% |    2.07% | 觀望
2067.TWO   | strong_support |   39.9% |    0.15% | 觀望
2409.TW    | momentum_burst |   51.4% |    2.59% | 觀望
3236.TWO   | reversion  |   58.8% |    1.39% | 觀望
3289.TWO   | reversion  |   66.7% |    3.39% | 觀望
0050.TW    | long_trend |   51.2% |    0.35% | 觀望
3710.TWO   | reversion  |   60.6% |    0.97% | 觀望
4526.TW    | strong_support |   44.7% |    0.93% | 觀望
3090.TW    |   brain    |   50.0% |    0.51% | ☠ 立即止損
5309.TWO   | momentum_burst |   50.3% |    2.54% | 觀望
6719.TW    | reversion  |   60.0% |    1.57% | 觀望
2301.TW    | long_trend |   44.6% |    0.23% | 觀望
00679B.TWO | reversion  |    0.0% |    0.00% | 💰 乖離修正賣出
2382.TW    | long_trend |   54.8% |    1.93% | 觀望
1711.TW    | reversion  |   75.0% |    3.86% | 💰 乖離修正賣出
1102.TW    | long_trend |   53.1% |    0.25% | 🚪 趨勢結束
6762.TWO   |   brain    |   44.9% |    0.90% | 觀望
7782.TWO   | long_trend |    0.0% |    0.00% | 🚪 趨勢結束
TXF.TW     | reversion  |  100.0% |    6.85% | 觀望
3088.TWO   | long_trend |   50.9% |    0.72% | 🚪 趨勢結束
7744.TWO   | long_trend |   63.2% |   15.23% | 觀望
6191.TW    | reversion  |   89.3% |    7.70% | 觀望
8422.TW    |   brain    |   44.9% |    1.17% | ☠ 立即止損
3701.TW    | long_trend |   43.0% |    0.98% | 觀望
5508.TWO   | long_trend |   61.9% |    2.93% | 🚪 趨勢結束
4562.TW    | long_trend |   46.3% |    2.67% | 🚪 趨勢結束
5258.TW    |   brain    |   48.6% |    1.51% | ☠ 立即止損
6904.TWO   |   brain    |   50.5% |    1.02% | ☠ 立即止損
8044.TWO   | reversion  |   53.0% |    1.95% | 觀望
3530.TW    |   brain    |   43.9% |    1.33% | ☠ 立即止損
1599.TWO   | strong_support |   56.0% |    0.37% | 觀望
6921.TW    |   brain    |   33.3% |    2.26% | ☠ 立即止損
3092.TW    | momentum_burst |   47.5% |    1.94% | 觀望
