=== 短線動能 + 扣抵分析 (資料日期: 20260306) ===
代號         |     最佳策略     |      勝率 |     期望回報 | 今日狀態
3008.TW    | short_swing  |   50.6% |    0.41% | ⏱️ 短線撤退
2313.TW    |   rebound    |   54.0% |    0.50% | 觀望
5321.TWO   | short_swing  |   45.9% |    3.31% | ⏱️ 短線撤退
3379.TWO   |   rebound    |   46.3% |    0.38% | 觀望
2723.TW    | short_swing  |   47.4% |    0.43% | ⏱️ 短線撤退
3625.TWO   |   rebound    |   44.0% |    0.57% | 觀望
3141.TWO   |   rebound    |   47.3% |    0.67% | 觀望
7740.TW    | bias_reversion |   65.5% |    2.11% | 觀望
6708.TWO   |   rebound    |   39.4% |    0.95% | 觀望
1589.TW    | short_swing  |   44.1% |    0.36% | ⏱️ 短線撤退
6291.TWO   | short_swing  |   38.7% |    0.90% | ⏱️ 短線撤退
9945.TW    | bias_reversion |   50.7% |    0.40% | 觀望
6140.TWO   | bias_reversion |   41.7% |    0.34% | 觀望
4949.TW    | short_swing  |   42.6% |    1.94% | ⏱️ 短線撤退
00988A.TW  |   rebound    |  100.0% |   15.92% | 觀望
6282.TW    |   rebound    |   47.6% |    0.01% | 觀望
1312.TW    | bias_reversion |   49.9% |    0.37% | 觀望
3049.TW    | bias_reversion |   51.0% |    0.36% | 觀望
1537.TW    | bias_reversion |   51.2% |    0.12% | 觀望
2515.TW    | short_swing  |   46.3% |    0.63% | ⏱️ 短線撤退
1723.TW    | short_swing  |   42.2% |   -0.32% | ⏱️ 短線撤退
6179.TWO   |   rebound    |   39.0% |    0.29% | 觀望
5493.TWO   |   rebound    |   44.5% |    0.13% | 觀望
00951.TW   | bias_reversion |   55.3% |    0.29% | 觀望
6531.TW    | short_swing  |   51.7% |    3.02% | ⏱️ 短線撤退
2457.TW    | short_swing  |   44.5% |    0.25% | ⏱️ 短線撤退
6203.TWO   |   rebound    |   45.1% |    0.01% | 觀望
8926.TW    |   rebound    |   43.6% |    0.09% | 觀望
3028.TW    |   rebound    |   45.2% |    0.24% | 觀望
3430.TWO   | short_swing  |   48.2% |    1.48% | ⏱️ 短線撤退
3265.TWO   |   rebound    |   55.5% |    1.14% | 觀望
