eps_yoy,prev_rev_yoy,rev_yoy,status,prev_eps,prev_eps_yoy,symbol,date,price,prev_year,name,pe,om,eps,expansion,advice,est_price,gm
350.0,-61.59,132.31,🚀 利潤擴張,0.88,51.72,4702.TWO,2026-03,9.779999733,2025,中美實,9.979591564285714,-88.29%,0.45,217.69,💎 強力關注,14.700000000000001,35.38%
512.9,5.83,297.67,🚀 利潤擴張,13.25,33.97,8478.TW,2026-03,156.0,2025,東哥遊艇,4.740200546946216,N/A,3.8,215.22999999999996,💎 強力關注,493.65000000000003,N/A
925.0,3.39,713.51,🚀 利潤擴張,1.65,-21.15,1609.TW,2026-03,39.25,2025,大亞,7.681017612524461,8.70%,0.66,211.49,💎 強力關注,76.65,13.61%
213.33,3.55,26.54,🚀 利潤擴張,0.08,-80.0,3717.TW,2026-03,24.2999992371,2025,聯嘉投控,0.0,7.12%,0.47,186.79000000000002,⚪ 數據不足,0.0,19.34%
266.67,-10.9,80.73,🔄 轉虧為盈,-1.82,-280.2,8084.TWO,2026-03,45.0,2025,巨虹,0.0,N/A,0.33,185.94,⚪ 數據不足,-43.199999999999996,N/A
728.13,18.23,542.69,🚀 利潤擴張,2.02,25.64,3290.TWO,2026-03,68.1999969482,2025,東浦,10.877192495725678,14.85%,2.65,185.43999999999994,💎 強力關注,94.05,30.40%
550.0,-15.68,385.95,🔄 轉虧為盈,-0.17,-177.27,5460.TWO,2026-03,17.2000007629,2025,同協,0.0,N/A,0.09,164.05,⚪ 數據不足,-7.95,N/A
276.67,32.98,116.02,🚀 利潤擴張,1.54,1640.0,4582.TWO,2026-03,0.0,2025,未知,0.0,N/A,0.53,160.65000000000003,⚪ 數據不足,0.0,N/A
276.67,32.98,116.02,🚀 利潤擴張,1.54,1640.0,4582.TW,2026-03,27.6000003815,2025,聚恆-創,0.0,N/A,0.53,160.65000000000003,⚪ 數據不足,0.0,N/A
700.0,-2.43,542.01,🔄 轉虧為盈,-0.25,-219.05,2426.TW,2026-03,63.9000015259,2025,鼎元,0.0,-2.91%,0.06,157.99,⚪ 數據不足,-6.6,10.78%
264.29,2.69,108.24,🔄 轉虧為盈,-0.19,54.55,2417.TW,2026-03,43.2000007629,2025,圓剛,0.0,8.42%,0.28,156.05,⚪ 數據不足,-25.049999999999997,56.31%
366.67,-4.25,214.33,🔄 轉虧為盈,-0.29,-125.22,9934.TW,2026-03,10.8000001907,2025,成霖,154.28571700999987,N/A,0.28,152.34,⚠️ 追價風險,1.050000000000001,N/A
323.08,7.13,180.76,🚀 利潤擴張,1.09,-77.02,2732.TWO,2026-03,64.5,2025,六角,29.99999999999999,N/A,1.1,142.32,⚠️ 追價風險,32.250000000000014,N/A
442.11,5.8,307.94,🚀 利潤擴張,2.88,-38.68,6569.TWO,2026-03,99.8000030518,2025,醫揚,15.569423253010921,N/A,1.03,134.17000000000002,✅ 穩健價值,96.15,N/A
406.45,17.09,273.28,🚀 利潤擴張,2.35,921.74,6166.TW,2026-03,129.5,2025,凌華,22.839506172839506,N/A,1.57,133.17000000000002,⚠️ 追價風險,85.05,N/A
645.65,82.29,515.18,🏰 高護城河,4.66,884.75,3081.TWO,2026-03,1755.0,2025,聯亞,143.85245901639345,41.27%,3.44,130.47000000000003,⚠️ 追價風險,183.0,54.76%
228.49,-14.96,113.17,🚀 利潤擴張,6.21,-20.59,3356.TW,2026-03,60.2999992371,2025,奇偶,5.257192610034873,N/A,2.21,115.32000000000001,💎 強力關注,172.05,N/A
383.33,-4.81,268.59,🚀 利潤擴張,0.33,-84.51,6735.TWO,2026-03,75.3000030518,2025,美達科技,0.0,N/A,0.29,114.74000000000001,⚪ 數據不足,-7.200000000000001,N/A
87.5,-7.78,-21.56,🏰 高護城河,-1.63,-365.71,2601.TW,2026-03,7.1399998665,2025,益航,0.0,-12.62%,-0.02,109.06,⚪ 數據不足,-33.6,102.69%
270.0,-5.33,161.56,🚀 利潤擴張,1.73,-45.51,7730.TW,2026-03,179.0,2025,暉盛-創,52.9585798816568,N/A,0.37,108.44,⚠️ 追價風險,50.699999999999996,N/A
163.46,-16.81,67.27,🚀 利潤擴張,2.15,152.83,2911.TW,2026-03,7.5199999809,2025,麗嬰房,0.0,N/A,0.66,96.19000000000001,⚪ 數據不足,-40.05,N/A
150.0,-7.4,57.36,🏰 高護城河,0.43,-46.91,3083.TWO,2026-03,26.3500003815,2025,網龍,30.287356760344828,12.73%,0.3,92.64,⚠️ 追價風險,13.05,87.57%
1080.0,14.16,990.52,🚀 利潤擴張,1.39,104.41,6931.TW,2026-03,39.5499992371,2025,青松健康,13.31649805962963,N/A,0.49,89.48000000000002,✅ 穩健價值,44.550000000000004,N/A
575.0,-18.58,486.21,🔄 轉虧為盈,-0.84,-169.49,1599.TWO,2026-03,23.0499992371,2025,宏佳騰,0.0,-21.33%,0.28,88.79000000000002,⚪ 數據不足,-24.299999999999994,16.92%
166.67,0.19,81.97,🔄 轉虧為盈,-0.61,17.57,4147.TWO,2026-03,65.3000030518,2025,中裕,0.0,-58.34%,0.06,84.69999999999999,⚪ 數據不足,-18.3,28.91%
186.6,-14.02,102.97,🚀 利潤擴張,2.41,-51.9,1339.TW,2026-03,44.3499984741,2025,昭輝,6.802147005230061,13.17%,2.78,83.63,💎 強力關注,97.8,33.66%
392.86,15.32,309.82,🚀 利潤擴張,3.02,78.06,2436.TW,2026-03,62.7999992371,2025,偉詮電,11.501831362106227,3.76%,0.7,83.04000000000002,💎 強力關注,81.9,30.84%
178.26,-8.83,97.11,🚀 利潤擴張,1.11,-50.67,6756.TW,2026-03,101.0,2025,威鋒電子,33.333333333333336,N/A,0.64,81.14999999999999,⚠️ 追價風險,45.449999999999996,N/A
136.36,2.09,62.07,🏰 高護城河,1.97,-64.44,3546.TWO,2026-03,71.8000030518,2025,宇峻,13.807692894576926,20.17%,2.34,74.29000000000002,✅ 穩健價值,77.99999999999999,89.44%
99.93,22.72,26.64,🚀 利潤擴張,-1.49,96.29,7823.TW,2026-03,84.8000030518,2025,奧義賽博-KY創,0.0,N/A,-0.15,73.29,⚪ 數據不足,0.0,N/A
-25.93,19.25,-97.71,🌑 雙重衰退,-2.43,-99.18,6169.TWO,2026-03,14.3999996185,2025,昱泉,0.0,N/A,-0.68,71.78,⚪ 數據不足,-96.44999999999999,N/A
650.0,0.63,578.38,🚀 利潤擴張,0.14,-91.14,8354.TWO,2026-03,16.7000007629,2025,冠好,0.0,N/A,0.3,71.62,⚪ 數據不足,-17.549999999999997,N/A
386.11,22.56,315.9,🚀 利潤擴張,2.76,-5.15,4905.TWO,2026-03,67.4000015259,2025,台聯電,14.189474005452631,0.20%,1.75,70.21000000000004,✅ 穩健價值,71.25,25.49%
121.74,76.4,51.84,🚀 利潤擴張,6.33,44.08,7828.TWO,2026-03,2015.0,2025,創新服務,0.0,N/A,1.02,69.89999999999999,⚪ 數據不足,0.0,N/A
127.27,4.6,58.58,🏰 高護城河,0.63,3.28,2889.TW,2026-03,15.8000001907,2025,國票金,10.326797510261438,38.94%,0.25,68.69,💎 強力關注,22.95,90.85%
107.35,-4.63,40.15,🏰 高護城河,7.13,24.43,4137.TW,2026-03,96.3000030518,2025,麗豐-KY,5.61843658411902,20.98%,1.41,67.19999999999999,💎 強力關注,257.1,82.18%
175.0,-28.72,110.52,🔄 轉虧為盈,-0.38,-31.03,3632.TWO,2026-03,8.0699996948,2025,研勤,0.0,3.73%,0.06,64.48,⚪ 數據不足,-15.3,54.59%
106.9,2.38,42.91,🚀 利潤擴張,2.43,-24.06,6986.TWO,2026-03,46.0,2025,和迅,0.0,N/A,0.6,63.99000000000001,⚪ 數據不足,0.0,N/A
175.0,-7.78,111.03,🔄 轉虧為盈,-1.28,-184.44,4562.TW,2026-03,33.5499992371,2025,穎漢,0.0,-45.46%,0.11,63.97,⚪ 數據不足,-38.1,31.44%
62.5,-29.69,-1.0,🏰 高護城河,-3.51,-7120.0,3064.TWO,2026-03,0.0,2025,泰偉,0.0,-55.72%,-0.27,63.5,⚪ 數據不足,0.0,93.22%
235.0,12.14,171.79,🚀 利潤擴張,2.64,17.33,6005.TW,2026-03,34.4000015259,2025,群益證,5.073746537743363,N/A,1.34,63.21000000000001,💎 強力關注,101.7,N/A
500.0,19.69,438.18,🚀 利潤擴張,0.58,152.25,1533.TW,2026-03,34.5999984741,2025,車王電,51.64178876731344,N/A,0.84,61.81999999999999,⚠️ 追價風險,10.049999999999997,N/A
