advice,pe,prev_rev_yoy,prev_eps,gm,prev_year,eps_yoy,price,om,eps,prev_eps_yoy,name,symbol,date,expansion,rev_yoy,est_price,status
⚪ 中性觀察,17.264150223632072,23.54,1.5,N/A,2025,406.06,36.5999984741,N/A,1.01,-36.17,廣寰科,3287.TWO,2026-03,46.579999999999984,359.48,31.8,🚀 利潤擴張
💎 強力關注,2.476970395383828,-17.0,5.29,N/A,2025,112.5,24.2000007629,N/A,0.03,544.54,琉園,9949.TWO,2026-03,45.849999999999994,66.65,146.54999999999998,🚀 利潤擴張
💎 強力關注,8.529155787641427,108.17,4.85,N/A,2025,55.17,98.0,N/A,0.46,31.64,漢達,6620.TWO,2026-03,39.24,15.93,172.35,🚀 利潤擴張
⚪ 數據不足,0.0,-40.0,0.12,20.64%,2025,300.0,75.0,-8.17%,0.08,-93.75,威盛,2388.TW,2026-03,35.860000000000014,264.14,-30.6,🚀 利潤擴張
💎 強力關注,11.24542152489011,1.24,2.15,50.66%,2025,190.24,61.4000015259,14.95%,1.19,-5.7,禾瑞亞,3556.TWO,2026-03,34.20000000000002,156.04,81.9,🏰 高護城河
⚪ 數據不足,0.0,19.28,2.99,N/A,2025,42.62,39.4000015259,N/A,0.87,91.67,神數,7821.TW,2026-03,32.379999999999995,10.24,0.0,🚀 利潤擴張
⚪ 數據不足,0.0,15.19,7.56,35.24%,2025,34.92,0.0,30.89%,11.94,-17.2,未知,2072.TWO,2025-12,28.590000000000003,6.33,0.0,🚀 利潤擴張
⚪ 數據不足,0.0,-5.58,-1.89,N/A,2025,23.4,75.0,N/A,-0.36,-13.21,向榮生技,6794.TW,2026-03,27.259999999999998,-3.86,-70.05,🧐 疑業外收益
⚪ 數據不足,0.0,2.23,-0.45,23.39%,2025,450.0,8.2100000381,1.90%,0.11,-197.83,南緯,1467.TW,2026-03,27.04000000000002,422.96,-28.950000000000003,🔄 轉虧為盈
⚪ 數據不足,0.0,3.08,3.24,N/A,2025,42.86,278.0,N/A,1.62,-27.83,頌勝科技,7768.TW,2026-03,26.23,16.63,0.0,🚀 利潤擴張
⚪ 數據不足,0.0,3.08,3.24,N/A,2025,42.86,0.0,N/A,1.62,-27.83,未知,7768.TWO,2026-03,26.23,16.63,0.0,🚀 利潤擴張
